cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,AMD_price,2025-01-03,-0.006351512,-0.046450425,-0.03226036,0.030798426,0.053225756,0.03854140022709878,-1,-0.03854140022709878,0.9621918689533306,1.0392937544647898
2024-12-23,AMD_price,2025-01-03,-0.012476139,-0.064410865,-0.02708501,0.021469058,0.05539747,0.03854140022709878,-1,-0.03854140022709878,0.9258131926799034,1.0801315080695186
2024-12-24,AMD_price,2025-01-03,-0.0020738086,-0.051802624,-0.03066684,0.031006841,0.059661496,0.03854140022709878,-1,-0.03854140022709878,0.8908099261663263,1.1225739303372855
2024-12-26,AMD_price,2025-01-03,-0.01025954,-0.062437158,-0.03507664,0.028349943,0.060808696,0.03854140022709878,-1,-0.03854140022709878,0.857130067740156,1.1666840747245328
2024-12-27,AMD_price,2025-01-03,-0.0061666877,-0.047489617,-0.043993235,0.027605549,0.06121026,0.03854140022709878,-1,-0.03854140022709878,0.8247235818149956,1.212527472294739
2024-12-30,AMD_price,2025-01-03,-0.012554796,-0.06263744,-0.041810367,0.02696521,0.045210607,0.03854140022709878,-1,-0.03854140022709878,0.7935423245564557,1.2601722290729007
2024-12-31,AMD_price,2025-01-03,0.0019043377,-0.046763405,-0.031841226,0.033127718,0.051425576,0.03854140022709878,1,0.03854140022709878,0.8247235818149956,1.309689127225438
2025-01-03,AMD_price,2025-01-06,0.0024239644,-0.035217404,-0.01702926,0.034826975,0.061810948,0.03279754352897823,1,0.03279754352897823,0.852220947597468,1.3533558802887977
2025-01-06,AMD_price,2025-01-07,-0.0006161891,-0.051037915,-0.02896192,0.032232653,0.064664066,-0.017284774598989663,-1,0.017284774598989663,0.8670794374802013,1.3301644357846512
2025-01-07,AMD_price,2025-01-08,-0.00028978102,-0.05451122,-0.026533313,0.036884874,0.069234535,-0.04407347743553379,-1,0.04407347743553379,0.9061492915335007,1.2728125944726678
2025-01-08,AMD_price,2025-01-10,-0.0024379827,-0.05467696,-0.029251508,0.032186337,0.05943951,-0.048773711387237594,-1,0.048773711387237594,0.9514411021281761,1.2122224151936487
2025-01-10,AMD_price,2025-01-13,-0.006925918,-0.061336186,-0.04814131,0.034514766,0.07135002,0.010970274365065081,-1,-0.010970274365065081,0.9410605749165768,1.2255940387669175
2025-01-13,AMD_price,2025-01-14,-0.013381032,-0.049612366,-0.036535174,0.02191106,0.048333496,-0.010539520703514361,-1,0.010539520703514361,0.9510313536463497,1.212744696916914
2025-01-14,AMD_price,2025-01-15,-0.00045887195,-0.054016076,-0.030240538,0.035497997,0.068372875,0.03279262544435933,-1,-0.03279262544435933,0.9203503434864105,1.2531730323120749
2025-01-15,AMD_price,2025-01-16,0.0047480166,-0.04524299,-0.02559499,0.043719623,0.08108527,-0.012751822402458117,1,-0.012751822402458117,0.9086887109153794,1.2372942492441092
2025-01-16,AMD_price,2025-01-17,0.0002538506,-0.04011998,-0.025113061,0.030808914,0.05721842,0.025178459085331565,1,0.025178459085331565,0.9318585589396091,1.268842918630967
2025-01-17,AMD_price,2025-01-21,0.0016759317,-0.050217997,-0.030567173,0.038669065,0.064620614,0.006728504108038509,1,0.006728504108038509,0.9381497143793385,1.277409119963915
2025-01-21,AMD_price,2025-01-22,-0.006209673,-0.04908692,-0.030559432,0.018927166,0.03733663,0.011949914409017725,-1,-0.011949914409017725,0.9270056236695211,1.2927656213086154
2025-01-22,AMD_price,2025-01-23,-0.015842147,-0.058158364,-0.037798204,0.02024859,0.04681125,-0.00575388825057394,-1,0.00575388825057394,0.9323548852040543,1.2853485513484793
2025-01-23,AMD_price,2025-01-24,-0.011767842,-0.048075415,-0.03664228,0.022569409,0.05911895,-0.0016268474376313778,-1,0.0016268474376313778,0.9338729188297623,1.283259185351929
2025-01-24,AMD_price,2025-01-27,-0.0085437875,-0.051130395,-0.024588771,0.019359253,0.03867003,-0.06586356608180255,-1,0.06586356608180255,0.9974519067760723,1.2014624393401954
2025-01-27,AMD_price,2025-01-28,-0.009875618,-0.078576684,-0.05738128,0.031922348,0.05857198,-0.007330550028523057,-1,0.007330550028523057,1.0047906435046847,1.1926872615570108
2025-01-28,AMD_price,2025-01-29,0.009677662,-0.038190775,-0.01983887,0.05005636,0.06883808,0.02747235964396084,1,0.02747235964396084,1.0327772827639272,1.2259074237411087
2025-01-29,AMD_price,2025-01-30,2.965331e-05,-0.037789032,-0.020841872,0.028914152,0.05308693,0.012785425779330848,1,0.012785425779330848,1.0460665535223563,1.2416817982851194
2025-01-30,AMD_price,2025-01-31,0.00075896364,-0.03494642,-0.026447738,0.04366023,0.06719721,-0.0247872976916219,1,-0.0247872976916219,1.020456108579324,1.2112821805699099
2025-01-31,AMD_price,2025-02-03,0.010786558,-0.054972477,-0.02757565,0.04921852,0.069431275,-0.014594997600525017,1,-0.014594997600525017,1.0056707129867997,1.1937319047047041
2025-02-03,AMD_price,2025-02-04,-0.0034426758,-0.040930115,-0.03307298,0.023218233,0.043073017,0.04475233159015182,-1,-0.04475233159015182,0.9616568116906424,1.2483676100717538
2025-02-04,AMD_price,2025-02-05,-0.016206246,-0.08031133,-0.044500995,0.019334137,0.037872106,-0.06472819927613399,-1,0.06472819927613399,1.0259618498825178,1.1701226667024107
2025-02-05,AMD_price,2025-02-06,-0.01513705,-0.08482203,-0.05911184,0.03300664,0.055403247,-0.01665428443148344,-1,0.01665428443148344,1.0431915865718056,1.1507964895160094
2025-02-06,AMD_price,2025-02-07,-0.0034901751,-0.043855928,-0.02710798,0.033130735,0.050828114,-0.023885078961371455,-1,0.023885078961371455,1.0684082521890141,1.1236352894689987
2025-02-07,AMD_price,2025-02-10,0.0028080717,-0.05033665,-0.030058164,0.030877355,0.066611305,0.02678573078344869,1,0.02678573078344869,1.0974130714731216,1.1541393954093264
2025-02-10,AMD_price,2025-02-11,0.012866577,-0.029145338,-0.016032454,0.040477425,0.062274802,0.005596143425275311,1,0.005596143425275311,1.1035715682614762,1.160616230745724
2025-02-11,AMD_price,2025-02-12,0.00035786303,-0.04393795,-0.0312857,0.03046108,0.0525415,0.005565069092126451,1,0.005565069092126451,1.1097301408336562,1.167093145783285
2025-02-12,AMD_price,2025-02-13,-0.006837106,-0.043800402,-0.033141393,0.03419349,0.068412736,0.000805228320537171,-1,-0.000805228320537171,1.1088369143699892,1.16803330070586
2025-02-13,AMD_price,2025-02-14,-0.013883549,-0.054847967,-0.041687462,0.016525427,0.050385505,0.011471389306696429,-1,-0.011471389306696429,1.096189693733332,1.181509412504247
2025-02-14,AMD_price,2025-02-18,-0.010136463,-0.060268693,-0.04028426,0.023795906,0.06150952,0.010379197050224942,-1,-0.010379197050224942,1.0848709661611176,1.193836392929822
2025-02-18,AMD_price,2025-02-19,-0.012902532,-0.05384983,-0.03396347,0.0280833,0.048726156,0.0035812909825469405,-1,-0.0035812909825469405,1.0809926763400894,1.1981195334468777
2025-02-19,AMD_price,2025-02-20,-0.010504725,-0.04714316,-0.028179688,0.02322853,0.042741798,-0.00454430801316413,-1,0.00454430801316413,1.0859162185947195,1.19268726155701
2025-02-20,AMD_price,2025-02-21,-0.00062582595,-0.042213548,-0.020462325,0.030393565,0.048096016,-0.029600862695092562,-1,0.029600862695092562,1.1185407504944578,1.15790009480079
2025-02-21,AMD_price,2025-02-24,-0.005208593,-0.044620156,-0.035891123,0.035381924,0.056079585,-0.024938454004842972,-1,0.024938454004842972,1.1467861621371234,1.1293809463330575
2025-02-24,AMD_price,2025-02-25,0.0028871223,-0.039484017,-0.026576338,0.03331498,0.047009848,-0.03914303198357839,1,-0.03914303198357839,1.1027646627766823,1.0860275782438895
