cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,AON_price,2025-01-03,-0.006564644,-0.036474645,-0.025956757,0.014416177,0.026127249,-0.0028209217850151133,-1,0.0028209217850151133,1.002824904328808,0.9971830532761861
2024-12-23,AON_price,2025-01-03,-0.012073777,-0.036991347,-0.026924133,0.0038684688,0.017624723,-0.0028209217850151133,-1,0.0028209217850151133,1.005657788742083,0.9943740417412169
2024-12-24,AON_price,2025-01-03,-0.0036628842,-0.032931283,-0.018827582,0.016813405,0.03141898,-0.0028209217850151133,-1,0.0028209217850151133,1.0084986757828,0.9915729430420883
2024-12-26,AON_price,2025-01-03,-0.002834891,-0.02636724,-0.015136671,0.011924146,0.020846825,-0.0028209217850151133,-1,0.0028209217850151133,1.0113475880576162,0.9887797348887634
2024-12-27,AON_price,2025-01-03,0.00457228,-0.017358106,-0.009637796,0.01853687,0.027473614,-0.0028209217850151133,1,-0.0028209217850151133,1.0084986757828,0.9859943950539949
2024-12-30,AON_price,2025-01-03,-0.0055190856,-0.023555122,-0.01562613,0.007011451,0.015238256,-0.0028209217850151133,-1,0.0028209217850151133,1.0113475880576162,0.9832169013731487
2024-12-31,AON_price,2025-01-03,0.004331436,-0.016458932,-0.00936691,0.017059341,0.02844764,-0.0028209217850151133,1,-0.0028209217850151133,1.0084986757828,0.980447231744027
2025-01-03,AON_price,2025-01-06,0.0007970771,-0.022637539,-0.014230488,0.012770335,0.02284955,-0.01568836408920899,1,-0.01568836408920899,0.9928004431439003,0.9651856462767618
2025-01-06,AON_price,2025-01-07,-0.010934353,-0.040894046,-0.031635717,0.0014758557,0.013352266,-8.608205210833117e-05,-1,8.608205210833117e-05,0.9928859091218708,0.9651025646916328
2025-01-07,AON_price,2025-01-08,-0.0029585669,-0.01590661,-0.012192298,0.00619871,0.012785483,0.011442809719026238,-1,-0.011442809719026238,0.981589260554111,0.9762094756403229
2025-01-08,AON_price,2025-01-10,0.010222635,-0.018016554,-0.005430567,0.026282616,0.03597697,-0.008376711804582219,1,-0.008376711804582219,0.9734011129639242,0.968066204735984
2025-01-10,AON_price,2025-01-13,-0.010951846,-0.03230664,-0.022970837,0.0026038066,0.014911074,0.014683828709941758,-1,-0.014683828709941758,0.959212285851096,0.9823860004844124
2025-01-13,AON_price,2025-01-14,-0.0063947244,-0.04106347,-0.027884547,0.012884886,0.027856002,0.022222176990717036,-1,-0.022222176990717036,0.9381315975637119,1.0044611263067205
2025-01-14,AON_price,2025-01-15,0.011953963,-0.021148525,-0.011591706,0.03084271,0.047724452,-0.004061747453833654,1,-0.004061747453833654,0.9343288720193919,1.0003895333732742
2025-01-15,AON_price,2025-01-16,-0.0037009101,-0.025060847,-0.014805227,0.011049007,0.021930842,0.01900542564892396,-1,-0.01900542564892396,0.9167392328543016,1.0195841857738064
2025-01-16,AON_price,2025-01-17,-0.0015857015,-0.031286903,-0.020792503,0.01357058,0.027857708,-0.005284071008552947,-1,0.005284071008552947,0.9215961689536111,1.0142108396109284
