number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
43,0.75,2026-02-22 12:04:36.242757,2026-02-22 12:05:06.378782,0 days 00:00:30.136025,0.05694093185923828,2,64,70,0.0009174194319677384,128,4,16,2,COMPLETE
32,0.75,2026-02-22 11:58:27.408601,2026-02-22 11:58:56.625450,0 days 00:00:29.216849,0.07898004403075003,2,64,90,0.0009711021539340451,128,4,16,2,COMPLETE
13,0.625,2026-02-22 11:41:01.466367,2026-02-22 11:42:10.158702,0 days 00:01:08.692335,0.0630945659296998,5,64,100,0.0005574320331476802,512,4,4,2,COMPLETE
31,0.625,2026-02-22 11:57:51.705397,2026-02-22 11:58:27.408538,0 days 00:00:35.703141,0.06656936676571006,3,64,90,0.000703153390025566,128,4,16,2,COMPLETE
24,0.625,2026-02-22 11:51:31.587728,2026-02-22 11:52:15.198918,0 days 00:00:43.611190,0.03388599712132054,5,64,80,0.0004178689550683248,256,4,4,2,COMPLETE
49,0.625,2026-02-22 12:07:41.954510,2026-02-22 12:08:26.492929,0 days 00:00:44.538419,0.014379837094264297,5,64,50,0.0001665828517116346,128,4,4,2,COMPLETE
20,0.625,2026-02-22 11:47:53.029635,2026-02-22 11:48:28.245882,0 days 00:00:35.216247,0.06998767055559432,3,64,90,0.0007072397060515507,128,4,16,2,COMPLETE
4,0.625,2026-02-22 11:31:28.534971,2026-02-22 11:32:53.936524,0 days 00:01:25.401553,0.05319046771978124,5,128,120,0.00014254070522187076,512,2,16,2,COMPLETE
10,0.625,2026-02-22 11:35:43.759849,2026-02-22 11:37:29.360063,0 days 00:01:45.600214,0.005470162225786522,5,64,140,0.0007035754568535843,512,4,4,2,COMPLETE
44,0.575,2026-02-22 12:05:06.378845,2026-02-22 12:05:36.340255,0 days 00:00:29.961410,0.0528789905020071,2,64,70,0.0009413325870692177,128,4,16,2,COMPLETE
9,0.5,2026-02-22 11:35:02.380406,2026-02-22 11:35:43.759765,0 days 00:00:41.379359,0.2188259548023271,4,32,40,0.0004809111614146615,64,8,16,4,COMPLETE
0,0.5,2026-02-22 11:28:53.415167,2026-02-22 11:29:23.596927,0 days 00:00:30.181760,0.19546207686343675,2,128,40,0.00031012713821982593,32,8,16,4,COMPLETE
1,0.5,2026-02-22 11:29:23.596992,2026-02-22 11:30:06.133645,0 days 00:00:42.536653,0.14938115510030855,4,32,120,0.000254158282683428,256,4,16,2,COMPLETE
2,0.5,2026-02-22 11:30:06.133710,2026-02-22 11:30:41.976792,0 days 00:00:35.843082,0.2528863684556109,3,128,120,0.0002579268486704522,64,2,8,8,COMPLETE
