cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,BKNG_price,2025-01-03,0.008305905,-0.025114253,-0.011485277,0.033395663,0.04096795,-0.004362418155439176,1,-0.004362418155439176,0.9956470833690799,0.9956470833690799
2024-12-23,BKNG_price,2025-01-03,0.010924907,-0.035369337,-0.018495712,0.033318024,0.04327796,-0.004362418155439176,1,-0.004362418155439176,0.9913131146213555,0.9913131146213555
2024-12-24,BKNG_price,2025-01-03,0.0050940593,-0.026711844,-0.0028364463,0.036888696,0.031823423,-0.004362418155439176,1,-0.004362418155439176,0.9869980112782711,0.9869980112782711
2024-12-26,BKNG_price,2025-01-03,0.0035579968,-0.033088606,-0.025169628,0.0414816,0.049709275,-0.004362418155439176,1,-0.004362418155439176,0.9827016912202928,0.9827016912202928
2024-12-27,BKNG_price,2025-01-03,0.017319778,-0.02378061,0.001482428,0.041520193,0.04459984,-0.004362418155439176,1,-0.004362418155439176,0.9784240726853468,0.9784240726853468
2024-12-30,BKNG_price,2025-01-03,-0.00449002,-0.038112883,-0.027459202,0.039467998,0.03978529,-0.004362418155439176,-1,0.004362418155439176,0.9827016912202928,0.9741650742672622
2024-12-31,BKNG_price,2025-01-03,0.016849129,-0.018975772,-0.0068886164,0.030983066,0.031796046,-0.004362418155439176,1,-0.004362418155439176,0.9784240726853468,0.9699246149142227
2025-01-03,BKNG_price,2025-01-06,0.013981667,-0.038187444,0.0012928061,0.022299416,0.03349674,0.0012105203351619994,1,0.0012105203351619994,0.9796091920825906,0.9710994393151027
2025-01-06,BKNG_price,2025-01-07,-0.007947466,-0.03756999,-0.03345729,0.024583613,0.03718209,-0.023428099464322682,-1,0.023428099464322682,1.0028305274217555,0.9486128624595027
2025-01-07,BKNG_price,2025-01-08,0.018799735,-0.043672547,-0.022802826,0.031655356,0.044612408,0.01578759030162919,1,0.01578759030162919,1.0187884419840891,0.963708018219049
2025-01-08,BKNG_price,2025-01-10,0.006854967,-0.026940696,-0.022577386,0.031577505,0.044683404,-0.027648461082556645,1,-0.027648461082556645,0.9910063452877829,0.9374279503994483
2025-01-10,BKNG_price,2025-01-13,0.006748611,-0.03958286,-0.03138189,0.022557093,0.029501183,0.00512436318991979,1,0.00512436318991979,0.9960976554446345,0.9422440007384593
2025-01-13,BKNG_price,2025-01-14,0.0029501615,-0.025093466,-0.015824337,0.02612608,0.03866488,0.0031250592462688494,1,0.0031250592462688494,0.9992153886461392,0.9451931748369664
2025-01-14,BKNG_price,2025-01-15,0.013719437,-0.03367889,-0.011508369,0.032875862,0.04205077,0.010580260823685121,1,0.010580260823685121,1.009843472884879,0.9552466555961651
2025-01-15,BKNG_price,2025-01-16,0.0043887813,-0.042172857,-0.025349353,0.024700962,0.035595242,0.007294768012653294,1,0.007294768012653294,1.0172369809253832,0.9622404363339251
2025-01-16,BKNG_price,2025-01-17,0.010270905,-0.027704695,-0.007716618,0.042895447,0.052681163,0.012622983555256442,1,0.012622983555256442,1.0301589318129736,0.9744637666822272
2025-01-17,BKNG_price,2025-01-21,0.0145050315,-0.019736722,-0.009220571,0.018448412,0.035863053,-0.05002279357424042,1,-0.05002279357424042,0.979895152285271,0.9269174799747482
2025-01-21,BKNG_price,2025-01-22,-0.019072609,-0.058730967,-0.04770914,-0.0012644157,0.06390016,-0.014443183853042793,-1,0.014443183853042793,0.9941506577556997,0.9136260566845943
2025-01-22,BKNG_price,2025-01-23,0.009450377,-0.044579018,-0.025242925,0.036963165,0.03202845,0.042164286465965935,1,0.042164286465965935,1.0369645772724978,0.9529721177209046
2025-01-23,BKNG_price,2025-01-24,-0.0045424663,-0.051171053,-0.035499606,0.036316995,0.056782804,-0.011113441294153249,-1,0.011113441294153249,1.0485530971204189,0.9424399507461922
2025-01-24,BKNG_price,2025-01-27,0.004010733,-0.06561479,-0.037479527,0.016332395,0.03079665,-0.018968380668698683,1,-0.018968380668698683,1.0288511901826658,0.9247318687663535
2025-01-27,BKNG_price,2025-01-28,0.0018626042,-0.04796708,-0.01951655,0.037638284,0.046976924,0.001991489086889144,1,0.001991489086889144,1.030902177681702,0.9265752971658128
2025-01-28,BKNG_price,2025-01-29,0.015905593,-0.021760225,-0.004546307,0.02203812,0.029676493,0.00790507119607996,1,0.00790507119607996,1.039083828452387,0.9339289682107244
2025-01-29,BKNG_price,2025-01-30,0.01165762,-0.029278176,-0.0141511,0.03226881,0.040953815,0.01105086078432319,1,0.01105086078432319,1.050630280796938,0.9443069242806422
2025-01-30,BKNG_price,2025-01-31,0.014005923,-0.02190457,-0.0022500167,0.022885226,0.03239611,-0.007731254332699158,1,-0.007731254332699158,1.0425389094147683,0.937034396386897
2025-01-31,BKNG_price,2025-02-03,-0.00014633546,-0.04079589,-0.02549608,0.018901106,0.034919582,-0.009471601342686672,-1,0.009471601342686672,1.0524603340666867,0.9282010790075274
2025-02-03,BKNG_price,2025-02-04,-0.004334498,-0.045235947,-0.026508156,0.019303538,0.033519715,-0.002979222300856715,-1,0.002979222300856715,1.05560052270208,0.9254398768131612
2025-02-04,BKNG_price,2025-02-05,0.0017795172,-0.021932261,-0.0019004251,0.013738379,0.0115203615,0.00436115595910634,1,0.00436115595910634,1.060214214414073,0.9294846780403067
2025-02-05,BKNG_price,2025-02-06,-0.003610266,-0.028585546,-0.017870737,0.023140304,0.035674583,0.016947046986690747,-1,-0.016947046986690747,1.0423981059207066,0.9453709308767517
2025-02-06,BKNG_price,2025-02-07,0.0020226324,-0.026038075,-0.01871554,0.0303771,0.06002745,0.02229514044522651,1,0.02229514044522651,1.065899528363009,0.9666848237982891
2025-02-07,BKNG_price,2025-02-10,0.0019317847,-0.02246835,-0.0135413,0.02969078,0.045349285,0.005307600885889796,1,0.005307600885889796,1.0715719377703445,0.971829241205869
2025-02-10,BKNG_price,2025-02-11,0.007053058,-0.03056239,-0.014917574,0.03186912,0.05170671,-0.0032942730741320468,1,-0.0032942730741320468,1.0680476952844746,0.9686330377778519
2025-02-11,BKNG_price,2025-02-12,0.010596546,-0.03456177,-0.011096383,0.054157995,0.049747124,0.024365114512124735,1,0.024365114512124735,1.0943904182119457,0.9925237608656258
