number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
30,0.75,2026-02-23 05:32:43.344446,2026-02-23 05:33:21.122546,0 days 00:00:37.778100,0.04289617451068338,2,64,90,0.0004860927637910042,128,4,16,2,COMPLETE
15,0.625,2026-02-23 05:21:18.645984,2026-02-23 05:22:01.702460,0 days 00:00:43.056476,0.21118775975491133,3,64,120,0.0006608548054969197,512,8,8,4,COMPLETE
45,0.625,2026-02-23 05:41:46.035395,2026-02-23 05:42:50.427457,0 days 00:01:04.392062,0.0189276392676267,2,64,130,0.0006504639121667259,512,8,16,2,COMPLETE
49,0.5416666666666666,2026-02-23 05:45:00.333505,2026-02-23 05:45:40.294383,0 days 00:00:39.960878,0.03492635805940342,3,64,130,0.0007742466982694146,512,8,8,4,COMPLETE
1,0.5,2026-02-23 05:11:26.169858,2026-02-23 05:11:57.143098,0 days 00:00:30.973240,0.06755843005905883,1,128,110,0.0001949287662818623,64,8,4,8,COMPLETE
3,0.5,2026-02-23 05:12:41.090997,2026-02-23 05:13:43.430898,0 days 00:01:02.339901,0.10216683393707164,4,32,120,0.00021494584104448001,128,2,8,8,COMPLETE
6,0.5,2026-02-23 05:14:57.949119,2026-02-23 05:15:42.723255,0 days 00:00:44.774136,0.15983656137830524,4,32,80,0.0005218339416348175,512,8,16,8,COMPLETE
2,0.5,2026-02-23 05:11:57.143179,2026-02-23 05:12:41.090881,0 days 00:00:43.947702,0.0672511001629784,2,64,80,0.00026828500753294903,32,4,16,2,COMPLETE
4,0.5,2026-02-23 05:13:43.431004,2026-02-23 05:14:22.686326,0 days 00:00:39.255322,0.07503802279079906,3,32,20,0.000126542812784978,32,2,16,4,COMPLETE
5,0.5,2026-02-23 05:14:22.686423,2026-02-23 05:14:57.949047,0 days 00:00:35.262624,0.25970722318262307,2,32,60,0.00016217471432907664,64,2,4,4,COMPLETE
9,0.5,2026-02-23 05:17:18.467454,2026-02-23 05:17:53.837332,0 days 00:00:35.369878,0.2726506288560272,2,32,110,0.0005333107417160035,256,4,16,4,COMPLETE
10,0.5,2026-02-23 05:17:53.837405,2026-02-23 05:18:23.998859,0 days 00:00:30.161454,0.19110823348726713,1,128,130,0.0009553227055687646,512,8,8,4,COMPLETE
12,0.5,2026-02-23 05:18:54.868987,2026-02-23 05:19:32.507644,0 days 00:00:37.638657,0.20524563178686117,1,128,110,0.00035402691370433286,512,8,8,8,COMPLETE
11,0.5,2026-02-23 05:18:23.998930,2026-02-23 05:18:54.868927,0 days 00:00:30.869997,0.02613023514611587,1,128,140,0.0003651523268725199,64,8,4,8,COMPLETE
13,0.5,2026-02-23 05:19:32.507715,2026-02-23 05:20:03.546876,0 days 00:00:31.039161,0.0014061305744775543,1,128,100,0.00020802559748999937,64,8,4,8,COMPLETE
7,0.5,2026-02-23 05:15:42.723321,2026-02-23 05:16:27.417119,0 days 00:00:44.693798,0.08403604762123323,4,64,50,0.0006343511250512121,128,8,4,4,COMPLETE
8,0.5,2026-02-23 05:16:27.417219,2026-02-23 05:17:18.467389,0 days 00:00:51.050170,0.247225886339673,5,32,90,0.00014602169302133845,256,4,8,2,COMPLETE
0,0.5,2026-02-23 05:10:54.654299,2026-02-23 05:11:26.169762,0 days 00:00:31.515463,0.2700267796090049,1,32,130,0.0005730530589822717,512,8,8,4,COMPLETE
41,0.5,2026-02-23 05:39:32.154580,2026-02-23 05:39:58.998706,0 days 00:00:26.844126,0.018372642747898682,1,64,80,0.0002506658572749718,32,4,16,2,COMPLETE
16,0.5,2026-02-23 05:22:01.702505,2026-02-23 05:22:45.901794,0 days 00:00:44.199289,0.29727567532878824,3,64,130,0.0007093287365868978,512,8,8,4,COMPLETE
14,0.5,2026-02-23 05:20:03.546962,2026-02-23 05:21:18.645908,0 days 00:01:15.098946,0.12880450033369575,2,128,140,0.0009989912473831386,64,8,4,2,COMPLETE
18,0.5,2026-02-23 05:23:43.553213,2026-02-23 05:24:23.271257,0 days 00:00:39.718044,0.24337706664138567,3,64,60,0.0006909232753743859,512,4,8,4,COMPLETE
24,0.5,2026-02-23 05:28:33.806971,2026-02-23 05:29:16.277340,0 days 00:00:42.470369,0.2247247811332099,2,128,140,0.00017156322312183992,128,8,8,4,COMPLETE
23,0.5,2026-02-23 05:26:47.297480,2026-02-23 05:28:33.806893,0 days 00:01:46.509413,0.18050055975525467,3,128,130,0.00023645946317766723,256,8,4,2,COMPLETE
21,0.5,2026-02-23 05:25:44.093051,2026-02-23 05:26:15.981913,0 days 00:00:31.888862,0.22245245296823563,1,128,120,0.00010323083382691202,64,8,4,8,COMPLETE
20,0.5,2026-02-23 05:25:08.375633,2026-02-23 05:25:44.092980,0 days 00:00:35.717347,0.29984932035543516,2,32,20,0.00044514288557421947,512,8,8,4,COMPLETE
29,0.5,2026-02-23 05:31:50.593118,2026-02-23 05:32:43.344369,0 days 00:00:52.751251,0.11160018744883957,5,32,70,0.0002695889248884741,32,4,4,8,COMPLETE
26,0.5,2026-02-23 05:29:48.425935,2026-02-23 05:30:32.684082,0 days 00:00:44.258147,0.27334994918032324,3,64,100,0.0004112861245453237,512,8,8,4,COMPLETE
28,0.5,2026-02-23 05:31:14.528142,2026-02-23 05:31:50.593058,0 days 00:00:36.064916,0.240051230143973,1,128,130,0.0003583212493742909,64,2,16,2,COMPLETE
27,0.5,2026-02-23 05:30:32.684171,2026-02-23 05:31:14.528079,0 days 00:00:41.843908,0.13438234150561706,2,64,120,0.0008093571247445562,512,8,8,4,COMPLETE
32,0.5,2026-02-23 05:34:00.046827,2026-02-23 05:34:39.613752,0 days 00:00:39.566925,0.054034018480379295,2,64,110,0.0006101098806141896,128,4,16,2,COMPLETE
31,0.5,2026-02-23 05:33:21.122606,2026-02-23 05:34:00.046756,0 days 00:00:38.924150,0.030731601213709554,2,64,90,0.000494398454244087,128,4,16,2,COMPLETE
25,0.5,2026-02-23 05:29:16.277405,2026-02-23 05:29:48.425869,0 days 00:00:32.148464,0.0394760742023315,1,32,100,0.0005815547528037007,64,8,4,8,COMPLETE
22,0.5,2026-02-23 05:26:15.981973,2026-02-23 05:26:47.297418,0 days 00:00:31.315445,0.13356386597334802,1,64,110,0.00029106778180884086,32,8,8,8,COMPLETE
