number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
37,0.625,2026-02-22 15:49:49.148607,2026-02-22 15:50:24.625150,0 days 00:00:35.476543,0.023724372250215297,3,128,90,0.0002929481661858816,64,8,4,8,COMPLETE
0,0.5,2026-02-22 15:27:36.492421,2026-02-22 15:28:02.310567,0 days 00:00:25.818146,0.22617640081030918,1,128,30,0.00015781976862309688,64,4,4,4,COMPLETE
2,0.5,2026-02-22 15:28:38.889503,2026-02-22 15:29:21.344637,0 days 00:00:42.455134,0.04571361948530037,4,128,70,0.00025913956596569914,64,2,4,4,COMPLETE
3,0.5,2026-02-22 15:29:21.344728,2026-02-22 15:29:54.301510,0 days 00:00:32.956782,0.005619518042517091,3,32,60,0.00017747080115360328,256,8,4,2,COMPLETE
4,0.5,2026-02-22 15:29:54.301564,2026-02-22 15:30:32.922979,0 days 00:00:38.621415,0.14492643137506359,3,64,140,0.0001755855823134833,64,8,8,8,COMPLETE
6,0.5,2026-02-22 15:31:10.395250,2026-02-22 15:31:53.228496,0 days 00:00:42.833246,0.22833278989097439,4,64,140,0.0002733581525476742,32,8,4,4,COMPLETE
8,0.5,2026-02-22 15:32:19.983783,2026-02-22 15:32:48.605176,0 days 00:00:28.621393,0.17221974888793867,1,64,120,0.00024207976604115534,256,8,4,2,COMPLETE
7,0.5,2026-02-22 15:31:53.228565,2026-02-22 15:32:19.983720,0 days 00:00:26.755155,0.2827998756760316,1,32,140,0.0009599524041370931,128,4,16,8,COMPLETE
9,0.5,2026-02-22 15:32:48.605254,2026-02-22 15:33:31.324729,0 days 00:00:42.719475,0.2378623784961602,4,128,30,0.0006748161199868532,32,8,4,8,COMPLETE
10,0.5,2026-02-22 15:33:31.324823,2026-02-22 15:34:01.948475,0 days 00:00:30.623652,0.29691282654359186,2,128,20,0.00010074214099829338,512,4,8,4,COMPLETE
14,0.5,2026-02-22 15:35:47.954493,2026-02-22 15:36:13.814159,0 days 00:00:25.859666,0.2212952987655769,1,32,90,0.00042689144433383236,128,2,16,2,COMPLETE
11,0.5,2026-02-22 15:34:01.948535,2026-02-22 15:34:48.713555,0 days 00:00:46.765020,0.14597525811786122,5,32,50,0.00010073412631379889,64,2,16,2,COMPLETE
12,0.5,2026-02-22 15:34:48.713624,2026-02-22 15:35:18.401975,0 days 00:00:29.688351,0.19027941240512303,2,32,90,0.00013813817028569822,64,4,16,2,COMPLETE
13,0.5,2026-02-22 15:35:18.402031,2026-02-22 15:35:47.954435,0 days 00:00:29.552404,0.0982102826012822,2,128,40,0.00015002205926565413,64,4,16,4,COMPLETE
16,0.5,2026-02-22 15:37:00.239512,2026-02-22 15:37:32.213257,0 days 00:00:31.973745,0.19021413155579134,2,32,50,0.00020445290396987794,64,4,16,2,COMPLETE
15,0.5,2026-02-22 15:36:13.814223,2026-02-22 15:37:00.239424,0 days 00:00:46.425201,0.12901811333804689,5,128,20,0.00012226437481244326,64,8,8,4,COMPLETE
17,0.5,2026-02-22 15:37:32.213321,2026-02-22 15:38:08.899022,0 days 00:00:36.685701,0.11277489683465125,3,32,80,0.0001368609530941017,64,8,4,2,COMPLETE
1,0.5,2026-02-22 15:28:02.310630,2026-02-22 15:28:38.889437,0 days 00:00:36.578807,0.15161759335168198,3,32,60,0.00010195489220768212,64,8,16,2,COMPLETE
46,0.5,2026-02-22 15:54:58.064213,2026-02-22 15:55:34.244248,0 days 00:00:36.180035,0.23443843420450242,3,128,50,0.00040956447063134266,64,2,8,4,COMPLETE
18,0.5,2026-02-22 15:38:08.899088,2026-02-22 15:38:36.506843,0 days 00:00:27.607755,0.2616001735362091,1,128,40,0.00036545542247983805,256,4,16,4,COMPLETE
20,0.5,2026-02-22 15:39:20.156882,2026-02-22 15:39:51.044826,0 days 00:00:30.887944,0.254449424131581,2,128,40,0.00020001696726935602,512,8,16,4,COMPLETE
19,0.5,2026-02-22 15:38:36.506909,2026-02-22 15:39:20.156806,0 days 00:00:43.649897,0.19998808200759402,4,64,70,0.0005109819865923139,128,2,8,8,COMPLETE
22,0.5,2026-02-22 15:40:33.651609,2026-02-22 15:41:23.163558,0 days 00:00:49.511949,0.08253995879210724,5,128,60,0.00023658238828492173,64,2,4,4,COMPLETE
23,0.5,2026-02-22 15:41:23.163635,2026-02-22 15:42:06.572266,0 days 00:00:43.408631,0.053312593558914684,4,128,100,0.00011834082308870678,64,2,4,4,COMPLETE
24,0.5,2026-02-22 15:42:06.572329,2026-02-22 15:42:43.380769,0 days 00:00:36.808440,0.005992067148389069,3,128,60,0.0001617463804892838,64,2,4,4,COMPLETE
21,0.5,2026-02-22 15:39:51.044894,2026-02-22 15:40:33.651522,0 days 00:00:42.606628,0.03947783949471424,4,128,70,0.00030325021370475487,64,2,4,4,COMPLETE
26,0.5,2026-02-22 15:43:29.717697,2026-02-22 15:44:12.367073,0 days 00:00:42.649376,0.11758310506543197,4,128,30,0.000200920972811289,64,4,4,4,COMPLETE
27,0.5,2026-02-22 15:44:12.367158,2026-02-22 15:44:47.869424,0 days 00:00:35.502266,0.03072905103380594,3,128,70,0.00010045780020225272,64,2,4,4,COMPLETE
