cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,CVX_price,2025-01-03,0.00020660274,-0.019613588,-0.01160123,0.014973424,0.021296836,0.00774046221279147,1,0.00774046221279147,1.007770497034881,1.007770497034881
2024-12-23,CVX_price,2025-01-03,-9.253586e-05,-0.01995984,-0.013789297,0.009580335,0.015336805,0.00774046221279147,-1,-0.00774046221279147,1.0,1.0156013746939312
2024-12-24,CVX_price,2025-01-03,0.0007322994,-0.022608407,-0.012366028,0.009718936,0.016960481,0.00774046221279147,1,0.00774046221279147,1.007770497034881,1.0234931021646116
2024-12-26,CVX_price,2025-01-03,-0.00017628144,-0.01908276,-0.01231495,0.008620113,0.016588524,0.00774046221279147,-1,-0.00774046221279147,1.0,1.031446152280203
2024-12-27,CVX_price,2025-01-03,0.0014539657,-0.019446215,-0.012634742,0.012656345,0.017284576,0.00774046221279147,1,0.00774046221279147,1.007770497034881,1.0394610015481358
2024-12-30,CVX_price,2025-01-03,-0.00056614587,-0.021974744,-0.0111425305,0.009601771,0.017372929,0.00774046221279147,-1,-0.00774046221279147,1.0,1.04753813017854
2024-12-31,CVX_price,2025-01-03,-0.0011649774,-0.023341797,-0.013856419,0.014612392,0.02259503,0.00774046221279147,-1,-0.00774046221279147,0.9922894180195353,1.0556780221130173
2025-01-03,CVX_price,2025-01-06,-0.0008298969,-0.022247776,-0.012963742,0.012655672,0.020118514,-0.003998599766493404,-1,0.003998599766493404,0.9962651295971784,1.0514652164952245
2025-01-06,CVX_price,2025-01-07,-0.003269822,-0.018526131,-0.0142032355,0.01227323,0.01661398,0.015698476389757184,-1,-0.015698476389757184,0.9807474059750143,1.0681018616991655
2025-01-07,CVX_price,2025-01-08,-0.00615431,-0.027504934,-0.018120455,0.014446095,0.026014892,0.004735044985426242,-1,-0.004735044985426242,0.9761145000534192,1.0731713647540448
2025-01-08,CVX_price,2025-01-10,-0.00342225,-0.025889857,-0.0138248,0.0058770487,0.0194722,0.01871921375170464,-1,-0.01871921375170464,0.9580123615734438,1.0934494920901217
2025-01-10,CVX_price,2025-01-13,-0.0036455411,-0.026911432,-0.015458243,0.016113995,0.02656196,0.014328205080028486,-1,-0.014328205080028486,0.9443836347452241,1.109229439856976
2025-01-13,CVX_price,2025-01-14,1.2722798e-05,-0.019140355,-0.012319989,0.022754705,0.039825507,0.009927923228058397,1,0.009927923228058397,0.9538060983237422,1.120296630787378
2025-01-14,CVX_price,2025-01-15,0.0015952941,-0.018600294,-0.013634784,0.019898783,0.030576969,0.009073019097450211,1,0.009073019097450211,0.962499376774225,1.1305073545138127
2025-01-15,CVX_price,2025-01-16,-0.0026499433,-0.016679352,-0.013618259,0.018152239,0.026679188,0.006609715137974503,-1,-0.006609715137974503,0.9561585088238556,1.138004435579076
2025-01-16,CVX_price,2025-01-17,-0.0042175124,-0.017934328,-0.016896954,0.009205895,0.024707897,0.013028088026572883,-1,-0.013028088026572883,0.943782385267671,1.152927455675725
2025-01-17,CVX_price,2025-01-21,-0.0044685015,-0.018387735,-0.016700897,0.0119997915,0.02536549,-0.020206568761984206,-1,0.020206568761984206,0.9630469690183416,1.1298645436445989
2025-01-21,CVX_price,2025-01-22,-0.003346676,-0.032865986,-0.021929886,0.014184793,0.027191648,-0.011632083027461378,-1,0.011632083027461378,0.9743146173844901,1.1167980083057965
2025-01-22,CVX_price,2025-01-23,0.0017935662,-0.02451551,-0.013630213,0.016826116,0.032665044,-0.0025607275634770277,1,-0.0025607275634770277,0.9718228548124132,1.1139418513437498
2025-01-23,CVX_price,2025-01-24,0.0017595424,-0.018475609,-0.009739158,0.014591038,0.024734393,-0.002310285112856569,1,-0.002310285112856569,0.9695802584545687,1.111371298566252
