number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
10,0.75,2026-02-23 12:38:36.862975,2026-02-23 12:39:38.929638,0 days 00:01:02.066663,0.14075691383341976,5,128,60,0.00020311053049219295,64,8,4,2,COMPLETE
1,0.6875,2026-02-23 12:32:38.299685,2026-02-23 12:33:31.898403,0 days 00:00:53.598718,0.030445604288360725,4,128,60,0.00021422291435868411,64,4,4,2,COMPLETE
33,0.6666666666666666,2026-02-23 12:53:41.554305,2026-02-23 12:54:05.333502,0 days 00:00:23.779197,0.04195101304576077,3,128,60,0.000437299312445279,512,8,4,2,PRUNED
42,0.6666666666666666,2026-02-23 12:57:40.865274,2026-02-23 12:58:29.839455,0 days 00:00:48.974181,0.014178706003458946,4,128,60,0.0001270555733200193,512,8,4,2,COMPLETE
31,0.6666666666666666,2026-02-23 12:52:22.247044,2026-02-23 12:53:15.086680,0 days 00:00:52.839636,0.00821373722841405,4,128,60,0.00011014151567571724,512,8,4,2,COMPLETE
20,0.6428571428571428,2026-02-23 12:45:48.853025,2026-02-23 12:46:33.942633,0 days 00:00:45.089608,0.12604598603248107,5,128,110,0.00030535045739879735,64,8,4,2,PRUNED
0,0.625,2026-02-23 12:31:34.789322,2026-02-23 12:32:38.299611,0 days 00:01:03.510289,0.05479367135294139,5,64,100,0.00039233355715767625,128,2,16,8,COMPLETE
41,0.625,2026-02-23 12:57:14.289359,2026-02-23 12:57:40.865228,0 days 00:00:26.575869,0.00012903913683942093,4,128,60,0.00011924756476177565,512,8,4,2,PRUNED
43,0.625,2026-02-23 12:58:29.839532,2026-02-23 12:59:14.668395,0 days 00:00:44.828863,0.05245255600121016,3,128,50,0.00010011535328430975,512,8,4,2,COMPLETE
45,0.625,2026-02-23 13:00:09.927632,2026-02-23 13:01:16.053751,0 days 00:01:06.126119,0.03594537754727007,5,128,50,0.00016324373689627158,64,8,4,2,COMPLETE
46,0.625,2026-02-23 13:01:16.053833,2026-02-23 13:02:19.882084,0 days 00:01:03.828251,0.0710229887070434,5,128,60,0.00018971743566769048,128,8,4,2,COMPLETE
17,0.613095238095238,2026-02-23 12:44:12.457589,2026-02-23 12:45:07.120366,0 days 00:00:54.662777,0.004341122854404883,4,128,60,0.00012385464567698124,512,8,4,2,COMPLETE
49,0.5833333333333334,2026-02-23 13:03:04.164473,2026-02-23 13:03:49.586749,0 days 00:00:45.422276,0.13731276702049933,3,64,80,0.00015269546101089453,512,8,4,2,COMPLETE
6,0.5416666666666666,2026-02-23 12:35:56.075340,2026-02-23 12:36:48.689915,0 days 00:00:52.614575,0.07306553902891322,4,64,130,0.00026638782678205366,128,4,16,4,COMPLETE
16,0.5416666666666666,2026-02-23 12:43:05.932883,2026-02-23 12:44:12.457490,0 days 00:01:06.524607,0.11353471418143252,5,128,90,0.00022756798049194683,64,8,8,2,COMPLETE
14,0.5416666666666666,2026-02-23 12:41:46.605265,2026-02-23 12:42:39.821853,0 days 00:00:53.216588,0.10313253277316148,3,128,80,0.0002471333817283018,64,8,4,2,COMPLETE
9,0.5208333333333334,2026-02-23 12:37:42.613479,2026-02-23 12:38:36.862866,0 days 00:00:54.249387,0.06014767846532264,4,128,100,0.0001694326288813106,128,4,4,2,COMPLETE
2,0.5,2026-02-23 12:33:31.898495,2026-02-23 12:34:04.604244,0 days 00:00:32.705749,0.039302156573752675,1,128,30,0.00010123418132276926,128,2,4,2,COMPLETE
36,0.5,2026-02-23 12:54:59.117823,2026-02-23 12:55:18.090754,0 days 00:00:18.972931,0.2241075171248853,2,64,30,0.00024224770574031887,32,8,8,2,PRUNED
48,0.5,2026-02-23 13:02:36.948546,2026-02-23 13:03:04.164432,0 days 00:00:27.215886,0.1007226855811328,4,128,80,0.0002193768428882425,64,8,4,2,PRUNED
38,0.5,2026-02-23 12:55:51.699405,2026-02-23 12:56:15.913378,0 days 00:00:24.213973,0.15413441681532905,4,64,40,0.00014761145818112547,128,2,16,2,PRUNED
34,0.5,2026-02-23 12:54:05.333546,2026-02-23 12:54:36.548616,0 days 00:00:31.215070,0.07129696261858047,4,128,70,0.0003402659758369385,512,8,4,2,PRUNED
7,0.5,2026-02-23 12:36:48.690005,2026-02-23 12:37:26.331104,0 days 00:00:37.641099,0.06069587213086264,2,32,140,0.00012962443362850735,32,4,16,2,COMPLETE
5,0.5,2026-02-23 12:35:24.400510,2026-02-23 12:35:56.075261,0 days 00:00:31.674751,0.22596765160994892,1,32,40,0.00033435204034823116,32,4,8,4,COMPLETE
15,0.5,2026-02-23 12:42:39.821952,2026-02-23 12:43:05.932829,0 days 00:00:26.110877,0.19491909461943213,4,128,50,0.00014730631308651644,64,4,4,4,PRUNED
11,0.5,2026-02-23 12:39:38.929767,2026-02-23 12:40:44.086960,0 days 00:01:05.157193,0.14231658762304966,5,128,60,0.00018817068599666733,64,8,4,2,COMPLETE
3,0.5,2026-02-23 12:34:04.604317,2026-02-23 12:34:39.124239,0 days 00:00:34.519922,0.14378596196687585,1,64,50,0.0003107634854440896,32,2,4,8,COMPLETE
28,0.5,2026-02-23 12:50:54.224715,2026-02-23 12:51:19.962117,0 days 00:00:25.737402,0.12088584543432938,4,32,20,0.00028664575592785425,128,4,8,4,PRUNED
29,0.5,2026-02-23 12:51:19.962158,2026-02-23 12:51:50.497764,0 days 00:00:30.535606,0.015505204364662739,5,64,30,0.0001081858653910479,128,8,16,8,PRUNED
18,0.5,2026-02-23 12:45:07.120462,2026-02-23 12:45:29.692048,0 days 00:00:22.571586,0.17607228448660575,3,128,40,0.0004787961893547679,256,4,4,4,PRUNED
25,0.5,2026-02-23 12:48:30.645227,2026-02-23 12:49:22.930101,0 days 00:00:52.284874,0.1727279387647791,4,64,90,0.00038606628184291756,512,2,16,8,COMPLETE
24,0.5,2026-02-23 12:48:00.506675,2026-02-23 12:48:30.645192,0 days 00:00:30.138517,0.08730771797007647,5,64,60,0.0002670763357139653,128,2,16,8,PRUNED
19,0.5,2026-02-23 12:45:29.692098,2026-02-23 12:45:48.852987,0 days 00:00:19.160889,0.27655138366986987,2,32,70,0.00017296959018173096,64,2,8,8,PRUNED
21,0.5,2026-02-23 12:46:33.942668,2026-02-23 12:47:04.076078,0 days 00:00:30.133410,0.09247387284872718,5,64,90,0.0003791536462801955,128,2,16,8,PRUNED
37,0.5,2026-02-23 12:55:18.090794,2026-02-23 12:55:51.699367,0 days 00:00:33.608573,0.0593052345583201,5,128,80,0.00019292575884700491,64,4,4,4,PRUNED
27,0.5,2026-02-23 12:50:02.079760,2026-02-23 12:50:54.224634,0 days 00:00:52.144874,0.03824940029849379,3,128,50,0.00014009287246056297,64,2,4,2,COMPLETE
26,0.475,2026-02-23 12:49:22.930182,2026-02-23 12:50:02.079702,0 days 00:00:39.149520,0.08395390716340127,5,128,110,0.00021320292103657002,64,4,4,2,PRUNED
30,0.45,2026-02-23 12:51:50.497813,2026-02-23 12:52:22.246986,0 days 00:00:31.749173,0.04663266867871865,5,128,80,0.0001623825067467047,32,2,4,2,PRUNED
13,0.41666666666666663,2026-02-23 12:41:14.075122,2026-02-23 12:41:46.605180,0 days 00:00:32.530058,0.0007832895612611968,5,128,20,0.0005773531616794037,256,8,4,2,PRUNED
44,0.375,2026-02-23 12:59:14.668472,2026-02-23 13:00:09.927541,0 days 00:00:55.259069,0.022126715444930986,4,128,70,0.00013225911202505424,512,8,4,2,COMPLETE
4,0.375,2026-02-23 12:34:39.124300,2026-02-23 12:35:24.400444,0 days 00:00:45.276144,0.05326771771495701,3,32,80,0.0004390042171400682,64,4,8,8,COMPLETE
8,0.25,2026-02-23 12:37:26.331167,2026-02-23 12:37:42.613386,0 days 00:00:16.282219,0.22995297139558768,1,64,120,0.0007402736119279977,128,8,16,2,PRUNED
12,0.25,2026-02-23 12:40:44.087070,2026-02-23 12:41:14.075046,0 days 00:00:29.987976,0.2988686305767212,4,128,70,0.00020811263380292268,512,8,4,2,PRUNED
40,0.25,2026-02-23 12:56:46.229780,2026-02-23 12:57:14.289303,0 days 00:00:28.059523,0.040243952221381045,4,128,100,0.0004882991822685252,32,8,16,2,PRUNED
22,0.25,2026-02-23 12:47:04.076123,2026-02-23 12:47:34.460528,0 days 00:00:30.384405,0.028177197985916204,5,64,100,0.0009393457163721671,64,2,16,8,PRUNED
32,0.25,2026-02-23 12:53:15.086762,2026-02-23 12:53:41.554266,0 days 00:00:26.467504,0.02590957395472743,4,128,40,0.00011410153633141694,512,8,4,2,PRUNED
35,0.25,2026-02-23 12:54:36.548677,2026-02-23 12:54:59.117775,0 days 00:00:22.569098,0.011636232877124859,3,32,50,0.00010323467933152516,512,4,4,8,PRUNED
39,0.25,2026-02-23 12:56:15.913412,2026-02-23 12:56:46.229739,0 days 00:00:30.316327,0.07507095793594956,5,32,130,0.00035192638515893965,256,4,4,8,PRUNED
47,0.25,2026-02-23 13:02:19.882194,2026-02-23 13:02:36.948501,0 days 00:00:17.066307,0.011193118140144839,1,128,70,0.00013429639297584872,512,4,8,4,PRUNED
23,0.0,2026-02-23 12:47:34.460572,2026-02-23 12:48:00.506613,0 days 00:00:26.046041,0.024808062767084152,4,64,70,0.00056103747065721,256,2,16,8,PRUNED
