cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,DECK_price,2025-01-03,-0.006208649,-0.067024894,-0.042413875,0.024417311,0.04524213,0.0131622714617642,-1,-0.0131622714617642,0.9869239724300739,1.0132492754611375
2024-12-23,DECK_price,2025-01-03,-0.017859006,-0.052303888,-0.04044959,0.014332013,0.037209153,0.0131622714617642,-1,-0.0131622714617642,0.9740189273571572,1.02667409422252
2024-12-24,DECK_price,2025-01-03,-3.7619495e-05,-0.046682153,-0.026869807,0.033398684,0.054280043,0.0131622714617642,-1,-0.0131622714617642,0.9612826290094051,1.0402767821056882
2024-12-26,DECK_price,2025-01-03,0.0008367975,-0.04180758,-0.018760093,0.02613622,0.040199697,0.0131622714617642,1,0.0131622714617642,0.9740189273571572,1.0540596957476323
2024-12-27,DECK_price,2025-01-03,-0.000732678,-0.052766606,-0.030292692,0.025079709,0.04009394,0.0131622714617642,-1,-0.0131622714617642,0.9612826290094051,1.0680252230090754
2024-12-30,DECK_price,2025-01-03,3.383262e-05,-0.03674272,-0.021594644,0.03427407,0.053680364,0.0131622714617642,1,0.0131622714617642,0.9740189273571572,1.0821757833881653
2024-12-31,DECK_price,2025-01-03,0.008165359,-0.034625616,-0.017097976,0.034844186,0.052785404,0.0131622714617642,1,0.0131622714617642,0.9869239724300739,1.0965138284396476
2025-01-03,DECK_price,2025-01-06,0.0023005055,-0.032102857,-0.01984258,0.022404095,0.040643003,0.0058693578344750285,1,0.0058693578344750285,0.9927336151374604,1.1029685845757837
2025-01-06,DECK_price,2025-01-07,0.0080269985,-0.03510978,-0.022079442,0.030111853,0.04654547,-0.016297457012814435,1,-0.016297457012814435,0.9766857069679808,1.0851386871197153
2025-01-07,DECK_price,2025-01-08,0.0076318737,-0.029371044,-0.018223478,0.029740239,0.044541404,0.011730046319257425,1,0.011730046319257425,0.9882097320882174,1.0979423612188572
2025-01-08,DECK_price,2025-01-10,0.002464286,-0.04024181,-0.02765524,0.025245516,0.03966666,-9.640148556935817e-05,1,-9.640148556935817e-05,0.9881144717936807,1.0978365230457268
2025-01-10,DECK_price,2025-01-13,-0.0014887537,-0.035410926,-0.025125368,0.022935819,0.043135446,-0.014123381102765736,-1,0.014123381102765736,1.0021690041900448,1.0824403384555557
2025-01-13,DECK_price,2025-01-14,0.0013358062,-0.027715404,-0.022287874,0.01874334,0.026768662,0.0075475880797999445,1,0.0075475880797999445,1.009761579793332,1.090641061159421
2025-01-14,DECK_price,2025-01-15,-0.008130406,-0.03342609,-0.02786405,0.022982243,0.033503763,-0.011759979825169747,-1,0.011759979825169747,1.0217064536763794,1.0778902657814082
2025-01-15,DECK_price,2025-01-16,0.008395903,-0.028689994,-0.018223323,0.03720826,0.053407222,0.021799652086553517,1,0.021799652086553517,1.0442238427973376,1.1016458899697044
2025-01-16,DECK_price,2025-01-17,-0.003503641,-0.043796383,-0.031511456,0.012843799,0.02627758,0.008083665962836868,-1,-0.008083665962836868,1.0358167120607633,1.1105873184237394
2025-01-17,DECK_price,2025-01-21,0.00015079789,-0.030795978,-0.027061516,0.027649498,0.053951107,0.019811019629722544,1,0.019811019629722544,1.0565419131169087,1.1328085716596952
2025-01-21,DECK_price,2025-01-22,-0.0021296665,-0.031182624,-0.023891427,0.009550785,0.027918562,0.003775952839186673,-1,-0.003775952839186673,1.052559983201276,1.1370940892664523
2025-01-22,DECK_price,2025-01-23,0.0034228615,-0.034569222,-0.020067453,0.023237687,0.037339106,0.016840505530894844,1,0.016840505530894844,1.0704357211869941,1.1564054789537315
2025-01-23,DECK_price,2025-01-24,-0.00066478737,-0.03445201,-0.022329535,0.019023107,0.032699816,-0.006471936970915842,-1,0.006471936970915842,1.0773859802654329,1.1489454620000357
2025-01-24,DECK_price,2025-01-27,0.0012684511,-0.033029474,-0.023910053,0.011622332,0.023444219,-0.024519989430397994,1,-0.024519989430397994,1.0512897347230845,1.1211159158203714
2025-01-27,DECK_price,2025-01-28,0.0038663447,-0.03245835,-0.013103019,0.02966602,0.03996805,0.01879352375900498,1,0.01879352375900498,1.071233997804308,1.1423848676907689
2025-01-28,DECK_price,2025-01-29,0.0138805695,-0.031639557,-0.015909344,0.046310443,0.06515165,0.013707016416647426,1,0.013707016416647426,1.0860185141238832,1.1581513647905888
2025-01-29,DECK_price,2025-01-30,0.0004772041,-0.036284413,-0.023852102,0.030978967,0.054521695,0.019049949472820946,1,0.019049949472820946,1.1069054276155654,1.180425577478546
2025-01-30,DECK_price,2025-01-31,0.0139683895,-0.041426625,-0.023785803,0.03529348,0.053239956,-0.22948335736960093,1,-0.22948335736960093,0.8799280479603455,0.9383724645660545
2025-01-31,DECK_price,2025-02-03,-0.107921325,-0.47859567,-0.24476843,0.13388531,0.21149339,-0.03868407059381997,-1,0.03868407059381997,0.9146342065130693,0.9027655483750469
2025-02-03,DECK_price,2025-02-04,-0.012284717,-0.08144295,-0.05021791,0.022391513,0.043905415,-0.006703537715628434,-1,0.006703537715628434,0.9207860880599639,0.8967340642005607
2025-02-04,DECK_price,2025-02-05,0.011899077,-0.057356443,-0.026635978,0.034506112,0.06465878,0.017719236104738103,1,0.017719236104738103,0.9372471219403821,0.9127651163677707
2025-02-05,DECK_price,2025-02-06,-0.002545381,-0.057915468,-0.037889257,0.021660406,0.053837936,-0.0019146640680059081,-1,0.0019146640680059081,0.9390433543697086,0.9110191498000415
2025-02-06,DECK_price,2025-02-07,0.0040037823,-0.048252314,-0.029390512,0.023942338,0.05728465,-0.02320696843144943,1,-0.02320696843144943,0.9175019272750105,0.8901205911701647
2025-02-07,DECK_price,2025-02-10,0.0066204965,-0.049443267,-0.026712809,0.030096643,0.0717067,-0.03995809763136103,1,-0.03995809763136103,0.8815631009358497,0.8552542999984546
2025-02-10,DECK_price,2025-02-11,-0.011936378,-0.0686945,-0.04634562,0.013792384,0.039789155,-0.02511951795884747,-1,0.02511951795884747,0.9039880134318474,0.8340383075800583
2025-02-11,DECK_price,2025-02-12,0.010296291,-0.029199354,-0.016258102,0.027615996,0.050310776,-0.023166567743730146,1,-0.023166567743730146,0.883286432025639,0.8149385942390399
2025-02-12,DECK_price,2025-02-13,0.01744726,-0.049783878,-0.025147911,0.06894726,0.096581414,0.026143616471084426,1,0.026143616471084426,0.9066832397161598,0.8365249798979569
2025-02-13,DECK_price,2025-02-14,0.0018082988,-0.054354735,-0.031427987,0.042761758,0.061627626,-0.0194143220746005,1,-0.0194143220746005,0.8892503705064572,0.8204410490096177
2025-02-14,DECK_price,2025-02-18,-0.001770379,-0.050381243,-0.03370502,0.028506389,0.047140554,0.004953141287312579,-1,-0.004953141287312579,0.8848566780540458,0.8245148902701137
2025-02-18,DECK_price,2025-02-19,0.005169538,-0.04525272,-0.028477423,0.04459567,0.06602244,-0.021337385227416832,1,-0.021337385227416832,0.8661761557337319,0.8071082647756953
2025-02-19,DECK_price,2025-02-20,-0.0010504834,-0.0651823,-0.039043404,0.04024356,0.06311134,-0.01672378414688056,-1,0.01672378414688056,0.8807837050888326,0.7937226018206437
2025-02-20,DECK_price,2025-02-21,0.0008115079,-0.050208412,-0.026658453,0.03725858,0.06436946,-0.023265467010767128,1,-0.023265467010767128,0.8605283990757816,0.7754694324029252
2025-02-21,DECK_price,2025-02-24,0.0070009027,-0.030168716,-0.016148597,0.031390887,0.045871973,-0.04507534727062712,1,-0.04507534727062712,0.8226009994870911,0.7412909682602553
2025-02-24,DECK_price,2025-02-25,-0.005826127,-0.051153228,-0.02793027,0.039894078,0.064084664,0.018947139683662132,-1,-0.018947139683662132,0.8071617897569101,0.7554702156866057
2025-02-25,DECK_price,2025-02-26,-0.012516443,-0.05385214,-0.037953798,0.022768421,0.04518698,0.01515186046015694,-1,-0.01515186046015694,0.7950239744065938,0.7670041546316695
2025-02-26,DECK_price,2025-02-27,0.0042865407,-0.051916517,-0.029610833,0.045931887,0.06835863,-0.04572867236386665,1,-0.04572867236386665,0.759487298445594,0.7327199330467411
2025-02-27,DECK_price,2025-02-28,0.0041453317,-0.04997231,-0.032270487,0.03986388,0.056118663,0.006262356964544128,1,0.006262356964544128,0.7642584026047761,0.7373228844420177
2025-02-28,DECK_price,2025-03-03,0.0070000514,-0.04562935,-0.026132466,0.041986648,0.05881396,-0.01532925946765027,1,-0.01532925946765027,0.7526322252605196,0.7261064600163452
