number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
40,0.75,2026-02-23 13:51:06.556081,2026-02-23 13:51:56.279408,0 days 00:00:49.723327,0.07137710076439627,5,128,60,0.0005353116729225911,64,4,16,2,COMPLETE
30,0.6785714285714286,2026-02-23 13:43:36.245037,2026-02-23 13:44:21.129320,0 days 00:00:44.884283,0.01611812341350701,4,128,50,0.0003933801415900296,256,4,16,2,COMPLETE
33,0.6785714285714286,2026-02-23 13:45:54.599160,2026-02-23 13:46:38.514755,0 days 00:00:43.915595,0.0318779873561752,4,128,50,0.0005591208051706921,256,4,16,2,COMPLETE
32,0.6666666666666666,2026-02-23 13:45:09.742082,2026-02-23 13:45:54.599094,0 days 00:00:44.857012,0.03774231447507903,4,128,50,0.0005232162077014179,256,4,16,2,COMPLETE
48,0.6666666666666666,2026-02-23 13:57:23.214179,2026-02-23 13:58:12.581945,0 days 00:00:49.367766,0.03329593534929216,5,128,60,0.0006517815037949176,512,4,16,8,COMPLETE
34,0.6458333333333334,2026-02-23 13:46:38.514818,2026-02-23 13:47:22.919859,0 days 00:00:44.405041,0.040460777048359646,4,128,50,0.0005726366987397701,256,4,16,2,COMPLETE
49,0.625,2026-02-23 13:58:12.582011,2026-02-23 13:59:01.163347,0 days 00:00:48.581336,0.0823582294281471,5,128,60,0.0006855809935505056,512,4,16,8,COMPLETE
41,0.625,2026-02-23 13:51:56.279473,2026-02-23 13:52:46.445398,0 days 00:00:50.165925,0.04433667727376485,5,128,60,0.0005378665381467683,64,4,16,2,COMPLETE
35,0.625,2026-02-23 13:47:22.919932,2026-02-23 13:48:06.967952,0 days 00:00:44.048020,0.02248088104604922,4,128,50,0.0006328749665942394,256,4,16,2,COMPLETE
29,0.5833333333333333,2026-02-23 13:42:58.801699,2026-02-23 13:43:36.244972,0 days 00:00:37.443273,0.04034291770568961,3,128,70,0.000403978214353183,256,4,16,2,COMPLETE
47,0.5208333333333334,2026-02-23 13:56:39.079715,2026-02-23 13:57:23.214116,0 days 00:00:44.134401,0.014600795316010193,4,128,50,0.0008252351640227808,256,4,16,2,COMPLETE
2,0.5,2026-02-23 13:26:58.207968,2026-02-23 13:27:29.626248,0 days 00:00:31.418280,0.09567268745093134,2,64,110,0.00015050951262022226,128,4,16,4,COMPLETE
4,0.5,2026-02-23 13:27:58.490497,2026-02-23 13:28:41.451103,0 days 00:00:42.960606,0.2163832668258607,4,32,140,0.0005250942367088603,64,4,16,4,COMPLETE
5,0.5,2026-02-23 13:28:41.451172,2026-02-23 13:29:18.969838,0 days 00:00:37.518666,0.11982638034333079,3,64,130,0.000627646800466048,64,8,16,8,COMPLETE
6,0.5,2026-02-23 13:29:18.969897,2026-02-23 13:30:02.277137,0 days 00:00:43.307240,0.056010759680986774,4,64,30,0.00013895607407906388,128,2,8,4,COMPLETE
3,0.5,2026-02-23 13:27:29.626311,2026-02-23 13:27:58.490451,0 days 00:00:28.864140,0.03934172619369351,2,32,70,0.00032826239531400674,128,2,4,8,COMPLETE
0,0.5,2026-02-23 13:25:55.524968,2026-02-23 13:26:26.732724,0 days 00:00:31.207756,0.14763428717536634,2,32,90,0.0002847410193098168,32,8,4,2,COMPLETE
1,0.5,2026-02-23 13:26:26.732801,2026-02-23 13:26:58.207901,0 days 00:00:31.475100,0.10771979490018879,2,128,50,0.00012304808819061793,256,2,8,4,COMPLETE
17,0.5,2026-02-23 13:36:33.978761,2026-02-23 13:37:02.487069,0 days 00:00:28.508308,0.09848684721775815,1,128,80,0.0002702074526173731,256,2,8,2,COMPLETE
16,0.5,2026-02-23 13:35:48.492339,2026-02-23 13:36:33.978696,0 days 00:00:45.486357,0.15865820705464134,2,128,110,0.0001651771854162701,32,8,4,2,COMPLETE
15,0.5,2026-02-23 13:35:09.952896,2026-02-23 13:35:48.492263,0 days 00:00:38.539367,0.14781045683683344,3,32,60,0.00010253918448697022,512,2,8,4,COMPLETE
14,0.5,2026-02-23 13:34:41.885354,2026-02-23 13:35:09.952833,0 days 00:00:28.067479,0.24984178867602075,1,128,90,0.0004463061743988936,32,8,4,8,COMPLETE
13,0.5,2026-02-23 13:34:09.691783,2026-02-23 13:34:41.885294,0 days 00:00:32.193511,0.07174135463736629,2,32,20,0.00023076686249686771,256,2,4,2,COMPLETE
12,0.5,2026-02-23 13:33:30.894541,2026-02-23 13:34:09.691721,0 days 00:00:38.797180,0.15100446462767983,3,128,50,0.00010354604361268065,256,8,8,2,COMPLETE
11,0.5,2026-02-23 13:33:02.695241,2026-02-23 13:33:30.894496,0 days 00:00:28.199255,0.011031847691498148,1,128,40,0.0002280874270223453,512,8,8,2,COMPLETE
10,0.5,2026-02-23 13:32:33.090233,2026-02-23 13:33:02.695191,0 days 00:00:29.604958,0.18423748815190322,1,32,100,0.00020720244143574378,32,8,4,2,COMPLETE
9,0.5,2026-02-23 13:31:50.362465,2026-02-23 13:32:33.090152,0 days 00:00:42.727687,0.19033840463347712,4,128,60,0.0003545577966826525,128,2,4,4,COMPLETE
8,0.5,2026-02-23 13:31:19.021381,2026-02-23 13:31:50.362402,0 days 00:00:31.341021,0.1219903762559712,2,32,80,0.0008739468744865843,32,4,16,4,COMPLETE
7,0.5,2026-02-23 13:30:02.277218,2026-02-23 13:31:19.021318,0 days 00:01:16.744100,0.26926216102145967,5,128,130,0.0007790052013492818,256,2,8,2,COMPLETE
25,0.5,2026-02-23 13:40:51.505815,2026-02-23 13:41:22.876946,0 days 00:00:31.371131,0.03379387823636454,2,64,110,0.00011982534803348651,128,4,16,4,COMPLETE
18,0.5,2026-02-23 13:37:02.487130,2026-02-23 13:37:34.586383,0 days 00:00:32.099253,0.19970752986259688,2,32,40,0.0004424584368108237,32,8,4,4,COMPLETE
19,0.5,2026-02-23 13:37:34.586447,2026-02-23 13:38:13.174258,0 days 00:00:38.587811,0.22590201073255026,3,64,60,0.00017825351601635577,256,4,8,8,COMPLETE
20,0.5,2026-02-23 13:38:13.174333,2026-02-23 13:38:52.000919,0 days 00:00:38.826586,0.2932958640491724,3,32,90,0.00013192991444416446,64,8,4,2,COMPLETE
21,0.5,2026-02-23 13:38:52.001012,2026-02-23 13:39:23.852499,0 days 00:00:31.851487,0.09623875977229185,2,64,100,0.00014857112439468144,128,4,16,4,COMPLETE
42,0.5,2026-02-23 13:52:46.445476,2026-02-23 13:53:36.611721,0 days 00:00:50.166245,0.07189910141644942,5,128,70,0.0006930001298895654,64,4,16,2,COMPLETE
26,0.5,2026-02-23 13:41:22.877025,2026-02-23 13:41:50.429474,0 days 00:00:27.552449,0.13169891897493258,1,128,90,0.00015214834261391815,32,2,8,4,COMPLETE
27,0.5,2026-02-23 13:41:50.429519,2026-02-23 13:42:27.029276,0 days 00:00:36.599757,0.07522178841588743,3,64,70,0.00027805610275429736,128,8,4,4,COMPLETE
