number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
43,0.775,2026-02-23 05:02:32.873299,2026-02-23 05:03:10.620115,0 days 00:00:37.746816,0.06795501442539159,1,64,140,0.000316085961961076,256,4,16,8,COMPLETE
7,0.75,2026-02-23 04:42:53.110158,2026-02-23 04:43:54.310214,0 days 00:01:01.200056,0.14979199024274695,5,128,40,0.00032109791310103283,32,2,8,4,COMPLETE
47,0.6666666666666666,2026-02-23 05:04:17.448401,2026-02-23 05:04:48.003549,0 days 00:00:30.555148,0.06329290502281341,1,128,130,0.0003029063730798956,64,4,16,8,COMPLETE
45,0.6416666666666666,2026-02-23 05:03:31.422886,2026-02-23 05:04:02.135011,0 days 00:00:30.712125,0.019565663014899808,1,128,130,0.0003307625832004902,64,4,16,8,COMPLETE
12,0.625,2026-02-23 04:45:24.533502,2026-02-23 04:46:26.013884,0 days 00:01:01.480382,0.19725178066594926,3,32,90,0.0005324186089046526,32,4,8,8,COMPLETE
41,0.625,2026-02-23 05:01:32.145175,2026-02-23 05:02:02.380394,0 days 00:00:30.235219,0.09816238976454972,1,64,140,0.0003958038307316923,256,4,16,8,COMPLETE
30,0.625,2026-02-23 04:55:32.764080,2026-02-23 04:56:04.182732,0 days 00:00:31.418652,0.09173002595857888,1,64,140,0.00039491456163101536,256,4,16,8,COMPLETE
29,0.625,2026-02-23 04:54:33.157984,2026-02-23 04:55:32.764009,0 days 00:00:59.606025,0.13372365130311972,5,128,30,0.0005065288865219088,32,2,4,4,COMPLETE
33,0.625,2026-02-23 04:57:03.902245,2026-02-23 04:57:54.919521,0 days 00:00:51.017276,0.14417688532384823,4,128,40,0.000482207307041274,32,2,4,4,COMPLETE
0,0.625,2026-02-23 04:37:47.069214,2026-02-23 04:38:17.300843,0 days 00:00:30.231629,0.09038814791929387,1,32,70,0.0004406999274472198,64,4,8,8,COMPLETE
42,0.625,2026-02-23 05:02:02.380468,2026-02-23 05:02:32.873224,0 days 00:00:30.492756,0.08618500151943627,1,64,130,0.0003893393259137253,256,4,16,8,COMPLETE
19,0.6071428571428571,2026-02-23 04:49:34.880386,2026-02-23 04:50:35.588534,0 days 00:01:00.708148,0.038701024129637204,5,64,80,0.00016663631744803412,512,8,4,2,COMPLETE
48,0.5833333333333334,2026-02-23 05:04:48.003610,2026-02-23 05:05:18.459285,0 days 00:00:30.455675,0.06553006756091621,1,128,120,0.00020797457011596449,64,4,16,8,COMPLETE
39,0.5416666666666666,2026-02-23 05:00:02.979948,2026-02-23 05:01:01.609199,0 days 00:00:58.629251,0.2354151464947617,4,64,120,0.00036170563429870696,512,4,16,2,COMPLETE
5,0.511904761904762,2026-02-23 04:41:39.497239,2026-02-23 04:42:22.617240,0 days 00:00:43.120001,0.1533325720321756,2,128,130,0.00048763204263306363,128,4,16,2,COMPLETE
9,0.5,2026-02-23 04:44:10.590927,2026-02-23 04:44:40.516966,0 days 00:00:29.926039,0.2501791678417933,5,32,30,0.00036208644653284365,256,2,8,4,PRUNED
1,0.5,2026-02-23 04:38:17.300905,2026-02-23 04:39:07.508638,0 days 00:00:50.207733,0.13063202337253638,4,64,120,0.0008226020589537879,32,4,16,8,COMPLETE
8,0.5,2026-02-23 04:43:54.310288,2026-02-23 04:44:10.590879,0 days 00:00:16.280591,0.276598970337995,1,128,20,0.0002551247817415835,64,4,16,2,PRUNED
40,0.5,2026-02-23 05:01:01.609280,2026-02-23 05:01:32.145132,0 days 00:00:30.535852,0.26755478775019004,5,32,110,0.00028528085025100915,256,2,8,4,PRUNED
32,0.5,2026-02-23 04:56:33.881882,2026-02-23 04:57:03.902207,0 days 00:00:30.020325,0.12718269734723212,5,128,30,0.0006605654302341212,32,2,4,4,PRUNED
27,0.5,2026-02-23 04:53:18.355590,2026-02-23 04:53:38.844338,0 days 00:00:20.488748,0.12553724225345658,2,32,110,0.00022706985333436648,32,4,8,8,PRUNED
31,0.5,2026-02-23 04:56:04.182793,2026-02-23 04:56:33.881812,0 days 00:00:29.699019,0.14001706072989117,5,128,30,0.0005030191979683856,32,2,4,4,PRUNED
14,0.5,2026-02-23 04:47:11.137629,2026-02-23 04:48:07.983524,0 days 00:00:56.845895,0.0071881659291280625,4,64,90,0.00017948620056520048,64,8,8,2,COMPLETE
17,0.5,2026-02-23 04:48:52.449745,2026-02-23 04:49:11.028382,0 days 00:00:18.578637,0.04888468740878005,2,32,60,0.0006731982459375662,32,2,8,8,PRUNED
15,0.5,2026-02-23 04:48:07.983587,2026-02-23 04:48:33.706065,0 days 00:00:25.722478,0.11155035925556613,4,32,50,0.0004630937273724445,32,4,4,8,PRUNED
16,0.5,2026-02-23 04:48:33.706110,2026-02-23 04:48:52.449687,0 days 00:00:18.743577,0.17764501293972,2,128,100,0.0004098802892761685,64,2,8,4,PRUNED
2,0.5,2026-02-23 04:39:07.508711,2026-02-23 04:39:39.875845,0 days 00:00:32.367134,0.13896920350194036,1,32,130,0.0002504422779856382,256,4,4,8,COMPLETE
10,0.5,2026-02-23 04:44:40.517028,2026-02-23 04:45:02.693417,0 days 00:00:22.176389,0.2164669674618639,3,128,70,0.00013212559768799716,32,2,8,4,PRUNED
11,0.5,2026-02-23 04:45:02.693455,2026-02-23 04:45:24.533466,0 days 00:00:21.840011,0.06591544090479416,3,128,70,0.0005677562148702772,64,2,8,4,PRUNED
28,0.5,2026-02-23 04:53:38.844381,2026-02-23 04:54:33.157893,0 days 00:00:54.313512,0.2041168444574823,4,64,80,0.00028939755333667574,64,8,16,2,COMPLETE
24,0.5,2026-02-23 04:52:09.446382,2026-02-23 04:52:35.485962,0 days 00:00:26.039580,0.23273107114026917,4,32,100,0.000564178392959854,32,4,8,8,PRUNED
18,0.5,2026-02-23 04:49:11.028441,2026-02-23 04:49:34.880341,0 days 00:00:23.851900,0.11028139033133819,4,128,20,0.0002843608525482767,256,4,16,4,PRUNED
21,0.5,2026-02-23 04:51:06.479366,2026-02-23 04:51:28.698870,0 days 00:00:22.219504,0.19545482697251898,3,32,100,0.0005834163756952977,32,4,8,8,PRUNED
22,0.5,2026-02-23 04:51:28.698910,2026-02-23 04:51:50.889483,0 days 00:00:22.190573,0.21618265554770094,3,32,90,0.0004271957366336764,32,4,8,8,PRUNED
35,0.5,2026-02-23 04:58:24.443882,2026-02-23 04:58:53.445749,0 days 00:00:29.001867,0.09484043967797694,5,128,40,0.0005257843373068998,32,2,4,4,PRUNED
38,0.5,2026-02-23 04:59:47.087591,2026-02-23 05:00:02.979910,0 days 00:00:15.892319,0.12670565617375654,1,128,30,0.0006243978507819335,64,2,4,8,PRUNED
36,0.5,2026-02-23 04:58:53.445803,2026-02-23 04:59:17.526686,0 days 00:00:24.080883,0.164273926509806,4,32,90,0.0009995702973573243,32,4,4,8,PRUNED
37,0.5,2026-02-23 04:59:17.526735,2026-02-23 04:59:47.087553,0 days 00:00:29.560818,0.14841360068383405,5,32,20,0.00044417749739331645,128,8,8,4,PRUNED
26,0.5,2026-02-23 04:52:57.616032,2026-02-23 04:53:18.355548,0 days 00:00:20.739516,0.1596028063719269,3,32,50,0.0007063056531396976,32,4,8,8,PRUNED
23,0.5,2026-02-23 04:51:50.889537,2026-02-23 04:52:09.446342,0 days 00:00:18.556805,0.10958955276004245,2,32,80,0.00032014241845470495,32,4,8,8,PRUNED
25,0.5,2026-02-23 04:52:35.486010,2026-02-23 04:52:57.615993,0 days 00:00:22.129983,0.18231255108748193,3,32,70,0.0003636450475592154,64,4,8,4,PRUNED
34,0.5,2026-02-23 04:57:54.919590,2026-02-23 04:58:24.443839,0 days 00:00:29.524249,0.18582697709938512,5,128,60,0.0007642103340753871,512,2,4,4,PRUNED
