cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,GS_price,2025-01-03,0.004994735,-0.03395839,-0.012405744,0.02918965,0.037462056,0.008934392872441027,1,0.008934392872441027,1.0089744236886398,1.0089744236886398
2024-12-23,GS_price,2025-01-03,0.004075077,-0.025591189,-0.012019882,0.023873536,0.034113817,0.008934392872441027,1,0.008934392872441027,1.0180293876578228,1.0180293876578228
2024-12-24,GS_price,2025-01-03,0.008422187,-0.029601177,-0.014376191,0.034783237,0.051205114,0.008934392872441027,1,0.008934392872441027,1.0271656147101504,1.0271656147101504
2024-12-26,GS_price,2025-01-03,-0.0072289314,-0.049774356,-0.030995637,0.017238595,0.038843323,0.008934392872441027,-1,-0.008934392872441027,1.0180293876578228,1.0363838341349616
2024-12-27,GS_price,2025-01-03,-0.010225339,-0.03667897,-0.027805302,0.023277625,0.03798824,0.008934392872441027,-1,-0.008934392872441027,1.0089744236886398,1.0456847817665456
2024-12-30,GS_price,2025-01-03,-0.004182593,-0.031529564,-0.021304015,0.009179971,0.029380675,0.008934392872441027,-1,-0.008934392872441027,1.0,1.0550692000428814
2024-12-31,GS_price,2025-01-03,0.00047203898,-0.029793872,-0.019150876,0.021948325,0.03473009,0.008934392872441027,1,0.008934392872441027,1.0089744236886398,1.0645378380649004
2025-01-03,GS_price,2025-01-06,-0.0061391657,-0.032091532,-0.020024661,0.015194556,0.024814032,0.00560374234619583,-1,-0.00560374234619583,1.003336203305787,1.0705199793622242
2025-01-06,GS_price,2025-01-07,-0.010349844,-0.043903816,-0.030046739,0.012449747,0.025626207,-0.005621134262948715,-1,0.005621134262948715,1.0089919718404199,1.0645193238724397
2025-01-07,GS_price,2025-01-08,0.0028575119,-0.03054047,-0.014988444,0.024135273,0.03915182,-0.000172217773450159,1,-0.000172217773450159,1.0088182204515685,1.0643360105100503
2025-01-08,GS_price,2025-01-10,0.00860764,-0.026990602,-0.011078901,0.023799544,0.038495075,-0.035125964812509416,1,-0.035125964812509416,0.9739976405295804,1.0275991669772024
2025-01-10,GS_price,2025-01-13,-0.011605673,-0.039907437,-0.019493137,0.019999139,0.046396904,0.005254125921043591,-1,-0.005254125921043591,0.9688935547759449,1.0330125111394814
