number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
20,0.625,2026-02-22 12:56:54.601044,2026-02-22 12:57:31.290640,0 days 00:00:36.689596,0.14066122429694353,2,128,50,0.0005627282533477507,32,2,16,4,COMPLETE
21,0.625,2026-02-22 12:57:31.290718,2026-02-22 12:58:07.237712,0 days 00:00:35.946994,0.13952217884304782,2,128,50,0.0005873872518968333,32,2,16,4,COMPLETE
43,0.625,2026-02-22 13:09:18.374959,2026-02-22 13:10:01.188471,0 days 00:00:42.813512,0.015840762889745855,3,64,100,0.00014802760326149738,512,4,8,2,COMPLETE
2,0.5,2026-02-22 12:46:04.046586,2026-02-22 12:46:34.284726,0 days 00:00:30.238140,0.016868891563422615,2,64,20,0.00012865784597756107,512,4,8,2,COMPLETE
4,0.5,2026-02-22 12:47:13.781450,2026-02-22 12:47:51.324553,0 days 00:00:37.543103,0.1720425946190944,3,32,70,0.00028066562453175534,512,4,4,2,COMPLETE
5,0.5,2026-02-22 12:47:51.324671,2026-02-22 12:48:15.625894,0 days 00:00:24.301223,0.12037357510676255,1,32,70,0.0001545457847242616,256,8,8,4,COMPLETE
6,0.5,2026-02-22 12:48:15.625965,2026-02-22 12:48:41.690832,0 days 00:00:26.064867,0.05757104882777538,1,64,130,0.0006137501817285622,128,4,16,8,COMPLETE
3,0.5,2026-02-22 12:46:34.284794,2026-02-22 12:47:13.781325,0 days 00:00:39.496531,0.24074210779086014,3,64,70,0.00042892291256646926,32,8,16,2,COMPLETE
8,0.5,2026-02-22 12:49:05.602035,2026-02-22 12:49:41.174584,0 days 00:00:35.572549,0.24566059259205614,3,128,20,0.00043582790224295137,64,8,4,4,COMPLETE
9,0.5,2026-02-22 12:49:41.174648,2026-02-22 12:50:05.702845,0 days 00:00:24.528197,0.29844084899367657,1,128,50,0.00027659598548510707,512,2,8,4,COMPLETE
10,0.5,2026-02-22 12:50:05.702925,2026-02-22 12:50:53.684394,0 days 00:00:47.981469,0.06495492072137546,5,32,100,0.0008120399807122445,128,2,16,4,COMPLETE
11,0.5,2026-02-22 12:50:53.684465,2026-02-22 12:51:28.810530,0 days 00:00:35.126065,0.10552507928076905,2,128,110,0.00018537551717076137,128,2,4,4,COMPLETE
