number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
13,0.625,2026-02-24 20:57:27.050887,2026-02-24 20:57:57.615942,0 days 00:00:30.565055,0.08986661588233998,1,128,120,0.0007117877583065606,32,4,4,2,COMPLETE
5,0.625,2026-02-24 20:52:20.200006,2026-02-24 20:52:50.771896,0 days 00:00:30.571890,0.14222338571785784,1,32,100,0.0009146043533026276,512,2,4,4,COMPLETE
15,0.625,2026-02-24 20:58:37.921306,2026-02-24 20:59:07.105469,0 days 00:00:29.184163,0.03734030973655176,1,128,90,0.0007965860383613777,32,2,4,2,COMPLETE
41,0.625,2026-02-24 21:13:10.800799,2026-02-24 21:13:39.552666,0 days 00:00:28.751867,0.018529847456603816,1,32,110,0.0005372013358125351,64,2,4,4,COMPLETE
46,0.625,2026-02-24 21:15:39.118456,2026-02-24 21:16:09.194059,0 days 00:00:30.075603,0.27761539926053125,1,32,130,0.0009092615756474907,128,2,8,2,COMPLETE
42,0.625,2026-02-24 21:13:39.552728,2026-02-24 21:14:07.851516,0 days 00:00:28.298788,0.045115671043734096,1,32,120,0.0005230108166525659,64,2,4,4,COMPLETE
35,0.625,2026-02-24 21:10:27.335702,2026-02-24 21:10:51.613008,0 days 00:00:24.277306,0.032138165844279656,1,32,120,0.0008702638811342525,256,8,16,4,COMPLETE
25,0.625,2026-02-24 21:04:43.962835,2026-02-24 21:05:12.362600,0 days 00:00:28.399765,0.039772696505252586,1,32,110,0.0005552325489072632,64,2,4,4,COMPLETE
31,0.625,2026-02-24 21:08:10.185092,2026-02-24 21:08:39.583785,0 days 00:00:29.398693,0.04011635345376051,1,32,110,0.000532214643223131,64,2,4,4,COMPLETE
0,0.5,2026-02-24 20:48:42.411525,2026-02-24 20:49:11.252575,0 days 00:00:28.841050,0.2918224691880733,1,128,120,0.000655452694079578,128,4,16,2,COMPLETE
9,0.5,2026-02-24 20:55:02.938401,2026-02-24 20:55:32.315856,0 days 00:00:29.377455,0.1055250598524407,1,32,40,0.0001841643445988016,512,8,4,4,COMPLETE
8,0.5,2026-02-24 20:54:11.148838,2026-02-24 20:55:02.938347,0 days 00:00:51.789509,0.15904392038545306,5,128,60,0.0002233014199522179,64,4,16,8,COMPLETE
1,0.5,2026-02-24 20:49:11.252620,2026-02-24 20:49:55.998538,0 days 00:00:44.745918,0.1719201284389475,4,128,60,0.00022721973183387678,128,8,16,4,COMPLETE
2,0.5,2026-02-24 20:49:55.998603,2026-02-24 20:50:35.800979,0 days 00:00:39.802376,0.21631984071660207,3,64,140,0.00011836615144987686,256,4,8,4,COMPLETE
6,0.5,2026-02-24 20:52:50.771956,2026-02-24 20:53:41.148757,0 days 00:00:50.376801,0.12653013366461116,5,32,20,0.0009475992989403751,256,4,8,8,COMPLETE
7,0.5,2026-02-24 20:53:41.148823,2026-02-24 20:54:11.148752,0 days 00:00:29.999929,0.18823631334078458,1,64,60,0.00023198044273044439,64,8,8,8,COMPLETE
3,0.5,2026-02-24 20:50:35.801042,2026-02-24 20:51:25.870917,0 days 00:00:50.069875,0.014690868911466958,5,32,130,0.0005165917349164003,32,8,16,4,COMPLETE
4,0.5,2026-02-24 20:51:25.870985,2026-02-24 20:52:20.199929,0 days 00:00:54.328944,0.2995583857468626,5,128,140,0.0003417035730046803,128,2,8,8,COMPLETE
17,0.5,2026-02-24 20:59:39.752542,2026-02-24 21:00:09.235770,0 days 00:00:29.483228,0.0838716059340485,1,128,80,0.0007588412923401237,32,4,4,2,COMPLETE
