number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
44,0.625,2026-02-22 08:57:54.593795,2026-02-22 08:58:38.944541,0 days 00:00:44.350746,0.07893031016091892,5,128,30,0.00020049673771202104,512,2,4,8,COMPLETE
45,0.625,2026-02-22 08:58:38.944606,2026-02-22 08:59:23.983846,0 days 00:00:45.039240,0.08051627026217137,5,128,30,0.0001962112396143053,512,2,4,8,COMPLETE
36,0.625,2026-02-22 08:52:19.298757,2026-02-22 08:53:00.194120,0 days 00:00:40.895363,0.06869521431642099,4,128,50,0.00037368683607270724,512,4,4,8,COMPLETE
2,0.5,2026-02-22 08:32:34.937482,2026-02-22 08:33:10.026711,0 days 00:00:35.089229,0.10022872491357028,3,64,130,0.000130834796818679,64,8,16,8,COMPLETE
7,0.5,2026-02-22 08:35:10.444587,2026-02-22 08:35:40.209675,0 days 00:00:29.765088,0.18211633338737024,2,64,70,0.0006091691229730448,256,8,16,2,COMPLETE
6,0.5,2026-02-22 08:34:40.892230,2026-02-22 08:35:10.444518,0 days 00:00:29.552288,0.21271897424317504,2,32,40,0.00013153254361048428,128,4,4,8,COMPLETE
8,0.5,2026-02-22 08:35:40.209770,2026-02-22 08:36:14.975838,0 days 00:00:34.766068,0.2388708586464083,3,128,50,0.00038250625682246934,512,8,4,8,COMPLETE
3,0.5,2026-02-22 08:33:10.026775,2026-02-22 08:33:35.505226,0 days 00:00:25.478451,0.12590005663484263,1,128,90,0.0008879997835791294,256,4,8,4,COMPLETE
11,0.5,2026-02-22 08:37:54.844273,2026-02-22 08:38:38.718343,0 days 00:00:43.874070,0.152248785995782,5,64,110,0.00021828933066178122,32,2,8,8,COMPLETE
10,0.5,2026-02-22 08:36:55.157696,2026-02-22 08:37:54.844210,0 days 00:00:59.686514,0.29310655681258346,5,128,120,0.0002260414713781328,128,2,8,2,COMPLETE
14,0.5,2026-02-22 08:39:49.543092,2026-02-22 08:40:25.301756,0 days 00:00:35.758664,0.21247146281889023,3,32,60,0.0002949678076097467,32,2,8,8,COMPLETE
16,0.5,2026-02-22 08:41:11.442786,2026-02-22 08:41:55.036371,0 days 00:00:43.593585,0.045857829784035964,4,64,20,0.0001643669722777332,128,4,8,8,COMPLETE
12,0.5,2026-02-22 08:38:38.718414,2026-02-22 08:39:19.978672,0 days 00:00:41.260258,0.16373007500983744,4,128,90,0.0002132482372549173,32,8,8,8,COMPLETE
13,0.5,2026-02-22 08:39:19.978757,2026-02-22 08:39:49.543026,0 days 00:00:29.564269,0.08737103518559665,2,64,140,0.00010390609026616217,128,4,8,8,COMPLETE
17,0.5,2026-02-22 08:41:55.036436,2026-02-22 08:42:25.102778,0 days 00:00:30.066342,0.27102760309795404,2,128,110,0.000296554247252833,32,8,8,8,COMPLETE
9,0.5,2026-02-22 08:36:14.975909,2026-02-22 08:36:55.157629,0 days 00:00:40.181720,0.02229533578735037,4,32,30,0.0009157074794849846,64,8,4,8,COMPLETE
0,0.5,2026-02-22 08:31:15.227809,2026-02-22 08:32:00.283300,0 days 00:00:45.055491,0.14350048523495107,5,128,110,0.00026813003597692727,128,8,8,8,COMPLETE
1,0.5,2026-02-22 08:32:00.283373,2026-02-22 08:32:34.937382,0 days 00:00:34.654009,0.16037080745013702,3,64,60,0.000139762476725897,32,4,8,8,COMPLETE
41,0.5,2026-02-22 08:55:53.821182,2026-02-22 08:56:38.439208,0 days 00:00:44.618026,0.09890822120476288,5,128,110,0.00013876715850932145,64,4,4,8,COMPLETE
40,0.5,2026-02-22 08:55:12.410169,2026-02-22 08:55:53.821113,0 days 00:00:41.410944,0.08331832679272755,4,64,70,0.00034807708137950504,512,4,4,8,COMPLETE
