number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
7,0.625,2026-02-23 16:23:25.546646,2026-02-23 16:24:05.996573,0 days 00:00:40.449927,0.08358228273374226,3,64,120,0.00035492081124208343,128,4,8,2,COMPLETE
3,0.625,2026-02-23 16:20:30.183375,2026-02-23 16:21:17.489202,0 days 00:00:47.305827,0.20467884700908737,3,32,120,0.0006199178632726163,512,2,8,2,COMPLETE
13,0.625,2026-02-23 16:27:42.506528,2026-02-23 16:28:16.421995,0 days 00:00:33.915467,0.048806633093740656,2,64,140,0.000878345566394299,256,2,8,2,COMPLETE
10,0.625,2026-02-23 16:25:25.000624,2026-02-23 16:26:15.744112,0 days 00:00:50.743488,0.010068476540977644,5,32,140,0.000982419964499682,256,2,4,4,COMPLETE
41,0.625,2026-02-23 16:44:52.285963,2026-02-23 16:45:20.225984,0 days 00:00:27.940021,0.02572649604581063,1,64,140,0.0008661730724193166,256,2,8,2,COMPLETE
47,0.625,2026-02-23 16:48:17.839957,2026-02-23 16:48:49.625775,0 days 00:00:31.785818,0.07998023238699076,2,64,70,0.0005557299507216171,64,4,4,2,COMPLETE
34,0.625,2026-02-23 16:40:37.130055,2026-02-23 16:41:04.491644,0 days 00:00:27.361589,0.04492848701958321,1,64,50,0.0008288034884346995,256,2,8,2,COMPLETE
37,0.625,2026-02-23 16:42:46.315644,2026-02-23 16:43:12.826979,0 days 00:00:26.511335,0.07512843493207888,2,64,140,0.0008671412405748669,128,8,8,8,COMPLETE
32,0.625,2026-02-23 16:39:29.643081,2026-02-23 16:40:04.270902,0 days 00:00:34.627821,0.050306577230170436,2,64,140,0.0009157367814825539,256,2,8,2,COMPLETE
31,0.625,2026-02-23 16:39:00.937484,2026-02-23 16:39:29.643016,0 days 00:00:28.705532,0.029063567035954363,1,64,140,0.0008802551533728987,256,2,8,2,COMPLETE
21,0.5416666666666666,2026-02-23 16:32:30.841609,2026-02-23 16:33:18.186906,0 days 00:00:47.345297,0.0012859248037222788,5,32,140,0.0009634258366917851,256,2,4,4,COMPLETE
19,0.5416666666666666,2026-02-23 16:30:54.834394,2026-02-23 16:31:33.181087,0 days 00:00:38.346693,0.0012742089463822492,3,128,80,0.0004261836863754235,64,8,4,4,COMPLETE
1,0.5,2026-02-23 16:19:15.237204,2026-02-23 16:20:01.261796,0 days 00:00:46.024592,0.22333866271773542,4,128,50,0.00028068312318837643,32,4,8,2,COMPLETE
0,0.5,2026-02-23 16:18:39.123434,2026-02-23 16:19:15.237132,0 days 00:00:36.113698,0.264877490679971,2,64,130,0.00013578141426572534,32,4,16,2,COMPLETE
5,0.5,2026-02-23 16:22:02.797698,2026-02-23 16:22:46.276958,0 days 00:00:43.479260,0.22211606098954204,4,32,120,0.0003537304568406471,128,4,16,2,COMPLETE
6,0.5,2026-02-23 16:22:46.277019,2026-02-23 16:23:25.546583,0 days 00:00:39.269564,0.07752303092289588,3,128,70,0.00011332908291389374,512,8,16,8,COMPLETE
4,0.5,2026-02-23 16:21:17.489270,2026-02-23 16:22:02.797622,0 days 00:00:45.308352,0.23215170952144923,4,32,80,0.0001013807009325149,128,8,8,4,COMPLETE
2,0.5,2026-02-23 16:20:01.261866,2026-02-23 16:20:30.183314,0 days 00:00:28.921448,0.25868197291282763,1,32,30,0.0006616766352557091,32,2,8,8,COMPLETE
48,0.5,2026-02-23 16:48:49.625847,2026-02-23 16:49:21.473497,0 days 00:00:31.847650,0.10989136839553018,2,32,130,0.0006994674843906246,128,2,8,2,COMPLETE
17,0.5,2026-02-23 16:29:45.054735,2026-02-23 16:30:22.684954,0 days 00:00:37.630219,0.06631992913951928,3,32,20,0.0006953563939856538,128,4,8,2,COMPLETE
15,0.5,2026-02-23 16:28:36.879203,2026-02-23 16:29:17.218679,0 days 00:00:40.339476,0.29377711190879907,5,32,120,0.0003797677108094777,512,2,8,4,COMPLETE
14,0.5,2026-02-23 16:28:16.422053,2026-02-23 16:28:36.879154,0 days 00:00:20.457101,0.16424364413000347,1,64,90,0.00019090873146697935,64,4,8,2,COMPLETE
12,0.5,2026-02-23 16:26:54.712663,2026-02-23 16:27:42.506477,0 days 00:00:47.793814,0.1211321944215695,3,64,100,0.0005602430227233333,512,2,4,2,COMPLETE
11,0.5,2026-02-23 16:26:15.744177,2026-02-23 16:26:54.712600,0 days 00:00:38.968423,0.11366495456203354,3,64,110,0.0004719478032927641,128,4,8,2,COMPLETE
8,0.5,2026-02-23 16:24:05.996667,2026-02-23 16:24:39.537877,0 days 00:00:33.541210,0.21406033177739417,2,128,60,0.00014226709023471847,512,8,16,8,COMPLETE
9,0.5,2026-02-23 16:24:39.537941,2026-02-23 16:25:25.000556,0 days 00:00:45.462615,0.1798492391020346,4,32,100,0.00028764470035743224,64,2,8,2,COMPLETE
29,0.5,2026-02-23 16:37:51.843028,2026-02-23 16:38:24.071771,0 days 00:00:32.228743,0.2538761537222387,2,64,130,0.0003281085042756198,32,4,4,4,COMPLETE
27,0.5,2026-02-23 16:36:28.999848,2026-02-23 16:37:06.738984,0 days 00:00:37.739136,0.1596411931886948,3,32,140,0.000586466920170152,256,2,8,2,COMPLETE
26,0.5,2026-02-23 16:35:58.303321,2026-02-23 16:36:28.999796,0 days 00:00:30.696475,0.0971400302786602,3,32,130,0.0005475017962095768,128,2,8,2,COMPLETE
39,0.5,2026-02-23 16:43:49.988453,2026-02-23 16:44:24.540066,0 days 00:00:34.551613,0.2784920015998649,3,128,40,0.00015970002918707147,512,4,8,4,COMPLETE
23,0.5,2026-02-23 16:34:06.785544,2026-02-23 16:34:48.051731,0 days 00:00:41.266187,0.08879091024809821,4,32,110,0.0006416909703731839,256,2,4,4,COMPLETE
24,0.5,2026-02-23 16:34:48.051776,2026-02-23 16:35:17.404626,0 days 00:00:29.352850,0.020364870548065572,3,32,130,0.0007696999414483378,256,2,4,4,COMPLETE
18,0.5,2026-02-23 16:30:22.685028,2026-02-23 16:30:54.834330,0 days 00:00:32.149302,0.1883599181954398,2,64,100,0.0004939442849307656,512,2,8,8,COMPLETE
20,0.5,2026-02-23 16:31:33.181151,2026-02-23 16:32:30.841547,0 days 00:00:57.660396,0.1379187037513504,4,64,130,0.00023196122649966785,256,4,8,2,COMPLETE
40,0.5,2026-02-23 16:44:24.540135,2026-02-23 16:44:52.285871,0 days 00:00:27.745736,0.21011512450142264,1,32,120,0.0009932206125532568,128,2,8,8,COMPLETE
43,0.5,2026-02-23 16:45:46.428433,2026-02-23 16:46:18.865908,0 days 00:00:32.437475,0.019901683977545492,2,64,130,0.0006078078652801179,256,2,8,2,COMPLETE
49,0.5,2026-02-23 16:49:21.473580,2026-02-23 16:49:59.849053,0 days 00:00:38.375473,0.05404907723013938,3,64,90,0.000286149270704985,512,4,8,4,COMPLETE
35,0.5,2026-02-23 16:41:04.491715,2026-02-23 16:41:43.972065,0 days 00:00:39.480350,0.09616570882961703,3,32,130,0.0006389364068631942,32,2,8,2,COMPLETE
38,0.5,2026-02-23 16:43:12.827035,2026-02-23 16:43:49.988400,0 days 00:00:37.161365,0.24470547982751573,4,32,130,0.0002675053934311361,64,2,16,2,COMPLETE
36,0.4583333333333333,2026-02-23 16:41:43.972149,2026-02-23 16:42:46.315573,0 days 00:01:02.343424,0.1415566190564103,4,128,110,0.0004888014330267211,256,4,8,2,COMPLETE
33,0.4375,2026-02-23 16:40:04.271002,2026-02-23 16:40:37.129997,0 days 00:00:32.858995,0.017617382261745584,2,64,120,0.0007189100439780078,32,2,8,2,COMPLETE
16,0.375,2026-02-23 16:29:17.218733,2026-02-23 16:29:45.054672,0 days 00:00:27.835939,0.12134004599672707,2,64,120,0.00021687785236496458,128,4,4,2,COMPLETE
42,0.375,2026-02-23 16:45:20.226032,2026-02-23 16:45:46.428372,0 days 00:00:26.202340,0.039838607152087424,1,64,140,0.0007130814827182978,256,2,8,2,COMPLETE
30,0.375,2026-02-23 16:38:24.071857,2026-02-23 16:39:00.937411,0 days 00:00:36.865554,0.06128342783440871,2,64,90,0.0003994731892186662,512,4,16,2,COMPLETE
22,0.375,2026-02-23 16:33:18.186982,2026-02-23 16:34:06.785475,0 days 00:00:48.598493,0.03426958935343184,5,32,140,0.0008111831699934837,256,2,4,4,COMPLETE
28,0.375,2026-02-23 16:37:06.739045,2026-02-23 16:37:51.842945,0 days 00:00:45.103900,0.19475492545325268,4,128,120,0.0007650287050480077,128,8,16,8,COMPLETE
46,0.375,2026-02-23 16:47:50.877291,2026-02-23 16:48:17.839899,0 days 00:00:26.962608,0.03163359691448804,1,64,100,0.0004444464406457884,256,2,16,2,COMPLETE
44,0.375,2026-02-23 16:46:18.865970,2026-02-23 16:46:46.637426,0 days 00:00:27.771456,0.065837667469271,1,64,120,0.0007803574541919135,256,2,8,2,COMPLETE
45,0.3547008547008547,2026-02-23 16:46:46.637483,2026-02-23 16:47:50.877224,0 days 00:01:04.239741,0.004628358632211385,3,64,110,0.0009210135024581793,512,8,8,2,COMPLETE
25,0.25,2026-02-23 16:35:17.404679,2026-02-23 16:35:58.303258,0 days 00:00:40.898579,0.04921603868920186,5,32,110,0.0009912231682855511,512,2,4,4,COMPLETE
