cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,NVDA_price,2025-01-03,-0.0072899703,-0.04365681,-0.02009133,0.0017377622,0.013790753,0.043574400201068245,-1,-0.043574400201068245,0.9573613235662488,1.044537705236429
2024-12-23,NVDA_price,2025-01-03,0.004992472,-0.03054829,-0.022509404,0.011104442,0.0375264,0.043574400201068245,1,0.043574400201068245,1.0,1.0910590176605852
2024-12-24,NVDA_price,2025-01-03,0.007229542,-0.023102647,-0.021628171,0.009777435,0.038012635,0.043574400201068245,1,0.043574400201068245,1.044537705236429,1.1396522825847002
2024-12-26,NVDA_price,2025-01-03,-0.0034678667,-0.028587554,-0.018632405,0.013776573,0.030086018,0.043574400201068245,-1,-0.043574400201068245,1.0,1.1904097800184812
2024-12-27,NVDA_price,2025-01-03,0.01567681,-0.047838856,-0.007867738,0.0325834,0.04166215,0.043574400201068245,1,0.043574400201068245,1.044537705236429,1.2434278999115067
2024-12-30,NVDA_price,2025-01-03,0.0067844167,-0.041890074,-0.006547706,0.012886179,0.03705224,0.043574400201068245,1,0.043574400201068245,1.0910590176605852,1.2988073252005174
2024-12-31,NVDA_price,2025-01-03,0.017977318,-0.012920836,-0.004712725,0.03996347,0.053101942,0.043574400201068245,1,0.043574400201068245,1.1396522825847002,1.3566532230092128
2025-01-03,NVDA_price,2025-01-06,0.00056730956,-0.058958933,-0.026586734,0.021245329,0.030095601,0.0337561131445502,1,0.0337561131445502,1.1787791847758358,1.403230270039367
2025-01-06,NVDA_price,2025-01-07,0.02990888,-0.03868585,-0.014587745,0.049366035,0.06119906,-0.06418614152068752,1,-0.06418614152068752,1.105494970994327,1.3159920252328938
2025-01-07,NVDA_price,2025-01-08,-0.004278619,-0.045751937,-0.023891393,0.033830434,0.06650902,-0.00021392655407897863,-1,0.00021392655407897863,1.1057314910220786,1.315710529704498
2025-01-08,NVDA_price,2025-01-10,0.0010959078,-0.049260817,-0.03558492,0.041977793,0.04638277,-0.030434930872375286,1,-0.030434930872375286,1.0725855847197872,1.2762701969540826
2025-01-10,NVDA_price,2025-01-13,0.0005262941,-0.04472639,-0.018481575,0.023291098,0.042797215,-0.01991600481167559,1,-0.01991600481167559,1.0514352789456167,1.2511034360908073
2025-01-13,NVDA_price,2025-01-14,-0.0137442965,-0.05889362,-0.041588224,0.020968832,0.0569691,-0.011094920775512006,-1,0.011094920775512006,1.0631658244697912,1.237299262297097
2025-01-14,NVDA_price,2025-01-15,0.0058638714,-0.031519357,-0.006257502,0.028073926,0.047037516,0.033436063535319575,1,0.033436063535319575,1.0993148778127835,1.2793690843366914
2025-01-15,NVDA_price,2025-01-16,0.0056571364,-0.023354832,-0.022470731,0.03279361,0.048081454,-0.019792432622157387,1,-0.019792432622157387,1.0777706715948407,1.2542962030921019
2025-01-16,NVDA_price,2025-01-17,0.009905515,-0.03897675,-0.008456483,0.028368609,0.02547302,0.030524356055252534,1,0.030524356055252534,1.111176174330649,1.2931731148027394
2025-01-17,NVDA_price,2025-01-21,0.014749717,-0.026274437,-0.023403933,0.041612837,0.07109938,0.02240341958008801,1,0.02240341958008801,1.1363512715573003,1.3224715821818311
2025-01-21,NVDA_price,2025-01-22,0.013311273,-0.049295194,-0.020379387,0.050162494,0.0634781,0.04335529819509128,1,0.04335529819509128,1.1867017123229973,1.3810688035953387
2025-01-22,NVDA_price,2025-01-23,0.02881784,-0.03971437,-0.019888569,0.06604178,0.07560723,0.0010193287990523721,1,0.0010193287990523721,1.1879119682738342,1.3824772845309519
2025-01-23,NVDA_price,2025-01-24,-0.014574013,-0.07079203,-0.03814285,0.01854327,0.045160245,-0.031744404192271244,-1,0.031744404192271244,1.2262264436082604,1.339280620411802
2025-01-24,NVDA_price,2025-01-27,-0.0028166194,-0.051920764,-0.035352703,0.029990155,0.052590795,-0.18594606686950146,-1,0.18594606686950146,1.4768147735536736,1.112029309003484
2025-01-27,NVDA_price,2025-01-28,0.04943444,-0.11099416,-0.057238802,0.20947663,0.28509074,0.08549724273298594,1,0.08549724273298594,1.6086331306198738,1.211287441537986
