number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
43,0.7946428571428571,2026-02-22 05:09:03.268111,2026-02-22 05:10:52.248933,0 days 00:01:48.980822,0.027271338532263836,5,128,130,0.0009091927452952044,128,8,8,2,COMPLETE
41,0.7,2026-02-22 05:05:01.853173,2026-02-22 05:07:02.542203,0 days 00:02:00.689030,0.02045947969290493,5,128,140,0.0009631688288997157,128,8,8,2,COMPLETE
9,0.6527777777777778,2026-02-22 04:44:27.147282,2026-02-22 04:45:07.487520,0 days 00:00:40.340238,0.0029978085545754427,4,128,80,0.000965114397525673,64,4,16,2,COMPLETE
18,0.625,2026-02-22 04:51:31.454009,2026-02-22 04:52:07.172732,0 days 00:00:35.718723,0.15012221656093863,3,128,70,0.00044372489480813985,32,4,16,2,COMPLETE
24,0.625,2026-02-22 04:55:05.208201,2026-02-22 04:55:40.457544,0 days 00:00:35.249343,0.1557934614325877,3,128,70,0.0004327086418523324,32,4,16,2,COMPLETE
47,0.625,2026-02-22 05:14:43.580208,2026-02-22 05:15:27.337579,0 days 00:00:43.757371,0.024457013806289014,5,64,60,0.0007432935773927174,64,8,8,2,COMPLETE
42,0.5833333333333334,2026-02-22 05:07:02.542263,2026-02-22 05:09:03.268015,0 days 00:02:00.725752,0.02198745195990291,5,128,140,0.0009609367770208884,128,8,8,2,COMPLETE
16,0.5684523809523809,2026-02-22 04:50:21.490246,2026-02-22 04:50:57.117225,0 days 00:00:35.626979,0.0057665640922282355,3,128,100,0.0005187941654466848,128,4,16,2,COMPLETE
12,0.5166666666666666,2026-02-22 04:46:28.219845,2026-02-22 04:48:28.839545,0 days 00:02:00.619700,0.007044122022577561,5,128,140,0.0009434310005185731,128,8,8,2,COMPLETE
0,0.5,2026-02-22 04:39:34.790235,2026-02-22 04:40:04.370407,0 days 00:00:29.580172,0.11379384572929413,1,64,140,0.0009832517758512757,128,8,8,2,COMPLETE
15,0.5,2026-02-22 04:49:39.229952,2026-02-22 04:50:21.490177,0 days 00:00:42.260225,0.23910382916926876,4,128,80,0.00011549599758058599,64,4,8,2,COMPLETE
8,0.5,2026-02-22 04:44:02.113530,2026-02-22 04:44:27.147200,0 days 00:00:25.033670,0.07155941402981487,1,128,120,0.00027975457349934123,256,2,4,4,COMPLETE
1,0.5,2026-02-22 04:40:04.370466,2026-02-22 04:40:33.564803,0 days 00:00:29.194337,0.07879053735976423,2,32,70,0.0007662594367507083,512,4,4,4,COMPLETE
2,0.5,2026-02-22 04:40:33.564866,2026-02-22 04:41:15.504615,0 days 00:00:41.939749,0.05652140130318512,4,32,140,0.00016565266539563453,32,2,8,8,COMPLETE
5,0.5,2026-02-22 04:42:37.215212,2026-02-22 04:43:05.978719,0 days 00:00:28.763507,0.2762319001844273,2,32,120,0.00032542447759373056,256,2,16,4,COMPLETE
7,0.5,2026-02-22 04:43:36.739606,2026-02-22 04:44:02.113465,0 days 00:00:25.373859,0.03846566532945882,1,32,100,0.0006396718724796487,64,8,16,8,COMPLETE
4,0.5,2026-02-22 04:41:55.988681,2026-02-22 04:42:37.215118,0 days 00:00:41.226437,0.04147331908336591,4,64,40,0.0003085420042856777,512,2,4,8,COMPLETE
3,0.5,2026-02-22 04:41:15.504724,2026-02-22 04:41:55.988583,0 days 00:00:40.483859,0.19252181980332797,4,64,110,0.00016050171641579394,64,8,8,8,COMPLETE
48,0.5,2026-02-22 05:15:27.337643,2026-02-22 05:16:51.708943,0 days 00:01:24.371300,0.1273672388217972,5,128,110,0.0001586182599879827,128,8,8,2,COMPLETE
37,0.5,2026-02-22 05:02:52.360401,2026-02-22 05:03:21.171143,0 days 00:00:28.810742,0.19004234935970454,2,64,110,0.0002821086075800263,256,4,16,2,COMPLETE
38,0.5,2026-02-22 05:03:21.171205,2026-02-22 05:04:01.737604,0 days 00:00:40.566399,0.08708158331399707,4,32,120,0.0007016562768760149,512,8,16,8,COMPLETE
36,0.5,2026-02-22 05:02:23.255499,2026-02-22 05:02:52.360338,0 days 00:00:29.104839,0.11581155587241344,2,128,90,0.0003507959540659202,32,2,4,4,COMPLETE
10,0.5,2026-02-22 04:45:07.487591,2026-02-22 04:45:51.960099,0 days 00:00:44.472508,0.1795113715815829,5,128,60,0.0005252242731344929,64,4,16,2,COMPLETE
11,0.5,2026-02-22 04:45:51.960165,2026-02-22 04:46:28.219779,0 days 00:00:36.259614,0.1352143154975512,3,64,20,0.0009824582754488797,128,4,8,2,COMPLETE
20,0.5,2026-02-22 04:52:42.544542,2026-02-22 04:53:23.347419,0 days 00:00:40.802877,0.21851005642673685,4,128,60,0.0003790958265638609,32,4,16,2,COMPLETE
19,0.5,2026-02-22 04:52:07.172794,2026-02-22 04:52:42.544481,0 days 00:00:35.371687,0.16637705238388112,3,128,30,0.0002520300346632934,32,4,16,4,COMPLETE
32,0.5,2026-02-22 04:59:57.979537,2026-02-22 05:00:27.252867,0 days 00:00:29.273330,0.08790448467080797,2,128,70,0.00045245244519475383,128,4,16,2,COMPLETE
30,0.5,2026-02-22 04:58:41.392773,2026-02-22 04:59:22.860672,0 days 00:00:41.467899,0.11563452412698177,4,64,40,0.0008531443090446057,32,4,4,2,COMPLETE
29,0.5,2026-02-22 04:58:06.121557,2026-02-22 04:58:41.392705,0 days 00:00:35.271148,0.1312227753045656,3,32,80,0.0006417305656381557,32,2,16,4,COMPLETE
40,0.5,2026-02-22 05:04:19.664337,2026-02-22 05:05:01.853101,0 days 00:00:42.188764,0.05501874360206045,4,128,130,0.0003046710806885397,32,4,4,4,COMPLETE
25,0.5,2026-02-22 04:55:40.457604,2026-02-22 04:56:21.053290,0 days 00:00:40.595686,0.20489186460532732,4,128,60,0.00020133434227404142,32,4,16,2,COMPLETE
23,0.5,2026-02-22 04:54:34.681164,2026-02-22 04:55:05.208139,0 days 00:00:30.526975,0.29666788662174404,2,128,90,0.00022839667736468874,256,4,16,2,COMPLETE
28,0.5,2026-02-22 04:57:24.949634,2026-02-22 04:58:06.121473,0 days 00:00:41.171839,0.24326794045427405,4,64,50,0.00045979135690820544,64,4,16,8,COMPLETE
26,0.5,2026-02-22 04:56:21.053351,2026-02-22 04:56:55.948115,0 days 00:00:34.894764,0.14757741869766758,3,128,70,0.00039346500027721067,32,4,4,2,COMPLETE
22,0.4375,2026-02-22 04:53:58.934548,2026-02-22 04:54:34.681101,0 days 00:00:35.746553,0.09896152439384219,3,128,70,0.0006199874022053649,512,4,16,2,COMPLETE
13,0.43333333333333335,2026-02-22 04:48:28.839644,2026-02-22 04:49:16.533176,0 days 00:00:47.693532,0.006664798468397816,5,128,80,0.0005092480237046465,128,4,8,2,COMPLETE
31,0.41666666666666663,2026-02-22 04:59:22.860741,2026-02-22 04:59:57.979478,0 days 00:00:35.118737,0.16514724130945252,3,128,100,0.0005721309431412947,128,4,16,2,COMPLETE
33,0.41666666666666663,2026-02-22 05:00:27.252927,2026-02-22 05:01:07.025713,0 days 00:00:39.772786,0.06328419157740037,3,128,80,0.00037777035031751136,512,4,16,2,COMPLETE
49,0.375,2026-02-22 05:16:51.709035,2026-02-22 05:18:09.762613,0 days 00:01:18.053578,0.1773645972471805,4,128,120,0.0007007270945935283,64,8,8,2,COMPLETE
46,0.375,2026-02-22 05:13:59.320161,2026-02-22 05:14:43.580146,0 days 00:00:44.259985,0.1494539738948512,5,128,140,0.0008892759054331673,256,8,8,8,COMPLETE
6,0.375,2026-02-22 04:43:05.978817,2026-02-22 04:43:36.739543,0 days 00:00:30.760726,0.10216624611117799,2,128,90,0.00033510634743630184,32,8,16,2,COMPLETE
27,0.375,2026-02-22 04:56:55.948183,2026-02-22 04:57:24.949563,0 days 00:00:29.001380,0.16607106053188925,2,128,50,0.000766141369307338,32,4,16,2,COMPLETE
45,0.375,2026-02-22 05:12:41.055926,2026-02-22 05:13:59.320100,0 days 00:01:18.264174,0.07448384201092756,5,32,130,0.0008237107044731378,128,8,8,2,COMPLETE
34,0.375,2026-02-22 05:01:07.025798,2026-02-22 05:01:42.594729,0 days 00:00:35.568931,0.02393338523092208,3,32,110,0.0008018874973377915,64,4,16,2,COMPLETE
35,0.375,2026-02-22 05:01:42.594808,2026-02-22 05:02:23.255426,0 days 00:00:40.660618,0.052774627572776414,4,128,70,0.00046273364438969054,128,4,16,8,COMPLETE
