number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
22,0.625,2026-02-23 11:36:36.772048,2026-02-23 11:37:21.923104,0 days 00:00:45.151056,0.24272707598626767,4,128,100,0.00035914115227866916,64,4,4,8,COMPLETE
3,0.5833333333333333,2026-02-23 11:22:45.985111,2026-02-23 11:23:41.967425,0 days 00:00:55.982314,0.05383000447236867,4,128,120,0.0007356975804711488,256,4,8,4,COMPLETE
1,0.5,2026-02-23 11:21:03.441364,2026-02-23 11:21:49.616986,0 days 00:00:46.175622,0.2578169889103224,4,128,80,0.00028563433696135936,64,4,4,8,COMPLETE
2,0.5,2026-02-23 11:21:49.617048,2026-02-23 11:22:45.985039,0 days 00:00:56.367991,0.10964250648094717,5,128,90,0.00011967643696226868,32,8,16,4,COMPLETE
4,0.5,2026-02-23 11:23:41.967516,2026-02-23 11:24:18.286911,0 days 00:00:36.319395,0.019876707152090767,2,64,110,0.0004147018099393548,32,4,16,4,COMPLETE
5,0.5,2026-02-23 11:24:18.286975,2026-02-23 11:24:58.693541,0 days 00:00:40.406566,0.2594662948105569,3,128,90,0.0004067281834370727,64,4,16,8,COMPLETE
6,0.5,2026-02-23 11:24:58.693599,2026-02-23 11:25:29.547147,0 days 00:00:30.853548,0.027360595158265055,1,64,110,0.0005547322828999318,256,2,4,8,COMPLETE
7,0.5,2026-02-23 11:25:29.547209,2026-02-23 11:26:10.426904,0 days 00:00:40.879695,0.1635974197244224,3,128,50,0.0006699678577772297,64,8,16,4,COMPLETE
8,0.5,2026-02-23 11:26:10.426965,2026-02-23 11:26:49.873285,0 days 00:00:39.446320,0.25986124455891696,3,128,20,0.00010536643683047923,64,2,16,8,COMPLETE
9,0.5,2026-02-23 11:26:49.873360,2026-02-23 11:27:52.573543,0 days 00:01:02.700183,0.23197373790102052,3,128,130,0.0002009173159158453,64,2,4,2,COMPLETE
10,0.5,2026-02-23 11:27:52.573610,2026-02-23 11:28:45.779636,0 days 00:00:53.206026,0.09614128928880458,5,32,60,0.0008157128355358394,256,4,8,2,COMPLETE
11,0.5,2026-02-23 11:28:45.779711,2026-02-23 11:29:16.561775,0 days 00:00:30.782064,0.1750358323285267,1,32,140,0.0005445943669610466,128,8,8,4,COMPLETE
12,0.5,2026-02-23 11:29:16.561852,2026-02-23 11:30:04.400695,0 days 00:00:47.838843,0.08369580930898939,4,32,120,0.0002715041482558666,512,8,8,8,COMPLETE
13,0.5,2026-02-23 11:30:04.400771,2026-02-23 11:30:39.900892,0 days 00:00:35.500121,0.20334595574104336,2,32,140,0.0009683114843755411,256,4,8,4,COMPLETE
14,0.5,2026-02-23 11:30:39.900953,2026-02-23 11:31:49.895786,0 days 00:01:09.994833,0.05841412738914227,4,32,110,0.0004109209836510377,128,8,4,2,COMPLETE
15,0.5,2026-02-23 11:31:49.895853,2026-02-23 11:32:25.412126,0 days 00:00:35.516273,0.13678491487710315,2,64,140,0.00019271226937766923,512,4,8,8,COMPLETE
16,0.5,2026-02-23 11:32:25.412198,2026-02-23 11:32:59.245706,0 days 00:00:33.833508,0.2857121766143015,2,32,120,0.0007226288485499295,256,8,4,4,COMPLETE
0,0.5,2026-02-23 11:20:22.486122,2026-02-23 11:21:03.441301,0 days 00:00:40.955179,0.2982178208913319,2,32,140,0.0004326926597343713,64,8,4,8,COMPLETE
49,0.5,2026-02-23 11:56:27.565842,2026-02-23 11:57:05.898132,0 days 00:00:38.332290,0.04465851643553073,3,32,90,0.0001768790528880684,256,2,16,4,COMPLETE
