cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,UPS_price,2025-01-03,0.00054534525,-0.02693904,-0.009918166,0.015062575,0.037456553,-0.0006462174688837665,1,-0.0006462174688837665,0.9993539912846556,0.9993539912846556
2024-12-23,UPS_price,2025-01-03,-0.0025655115,-0.033391926,-0.016837446,0.008537631,0.022128824,-0.0006462174688837665,-1,0.0006462174688837665,1.0,0.9987083998965716
2024-12-24,UPS_price,2025-01-03,-0.004549737,-0.02995205,-0.011396259,0.011589315,0.024055462,-0.0006462174688837665,-1,0.0006462174688837665,1.000646426312376,0.9980632255661508
2024-12-26,UPS_price,2025-01-03,-0.0035220385,-0.03143687,-0.015128841,0.009909789,0.02205669,-0.0006462174688837665,-1,0.0006462174688837665,1.0012932704917292,0.9974184680239703
2024-12-27,UPS_price,2025-01-03,-0.004707801,-0.030963259,-0.013326852,0.011581397,0.020594254,-0.0006462174688837665,-1,0.0006462174688837665,1.00194053280818,0.9967741270007814
2024-12-30,UPS_price,2025-01-03,-0.00206081,-0.024153944,-0.015806396,0.0060871653,0.015587113,-0.0006462174688837665,-1,0.0006462174688837665,1.0025882135320234,0.9961302022275091
2024-12-31,UPS_price,2025-01-03,-0.0023494074,-0.029803693,-0.018841442,0.008474888,0.021443509,-0.0006462174688837665,-1,0.0006462174688837665,1.0032363129337285,0.9954866934352524
2025-01-03,UPS_price,2025-01-06,-0.00027754155,-0.021030344,-0.014551947,0.016645666,0.025354773,0.0033871437588424377,-1,-0.0033871437588424377,0.9998439557617452,0.9988642669102215
2025-01-06,UPS_price,2025-01-07,-0.0014635427,-0.029306324,-0.019421246,0.0122604035,0.019971598,0.006180122383025949,-1,-0.006180122383025949,0.993683852453901,1.0050564849476646
2025-01-07,UPS_price,2025-01-08,0.0011562188,-0.022718292,-0.015229531,0.013520241,0.0316467,0.01414168279042675,1,0.01414168279042675,1.007836046353726,1.0193706495787296
2025-01-08,UPS_price,2025-01-10,-4.9103983e-05,-0.022321764,-0.0134212505,0.017607166,0.029183539,-0.02783731634242433,-1,0.02783731634242433,1.0362856402223812,0.9913854301985605
2025-01-10,UPS_price,2025-01-13,-0.006978696,-0.028379574,-0.018577015,0.019353451,0.035378948,0.013935532854969734,-1,-0.013935532854969734,1.0219446047056404,1.0052976262215065
2025-01-13,UPS_price,2025-01-14,-0.0013046283,-0.027921967,-0.016871814,0.01543959,0.02638541,0.006617450340617167,-1,-0.006617450340617167,1.0152042635664975,1.0119721932916828
2025-01-14,UPS_price,2025-01-15,0.000982801,-0.021740943,-0.014016331,0.022172285,0.036071505,0.012869876142268906,1,0.012869876142268906,1.0283542545691222,1.025080319128292
2025-01-15,UPS_price,2025-01-16,-0.0066483207,-0.028583188,-0.022166654,0.017850218,0.027119119,0.01919180803446146,-1,-0.01919180803446146,1.0088064559160026,1.0449434589447406
2025-01-16,UPS_price,2025-01-17,-0.0028573908,-0.02802114,-0.022772634,0.009759287,0.033274736,-0.0016175224173732474,-1,0.0016175224173732474,1.0104395433949762,1.043254605722207
2025-01-17,UPS_price,2025-01-21,0.00017508131,-0.02553905,-0.015596157,0.018088618,0.0345974,0.023915869404884205,1,0.023915869404884205,1.0348963710031402,1.0685056939346143
2025-01-21,UPS_price,2025-01-22,-0.0032297,-0.042639665,-0.028583849,0.015471822,0.029069442,-0.002411224855382705,-1,0.002411224855382705,1.037394749721615,1.0659323901011297
2025-01-22,UPS_price,2025-01-23,-0.007673256,-0.024644777,-0.019084148,0.018247847,0.032034628,0.007965118828921664,-1,-0.007965118828921664,1.0291645978485693,1.0744565712430676
2025-01-23,UPS_price,2025-01-24,-0.00061187055,-0.02725859,-0.013556982,0.021222908,0.037546743,-0.004350551520353476,-1,0.004350551520353476,1.0336517852468867,1.0697922461237823
2025-01-24,UPS_price,2025-01-27,-0.004136186,-0.032770794,-0.021981068,0.013007163,0.024635814,0.023990250904220488,-1,-0.023990250904220488,1.0091493050475604,1.0957671570680112
2025-01-27,UPS_price,2025-01-28,0.0008431934,-0.031855438,-0.022206545,0.023903778,0.051470604,-0.006183601356851795,1,-0.006183601356851795,1.0029283817129913,1.0890122760582701
2025-01-28,UPS_price,2025-01-29,-0.0009359871,-0.027591715,-0.017825956,0.026023034,0.030777093,-0.012184512858029751,-1,0.012184512858029751,1.0152233273261082,1.0758237033119977
2025-01-29,UPS_price,2025-01-30,0.00041413773,-0.01910916,-0.014826983,0.031384706,0.041325763,-0.1521344444684237,1,-0.1521344444684237,0.8719477040818501,0.9239957188241473
2025-01-30,UPS_price,2025-01-31,0.05103025,-0.23510778,-0.04492452,0.24819991,0.3144298,-0.005848279853748486,1,-0.005848279853748486,0.8668631922065869,0.9186077039431394
2025-01-31,UPS_price,2025-02-03,0.0076887333,-0.03200687,-0.011561748,0.027020132,0.043878384,-0.026074448186504923,1,-0.026074448186504923,0.8445523483258525,0.8949650885286519
2025-02-03,UPS_price,2025-02-04,0.0087717455,-0.047352556,-0.025405878,0.040979452,0.06000431,0.0043036567837602705,1,0.0043036567837602705,0.8481948441729196,0.8988250110363539
2025-02-04,UPS_price,2025-02-05,0.0007472113,-0.027927764,-0.019379603,0.028092979,0.04857781,0.0011625580481442127,1,0.0011625580481442127,0.8491814933227374,0.899870554921779
2025-02-05,UPS_price,2025-02-06,0.0020996039,-0.025875855,-0.016505806,0.017623283,0.03295147,0.013932848863959344,1,0.013932848863959344,0.8610958182337389,0.9124960657854579
2025-02-06,UPS_price,2025-02-07,0.004197902,-0.033174668,-0.017678391,0.024952386,0.032810375,-0.003177687306255436,1,-0.003177687306255436,0.8583638679234458,0.9096010407983698
2025-02-07,UPS_price,2025-02-10,0.0006242213,-0.040689986,-0.022748176,0.015905026,0.024637118,0.009240077301131305,1,0.009240077301131305,0.8663319726751415,0.9180447750306444
2025-02-10,UPS_price,2025-02-11,0.0038165692,-0.020642519,-0.013083338,0.023854688,0.025376443,0.0032358556739566354,1,0.0032358556739566354,0.8691398383784957,0.9210202469273957
2025-02-11,UPS_price,2025-02-12,-0.003955376,-0.03587771,-0.022390692,0.015084485,0.028190374,-0.0023602435636664934,-1,0.0023602435636664934,0.8711936428739395,0.9188489781870797
2025-02-12,UPS_price,2025-02-13,-0.0019698737,-0.03117559,-0.021222223,0.016583018,0.020350682,0.01200538490064906,-1,-0.01200538490064906,0.8607971596292145,0.9299465961326007
2025-02-13,UPS_price,2025-02-14,-0.007913351,-0.03580359,-0.021346066,0.013909614,0.03242016,0.005003083558703395,-1,-0.005003083558703395,0.8565012748086515,0.9346108547668366
2025-02-14,UPS_price,2025-02-18,-0.0020766128,-0.022510339,-0.020695083,0.00595213,0.016350515,0.007304242454393229,-1,-0.007304242454393229,0.8502679743171999,0.9414624715233213
2025-02-18,UPS_price,2025-02-19,0.002659555,-0.021684483,-0.01366804,0.018648092,0.02700927,-0.003645487685699887,1,-0.003645487685699887,0.8471739758803765,0.9380366299025542
2025-02-19,UPS_price,2025-02-20,0.0006680214,-0.017534433,-0.014507923,0.015940571,0.021799756,0.013817219955559647,1,0.013817219955559647,0.8589608081492097,0.9510876450818073
