number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
1,0.75,2026-02-22 10:31:12.577944,2026-02-22 10:31:43.167647,0 days 00:00:30.589703,0.048019043707830424,2,64,60,0.0008955712129974862,64,2,4,8,COMPLETE
4,0.625,2026-02-22 10:32:36.843449,2026-02-22 10:33:12.344762,0 days 00:00:35.501313,0.2884903584096059,3,32,120,0.0002598557968693326,256,8,4,8,COMPLETE
15,0.625,2026-02-22 10:38:55.756528,2026-02-22 10:39:31.323998,0 days 00:00:35.567470,0.07605965001008122,3,64,40,0.0007096822244293209,256,8,8,8,COMPLETE
7,0.625,2026-02-22 10:34:22.491245,2026-02-22 10:34:58.244241,0 days 00:00:35.752996,0.26118841262171616,3,32,80,0.00011563553453843302,512,8,4,8,COMPLETE
33,0.625,2026-02-22 10:49:38.517995,2026-02-22 10:50:14.180577,0 days 00:00:35.662582,0.04528947068899042,3,64,60,0.0009845490083652392,256,8,8,8,COMPLETE
22,0.625,2026-02-22 10:42:58.779926,2026-02-22 10:43:34.518453,0 days 00:00:35.738527,0.23700128520511857,3,32,80,0.00014010671002594733,512,8,4,8,COMPLETE
41,0.625,2026-02-22 10:54:05.207448,2026-02-22 10:54:41.167896,0 days 00:00:35.960448,0.2321795229859488,3,32,80,0.0001544192016433393,512,8,4,8,COMPLETE
5,0.5,2026-02-22 10:33:12.344825,2026-02-22 10:33:53.179915,0 days 00:00:40.835090,0.2579958639784522,4,64,60,0.000313476322381673,128,8,4,4,COMPLETE
0,0.5,2026-02-22 10:30:25.864418,2026-02-22 10:31:12.577875,0 days 00:00:46.713457,0.2760091603419786,5,32,140,0.0007220287030960628,32,8,4,4,COMPLETE
3,0.5,2026-02-22 10:32:07.202439,2026-02-22 10:32:36.843379,0 days 00:00:29.640940,0.13042226219568667,2,64,90,0.00017579991552784446,128,8,16,8,COMPLETE
9,0.5,2026-02-22 10:35:33.966110,2026-02-22 10:36:03.564954,0 days 00:00:29.598844,0.16740852793142633,2,128,20,0.0008853098824464105,512,4,8,4,COMPLETE
10,0.5,2026-02-22 10:36:03.565030,2026-02-22 10:36:28.658076,0 days 00:00:25.093046,0.004773101985620004,1,64,20,0.0005460137611563452,64,2,8,2,COMPLETE
13,0.5,2026-02-22 10:37:46.064939,2026-02-22 10:38:26.281697,0 days 00:00:40.216758,0.07084141155517437,4,32,110,0.0004645629178336102,64,8,4,8,COMPLETE
11,0.5,2026-02-22 10:36:28.658160,2026-02-22 10:37:04.503515,0 days 00:00:35.845355,0.06425691984248572,3,32,110,0.0004734818513158014,256,2,4,8,COMPLETE
17,0.5,2026-02-22 10:39:56.817368,2026-02-22 10:40:26.435537,0 days 00:00:29.618169,0.040434717010621214,2,64,70,0.00023797864388956457,256,8,4,8,COMPLETE
6,0.5,2026-02-22 10:33:53.179978,2026-02-22 10:34:22.491183,0 days 00:00:29.311205,0.12338968426554528,2,64,60,0.0003070656697498709,128,4,4,4,COMPLETE
8,0.5,2026-02-22 10:34:58.244302,2026-02-22 10:35:33.966048,0 days 00:00:35.721746,0.007241643898837058,3,128,90,0.00027198263603016656,32,4,16,2,COMPLETE
2,0.5,2026-02-22 10:31:43.167707,2026-02-22 10:32:07.202348,0 days 00:00:24.034641,0.29460456812003794,1,32,140,0.00015268434970490727,32,2,16,8,COMPLETE
42,0.5,2026-02-22 10:54:41.167961,2026-02-22 10:55:16.928684,0 days 00:00:35.760723,0.25521476247814207,3,32,60,0.00013816635560021497,512,8,4,8,COMPLETE
34,0.5,2026-02-22 10:50:14.180647,2026-02-22 10:50:42.869271,0 days 00:00:28.688624,0.025444919315875933,2,64,40,0.0007230147657614909,128,8,8,8,COMPLETE
