number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 02:23:34.095262,2026-02-24 02:23:59.757847,0 days 00:00:25.662585,0.052544333229825164,3,128,40,0.00016633594557969642,512,8,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
1,0.5,2026-02-24 02:23:59.757899,2026-02-24 02:24:35.439752,0 days 00:00:35.681853,0.19487687988319136,5,64,80,0.00022427117114141108,64,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 02:24:35.439801,2026-02-24 02:24:50.641944,0 days 00:00:15.202143,0.13784952210644674,1,64,60,0.0002575813208869657,64,8,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 02:24:50.641984,2026-02-24 02:25:21.023215,0 days 00:00:30.381231,0.22505896740089415,4,64,40,0.000695384119832327,512,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
4,0.5,2026-02-24 02:25:21.023256,2026-02-24 02:25:40.887232,0 days 00:00:19.863976,0.10703895596155356,2,64,50,0.0008564439458773508,256,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 02:25:40.887271,2026-02-24 02:26:05.867930,0 days 00:00:24.980659,0.18134520024214754,3,128,100,0.0005172113938341474,32,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 02:26:05.867968,2026-02-24 02:26:20.857129,0 days 00:00:14.989161,0.17711190101652272,1,64,110,0.0009259014140666693,128,4,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 02:26:20.857168,2026-02-24 02:26:46.357808,0 days 00:00:25.500640,0.17177602636516928,3,128,60,0.0008940880053772787,128,8,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.5,2026-02-24 02:26:46.357848,2026-02-24 02:27:01.078229,0 days 00:00:14.720381,0.04382031758880589,1,32,80,0.00012499235821019435,256,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 02:27:01.078267,2026-02-24 02:27:27.702616,0 days 00:00:26.624349,0.035505491217929015,3,32,140,0.0003262272983002078,32,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
10,0.5,2026-02-24 02:27:27.702653,2026-02-24 02:28:02.967852,0 days 00:00:35.265199,0.29585368459688755,5,128,20,0.00011079070615089685,512,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
