number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
33,0.875,2026-02-22 14:44:05.474559,2026-02-22 14:44:47.252409,0 days 00:00:41.777850,0.0005659543728638743,4,128,130,0.00047491250934496396,64,2,4,4,COMPLETE
11,0.8125,2026-02-22 14:31:12.271657,2026-02-22 14:32:03.862522,0 days 00:00:51.590865,0.0017695907946580214,2,128,140,0.0009654623827293462,64,8,16,2,COMPLETE
32,0.75,2026-02-22 14:43:22.744112,2026-02-22 14:44:05.474499,0 days 00:00:42.730387,0.030259209866412753,4,128,130,0.0004971598862436955,64,2,4,4,COMPLETE
26,0.75,2026-02-22 14:39:46.868802,2026-02-22 14:40:18.713303,0 days 00:00:31.844501,0.022873348003389374,2,128,100,0.0007633956959545617,64,2,16,2,COMPLETE
22,0.75,2026-02-22 14:37:27.133618,2026-02-22 14:37:59.246985,0 days 00:00:32.113367,0.0021457096699710777,2,128,120,0.00054200503758262,64,2,16,2,COMPLETE
41,0.75,2026-02-22 14:49:37.909453,2026-02-22 14:50:23.610233,0 days 00:00:45.700780,0.03392647353982987,4,128,130,0.0004856854451273199,64,2,4,4,COMPLETE
17,0.625,2026-02-22 14:34:48.243935,2026-02-22 14:35:20.667407,0 days 00:00:32.423472,0.019193855263167317,2,128,120,0.0005547898827295749,64,2,16,2,COMPLETE
36,0.625,2026-02-22 14:46:04.818369,2026-02-22 14:46:35.203101,0 days 00:00:30.384732,0.16283951506069075,2,128,110,0.0007384560852695622,256,2,4,4,COMPLETE
25,0.625,2026-02-22 14:39:03.041303,2026-02-22 14:39:46.868713,0 days 00:00:43.827410,0.04919997447756806,3,128,130,0.000536539924525124,32,2,8,2,COMPLETE
40,0.625,2026-02-22 14:48:24.702007,2026-02-22 14:49:37.909387,0 days 00:01:13.207380,0.0013235772215788033,4,64,140,0.0003723672521476541,512,2,4,2,COMPLETE
23,0.625,2026-02-22 14:37:59.247053,2026-02-22 14:38:35.784454,0 days 00:00:36.537401,0.07395994196178654,3,128,100,0.00077101516502676,64,2,16,2,COMPLETE
