number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
8,0.75,2026-02-22 23:37:58.017801,2026-02-22 23:38:47.822399,0 days 00:00:49.804598,0.07132344289770123,5,128,90,0.0005570535486359261,128,2,4,2,COMPLETE
20,0.75,2026-02-22 23:46:56.172064,2026-02-22 23:47:42.167592,0 days 00:00:45.995528,0.027155008894408264,5,128,60,0.000994281071941135,512,2,4,4,COMPLETE
27,0.625,2026-02-22 23:52:11.020766,2026-02-22 23:52:43.008979,0 days 00:00:31.988213,0.09783677135336849,2,128,70,0.00063686464874725,512,2,4,2,COMPLETE
36,0.625,2026-02-22 23:59:21.015799,2026-02-23 00:00:03.790112,0 days 00:00:42.774313,0.06904257294698365,4,128,140,0.0006047706693114215,512,2,4,8,COMPLETE
43,0.625,2026-02-23 00:04:07.371310,2026-02-23 00:04:33.317658,0 days 00:00:25.946348,0.043041482764002506,1,128,60,0.0003792038859264125,512,2,4,2,COMPLETE
41,0.625,2026-02-23 00:02:56.690618,2026-02-23 00:03:29.472957,0 days 00:00:32.782339,0.09175547902202841,2,128,70,0.0006680396713986168,512,2,4,2,COMPLETE
18,0.625,2026-02-22 23:45:25.596790,2026-02-22 23:46:13.095320,0 days 00:00:47.498530,0.15271617880454072,5,128,70,0.0006852601635242118,512,8,16,4,COMPLETE
31,0.625,2026-02-22 23:54:58.002105,2026-02-22 23:55:46.203289,0 days 00:00:48.201184,0.1645775076592633,5,128,70,0.0006924896370785385,512,8,16,4,COMPLETE
14,0.625,2026-02-22 23:42:18.303866,2026-02-22 23:43:06.081939,0 days 00:00:47.778073,0.0651223368135976,5,128,20,0.00037499195128714826,512,2,4,4,COMPLETE
1,0.5,2026-02-22 23:33:47.588095,2026-02-22 23:34:30.328415,0 days 00:00:42.740320,0.2803492168977397,4,64,130,0.0005780531247287851,512,2,4,8,COMPLETE
9,0.5,2026-02-22 23:38:47.822464,2026-02-22 23:39:30.394331,0 days 00:00:42.571867,0.20685300141349763,4,64,70,0.00013721382424450066,128,4,16,4,COMPLETE
0,0.5,2026-02-22 23:33:11.653610,2026-02-22 23:33:47.588031,0 days 00:00:35.934421,0.279467987318356,3,32,40,0.0002096478003631183,32,2,4,8,COMPLETE
4,0.5,2026-02-22 23:35:26.955543,2026-02-22 23:36:08.578986,0 days 00:00:41.623443,0.10475084221738172,4,128,80,0.0001403799543274492,64,8,16,8,COMPLETE
2,0.5,2026-02-22 23:34:30.328490,2026-02-22 23:34:57.178276,0 days 00:00:26.849786,0.08201747941086268,1,128,100,0.00046555665417779033,64,4,4,8,COMPLETE
5,0.5,2026-02-22 23:36:08.579064,2026-02-22 23:36:45.046381,0 days 00:00:36.467317,0.20776023458903195,2,128,130,0.000859806275492176,128,2,8,2,COMPLETE
6,0.5,2026-02-22 23:36:45.046462,2026-02-22 23:37:32.825842,0 days 00:00:47.779380,0.21212739914635495,3,64,130,0.0005332990505073907,256,4,4,2,COMPLETE
7,0.5,2026-02-22 23:37:32.825916,2026-02-22 23:37:58.017753,0 days 00:00:25.191837,0.2928999965506938,1,32,90,0.0008802524335360318,256,8,8,2,COMPLETE
3,0.5,2026-02-22 23:34:57.178340,2026-02-22 23:35:26.955480,0 days 00:00:29.777140,0.1788607041193477,2,32,90,0.0003054826251744377,256,8,8,8,COMPLETE
