number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 14:33:37.939348,2026-02-24 14:34:09.593749,0 days 00:00:31.654401,0.08256941233265817,4,64,80,0.0005726609369033763,64,2,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
1,0.5,2026-02-24 14:34:09.593791,2026-02-24 14:34:31.003376,0 days 00:00:21.409585,0.07499103780056675,2,64,110,0.0001483983329394931,256,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 14:34:31.003418,2026-02-24 14:34:52.357815,0 days 00:00:21.354397,0.26421022990074616,2,64,30,0.00015354864073905758,32,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 14:34:52.357857,2026-02-24 14:35:13.775120,0 days 00:00:21.417263,0.09553464586762787,2,64,20,0.0006461162778409826,256,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
4,0.5,2026-02-24 14:35:13.775162,2026-02-24 14:35:50.630763,0 days 00:00:36.855601,0.2987079386629577,5,128,60,0.0003243563658827018,256,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 14:35:50.630806,2026-02-24 14:36:27.628322,0 days 00:00:36.997516,0.09120933904614183,5,64,70,0.0001406247834979443,512,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 14:36:27.628364,2026-02-24 14:36:43.586830,0 days 00:00:15.958466,0.10201715712940912,1,64,80,0.0005611434977194102,64,8,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 14:36:43.586868,2026-02-24 14:37:04.920942,0 days 00:00:21.334074,0.2948035051370482,2,128,110,0.00020647250095136177,256,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.5,2026-02-24 14:37:04.920983,2026-02-24 14:37:36.568909,0 days 00:00:31.647926,0.15877572931817338,4,64,80,0.0004346942941138404,512,8,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 14:37:36.568949,2026-02-24 14:38:08.156237,0 days 00:00:31.587288,0.13983656819933657,4,128,50,0.00046956758961020023,128,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
11,0.5,2026-02-24 14:38:42.475990,2026-02-24 14:39:09.112408,0 days 00:00:26.636418,0.02172586668462162,3,32,110,0.0001026133228688025,64,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
12,0.5,2026-02-24 14:39:09.112448,2026-02-24 14:39:35.622447,0 days 00:00:26.509999,0.05235136590034935,3,64,110,0.00021678016589628008,32,4,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
13,0.5,2026-02-24 14:39:35.622488,2026-02-24 14:39:51.647376,0 days 00:00:16.024888,0.16401749964355353,1,64,100,0.0003014438569919054,128,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
14,0.5,2026-02-24 14:39:51.647416,2026-02-24 14:40:19.171888,0 days 00:00:27.524472,0.2211231285617793,3,64,140,0.0009912167526257571,256,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
16,0.5,2026-02-24 14:40:40.597085,2026-02-24 14:41:07.047430,0 days 00:00:26.450345,0.06595120981062773,3,64,130,0.0007137033701691085,256,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
15,0.5,2026-02-24 14:40:19.171929,2026-02-24 14:40:40.597046,0 days 00:00:21.425117,0.0440728990176026,2,32,100,0.00032459136824799866,64,4,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
19,0.5,2026-02-24 14:42:15.397488,2026-02-24 14:42:31.389434,0 days 00:00:15.991946,0.07634928834187754,1,32,120,0.0004267080805130723,32,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
18,0.5,2026-02-24 14:41:38.503450,2026-02-24 14:42:15.397447,0 days 00:00:36.893997,0.19311367264603924,5,128,90,0.000257600451299002,512,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
42,0.5,2026-02-24 14:51:28.581626,2026-02-24 14:52:00.236781,0 days 00:00:31.655155,0.27275053455308396,4,128,80,0.0003467023913120595,256,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
35,0.5,2026-02-24 14:48:17.458619,2026-02-24 14:48:38.967255,0 days 00:00:21.508636,0.11568900793380121,2,128,40,0.00013025466825800108,256,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
20,0.5,2026-02-24 14:42:31.389476,2026-02-24 14:42:58.014639,0 days 00:00:26.625163,0.1111108338823151,3,64,90,0.00015926530522262583,128,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
21,0.5,2026-02-24 14:42:58.014697,2026-02-24 14:43:19.392528,0 days 00:00:21.377831,0.242208670486168,2,64,20,0.0001467533305023515,32,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
22,0.5,2026-02-24 14:43:19.392569,2026-02-24 14:43:40.624303,0 days 00:00:21.231734,0.25197909591648027,2,64,30,0.00018288015165094266,32,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
23,0.5,2026-02-24 14:43:40.624344,2026-02-24 14:44:01.880775,0 days 00:00:21.256431,0.1902876380326532,2,64,40,0.00012649554986959437,32,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
24,0.5,2026-02-24 14:44:01.880816,2026-02-24 14:44:17.733196,0 days 00:00:15.852380,0.04160031007078782,1,64,70,0.00024213587972341693,32,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
25,0.5,2026-02-24 14:44:17.733235,2026-02-24 14:44:43.724909,0 days 00:00:25.991674,0.11547142339700317,3,64,40,0.00018046888389196654,64,4,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
26,0.5,2026-02-24 14:44:43.724949,2026-02-24 14:45:15.277554,0 days 00:00:31.552605,0.26663998830609065,4,64,120,0.00011749257251508084,256,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
27,0.5,2026-02-24 14:45:15.277596,2026-02-24 14:45:36.926908,0 days 00:00:21.649312,0.19875360145905197,2,64,60,0.0007878640680979637,32,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
28,0.5,2026-02-24 14:45:36.926949,2026-02-24 14:45:52.915376,0 days 00:00:15.988427,0.07495327623469267,1,32,90,0.00037042312095595113,64,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
30,0.5,2026-02-24 14:46:14.437884,2026-02-24 14:46:41.052299,0 days 00:00:26.614415,0.17530379914286534,3,64,20,0.0001758826272233552,256,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
