cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,AMAT_price,2025-01-03,-0.016983949,-0.06437999,-0.03439273,0.014797297,0.03607845,0.03707789077053995,-1,-0.03707789077053995,0.9636010767955424,1.0377738506950431
2024-12-23,AMAT_price,2025-01-03,0.0037211925,-0.062050484,-0.024328673,0.026713813,0.044680394,0.03707789077053995,1,0.03707789077053995,1.0,1.0769745651864178
2024-12-24,AMAT_price,2025-01-03,-0.0073165093,-0.05096477,-0.034244098,0.022799838,0.03869649,0.03707789077053995,-1,-0.03707789077053995,0.9636010767955424,1.1176560416141283
2024-12-26,AMAT_price,2025-01-03,-0.009637599,-0.05356593,-0.029938623,0.017988738,0.033399392,0.03707789077053995,-1,-0.03707789077053995,0.9285270352015288,1.1598742140584735
2024-12-27,AMAT_price,2025-01-03,0.0029790867,-0.049414005,-0.018993989,0.023545718,0.0321562,0.03707789077053995,1,0.03707789077053995,0.9636010767955424,1.2036871294453486
2024-12-30,AMAT_price,2025-01-03,-0.009653318,-0.040608518,-0.033235773,0.013321886,0.025542123,0.03707789077053995,-1,-0.03707789077053995,0.9285270352015288,1.2491550273565624
2024-12-31,AMAT_price,2025-01-03,-0.011340921,-0.034731857,-0.034797434,0.017591083,0.028185064,0.03707789077053995,-1,-0.03707789077053995,0.8947296509539656,1.2963404228548916
2025-01-03,AMAT_price,2025-01-06,-0.0019674636,-0.059569027,-0.02829184,0.020269373,0.035052378,0.042706707374083434,-1,-0.042706707374083434,0.85732313336244,1.352902037659268
2025-01-06,AMAT_price,2025-01-07,-0.023796298,-0.06255419,-0.0577344,0.0006005168,0.021517958,0.0019139697755035357,-1,-0.0019139697755035357,0.8556838121034563,1.3554939308799718
2025-01-07,AMAT_price,2025-01-08,-0.0053929854,-0.031490568,-0.029243905,0.033799622,0.062192127,-0.004678595425113443,-1,0.004678595425113443,0.8596965902350873,1.3491669354432376
2025-01-08,AMAT_price,2025-01-10,-0.005347708,-0.046034038,-0.026426105,0.024924578,0.044681925,-0.030635875589944194,-1,0.030635875589944194,0.8864417367214568,1.3084607436787876
2025-01-10,AMAT_price,2025-01-13,-0.009372322,-0.072323546,-0.045540906,0.030162022,0.05270053,-0.004612790037849556,-1,0.004612790037849556,0.8905401516303583,1.3024389882197127
2025-01-13,AMAT_price,2025-01-14,0.013529919,-0.060558572,-0.024620729,0.042686414,0.05807808,0.01619711237869585,1,0.01619711237869585,0.9050817788182903,1.3237065101467644
2025-01-14,AMAT_price,2025-01-15,0.0058989376,-0.042577043,-0.03199522,0.03361351,0.058670267,0.026874351168737074,1,0.026874351168737074,0.9297350509638163,1.3597625855193793
2025-01-15,AMAT_price,2025-01-16,-0.0010514241,-0.052953176,-0.04047253,0.040552117,0.075471364,0.04440799010770275,-1,-0.04440799010770275,0.8893507160978658,1.4215077515127719
2025-01-16,AMAT_price,2025-01-17,-0.027990978,-0.071419984,-0.05713809,0.034789354,0.05737941,0.029431638582216497,-1,-0.029431638582216497,0.8635571032818652,1.463966808844498
2025-01-17,AMAT_price,2025-01-21,-0.029727822,-0.0649716,-0.053825863,-0.0015285909,0.012095068,0.004260741426142709,-1,-0.004260741426142709,0.8598855371095576,1.4702177001326597
2025-01-21,AMAT_price,2025-01-22,-0.0072878343,-0.04633904,-0.023963563,0.02047083,0.03427505,0.013594989581470172,-1,-0.013594989581470172,0.8482745069406703,1.4903417778119932
2025-01-22,AMAT_price,2025-01-23,0.003600575,-0.03932799,-0.026121024,0.041278582,0.060675625,-0.024910003381430443,1,-0.024910003381430443,0.8274049950412857,1.4536759282412333
2025-01-23,AMAT_price,2025-01-24,-0.017453024,-0.056797776,-0.038743563,0.028469078,0.033404805,-0.020930580509964925,-1,0.020930580509964925,0.8449055716214166,1.4235658570577074
2025-01-24,AMAT_price,2025-01-27,0.012462158,-0.024428101,-0.0072274813,0.041474417,0.058569275,-0.06744511627270099,1,-0.06744511627270099,0.7898000050760625,1.3307195015564117
2025-01-27,AMAT_price,2025-01-28,-0.014032412,-0.060353316,-0.04161984,0.0355132,0.052933574,-0.00990157715329896,-1,0.00990157715329896,0.797659115345713,1.3176082976605301
2025-01-28,AMAT_price,2025-01-29,0.014521137,-0.056152746,-0.02425171,0.04212112,0.07801945,0.013960552241051884,1,0.013960552241051884,0.8088729707749956,1.3361318356959282
2025-01-29,AMAT_price,2025-01-30,0.016675659,-0.050877493,-0.027519617,0.03585939,0.055371508,0.03608231074272403,1,0.03608231074272403,0.8385919165051946,1.3852228931896569
2025-01-30,AMAT_price,2025-01-31,-0.004372854,-0.06301365,-0.045645654,0.030194717,0.052511804,-0.007567655562582685,-1,0.007567655562582685,0.8449621648077046,1.3747795690368558
2025-01-31,AMAT_price,2025-02-03,-0.008176189,-0.043242395,-0.032919575,0.03769316,0.053626373,-0.00863147921987047,-1,0.00863147921987047,0.8522870048004348,1.3629642529382282
2025-02-03,AMAT_price,2025-02-04,-0.013033351,-0.04638257,-0.028723607,0.034004785,0.072919175,-0.0013432391090184368,-1,0.0013432391090184368,0.8534325992687886,1.3611346950914014
2025-02-04,AMAT_price,2025-02-05,-0.0028266856,-0.064430386,-0.028280811,0.024264263,0.045599513,0.011747490160198425,-1,-0.011747490160198425,0.8434655666388984,1.3772189010818277
2025-02-05,AMAT_price,2025-02-06,-0.0038751718,-0.04864174,-0.03727641,0.023875974,0.038630344,0.01172049310848707,-1,-0.01172049310848707,0.8336374420184678,1.39345555062179
2025-02-06,AMAT_price,2025-02-07,-0.011635112,-0.045484006,-0.0314149,0.020775728,0.045582138,-0.015435823324235192,-1,0.015435823324235192,0.8466051484246311,1.3721115716675794
2025-02-07,AMAT_price,2025-02-10,-0.006956132,-0.04494261,-0.028886234,0.032131713,0.047016107,0.020129482282991162,-1,-0.020129482282991162,0.8297338005179077,1.4000113290090244
2025-02-10,AMAT_price,2025-02-11,-0.0067767,-0.045163754,-0.03333001,0.018403407,0.02928027,-0.002507887671491928,-1,0.002507887671491928,0.8318172911751036,1.3965046568649073
2025-02-11,AMAT_price,2025-02-12,0.0023388667,-0.028923294,-0.015989142,0.031339053,0.042252924,-0.012689336219347773,1,-0.012689336219347773,0.8213287688250467,1.3788958977529224
2025-02-12,AMAT_price,2025-02-13,-0.001089911,-0.03240706,-0.013554122,0.02634452,0.03629868,0.018513037294956975,-1,-0.018513037294956975,0.8062633621950809,1.4046612101484683
2025-02-13,AMAT_price,2025-02-14,0.0073346766,-0.050417736,-0.02083352,0.038772672,0.056098856,-0.0853207887795395,1,-0.0853207887795395,0.7403252765012692,1.289784762093853
2025-02-14,AMAT_price,2025-02-18,-0.016208366,-0.08685545,-0.04654339,0.03320144,0.061924353,0.016413226672086695,-1,-0.016413226672086695,0.7282733261822458,1.3111289763004552
2025-02-18,AMAT_price,2025-02-19,0.009386586,-0.036428746,-0.02027404,0.04688883,0.06450388,0.011905532625228199,1,0.011905532625228199,0.736995626818684,1.3268319557908452
2025-02-19,AMAT_price,2025-02-20,-0.005907234,-0.06052171,-0.034999542,0.034570456,0.04694943,0.013441440848685633,-1,-0.013441440848685633,0.727155623755535,1.3447868887965688
2025-02-20,AMAT_price,2025-02-21,-0.006768181,-0.053408403,-0.035325978,0.032153007,0.069689356,-0.02316267972702981,-1,0.02316267972702981,0.7441950744372778,1.3139959971927375
2025-02-21,AMAT_price,2025-02-24,-0.0072961003,-0.04860378,-0.028819446,0.025208203,0.0524365,-0.020027072130613097,-1,0.020027072130613097,0.7592493664020128,1.2879422653655073
2025-02-24,AMAT_price,2025-02-25,0.004932087,-0.045942068,-0.028092634,0.035614207,0.06194727,-0.018138198201312416,1,-0.018138198201312416,0.745602093534206,1.2647919009250086
2025-02-25,AMAT_price,2025-02-26,-0.00885865,-0.03998238,-0.028406043,0.034993075,0.043514967,0.017782135234511266,-1,-0.017782135234511266,0.7324608819504558,1.2874837584549421
2025-02-26,AMAT_price,2025-02-27,0.0015627947,-0.051535234,-0.029860923,0.03671052,0.054255903,-0.0730448318755538,1,-0.0730448318755538,0.6808657186511553,1.1967923148575854
2025-02-27,AMAT_price,2025-02-28,-0.012475193,-0.062309854,-0.031331867,0.054086946,0.067642055,0.009087936438444563,-1,-0.009087936438444563,0.6747060858465604,1.2077182592910556
2025-02-28,AMAT_price,2025-03-03,0.018151313,-0.036523044,-0.013498704,0.028999738,0.04955858,-0.0383027272330067,1,-0.0383027272330067,0.6493516739495064,1.1623340737264063
2025-03-03,AMAT_price,2025-03-04,-0.015806878,-0.07501672,-0.04760568,0.014808968,0.038060926,0.004852504702367425,-1,-0.004852504702367425,0.6462083246248487,1.1679880120717465
2025-03-04,AMAT_price,2025-03-05,0.010647423,-0.05005592,-0.028295586,0.025967069,0.050825525,0.01589966145494865,1,0.01589966145494865,0.6565649333241805,1.1867070448442816
2025-03-05,AMAT_price,2025-03-06,0.0019837236,-0.049787883,-0.03248144,0.028094325,0.036963884,-0.024637927199722978,1,-0.024637927199722978,0.6405861842105263,1.1578262850312835
2025-03-06,AMAT_price,2025-03-07,0.0042774286,-0.050088815,-0.022774298,0.04274307,0.06699917,0.02695296432026989,1,0.02695296432026989,0.6580866662713747,1.1894574981766945
2025-03-07,AMAT_price,2025-03-10,0.0072824266,-0.04340134,-0.021342998,0.043621097,0.059916727,-0.03723383959690653,1,-0.03723383959690653,0.6340341356542863,1.1459837972814655
2025-03-10,AMAT_price,2025-03-11,-0.0130833,-0.06093168,-0.03724613,0.033410165,0.04605836,-0.020204089844862407,-1,0.020204089844862407,0.6469745022698176,1.1230625686700537
2025-03-11,AMAT_price,2025-03-12,-0.011875938,-0.03755532,-0.033603176,0.022960711,0.04781051,0.01398417632636893,-1,-0.01398417632636893,0.6379900631556213,1.1388779988034656
2025-03-12,AMAT_price,2025-03-13,0.008686231,-0.04212114,-0.019629702,0.0256361,0.035326142,0.0059530084150177754,1,0.0059530084150177754,0.6417993504804828,1.1456779691728276
2025-03-13,AMAT_price,2025-03-14,-0.004564943,-0.048383966,-0.03886658,0.03663457,0.053576432,0.03737227752670807,-1,-0.03737227752670807,0.6182565118878735,1.1893047017485712
2025-03-14,AMAT_price,2025-03-17,-0.0034683682,-0.06288968,-0.03560722,0.038009085,0.05694318,-0.001285679294215467,-1,0.001285679294215467,0.6190519026828963,1.1877766198411435
2025-03-17,AMAT_price,2025-03-18,-0.015433962,-0.049380053,-0.03917006,0.029569592,0.04795353,-0.01262264242922749,-1,0.01262264242922749,0.6269154987670427,1.1728779682764705
2025-03-18,AMAT_price,2025-03-19,-0.010447132,-0.045306887,-0.025942933,0.032970052,0.048078246,0.006169533225645451,-1,-0.006169533225645451,0.6230596294551775,1.1801364455563974
2025-03-19,AMAT_price,2025-03-20,0.001801759,-0.047813393,-0.036069766,0.040057726,0.055895746,-0.0005182277087647095,1,-0.0005182277087647095,0.6227368263409646,1.1795250245915134
2025-03-20,AMAT_price,2025-03-21,0.0031965915,-0.052653957,-0.03259515,0.040037137,0.070483506,-0.014747399730728642,1,-0.014747399730728642,0.6136204639784743,1.162257734325442
2025-03-21,AMAT_price,2025-03-24,-0.0031061303,-0.047790356,-0.033844337,0.040402144,0.065815374,0.018432758033428514,-1,-0.018432758033428514,0.6024133527414557,1.1838800168585133
2025-03-24,AMAT_price,2025-03-25,-0.0020840336,-0.036195964,-0.02574277,0.022877272,0.042204596,-0.008490286123529766,-1,0.008490286123529766,0.6075497885206328,1.1738710862461732
2025-03-25,AMAT_price,2025-03-26,-0.008599845,-0.051284097,-0.029789403,0.019687202,0.041850746,-0.01945386510311854,-1,0.01945386510311854,0.6194846937707666,1.151255450491008
2025-03-26,AMAT_price,2025-03-27,0.004383195,-0.048240427,-0.030609084,0.03941209,0.062475998,-0.020110533558394306,1,-0.020110533558394306,0.6071509607026571,1.128334339505792
2025-03-27,AMAT_price,2025-03-28,0.0044527836,-0.037704557,-0.021089671,0.0318131,0.048529282,-0.01790043780143724,1,-0.01790043780143724,0.5963793882483808,1.1083163606549165
2025-03-28,AMAT_price,2025-03-31,2.041459e-06,-0.052157063,-0.03177301,0.044014182,0.058484994,0.00041361123192916834,1,0.00041361123192916834,0.5966261084814639,1.1087748675654818
2025-03-31,AMAT_price,2025-04-01,0.0007521427,-0.03446766,-0.02230497,0.031000687,0.04599167,0.0037141886931223527,1,0.0037141886931223527,0.5988462108148709,1.1129007240033946
2025-04-01,AMAT_price,2025-04-02,0.0030067891,-0.03517953,-0.024667861,0.033755403,0.03366978,0.01424643540257522,1,0.01424643540257522,0.6074386954844928,1.1288690681911255
2025-04-02,AMAT_price,2025-04-03,-0.003840886,-0.03389691,-0.024964387,0.024378777,0.046823017,-0.08647619691354783,-1,0.08647619691354783,0.6623058473152506,1.0353505966080008
2025-04-03,AMAT_price,2025-04-04,-0.011457808,-0.09171408,-0.045464333,0.046268426,0.069529794,-0.06525211781614942,-1,0.06525211781614942,0.7069638775871793,0.969948785071063
2025-04-04,AMAT_price,2025-04-07,-0.06908248,-0.14127252,-0.1211482,-0.018499214,0.0145686045,0.045427477201393056,-1,-0.045427477201393056,0.6755668355658427,1.0150272601532704
2025-04-07,AMAT_price,2025-04-08,0.008471396,-0.07566155,-0.049098924,0.065277494,0.08033655,-0.029718373808379717,1,-0.029718373808379717,0.655785478551398,0.9853061199855946
2025-04-08,AMAT_price,2025-04-09,-0.008202337,-0.055426754,-0.03208489,0.03445517,0.06297059,0.149331357181739,-1,-0.149331357181739,0.5648173270302221,1.1439972084634724
2025-04-09,AMAT_price,2025-04-10,-0.026216641,-0.18476868,-0.12968355,0.05548975,0.10384388,-0.07984235658424985,-1,0.07984235658424985,0.6117628579820207,1.0562090146266516
2025-04-10,AMAT_price,2025-04-11,-0.028572809,-0.08728789,-0.062223516,0.024471149,0.060125366,0.04732855802606747,-1,-0.04732855802606747,0.5834834934325879,1.1073996997123732
2025-04-11,AMAT_price,2025-04-14,-0.00020650029,-0.072453514,-0.04385295,0.059475858,0.09790714,-0.0028327098586612173,-1,0.0028327098586612173,0.5851386760961258,1.1042671964965545
