number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
43,0.75,2026-02-23 06:59:27.127216,2026-02-23 07:01:41.473873,0 days 00:02:14.346657,0.1695662258408278,4,128,140,0.0002944100472371899,256,8,4,2,COMPLETE
19,0.75,2026-02-23 06:37:12.722006,2026-02-23 06:38:29.164541,0 days 00:01:16.442535,0.2063255632331862,2,128,140,0.0001783278812709818,256,8,4,2,COMPLETE
22,0.625,2026-02-23 06:40:55.024878,2026-02-23 06:42:05.762713,0 days 00:01:10.737835,0.2059732429222542,2,128,130,0.0002506614871410345,256,8,4,2,COMPLETE
34,0.625,2026-02-23 06:51:32.815707,2026-02-23 06:52:46.449660,0 days 00:01:13.633953,0.0023356634314523894,5,128,40,0.00018027218767136847,128,2,16,4,COMPLETE
26,0.625,2026-02-23 06:45:42.176893,2026-02-23 06:46:16.155129,0 days 00:00:33.978236,0.1464034022063069,2,128,130,0.0003566469372239018,64,8,16,4,COMPLETE
31,0.625,2026-02-23 06:48:56.317617,2026-02-23 06:49:48.802815,0 days 00:00:52.485198,0.010727465490290522,5,128,60,0.0002319546628826748,64,8,16,4,COMPLETE
18,0.625,2026-02-23 06:36:27.836030,2026-02-23 06:37:12.721928,0 days 00:00:44.885898,0.007177523713923106,4,128,60,0.00022325925943316393,64,8,16,4,COMPLETE
47,0.625,2026-02-23 07:06:53.246883,2026-02-23 07:07:32.289256,0 days 00:00:39.042373,0.09995465149893724,3,128,60,0.0004372163680649864,64,8,16,4,COMPLETE
44,0.625,2026-02-23 07:01:41.473966,2026-02-23 07:04:01.155394,0 days 00:02:19.681428,0.16369997373253548,4,128,140,0.0002891072638696857,256,8,4,2,COMPLETE
41,0.625,2026-02-23 06:57:07.192755,2026-02-23 06:58:16.980907,0 days 00:01:09.788152,0.21129026505683282,2,128,130,0.000211493938320308,256,8,4,2,COMPLETE
10,0.625,2026-02-23 06:30:52.501233,2026-02-23 06:31:33.534817,0 days 00:00:41.033584,0.17354719584005912,3,128,140,0.0002560290746816072,64,8,16,4,COMPLETE
24,0.625,2026-02-23 06:43:40.230297,2026-02-23 06:44:24.837797,0 days 00:00:44.607500,0.20153589993622092,2,128,140,0.00010086652283574924,512,8,16,4,COMPLETE
11,0.625,2026-02-23 06:31:33.534899,2026-02-23 06:32:14.834911,0 days 00:00:41.300012,0.17078414766531014,3,128,140,0.0002542914298370979,64,8,16,4,COMPLETE
1,0.5,2026-02-23 06:24:13.855349,2026-02-23 06:25:06.460271,0 days 00:00:52.604922,0.04242960057998589,5,32,40,0.0001408782395317677,128,2,4,8,COMPLETE
6,0.5,2026-02-23 06:27:46.448510,2026-02-23 06:28:31.263645,0 days 00:00:44.815135,0.0412508912922817,4,32,30,0.0004880242275457598,32,2,8,8,COMPLETE
0,0.5,2026-02-23 06:23:27.738925,2026-02-23 06:24:13.855271,0 days 00:00:46.116346,0.14932319682558062,4,128,90,0.0005838448536389386,64,4,16,4,COMPLETE
2,0.5,2026-02-23 06:25:06.460339,2026-02-23 06:25:51.794284,0 days 00:00:45.333945,0.258596697399576,4,64,80,0.000131900118425207,32,2,8,8,COMPLETE
3,0.5,2026-02-23 06:25:51.794360,2026-02-23 06:26:25.810040,0 days 00:00:34.015680,0.2531652660531134,2,128,130,0.000758388007342889,32,4,16,4,COMPLETE
33,0.5,2026-02-23 06:50:33.824063,2026-02-23 06:51:32.815653,0 days 00:00:58.991590,0.080677934221107,4,128,70,0.00028203533141804804,64,8,16,4,COMPLETE
17,0.5,2026-02-23 06:35:53.409149,2026-02-23 06:36:27.835968,0 days 00:00:34.426819,0.08494622409429926,2,128,100,0.00033931068127502565,64,8,16,4,COMPLETE
15,0.5,2026-02-23 06:34:16.858087,2026-02-23 06:34:46.381847,0 days 00:00:29.523760,0.1312585421349254,1,128,110,0.0003192002467365358,512,8,16,4,COMPLETE
16,0.5,2026-02-23 06:34:46.381906,2026-02-23 06:35:53.409076,0 days 00:01:07.027170,0.18221465877632098,3,128,120,0.000402222463890975,64,8,16,2,COMPLETE
13,0.5,2026-02-23 06:32:56.022871,2026-02-23 06:33:35.067078,0 days 00:00:39.044207,0.184937842471087,3,128,120,0.00025021707940229524,64,8,16,4,COMPLETE
12,0.5,2026-02-23 06:32:14.834997,2026-02-23 06:32:56.022798,0 days 00:00:41.187801,0.1782367810800913,3,128,140,0.0002725316520696999,64,8,16,4,COMPLETE
8,0.5,2026-02-23 06:29:01.317737,2026-02-23 06:29:35.827868,0 days 00:00:34.510131,0.1132034839881028,2,64,70,0.0004528039823418204,256,2,8,4,COMPLETE
14,0.5,2026-02-23 06:33:35.067144,2026-02-23 06:34:16.858023,0 days 00:00:41.790879,0.29878566010111685,3,128,140,0.00020534343004718802,64,8,16,4,COMPLETE
5,0.5,2026-02-23 06:27:01.344740,2026-02-23 06:27:46.448423,0 days 00:00:45.103683,0.22458111111663934,4,32,50,0.0001715197555119702,128,4,8,2,COMPLETE
4,0.5,2026-02-23 06:26:25.810100,2026-02-23 06:27:01.344665,0 days 00:00:35.534565,0.06240728822056052,2,64,90,0.00010952935357606906,64,4,4,4,COMPLETE
7,0.5,2026-02-23 06:28:31.263716,2026-02-23 06:29:01.317669,0 days 00:00:30.053953,0.22818364256123447,1,64,20,0.0007702771156048601,256,8,4,8,COMPLETE
28,0.5,2026-02-23 06:46:47.611825,2026-02-23 06:47:28.397783,0 days 00:00:40.785958,0.20279198233063334,3,32,100,0.00022111230421922257,256,2,8,8,COMPLETE
25,0.5,2026-02-23 06:44:24.837867,2026-02-23 06:45:42.176790,0 days 00:01:17.338923,0.25355081284280717,3,128,110,0.00099939048672868,256,8,4,2,COMPLETE
23,0.5,2026-02-23 06:42:05.762808,2026-02-23 06:43:40.230233,0 days 00:01:34.467425,0.15520242245072388,3,128,130,0.000300764535818139,128,8,4,2,COMPLETE
21,0.5,2026-02-23 06:39:07.626102,2026-02-23 06:40:55.024795,0 days 00:01:47.398693,0.17081867573425008,3,128,140,0.00019292824569861923,256,8,4,2,COMPLETE
20,0.5,2026-02-23 06:38:29.164624,2026-02-23 06:39:07.626039,0 days 00:00:38.461415,0.22214846699887228,1,128,120,0.00016757065388539944,256,8,4,2,COMPLETE
40,0.5,2026-02-23 06:56:28.075315,2026-02-23 06:57:07.192697,0 days 00:00:39.117382,0.2172351380201748,3,32,40,0.00014542255347500506,256,4,8,2,COMPLETE
32,0.5,2026-02-23 06:49:48.802887,2026-02-23 06:50:33.823975,0 days 00:00:45.021088,0.1364292316643978,4,128,60,0.00025895144342535513,64,8,16,4,COMPLETE
30,0.5,2026-02-23 06:48:19.225947,2026-02-23 06:48:56.317556,0 days 00:00:37.091609,0.28415006079570715,2,128,140,0.00012892671490435253,32,4,16,4,COMPLETE
29,0.5,2026-02-23 06:47:28.397844,2026-02-23 06:48:19.225873,0 days 00:00:50.828029,0.15479998934267303,4,64,90,0.00019125592337977622,64,8,16,2,COMPLETE
27,0.5,2026-02-23 06:46:16.155200,2026-02-23 06:46:47.611764,0 days 00:00:31.456564,0.11225913905752588,1,128,120,0.0001535340198965801,64,8,4,4,COMPLETE
37,0.5,2026-02-23 06:54:18.054776,2026-02-23 06:55:02.766518,0 days 00:00:44.711742,0.19472086320995152,4,32,130,0.00022790384187985265,32,8,8,4,COMPLETE
36,0.5,2026-02-23 06:53:33.487081,2026-02-23 06:54:18.054696,0 days 00:00:44.567615,0.16926257485974458,4,64,50,0.0003769479743328935,64,4,4,4,COMPLETE
35,0.5,2026-02-23 06:52:46.449706,2026-02-23 06:53:33.487008,0 days 00:00:47.037302,0.239437632687189,3,128,70,0.00013335227771874502,64,8,16,8,COMPLETE
45,0.5,2026-02-23 07:04:01.155482,2026-02-23 07:06:08.416166,0 days 00:02:07.260684,0.18701392105209383,4,128,140,0.00039804013041992367,32,8,4,2,COMPLETE
39,0.5,2026-02-23 06:55:37.794318,2026-02-23 06:56:28.075249,0 days 00:00:50.280931,0.2715357447810234,5,64,100,0.00015865223027532099,128,8,4,8,COMPLETE
38,0.5,2026-02-23 06:55:02.766593,2026-02-23 06:55:37.794226,0 days 00:00:35.027633,0.025060136715553044,2,128,80,0.00012061720489348456,512,2,16,4,COMPLETE
42,0.5,2026-02-23 06:58:16.980987,2026-02-23 06:59:27.127136,0 days 00:01:10.146149,0.24162131010451615,2,128,130,0.00024063169073962025,256,8,4,2,COMPLETE
48,0.5,2026-02-23 07:07:32.289315,2026-02-23 07:08:17.219070,0 days 00:00:44.929755,0.05799579584253938,4,32,20,0.000198368955321728,256,4,8,4,COMPLETE
46,0.5,2026-02-23 07:06:08.416258,2026-02-23 07:06:53.246810,0 days 00:00:44.830552,0.1290428701250239,4,128,120,0.0003350022874503121,64,2,16,8,COMPLETE
49,0.5,2026-02-23 07:08:17.219150,2026-02-23 07:10:18.638304,0 days 00:02:01.419154,0.14391557048443582,5,64,140,0.0002673029491700914,64,8,4,2,COMPLETE
9,0.375,2026-02-23 06:29:35.827929,2026-02-23 06:30:52.501159,0 days 00:01:16.673230,0.11382454883229595,5,32,110,0.00053951933484218,512,4,16,2,COMPLETE
