number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
29,0.625,2026-02-24 09:45:58.446160,2026-02-24 09:47:09.396564,0 days 00:01:10.950404,0.1290453369367957,5,128,140,0.0005132748034348316,64,2,8,2,COMPLETE
33,0.625,2026-02-24 09:50:04.424626,2026-02-24 09:51:01.521841,0 days 00:00:57.097215,0.0743829750258547,5,128,110,0.00036047657734491795,64,2,8,2,COMPLETE
34,0.625,2026-02-24 09:51:01.521914,2026-02-24 09:52:12.716295,0 days 00:01:11.194381,0.07356376628182675,5,128,140,0.00037138301195098407,64,2,8,2,COMPLETE
35,0.625,2026-02-24 09:52:12.716390,2026-02-24 09:53:23.448201,0 days 00:01:10.731811,0.07151088127262424,5,128,140,0.0003518757529504447,64,2,8,2,COMPLETE
36,0.625,2026-02-24 09:53:23.448264,2026-02-24 09:54:34.382951,0 days 00:01:10.934687,0.025036735689110343,5,128,140,0.00037017266834522714,64,2,8,2,COMPLETE
39,0.625,2026-02-24 09:56:44.826429,2026-02-24 09:57:56.725010,0 days 00:01:11.898581,0.05231134306776708,5,128,140,0.0005566920548134368,64,2,8,2,COMPLETE
46,0.625,2026-02-24 10:05:15.299754,2026-02-24 10:06:12.792501,0 days 00:00:57.492747,0.1346372305648936,4,128,130,0.0002582150367862903,64,2,8,2,COMPLETE
49,0.625,2026-02-24 10:08:17.171470,2026-02-24 10:09:12.540149,0 days 00:00:55.368679,0.08918508586717883,4,128,120,0.00030406564726334834,64,2,8,2,COMPLETE
45,0.625,2026-02-24 10:04:03.143810,2026-02-24 10:05:15.299659,0 days 00:01:12.155849,0.05925201874098752,5,128,140,0.0003442898260512871,64,2,8,2,COMPLETE
8,0.5,2026-02-24 09:29:16.325403,2026-02-24 09:29:55.779912,0 days 00:00:39.454509,0.24359538229655414,3,128,60,0.00032250626557236875,512,2,8,4,COMPLETE
10,0.5,2026-02-24 09:30:30.456831,2026-02-24 09:31:22.105605,0 days 00:00:51.648774,0.18596730834593478,5,32,60,0.00027504208884559546,256,4,16,4,COMPLETE
3,0.5,2026-02-24 09:25:57.010063,2026-02-24 09:27:01.843003,0 days 00:01:04.832940,0.11894381341881284,4,128,110,0.00010384786944260616,32,8,16,2,COMPLETE
4,0.5,2026-02-24 09:27:01.843067,2026-02-24 09:27:33.224345,0 days 00:00:31.381278,0.11490734223001703,2,32,30,0.000130835839098394,32,8,8,8,COMPLETE
5,0.5,2026-02-24 09:27:33.224407,2026-02-24 09:28:05.350422,0 days 00:00:32.126015,0.05825952953142348,2,32,80,0.0006712281335193236,32,2,4,8,COMPLETE
6,0.5,2026-02-24 09:28:05.350484,2026-02-24 09:28:49.742284,0 days 00:00:44.391800,0.14482631821548297,4,64,110,0.0004908287961745201,512,2,4,4,COMPLETE
7,0.5,2026-02-24 09:28:49.742342,2026-02-24 09:29:16.325333,0 days 00:00:26.582991,0.04913957581197594,1,128,30,0.0001176128226206338,32,2,4,4,COMPLETE
1,0.5,2026-02-24 09:24:37.258794,2026-02-24 09:25:24.828065,0 days 00:00:47.569271,0.07861280275868744,5,32,40,0.0003172467916860233,64,8,4,4,COMPLETE
2,0.5,2026-02-24 09:25:24.828149,2026-02-24 09:25:57.009998,0 days 00:00:32.181849,0.24921458691151474,2,32,140,0.00016238236824493783,32,2,8,4,COMPLETE
47,0.5,2026-02-24 10:06:12.792566,2026-02-24 10:07:03.701394,0 days 00:00:50.908828,0.10862074727041235,5,128,110,0.0005056214708045362,256,2,8,8,COMPLETE
17,0.5,2026-02-24 09:35:25.180301,2026-02-24 09:36:04.541578,0 days 00:00:39.361277,0.0025479361054196736,3,32,80,0.00018312972030350673,32,2,4,4,COMPLETE
15,0.5,2026-02-24 09:33:54.895496,2026-02-24 09:34:34.805475,0 days 00:00:39.909979,0.09332535571247663,3,64,90,0.0008809765722628784,64,2,8,2,COMPLETE
16,0.5,2026-02-24 09:34:34.805534,2026-02-24 09:35:25.180234,0 days 00:00:50.374700,0.16339987372551462,5,32,120,0.00038700969080159546,64,8,4,4,COMPLETE
13,0.5,2026-02-24 09:32:41.791969,2026-02-24 09:33:21.062902,0 days 00:00:39.270933,0.07211031818946655,3,32,100,0.00016934509196985057,128,2,4,4,COMPLETE
12,0.5,2026-02-24 09:32:13.266492,2026-02-24 09:32:41.791903,0 days 00:00:28.525411,0.28231681015132654,1,32,140,0.00040460754290424285,64,8,8,4,COMPLETE
11,0.5,2026-02-24 09:31:22.105670,2026-02-24 09:32:13.266403,0 days 00:00:51.160733,0.20044763558804293,5,32,140,0.0002398760700731907,128,8,4,4,COMPLETE
14,0.5,2026-02-24 09:33:21.062963,2026-02-24 09:33:54.895435,0 days 00:00:33.832472,0.20158446030777255,2,32,60,0.00021374726085255792,256,4,16,4,COMPLETE
9,0.5,2026-02-24 09:29:55.779968,2026-02-24 09:30:30.456753,0 days 00:00:34.676785,0.27084217276469374,2,32,40,0.0001668864330780436,64,8,8,8,COMPLETE
28,0.5,2026-02-24 09:45:19.664655,2026-02-24 09:45:58.446075,0 days 00:00:38.781420,0.026718992510592857,3,64,90,0.00014806723296253809,64,4,16,8,COMPLETE
19,0.5,2026-02-24 09:36:49.577996,2026-02-24 09:37:16.662439,0 days 00:00:27.084443,0.2987228253532668,1,64,130,0.0001358847156521428,256,4,16,8,COMPLETE
20,0.5,2026-02-24 09:37:16.662499,2026-02-24 09:37:49.937166,0 days 00:00:33.274667,0.14700342828297755,2,32,70,0.00023463472764995334,512,8,8,4,COMPLETE
25,0.5,2026-02-24 09:43:00.571647,2026-02-24 09:43:45.518183,0 days 00:00:44.946536,0.11936332438386255,4,128,100,0.00011702152755807554,64,2,16,2,COMPLETE
23,0.5,2026-02-24 09:40:06.145215,2026-02-24 09:41:20.273010,0 days 00:01:14.127795,0.03682028075016339,4,128,120,0.00014873623804733554,32,8,16,2,COMPLETE
21,0.5,2026-02-24 09:37:49.937232,2026-02-24 09:39:03.010499,0 days 00:01:13.073267,0.12138676895513123,4,128,120,0.00010396664416286255,32,8,16,2,COMPLETE
22,0.5,2026-02-24 09:39:03.010587,2026-02-24 09:40:06.145166,0 days 00:01:03.134579,0.0968581369006184,5,128,100,0.00010285521968614608,32,8,16,2,COMPLETE
48,0.5,2026-02-24 10:07:03.701473,2026-02-24 10:08:17.171399,0 days 00:01:13.469926,0.06881596283810111,5,128,140,0.0006157837510525542,128,2,8,2,COMPLETE
41,0.5,2026-02-24 09:59:01.908003,2026-02-24 10:00:13.942864,0 days 00:01:12.034861,0.020440532738370494,5,128,140,0.00036743741560971605,64,2,8,2,COMPLETE
32,0.5,2026-02-24 09:49:07.780726,2026-02-24 09:50:04.424562,0 days 00:00:56.643836,0.10512242982042119,4,128,130,0.0005368514202675924,64,2,8,2,COMPLETE
31,0.5,2026-02-24 09:47:57.342992,2026-02-24 09:49:07.780650,0 days 00:01:10.437658,0.13648035037335016,5,128,140,0.0007019039927469257,64,2,8,2,COMPLETE
26,0.5,2026-02-24 09:43:45.518247,2026-02-24 09:44:34.385014,0 days 00:00:48.866767,0.159416036965992,5,32,110,0.00044586599483485104,32,8,4,4,COMPLETE
27,0.5,2026-02-24 09:44:34.385082,2026-02-24 09:45:19.664578,0 days 00:00:45.279496,0.24702138109729568,4,32,130,0.00027975710554786667,32,8,4,4,COMPLETE
30,0.5,2026-02-24 09:47:09.396631,2026-02-24 09:47:57.342922,0 days 00:00:47.946291,0.16946997626617494,5,64,20,0.0005677394387987926,64,2,8,2,COMPLETE
40,0.5,2026-02-24 09:57:56.725098,2026-02-24 09:59:01.907938,0 days 00:01:05.182840,0.0715842814056182,5,128,110,0.0007680858725296861,64,2,8,2,COMPLETE
38,0.5,2026-02-24 09:55:37.376390,2026-02-24 09:56:44.826364,0 days 00:01:07.449974,0.08592050468679686,5,128,130,0.00034577943944476253,64,2,8,2,COMPLETE
44,0.5,2026-02-24 10:02:30.859895,2026-02-24 10:04:03.143727,0 days 00:01:32.283832,0.04000160530787324,4,128,140,0.00045726029222056683,512,2,8,2,COMPLETE
42,0.5,2026-02-24 10:00:13.942922,2026-02-24 10:01:28.516570,0 days 00:01:14.573648,0.03907725248329433,5,128,130,0.0004088324124870433,64,2,8,2,COMPLETE
