number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 03:09:58.748164,2026-02-24 03:10:29.131512,0 days 00:00:30.383348,0.15872759535246866,4,128,90,0.00015904994289252038,256,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
1,0.5,2026-02-24 03:10:29.131551,2026-02-24 03:11:17.798978,0 days 00:00:48.667427,0.15669840739500468,3,128,140,0.0002719162632774335,64,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 03:11:17.799017,2026-02-24 03:11:48.294705,0 days 00:00:30.495688,0.1957887725545955,4,64,110,0.0006889119121837911,256,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
4,0.5,2026-02-24 03:12:23.895703,2026-02-24 03:12:38.936385,0 days 00:00:15.040682,0.09157110445959951,1,32,20,0.00012089562649272367,32,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 03:12:38.936425,2026-02-24 03:13:14.457592,0 days 00:00:35.521167,0.26037591500438073,5,32,90,0.0006631966316139514,32,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 03:13:14.457630,2026-02-24 03:13:39.872647,0 days 00:00:25.415017,0.14436258432731622,3,64,110,0.00013181364007061025,256,4,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.5,2026-02-24 03:14:15.562569,2026-02-24 03:14:46.045742,0 days 00:00:30.483173,0.09436447722764559,4,64,20,0.0004985849658208723,256,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 03:13:39.872703,2026-02-24 03:14:15.562529,0 days 00:00:35.689826,0.11475495988180122,5,128,30,0.0004248778709208921,32,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 03:14:46.045782,2026-02-24 03:15:08.784070,0 days 00:00:22.738288,0.1746572039618214,2,64,90,0.00011583010348951827,512,8,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
10,0.5,2026-02-24 03:15:08.784109,2026-02-24 03:15:29.173039,0 days 00:00:20.388930,0.017729024187560782,2,128,60,0.0002067209959450289,128,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
14,0.5,2026-02-24 03:17:06.849727,2026-02-24 03:17:32.188174,0 days 00:00:25.338447,0.2779138616013418,3,128,70,0.00016404263079403591,128,2,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
11,0.5,2026-02-24 03:15:29.173077,2026-02-24 03:16:00.239894,0 days 00:00:31.066817,0.23243342091005126,3,128,140,0.00024150592020125595,64,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
12,0.5,2026-02-24 03:16:00.239932,2026-02-24 03:16:38.807067,0 days 00:00:38.567135,0.20305268083517025,4,128,140,0.00020729315184776483,64,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
13,0.5,2026-02-24 03:16:38.807106,2026-02-24 03:17:06.849660,0 days 00:00:28.042554,0.14462503771784724,2,128,120,0.0003059820763324394,64,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
17,0.5,2026-02-24 03:18:17.791433,2026-02-24 03:18:46.655577,0 days 00:00:28.864144,0.23072585476200008,3,128,100,0.0004116752826174086,64,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
16,0.5,2026-02-24 03:18:02.765949,2026-02-24 03:18:17.791395,0 days 00:00:15.025446,0.16780890162778822,1,32,80,0.00016849932899752932,64,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
19,0.5,2026-02-24 03:19:17.099481,2026-02-24 03:19:37.497508,0 days 00:00:20.398027,0.19789030934072763,2,32,40,0.000101910580500626,128,4,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
18,0.5,2026-02-24 03:18:46.655615,2026-02-24 03:19:17.099442,0 days 00:00:30.443827,0.1330110941217954,4,128,130,0.00026125983599660724,256,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
42,0.5,2026-02-24 03:29:43.332447,2026-02-24 03:30:18.937319,0 days 00:00:35.604872,0.25059995241850275,5,32,60,0.00044992551995054665,32,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
35,0.5,2026-02-24 03:26:18.759060,2026-02-24 03:26:54.631358,0 days 00:00:35.872298,0.0625268979794161,5,32,40,0.00027772391797697244,32,4,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
20,0.5,2026-02-24 03:19:37.497549,2026-02-24 03:20:08.057619,0 days 00:00:30.560070,0.05989631316964285,4,128,70,0.00015938460954281948,512,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
21,0.5,2026-02-24 03:20:08.057669,2026-02-24 03:20:38.566424,0 days 00:00:30.508755,0.18484013329772697,4,64,100,0.0009058758439948432,256,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
22,0.5,2026-02-24 03:20:38.566463,2026-02-24 03:21:03.937083,0 days 00:00:25.370620,0.22790316409382685,3,64,120,0.0005623905140256587,256,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
23,0.5,2026-02-24 03:21:03.937120,2026-02-24 03:21:39.516802,0 days 00:00:35.579682,0.1183430345260743,5,64,110,0.00039587783756681174,256,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
25,0.5,2026-02-24 03:22:04.773292,2026-02-24 03:22:35.342284,0 days 00:00:30.568992,0.20784197596302578,4,64,100,0.0002447590897333795,64,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
26,0.5,2026-02-24 03:22:35.342323,2026-02-24 03:23:05.833077,0 days 00:00:30.490754,0.18164015590067628,4,128,130,0.00035480008412804823,256,8,16,8,"[0.5, 0.5, 1.0, 1.0]",COMPLETE
30,0.5,2026-02-24 03:24:47.804845,2026-02-24 03:25:13.436204,0 days 00:00:25.631359,0.29010258814678735,3,128,90,0.0007597579112282697,32,4,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
27,0.5,2026-02-24 03:23:05.833118,2026-02-24 03:23:41.427542,0 days 00:00:35.594424,0.2500993132618632,5,64,80,0.0005061781212507842,256,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
28,0.5,2026-02-24 03:23:41.427582,2026-02-24 03:24:12.122368,0 days 00:00:30.694786,0.12113558591987442,4,32,110,0.00018553226369063535,64,4,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
29,0.5,2026-02-24 03:24:12.122408,2026-02-24 03:24:47.804803,0 days 00:00:35.682395,0.0908161850401472,5,128,50,0.00013479863760207177,256,2,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
32,0.5,2026-02-24 03:25:28.427651,2026-02-24 03:25:43.445707,0 days 00:00:15.018056,0.07092037569106419,1,32,70,0.0001036967714433648,32,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
31,0.5,2026-02-24 03:25:13.436243,2026-02-24 03:25:28.427613,0 days 00:00:14.991370,0.1010462399788217,1,32,20,0.00013684467067752974,32,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
33,0.5,2026-02-24 03:25:43.445746,2026-02-24 03:26:03.634756,0 days 00:00:20.189010,0.152131965838085,2,32,50,0.00011888232227042767,32,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
34,0.5,2026-02-24 03:26:03.634795,2026-02-24 03:26:18.759021,0 days 00:00:15.124226,0.13503354656872502,1,32,90,0.0006252009655085609,32,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
46,0.5,2026-02-24 03:31:50.641254,2026-02-24 03:32:21.153943,0 days 00:00:30.512689,0.15016157953127424,4,128,120,0.000478591719818889,128,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
43,0.5,2026-02-24 03:30:18.937359,2026-02-24 03:30:44.385102,0 days 00:00:25.447743,0.18602200086645337,3,32,110,0.000362606016796076,32,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
36,0.5,2026-02-24 03:26:54.631397,2026-02-24 03:27:14.853016,0 days 00:00:20.221619,0.16318238386803796,2,64,110,0.0001488156695667482,256,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
