cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,AMZN_price,2025-01-03,-0.014347237,-0.031359553,-0.03091293,0.020570647,0.038638625,0.017866865271653997,-1,-0.017866865271653997,0.9822918008052535,1.0180274325615157
2024-12-23,AMZN_price,2025-01-03,-0.010604563,-0.021204293,-0.014063635,0.003947305,0.012112029,0.017866865271653997,-1,-0.017866865271653997,0.9648971819292277,1.0363798534477915
2024-12-24,AMZN_price,2025-01-03,0.0034232493,-0.02288124,-0.0124967005,0.020546451,0.0265898,0.017866865271653997,1,0.017866865271653997,0.9822918008052535,1.055063121363935
2024-12-26,AMZN_price,2025-01-03,0.020861022,-0.014185459,0.0012093643,0.025495268,0.0353957,0.017866865271653997,1,0.017866865271653997,1.0,1.0740832006324657
2024-12-27,AMZN_price,2025-01-03,0.0048513804,-0.012155867,-0.008131722,0.0212743,0.028118653,0.017866865271653997,1,0.017866865271653997,1.0180274325615157,1.0934461630973245
2024-12-30,AMZN_price,2025-01-03,0.013742582,-0.016539197,-0.0008807834,0.020625208,0.026570097,0.017866865271653997,1,0.017866865271653997,1.0363798534477915,1.1131581900622096
2024-12-31,AMZN_price,2025-01-03,0.000358304,-0.0008693845,-0.0016333773,0.011469323,0.026519544,0.017866865271653997,1,0.017866865271653997,1.055063121363935,1.133225574263855
2025-01-03,AMZN_price,2025-01-06,0.010986684,-0.022749681,-0.016352396,0.036190383,0.0537519,0.015139723199454136,1,0.015139723199454136,1.0711580136601668,1.1505128276952266
2025-01-06,AMZN_price,2025-01-07,-0.0002464922,-0.02644656,-0.017177543,0.014675829,0.026441887,-0.02446088330127337,-1,0.02446088330127337,1.0976825693260155,1.122711674251374
2025-01-07,AMZN_price,2025-01-08,0.0153987575,0.0023862831,0.010608451,0.022977455,0.027875004,9.006065292234922e-05,1,9.006065292234922e-05,1.0977814317866526,1.1228127909510504
2025-01-08,AMZN_price,2025-01-10,0.008816518,-0.022394082,-0.010723061,0.021734176,0.027757352,-0.01446508722386957,1,-0.01446508722386957,1.0820162250583794,1.1066881096129049
2025-01-10,AMZN_price,2025-01-13,-0.0038329475,-0.013779248,-0.013951802,0.010456999,0.017492589,-0.002194768679336334,-1,0.002194768679336334,1.0843936083285182,1.1042618487267764
2025-01-13,AMZN_price,2025-01-14,0.0010382549,-0.020271704,-0.014505632,0.018472083,0.023826916,-0.0032094484707197966,1,-0.0032094484707197966,1.0809188818809865,1.1007234584030954
2025-01-14,AMZN_price,2025-01-15,-0.00030860258,-0.016939243,-0.013832757,0.014274382,0.025475234,0.025346561447878488,-1,-0.025346561447878488,1.0538656071119483,1.1289795984307691
2025-01-15,AMZN_price,2025-01-16,9.28957e-05,-0.03327865,-0.015631087,0.017259564,0.024253516,-0.012117003196939351,1,-0.012117003196939351,1.0411729678525998,1.1153822946784286
2025-01-16,AMZN_price,2025-01-17,-0.013770462,-0.030396853,-0.024787258,-0.00084472355,0.00580893,0.02364641617601076,-1,-0.02364641617601076,1.016841765144375,1.1420713958141715
2025-01-17,AMZN_price,2025-01-21,-0.002785923,-0.022367397,-0.011826241,0.007154897,0.012487272,0.02089205157407654,-1,-0.02089205157407654,0.9958182316044064,1.1661825995789932
2025-01-21,AMZN_price,2025-01-22,0.014641082,0.0007860232,0.0039270353,0.0188047,0.021555858,0.018466503377704703,1,0.018466503377704703,1.0143783552024495,1.1879179851133599
2025-01-22,AMZN_price,2025-01-23,-0.00917639,-0.039023608,-0.030312983,0.013666773,0.022959586,0.0017431021503980866,-1,-0.0017431021503980866,1.0126117302613558,1.189990453244786
2025-01-23,AMZN_price,2025-01-24,0.012010839,-0.0038421927,0.0026924252,0.017056191,0.019844415,-0.0024241067445138365,1,-0.0024241067445138365,1.0101600241357114,1.1871092829042789
2025-01-24,AMZN_price,2025-01-27,0.009013481,-0.008914519,0.00042426726,0.024595764,0.036377273,0.002424106744513845,1,0.002424106744513845,1.0126117302613558,1.189990453244786
2025-01-27,AMZN_price,2025-01-28,0.007969199,-0.019897314,-0.0077845044,0.019447275,0.025009997,0.01152955641148476,1,0.01152955641148476,1.0243542573141577,1.203789913267036
2025-01-28,AMZN_price,2025-01-29,0.003064326,-0.01992016,-0.014022256,0.016802978,0.027323801,-0.004545214548105975,1,-0.004545214548105975,1.0197089124831884,1.1983308455556074
2025-01-29,AMZN_price,2025-01-30,0.010735129,-0.01742152,-0.010966072,0.03561433,0.042670786,-0.01030306500192206,1,-0.01030306500192206,1.0092567225319837,1.1860477503812858
2025-01-30,AMZN_price,2025-01-31,0.01158794,-0.016896222,-0.011730505,0.038201887,0.0501299,0.012872778270920829,1,0.012872778270920829,1.022332641678176,1.201414172166024
2025-01-31,AMZN_price,2025-02-03,0.014534205,-0.006349709,0.002388563,0.035244808,0.043084435,-0.0010944834258047257,1,-0.0010944834258047257,1.0212143276459218,1.200099963588005
2025-02-03,AMZN_price,2025-02-04,0.009095694,-0.010976373,-0.0045502284,0.024768405,0.03396706,0.01935490231141661,1,0.01935490231141661,1.0411723509528106,1.2235540244990954
2025-02-04,AMZN_price,2025-02-05,-0.0012105219,-0.018484145,-0.0084092505,0.016468344,0.022025332,-0.024633742288564034,-1,0.024633742288564034,1.067138835092104,1.1937815196234929
2025-02-05,AMZN_price,2025-02-06,0.011521876,-0.0063050855,-0.0037965998,0.02934884,0.036941186,0.011200132499427723,1,0.011200132499427723,1.0791581145574556,1.2072271868910407
2025-02-06,AMZN_price,2025-02-07,0.016688881,-0.01683598,-0.0047814446,0.027264558,0.03265803,-0.041375225115693685,1,-0.041375225115693685,1.0354188061310308,1.1582971167225498
2025-02-07,AMZN_price,2025-02-10,-0.018733893,-0.039734963,-0.040623926,0.0078005157,0.026378017,0.01726234455405195,-1,-0.01726234455405195,1.017698437532747,1.1784656176238715
2025-02-10,AMZN_price,2025-02-11,-0.0022858977,-0.03255912,-0.023478867,0.022937503,0.03842105,-0.0016312726853763525,-1,0.0016312726853763525,1.0193599360059382,1.1765447859772382
2025-02-11,AMZN_price,2025-02-12,0.0028841665,-0.025388641,-0.012817248,0.02036439,0.03568952,-0.016591608211964908,1,-0.016591608211964908,1.0025866480116739,1.1571850644144406
2025-02-12,AMZN_price,2025-02-13,0.0008642338,-0.010234658,-0.010183115,0.018113907,0.024642665,0.006270442838655877,1,0.006270442838655877,1.0088930616186615,1.1644639242022692
