epoch,ptl/val_loss,step,train_loss_epoch,train_loss_step,valid_loss
0,,0,0.15240174531936646,,
1,,1,0.11278604716062546,,
2,,2,0.10961224138736725,,
3,,3,0.11049807071685791,,
4,,4,0.09679297357797623,,
5,,5,0.10568490624427795,,
6,,6,0.09206151962280273,,
7,,7,0.07712110131978989,,
8,,8,0.08957478404045105,,
9,,9,0.07234341651201248,,
10,,10,0.07542788982391357,,
11,,11,0.07202006131410599,,
12,,12,0.05522717908024788,,
13,,13,0.05870611220598221,,
14,,14,0.05804627388715744,,
15,,15,0.050646111369132996,,
16,,16,0.0580856017768383,,
17,,17,0.05343174561858177,,
18,,18,0.047892581671476364,,
19,,19,0.0471397303044796,,
20,,20,0.047440532594919205,,
21,,21,0.049250077456235886,,
22,,22,0.054885510355234146,,
23,,23,0.049893785268068314,,
24,,24,0.04288318008184433,,
25,,25,0.04809242859482765,,
26,,26,0.05201548710465431,,
27,,27,0.04774755239486694,,
28,,28,0.045498527586460114,,
29,,29,0.04527070000767708,,
30,,30,0.0476454496383667,,
31,,31,0.0471341498196125,,
32,,32,0.04729539901018143,,
33,,33,0.03976602479815483,,
34,,34,0.044508375227451324,,
35,,35,0.05136488378047943,,
36,,36,0.04103117063641548,,
37,,37,0.04351940006017685,,
38,,38,0.04256685450673103,,
39,,39,0.04464498907327652,,
40,,40,0.04550023004412651,,
41,,41,0.04436669126152992,,
42,,42,0.046581052243709564,,
43,,43,0.046501412987709045,,
44,,44,0.05024970322847366,,
45,,45,0.03905409947037697,,
46,,46,0.045166198164224625,,
47,,47,0.046400535851716995,,
48,,48,0.046264879405498505,,
49,,49,,0.04464394226670265,
49,0.059236880391836166,49,,,0.059236880391836166
49,,49,0.04464394226670265,,
50,,50,0.050450943410396576,,
51,,51,0.04805554077029228,,
52,,52,0.04868318513035774,,
53,,53,0.05085828900337219,,
54,,54,0.04716852307319641,,
55,,55,0.04808323457837105,,
56,,56,0.04555533081293106,,
57,,57,0.047219548374414444,,
58,,58,0.0437195710837841,,
59,,59,0.04428781941533089,,
60,,60,0.04824896529316902,,
61,,61,0.049996908754110336,,
62,,62,0.04925701022148132,,
63,,63,0.047968488186597824,,
64,,64,0.04787152260541916,,
65,,65,0.04248526692390442,,
66,,66,0.04385317489504814,,
67,,67,0.042860858142375946,,
68,,68,0.043399278074502945,,
69,,69,0.04346821829676628,,
70,,70,0.044306136667728424,,
71,,71,0.03966478258371353,,
72,,72,0.049867380410432816,,
73,,73,0.0408133789896965,,
74,,74,0.04268946126103401,,
75,,75,0.04695941507816315,,
76,,76,0.047717832028865814,,
77,,77,0.04551194980740547,,
78,,78,0.047691259533166885,,
79,,79,0.038876622915267944,,
80,,80,0.04648003727197647,,
81,,81,0.04101587459445,,
82,,82,0.04335304722189903,,
83,,83,0.03780851513147354,,
84,,84,0.049139924347400665,,
85,,85,0.04247795790433884,,
86,,86,0.04756265878677368,,
87,,87,0.040537066757678986,,
88,,88,0.04385128617286682,,
89,,89,0.04126479849219322,,
90,,90,0.043311845511198044,,
91,,91,0.04278286546468735,,
92,,92,0.04748563840985298,,
93,,93,0.05019160360097885,,
94,,94,0.04575503244996071,,
95,,95,0.04621320962905884,,
96,,96,0.04391506314277649,,
97,,97,0.047708917409181595,,
98,,98,0.045723751187324524,,
99,,99,,0.04431622102856636,
99,0.057636987417936325,99,,,0.057636987417936325
99,,99,0.04431622102856636,,
100,,100,0.047240257263183594,,
101,,101,0.04658139497041702,,
102,,102,0.046836722642183304,,
103,,103,0.04561799392104149,,
104,,104,0.04219823330640793,,
105,,105,0.042097307741642,,
106,,106,0.047908615320920944,,
107,,107,0.0472126230597496,,
108,,108,0.05296579375863075,,
109,,109,0.048129577189683914,,
110,,110,0.03774736821651459,,
111,,111,0.04524080827832222,,
112,,112,0.04125558212399483,,
113,,113,0.04136044532060623,,
114,,114,0.04594354331493378,,
115,,115,0.04286380484700203,,
116,,116,0.044332198798656464,,
117,,117,0.03870007395744324,,
118,,118,0.039623141288757324,,
119,,119,0.04907264560461044,,
120,,120,0.04256650060415268,,
121,,121,0.042589135468006134,,
122,,122,0.049689874053001404,,
123,,123,0.04916287213563919,,
124,,124,0.043905142694711685,,
125,,125,0.04855028912425041,,
126,,126,0.04623028635978699,,
127,,127,0.04381033778190613,,
128,,128,0.04170210286974907,,
129,,129,0.03953324630856514,,
130,,130,0.04551682993769646,,
131,,131,0.04323013126850128,,
132,,132,0.043154340237379074,,
133,,133,0.0393381305038929,,
134,,134,0.04126458615064621,,
135,,135,0.04515242576599121,,
136,,136,0.04455239325761795,,
137,,137,0.044199299067258835,,
138,,138,0.048108842223882675,,
139,,139,0.04433208703994751,,
140,,140,0.04191836342215538,,
141,,141,0.04444800317287445,,
142,,142,0.04353412613272667,,
143,,143,0.046897225081920624,,
144,,144,0.04589807614684105,,
145,,145,0.04670659452676773,,
146,,146,0.043419886380434036,,
147,,147,0.04929933324456215,,
148,,148,0.04272652789950371,,
149,,149,,0.03923177719116211,
149,0.057866256684064865,149,,,0.057866256684064865
149,,149,0.03923177719116211,,
150,,150,0.051079947501420975,,
151,,151,0.038274917751550674,,
152,,152,0.0436319038271904,,
153,,153,0.04470725357532501,,
154,,154,0.04529513418674469,,
155,,155,0.05121944099664688,,
156,,156,0.04026292264461517,,
157,,157,0.044960808008909225,,
158,,158,0.03991880640387535,,
159,,159,0.042686909437179565,,
160,,160,0.04222484305500984,,
161,,161,0.04123329371213913,,
162,,162,0.04228029027581215,,
163,,163,0.04348323494195938,,
164,,164,0.038636934012174606,,
165,,165,0.04626680910587311,,
166,,166,0.04824056476354599,,
167,,167,0.04222877323627472,,
168,,168,0.04414752498269081,,
169,,169,0.04411054030060768,,
170,,170,0.044171467423439026,,
171,,171,0.038851987570524216,,
172,,172,0.042052045464515686,,
173,,173,0.04687541350722313,,
174,,174,0.04181889817118645,,
175,,175,0.04267795383930206,,
176,,176,0.04352700710296631,,
177,,177,0.04086912050843239,,
178,,178,0.042857035994529724,,
179,,179,0.03842168301343918,,
180,,180,0.04437674209475517,,
181,,181,0.04278954863548279,,
182,,182,0.04685792699456215,,
183,,183,0.041419047862291336,,
184,,184,0.043042466044425964,,
185,,185,0.041710760444402695,,
186,,186,0.04078594222664833,,
187,,187,0.04232944920659065,,
188,,188,0.042317986488342285,,
189,,189,0.043579842895269394,,
190,,190,0.042530376464128494,,
191,,191,0.046718381345272064,,
192,,192,0.04473837465047836,,
193,,193,0.044936973601579666,,
194,,194,0.04352978989481926,,
195,,195,0.04668544977903366,,
196,,196,0.0468478798866272,,
197,,197,0.04467420652508736,,
198,,198,0.04307275637984276,,
199,,199,,0.04295773431658745,
199,0.05792224779725075,199,,,0.05792224779725075
199,,199,0.04295773431658745,,
200,,200,0.04802747443318367,,
201,,201,0.043855566531419754,,
202,,202,0.04045778140425682,,
203,,203,0.04215222969651222,,
204,,204,0.04242891073226929,,
205,,205,0.04627886041998863,,
206,,206,0.04706086218357086,,
207,,207,0.03978171572089195,,
208,,208,0.04000472649931908,,
209,,209,0.043008316308259964,,
210,,210,0.04086543992161751,,
211,,211,0.03996841236948967,,
212,,212,0.0421142503619194,,
213,,213,0.04390634596347809,,
214,,214,0.041631005704402924,,
215,,215,0.04355598986148834,,
216,,216,0.04395390674471855,,
217,,217,0.03987510874867439,,
218,,218,0.04724980890750885,,
219,,219,0.04512131214141846,,
220,,220,0.03662431612610817,,
221,,221,0.042640917003154755,,
222,,222,0.03783890977501869,,
223,,223,0.04301679879426956,,
224,,224,0.038310181349515915,,
225,,225,0.04416612535715103,,
226,,226,0.043361846357584,,
227,,227,0.03985574468970299,,
228,,228,0.0425737202167511,,
229,,229,0.04101905971765518,,
230,,230,0.034873511642217636,,
231,,231,0.03869417682290077,,
232,,232,0.041354574263095856,,
233,,233,0.03924402594566345,,
234,,234,0.04033429175615311,,
235,,235,0.04434170946478844,,
236,,236,0.04625433683395386,,
237,,237,0.038895297795534134,,
238,,238,0.03950006514787674,,
239,,239,0.03609240800142288,,
240,,240,0.039687834680080414,,
241,,241,0.04529350996017456,,
242,,242,0.04169106110930443,,
243,,243,0.03998355194926262,,
244,,244,0.03924519568681717,,
245,,245,0.04268025979399681,,
246,,246,0.045348938554525375,,
247,,247,0.041943978518247604,,
248,,248,0.0323086716234684,,
249,,249,,0.03948858380317688,
249,0.058493055403232574,249,,,0.058493055403232574
249,,249,0.03948858380317688,,
250,,250,0.04530986398458481,,
251,,251,0.038801997900009155,,
252,,252,0.042356058955192566,,
253,,253,0.03951815143227577,,
254,,254,0.03970537707209587,,
255,,255,0.040198422968387604,,
256,,256,0.04216392710804939,,
257,,257,0.04140952229499817,,
258,,258,0.03911380469799042,,
259,,259,0.042167987674474716,,
260,,260,0.03918764367699623,,
261,,261,0.04422629624605179,,
262,,262,0.045727360993623734,,
263,,263,0.049808911979198456,,
264,,264,0.03450873866677284,,
265,,265,0.04232320934534073,,
266,,266,0.03930613026022911,,
267,,267,0.04523427039384842,,
268,,268,0.03755499795079231,,
269,,269,0.046373553574085236,,
270,,270,0.03965599834918976,,
271,,271,0.04088008403778076,,
272,,272,0.040640391409397125,,
273,,273,0.037600401788949966,,
274,,274,0.03879458084702492,,
275,,275,0.039994142949581146,,
276,,276,0.043908219784498215,,
277,,277,0.04114477336406708,,
278,,278,0.04008801281452179,,
279,,279,0.0441354401409626,,
280,,280,0.039819519966840744,,
281,,281,0.04011474549770355,,
282,,282,0.03886807709932327,,
283,,283,0.040727585554122925,,
284,,284,0.043365415185689926,,
285,,285,0.038801245391368866,,
286,,286,0.04188283905386925,,
287,,287,0.037119392305612564,,
288,,288,0.04149456322193146,,
289,,289,0.03860308229923248,,
290,,290,0.040824588388204575,,
291,,291,0.04074489697813988,,
292,,292,0.04410363733768463,,
293,,293,0.04011622816324234,,
294,,294,0.04340536147356033,,
295,,295,0.04070821404457092,,
296,,296,0.040906719863414764,,
297,,297,0.03816978633403778,,
298,,298,0.038102734833955765,,
299,,299,,0.041074175387620926,
299,0.0593574158847332,299,,,0.0593574158847332
299,,299,0.041074175387620926,,
300,,300,0.03896477445960045,,
301,,301,0.0399857759475708,,
302,,302,0.039373163133859634,,
303,,303,0.039269544184207916,,
304,,304,0.04020010307431221,,
305,,305,0.043265730142593384,,
306,,306,0.04052357003092766,,
307,,307,0.04034564644098282,,
308,,308,0.038197219371795654,,
309,,309,0.040048036724328995,,
310,,310,0.040677350014448166,,
311,,311,0.03929004445672035,,
312,,312,0.04012322053313255,,
313,,313,0.04089900478720665,,
314,,314,0.04296782240271568,,
315,,315,0.03397137671709061,,
316,,316,0.04161598160862923,,
317,,317,0.03466487303376198,,
318,,318,0.04410847648978233,,
319,,319,0.03956771641969681,,
320,,320,0.04088398814201355,,
321,,321,0.038051992654800415,,
322,,322,0.03981523588299751,,
323,,323,0.042737267911434174,,
324,,324,0.04331565648317337,,
325,,325,0.03790172189474106,,
326,,326,0.0393836572766304,,
327,,327,0.04023485258221626,,
328,,328,0.03778938576579094,,
329,,329,0.041880134493112564,,
330,,330,0.040489502251148224,,
331,,331,0.04167437553405762,,
332,,332,0.03712280094623566,,
333,,333,0.0403548926115036,,
334,,334,0.03735437989234924,,
335,,335,0.035670507699251175,,
336,,336,0.0350971482694149,,
337,,337,0.03825235366821289,,
338,,338,0.0353732593357563,,
339,,339,0.0390135757625103,,
340,,340,0.035346511751413345,,
341,,341,0.03955262899398804,,
342,,342,0.042145244777202606,,
343,,343,0.04123289883136749,,
344,,344,0.03976953774690628,,
345,,345,0.042898088693618774,,
346,,346,0.03746122866868973,,
347,,347,0.04197412356734276,,
348,,348,0.03907662257552147,,
349,,349,,0.04166186973452568,
349,0.06127525120973587,349,,,0.06127525120973587
349,,349,0.04166186973452568,,
350,,350,0.04160387068986893,,
351,,351,0.04132232069969177,,
352,,352,0.04290809854865074,,
353,,353,0.03989115729928017,,
354,,354,0.037703197449445724,,
355,,355,0.03949112445116043,,
