cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,AXP_price,2025-01-03,-0.00060834363,-0.0312443,-0.01812926,0.03282519,0.03507764,0.01780967257972732,-1,-0.01780967257972732,0.9823479823241699,1.0179692104971465
2024-12-23,AXP_price,2025-01-03,0.0009088226,-0.037546773,-0.018549668,0.013425188,0.03373112,0.01780967257972732,1,0.01780967257972732,1.0,1.0362613135201837
2024-12-24,AXP_price,2025-01-03,0.004531716,-0.028146608,-0.020361667,0.023653302,0.045720845,0.01780967257972732,1,0.01780967257972732,1.0179692104971465,1.0548821111928774
2024-12-26,AXP_price,2025-01-03,-0.0034365188,-0.037970662,-0.023574082,0.02138648,0.028476002,0.01780967257972732,-1,-0.01780967257972732,1.0,1.0738375098985766
2024-12-27,AXP_price,2025-01-03,0.004090639,-0.03660076,-0.016849387,0.026455253,0.03610059,0.01780967257972732,1,0.01780967257972732,1.0179692104971465,1.0931335221536758
2024-12-30,AXP_price,2025-01-03,0.0005090041,-0.033880573,-0.023990603,0.016506057,0.034354,0.01780967257972732,1,0.01780967257972732,1.0362613135201837,1.1127762685147422
2024-12-31,AXP_price,2025-01-03,-0.00210649,-0.024912018,-0.01015246,0.024581723,0.03739099,0.01780967257972732,-1,-0.01780967257972732,1.0179692104971465,1.132771979519913
2025-01-03,AXP_price,2025-01-06,0.0070098927,-0.016987184,-0.0070520993,0.031508707,0.036091212,-0.003967152730947497,1,-0.003967152730947497,1.0139387711339864,1.1282870022449007
2025-01-06,AXP_price,2025-01-07,0.0037305322,-0.0165735,-0.009258719,0.030491123,0.042976893,0.00046363094949556066,1,0.00046363094949556066,1.0144089735209445,1.1288102323025067
2025-01-07,AXP_price,2025-01-08,0.0053337137,-0.023530087,-0.015894104,0.013635505,0.01833023,0.002744488681464519,1,0.002744488681464519,1.017196831339367,1.1319124943228405
2025-01-08,AXP_price,2025-01-10,-0.0013977315,-0.03849198,-0.023346912,0.0048168544,0.017604396,-0.03204172591578684,-1,0.03204172591578684,1.0503173592381596,1.0962189593950693
2025-01-10,AXP_price,2025-01-13,0.009052031,-0.03393425,-0.004915932,0.027063794,0.0368278,0.012603351668645447,1,0.012603351668645447,1.0636386483923028,1.1101224235298979
2025-01-13,AXP_price,2025-01-14,0.0033326503,-0.023854883,-0.014482109,0.03375264,0.046978883,0.011182413029443047,1,0.011182413029443047,1.0755994457230724,1.1226059388104432
2025-01-14,AXP_price,2025-01-15,-0.0003376957,-0.029573034,-0.023153197,0.025541645,0.02886736,0.0390464817636022,-1,-0.0390464817636022,1.0344104473422555,1.167306777162146
2025-01-15,AXP_price,2025-01-16,0.016282056,-0.027375028,-0.009179238,0.03798599,0.04460294,-0.0026930448366405007,1,-0.0026930448366405007,1.0316284812890792,1.1641673968165092
2025-01-16,AXP_price,2025-01-17,-0.01479853,-0.02232511,-0.016587757,0.014349193,0.018980548,0.0034612405848614422,-1,-0.0034612405848614422,1.0280639393484141,1.1682038417817298
2025-01-17,AXP_price,2025-01-21,0.0014900328,-0.025018401,-0.01648466,0.024345525,0.022937108,0.01709761107303426,1,0.01709761107303426,1.0457925029059267,1.1883490635568308
2025-01-21,AXP_price,2025-01-22,-0.0071826093,-0.04383769,-0.03381851,0.021557434,0.030435972,0.013433624724641137,-1,-0.013433624724641137,1.0318376607976123,1.2044206067671068
2025-01-22,AXP_price,2025-01-23,-0.0063665165,-0.040286712,-0.0302681,0.021093935,0.026776746,0.011170873831675754,-1,-0.011170873831675754,1.0203752741093377,1.2179504668885623
2025-01-23,AXP_price,2025-01-24,0.009134638,-0.025423465,-0.020379586,0.026064236,0.028803062,-0.013998772668073506,1,-0.013998772668073506,1.0061907869550815,1.201019438481214
2025-01-24,AXP_price,2025-01-27,0.0021468103,-0.014694287,-0.0066593955,0.016835427,0.025955439,-0.015429210673565912,1,-0.015429210673565912,0.9907852108851523,1.1826308817970708
2025-01-27,AXP_price,2025-01-28,0.004648906,-0.0167205,-0.0056597814,0.015894756,0.029817034,0.001957285844939766,1,0.001957285844939766,0.9927263598257591,1.184947895270938
2025-01-28,AXP_price,2025-01-29,0.0048884787,-0.012969805,-0.010338723,0.010048083,0.03118005,-0.0056618661550104695,1,-0.0056618661550104695,0.9871215578398362,1.178257835869478
2025-01-29,AXP_price,2025-01-30,-0.003082733,-0.023101931,-0.012824726,0.022122828,0.016537862,0.011668475073125266,-1,-0.011668475073125266,0.9756702938691333,1.1920868328050969
2025-01-30,AXP_price,2025-01-31,0.00012098998,-0.019069375,-0.012148289,0.0059598354,0.00646081,-0.004713980993919476,1,-0.004713980993919476,0.9710818261193122,1.186480582392756
2025-01-31,AXP_price,2025-02-03,0.004364135,-0.0304749,-0.017577019,0.030095344,0.045003615,-0.002902483722238708,1,-0.002902483722238708,0.9682673633680494,1.1830418346843514
2025-02-03,AXP_price,2025-02-04,0.008149216,-0.012170171,-0.010350324,0.024244355,0.031035388,-0.002213922330169792,1,-0.002213922330169792,0.9661260658385444,1.1804255691220187
2025-02-04,AXP_price,2025-02-05,0.007866509,-0.018495578,-0.0046007223,0.0061472403,0.013626748,0.014771787839107384,1,0.014771787839107384,0.9805034031634557,1.1979919894829967
2025-02-05,AXP_price,2025-02-06,0.0064905873,-0.018544132,-0.008523541,0.020542964,0.020023653,-0.0011862660851871987,1,-0.0011862660851871987,0.9793409548526948,1.1965716948058067
2025-02-06,AXP_price,2025-02-07,-0.0037914591,-0.020757344,-0.020402968,0.008134941,0.011402739,-0.010613617197995771,-1,0.010613617197995771,0.9897906613506698,1.183938899303935
2025-02-07,AXP_price,2025-02-10,0.004990277,-0.023883969,-0.004643662,0.040688664,0.04602471,-0.02076535157054549,1,-0.02076535157054549,0.9694492396030376,1.1596074912450782
2025-02-10,AXP_price,2025-02-11,0.0138339605,-0.015064406,-0.002773922,0.042034157,0.043287575,-0.0022264332251440856,1,-0.0022264332251440856,0.9672932266059938,1.1570285745566526
2025-02-11,AXP_price,2025-02-12,0.0061169625,-0.009108791,-0.009049185,0.019870996,0.03278883,-0.010292820440509474,1,-0.010292820440509474,0.957388114329525,1.145180566504039
2025-02-12,AXP_price,2025-02-13,0.004142273,-0.006048769,-0.0021941978,0.024548493,0.029145982,0.003583723623295882,1,0.003583723623295882,0.9608252839859063,1.149291939765678
2025-02-13,AXP_price,2025-02-14,0.009279962,-0.009534417,-0.0030806656,0.031262532,0.040472567,0.011446503523686475,1,0.011446503523686475,0.9718865596776056,1.1625228936215743
2025-02-14,AXP_price,2025-02-18,0.008761418,-0.021620052,-0.0061239097,0.016358126,0.030292768,0.005802264754667707,1,0.005802264754667707,0.9775420943965184,1.169287766045151
2025-02-18,AXP_price,2025-02-19,-0.00053000497,-0.01834198,-0.020383658,0.0060607353,0.02031464,-0.009409514289843927,-1,0.009409514289843927,0.9867837020354769,1.1583369378864234
2025-02-19,AXP_price,2025-02-20,-0.0033822819,-0.02094063,-0.0090538,0.0145106735,0.019142885,-0.019747313255896598,-1,0.019747313255896598,1.006463702962639,1.1356872666221065
2025-02-20,AXP_price,2025-02-21,0.004292369,-0.0121130515,0.00011571497,0.016082164,0.026292603,-0.028236669697917872,1,-0.028236669697917872,0.9784420013910008,1.104067756082067
2025-02-21,AXP_price,2025-02-24,0.021865549,-0.020731278,-0.00017855689,0.02370636,0.045520246,0.00043998595051261127,1,0.00043998595051261127,0.9788725968460331,1.104553637265766
2025-02-24,AXP_price,2025-02-25,-0.0043270313,-0.018537631,-0.012643132,0.012747694,0.026899809,-0.007438082896003729,-1,0.007438082896003729,0.9861806777283934,1.0963683548906975
2025-02-25,AXP_price,2025-02-26,0.0153051745,-0.025111815,-0.0062777353,0.024397884,0.03728024,0.009364849895327185,1,0.009364849895327185,0.9954594912801683,1.1066839063700977
2025-02-26,AXP_price,2025-02-27,0.00049741194,-0.027338691,-0.015047551,0.025016245,0.025604665,-0.006437256322883586,1,-0.006437256322883586,0.9890720442496896,1.099582778807055
2025-02-27,AXP_price,2025-02-28,0.0024187663,-0.0283689,-0.01772082,0.015106449,0.029112894,0.022717428320682718,1,0.022717428320682718,1.011798382116094,1.124848369810798
2025-02-28,AXP_price,2025-03-03,0.0029757135,-0.037308306,-0.017491717,0.021090178,0.033016156,-0.018342306700943466,1,-0.018342306700943466,0.9934088348092457,1.1044041264958355
2025-03-03,AXP_price,2025-03-04,0.0006297678,-0.034759857,-0.028584428,0.02121848,0.0391064,-0.04152858446524753,1,-0.04152858446524753,0.9529988640443482,1.0594790796263878
2025-03-04,AXP_price,2025-03-05,0.010095436,-0.048574448,-0.026251812,0.027149659,0.050340008,0.0025014007959403024,1,0.0025014007959403024,0.9553856801086738,1.0621325787883253
2025-03-05,AXP_price,2025-03-06,0.0075958427,-0.024982184,-0.015040125,0.029199233,0.030334944,-0.03051204892840139,1,-0.03051204892840139,0.926675141559337,1.030214161982727
2025-03-06,AXP_price,2025-03-07,0.0013863556,-0.03446078,-0.025711872,0.035124056,0.041545786,-0.008855070225913596,1,-0.008855070225913596,0.9185055924524187,1.0211318149880746
2025-03-07,AXP_price,2025-03-10,0.0013575144,-0.027355827,-0.017596137,0.024464373,0.038675345,-0.04449501529439272,1,-0.04449501529439272,0.8785325669455719,0.9766925340280237
2025-03-10,AXP_price,2025-03-11,0.016450692,-0.040837333,-0.014661927,0.026565082,0.04658883,-0.02295383957787798,1,-0.02295383957787798,0.8585965507134278,0.9545290321331611
2025-03-11,AXP_price,2025-03-12,0.012704456,-0.033555493,-0.011460916,0.030233553,0.038222738,0.020770234082448814,1,0.020770234082448814,0.8766162913608462,0.9745621496493899
2025-03-12,AXP_price,2025-03-13,0.011414631,-0.03977015,-0.017560309,0.034626447,0.046900883,-0.016706346131689833,1,-0.016706346131689833,0.8620928904449986,0.9584160239656019
2025-03-13,AXP_price,2025-03-14,0.004422391,-0.037676964,-0.019173622,0.03366279,0.049511194,0.03524860751583115,1,0.03524860751583115,0.8930223726398703,0.9928013108379046
2025-03-14,AXP_price,2025-03-17,-0.0062917024,-0.050627917,-0.03179065,0.035507675,0.04798557,-0.004716701936005356,-1,0.004716701936005356,0.8972444422883795,0.9881295891933567
2025-03-17,AXP_price,2025-03-18,0.0005564587,-0.044781312,-0.03162121,0.018971387,0.032863647,-0.006298737857331789,1,-0.006298737857331789,0.8916106961237179,0.9819251804269912
2025-03-18,AXP_price,2025-03-19,0.003818504,-0.03211606,-0.01908637,0.02770958,0.034810834,0.029737745936144144,1,0.029737745936144144,0.918523366267095,1.0115639326326298
2025-03-19,AXP_price,2025-03-20,0.001246497,-0.05797895,-0.037295073,0.020359017,0.033833742,0.0006647153027706632,1,0.0006647153027706632,0.9191341257727115,1.012236558185864
2025-03-20,AXP_price,2025-03-21,-0.008761854,-0.040363137,-0.03018701,0.013843739,0.026664132,-0.001182211766790209,-1,0.001182211766790209,0.9202213795069064,1.0110405873007213
2025-03-21,AXP_price,2025-03-24,-0.0032908514,-0.039944183,-0.027353013,0.024895974,0.03701665,0.026808233320571733,-1,-0.026808233320571733,0.8958796078199482,1.0385113757052147
2025-03-24,AXP_price,2025-03-25,0.0011901613,-0.048960038,-0.027273545,0.03266435,0.045555186,0.00509751614363758,1,0.00509751614363758,0.9004580279547837,1.0438187198519964
2025-03-25,AXP_price,2025-03-26,-0.0045263064,-0.03700149,-0.03178227,0.012225825,0.016742716,-0.011813960299916758,-1,0.011813960299916758,0.9111590898472924,1.0315596436378003
2025-03-26,AXP_price,2025-03-27,-0.0039463826,-0.042619552,-0.024779072,0.010296482,0.039571095,-0.01452533958362938,-1,0.01452533958362938,0.9244905728056322,1.0166841865869694
2025-03-27,AXP_price,2025-03-28,0.0054747695,-0.035947334,-0.019860186,0.03325952,0.05436162,-0.024336062356155274,1,-0.024336062356155274,0.9022636672265683,0.9922407319063913
2025-03-28,AXP_price,2025-03-31,-0.0056529604,-0.040895913,-0.02545644,0.018929332,0.03784025,0.013357728983329977,-1,-0.013357728983329977,0.8902916114394288,1.005583732384009
2025-03-31,AXP_price,2025-04-01,-0.0001516696,-0.025221922,-0.02336869,0.021742143,0.026581084,0.005301054580889375,-1,-0.005301054580889375,0.8855846140619619,1.010928540679
2025-04-01,AXP_price,2025-04-02,-0.0012630578,-0.027551759,-0.0187161,0.012988497,0.026182273,0.01748155353381976,-1,-0.01748155353381976,0.8702377535418094,1.02875651843163
2025-04-02,AXP_price,2025-04-03,0.012806049,-0.021918215,-0.009975096,0.047011137,0.043166317,-0.10497715939906416,1,-0.10497715939906416,0.7835142857268262,0.9262358768568982
2025-04-03,AXP_price,2025-04-04,0.005515158,-0.113632806,-0.07290461,0.06424901,0.124755025,-0.05543578877239811,1,-0.05543578877239811,0.7412615307998885,0.8762865418896777
2025-04-04,AXP_price,2025-04-07,0.015528005,-0.06777741,-0.042787928,0.062639326,0.09653175,0.002564406985539595,1,0.002564406985539595,0.7431648664681684,0.8785365809939767
2025-04-07,AXP_price,2025-04-08,0.013475516,-0.04956825,-0.023610238,0.04361553,0.06687575,-0.01241238968445742,1,-0.01241238968445742,0.7339974271603228,0.8676992403857476
2025-04-08,AXP_price,2025-04-09,0.0080687385,-0.050272107,-0.02872823,0.03949547,0.06746307,0.12561297133787908,1,0.12561297133787908,0.8322380308829112,0.9838349297912475
