number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
0,0.5,2026-02-22 13:19:41.248114,2026-02-22 13:20:34.530989,0 days 00:00:53.282875,0.09348619592049952,4,64,110,0.0005986792032295068,128,4,8,2,COMPLETE
1,0.5,2026-02-22 13:20:34.531126,2026-02-22 13:21:05.745681,0 days 00:00:31.214555,0.26306349019628533,1,64,80,0.00019944295325317782,512,8,4,8,COMPLETE
2,0.5,2026-02-22 13:21:05.745846,2026-02-22 13:21:38.090849,0 days 00:00:32.345003,0.10562579437445317,1,64,120,0.00045891359071211,32,2,16,2,COMPLETE
3,0.5,2026-02-22 13:21:38.090969,2026-02-22 13:22:28.747530,0 days 00:00:50.656561,0.18729954331045254,2,32,50,0.0001088838216583559,256,8,8,2,COMPLETE
4,0.5,2026-02-22 13:22:28.747653,2026-02-22 13:23:13.106900,0 days 00:00:44.359247,0.20448167886038357,1,128,140,0.0008574536977221776,64,2,4,2,COMPLETE
5,0.5,2026-02-22 13:23:13.107009,2026-02-22 13:23:55.749862,0 days 00:00:42.642853,0.07294910218259863,3,128,30,0.0003238846409533043,64,8,16,8,COMPLETE
6,0.5,2026-02-22 13:23:55.749968,2026-02-22 13:24:53.583442,0 days 00:00:57.833474,0.285410916071332,5,128,50,0.0001700884811411187,64,2,8,4,COMPLETE
7,0.5,2026-02-22 13:24:53.583548,2026-02-22 13:25:53.661159,0 days 00:01:00.077611,0.13170377053491275,5,128,20,0.0001142804304950353,64,8,8,4,COMPLETE
8,0.5,2026-02-22 13:25:53.661223,2026-02-22 13:26:31.176094,0 days 00:00:37.514871,0.05089990698273193,2,64,100,0.0007527524487693623,256,2,4,8,COMPLETE
9,0.5,2026-02-22 13:26:31.176199,2026-02-22 13:27:14.148225,0 days 00:00:42.972026,0.2242305569895975,3,128,140,0.0005589447369657868,512,8,8,8,COMPLETE
10,0.5,2026-02-22 13:27:14.148317,2026-02-22 13:28:05.927365,0 days 00:00:51.779048,0.009019701691561785,4,32,90,0.0003739955362544377,128,4,8,2,COMPLETE
