cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,CI_price,2025-01-03,-0.0007057991,-0.040909793,-0.029608864,0.021955144,0.03572097,0.022371658136424246,-1,-0.022371658136424246,0.9778767316621559,1.0226237803002427
2024-12-23,CI_price,2025-01-03,0.008167086,-0.037767366,-0.019437699,0.031058293,0.047066752,0.022371658136424246,1,0.022371658136424246,1.0,1.0457593960355591
2024-12-24,CI_price,2025-01-03,0.0015466921,-0.03817304,-0.022418544,0.020918895,0.043692816,0.022371658136424246,1,0.022371658136424246,1.0226237803002427,1.069418426858382
2024-12-26,CI_price,2025-01-03,0.004185786,-0.042532045,-0.020297045,0.022787688,0.03837992,0.022371658136424246,1,0.022371658136424246,1.0457593960355591,1.0936127143966572
2024-12-27,CI_price,2025-01-03,-0.0033056112,-0.04073308,-0.028943792,0.020137325,0.03423125,0.022371658136424246,-1,-0.022371658136424246,1.0226237803002427,1.1183543681807193
2024-12-30,CI_price,2025-01-03,-0.0032376358,-0.03725008,-0.029521087,0.023171846,0.035212923,0.022371658136424246,-1,-0.022371658136424246,1.0,1.1436557717042566
2024-12-31,CI_price,2025-01-03,-0.0042346204,-0.026572574,-0.01537989,0.018535366,0.028457053,0.022371658136424246,-1,-0.022371658136424246,0.9778767316621559,1.1695295886223982
2025-01-03,CI_price,2025-01-06,0.0025480576,-0.026262147,-0.011887891,0.020565815,0.047448635,-0.0037119743681220197,1,-0.0037119743681220197,0.9742536069322857,1.165196372136461
2025-01-06,CI_price,2025-01-07,-0.0048020775,-0.03739092,-0.02136611,0.009813856,0.020592751,0.0009649732409116783,-1,-0.0009649732409116783,0.973313931725366,1.1663212981304294
2025-01-07,CI_price,2025-01-08,-0.0016042466,-0.03150189,-0.016817423,0.01985339,0.031735346,-0.0021813930053026687,-1,0.0021813930053026687,0.9754394293579857,1.163779865947724
2025-01-08,CI_price,2025-01-10,-0.004287274,-0.041011784,-0.025004473,0.01790195,0.013187468,-0.0011822892746315948,-1,0.0011822892746315948,0.9765933629406027,1.1624047545440923
2025-01-10,CI_price,2025-01-13,-0.0013852688,-0.029228063,-0.015702862,0.016325044,0.034769196,0.012325845552960136,-1,-0.012325845552960136,0.9646299053099076,1.1768210399548573
2025-01-13,CI_price,2025-01-14,-0.0032764198,-0.036930956,-0.018350214,0.014255453,0.02336399,0.009092810809036967,-1,-0.009092810809036967,0.9558984649069879,1.1875704481320821
2025-01-14,CI_price,2025-01-15,0.0010414058,-0.032619122,-0.017150119,0.022794316,0.044852547,-0.0015801797825132017,1,-0.0015801797825132017,0.954389166274255,1.1856953552017735
2025-01-15,CI_price,2025-01-16,0.0013053351,-0.020981843,-0.021479644,0.017041983,0.022357797,-0.012766393529415531,1,-0.012766393529415531,0.9422825022450889,1.1706545146163667
2025-01-16,CI_price,2025-01-17,9.016227e-05,-0.031053498,-0.025836699,0.006393972,0.029117286,0.01069109222999328,1,0.01069109222999328,0.9524105749939877,1.183237231646145
2025-01-17,CI_price,2025-01-21,-0.006099413,-0.030114897,-0.018418197,0.010123967,0.031883556,0.01606796989854472,-1,-0.01606796989854472,0.9372295611979528,1.2024030171497975
2025-01-21,CI_price,2025-01-22,-0.004302278,-0.026028428,-0.010901758,0.022820154,0.042170197,0.0015582399251021766,-1,-0.0015582399251021766,0.9357702699349392,1.204278110080106
2025-01-22,CI_price,2025-01-23,0.0008990255,-0.03424664,-0.023916453,0.015613925,0.033245742,0.0203761719618907,1,0.0203761719618907,0.9550332725219352,1.2290683957893844
2025-01-23,CI_price,2025-01-24,-0.0045614038,-0.026483309,-0.01593319,0.009236795,0.034246497,-0.00458683950221617,-1,0.00458683950221617,0.9594239187591368,1.223443765819542
2025-01-24,CI_price,2025-01-27,-0.0050397883,-0.039497618,-0.025858045,0.010572918,0.024060624,0.04031520770077428,-1,-0.04031520770077428,0.9215138547667955,1.2737748934670883
2025-01-27,CI_price,2025-01-28,0.011642965,-0.031427477,-0.015230905,0.031341616,0.045667533,-0.009531252030636596,1,-0.009531252030636596,0.9127723986541457,1.2616918984355534
2025-01-28,CI_price,2025-01-29,-0.007868911,-0.0375984,-0.032003634,0.017115742,0.031386934,0.001617026741014998,-1,-0.001617026741014998,0.9112976139815405,1.263733738384232
2025-01-29,CI_price,2025-01-30,-0.0014928435,-0.027113892,-0.01997421,0.014686656,0.033330817,-0.06937931366710215,-1,0.06937931366710215,0.9767676920062502,1.1790291078650397
2025-01-30,CI_price,2025-01-31,-0.00017348677,-0.066833794,-0.042735748,0.049081437,0.05843933,0.03891754015784084,-1,-0.03891754015784084,0.9394844870067971,1.225818580748094
2025-01-31,CI_price,2025-02-03,0.0045813844,-0.02471377,-0.0091903545,0.026226144,0.04810734,-0.005965885084717535,1,-0.005965885084717535,0.933896316285024,1.2185272591798513
2025-02-03,CI_price,2025-02-04,-0.0014201584,-0.03275519,-0.021523502,0.015111394,0.037195787,-0.0034251255767426135,-1,0.0034251255767426135,0.9371005126990047,1.2143607897122841
2025-02-04,CI_price,2025-02-05,-0.0038701883,-0.025433099,-0.015210047,0.008189488,0.01931341,0.006327308013419355,-1,-0.006327308013419355,0.9311899079431993,1.2220687841801268
2025-02-05,CI_price,2025-02-06,-0.0035631433,-0.037335843,-0.02278234,0.011935458,0.02099393,-0.020946792536900665,-1,0.020946792536900665,0.950901071874182,1.1967366031022002
2025-02-06,CI_price,2025-02-07,-0.002770368,-0.04532884,-0.027736917,0.024270065,0.026648305,-0.0018120168252174255,-1,0.0018120168252174255,0.9526256826555288,1.19457005974134
2025-02-07,CI_price,2025-02-10,0.00025833864,-0.03843384,-0.024191646,0.0132789,0.031844985,0.021086818657461495,1,0.021086818657461495,0.9729268186176794,1.2200272037598814
2025-02-10,CI_price,2025-02-11,-0.003287131,-0.022834156,-0.009806715,0.019356996,0.031709142,0.008230555804654097,-1,-0.008230555804654097,0.9649519539469772,1.2301101429204926
2025-02-11,CI_price,2025-02-12,-0.0050428538,-0.04049572,-0.023068909,0.026190449,0.05187744,-0.008674608285463525,-1,0.008674608285463525,0.9733589451214549,1.2194855679196663
2025-02-12,CI_price,2025-02-13,-0.00083263125,-0.02838975,-0.02694289,0.019303877,0.038002618,0.02406823040783854,-1,-0.02406823040783854,0.9502115930507303,1.249192490032852
2025-02-13,CI_price,2025-02-14,-0.0011996906,-0.037515126,-0.028972017,0.022844063,0.047927227,-0.02533316879949806,-1,0.02533316879949806,0.9745909632692552,1.2179439690260978
2025-02-14,CI_price,2025-02-18,-0.007801773,-0.042376727,-0.036929395,0.017255263,0.031753033,0.008278389368065272,-1,-0.008278389368065272,0.9665562230409238,1.2280684327360307
2025-02-18,CI_price,2025-02-19,-0.004132808,-0.021905404,-0.01693853,0.019797347,0.037505418,0.008378821427677622,-1,-0.008378821427677622,0.9584914548564528,1.2384014275420887
2025-02-19,CI_price,2025-02-20,-0.0058299154,-0.022785634,-0.02789149,0.01704156,0.031171735,0.00820891519029898,-1,-0.00820891519029898,0.9506554861970106,1.2486091998790985
2025-02-20,CI_price,2025-02-21,-0.004560098,-0.036838632,-0.025278952,0.012678206,0.038406834,0.0004336972655383285,-1,-0.0004336972655383285,0.9502432789052266,1.2491508357193135
2025-02-21,CI_price,2025-02-24,-0.00029347328,-0.033786,-0.022500832,0.015277691,0.024099419,0.004027898386601258,-1,-0.004027898386601258,0.9464234935532113,1.254192435063836
2025-02-24,CI_price,2025-02-25,0.0024036346,-0.020461895,-0.014463759,0.02879211,0.034132514,0.04189769339903964,1,0.04189769339903964,0.9869188625073672,1.307856556615533
2025-02-25,CI_price,2025-02-26,-0.004404556,-0.037307627,-0.02081018,0.0127946455,0.026443185,-0.027648568674174256,-1,0.027648568674174256,1.014586478945145,1.272191510495765
2025-02-26,CI_price,2025-02-27,-0.0015249513,-0.035196915,-0.02338649,0.027935479,0.0342438,-0.007957117748116084,-1,0.007957117748116084,1.0226918680249069,1.2621087010993703
2025-02-27,CI_price,2025-02-28,0.00018793065,-0.03040228,-0.021337785,0.027627146,0.035421625,0.019387007440942235,1,0.019387007440942235,1.0427122434022842,1.286815937710005
2025-02-28,CI_price,2025-03-03,0.002249131,-0.020819817,-0.00802684,0.019899776,0.03762053,0.008575578096878745,1,0.008575578096878745,1.0516925543222913,1.2978985803955365
2025-03-03,CI_price,2025-03-04,0.00035886187,-0.02936057,-0.016997509,0.018070891,0.033364955,-0.008543309395398761,1,-0.008543309395398761,1.0427458909152738,1.2868574622593267
2025-03-04,CI_price,2025-03-05,-0.008312811,-0.03534924,-0.020697083,0.0020202678,0.023252256,0.008036581134455862,-1,-0.008036581134455862,1.034399362658875,1.2972410651098705
2025-03-05,CI_price,2025-03-06,-0.011004566,-0.036577996,-0.022298932,0.009733266,0.02568445,0.01854692388523132,-1,-0.01854692388523132,1.0153912522785649,1.3215254001385068
2025-03-06,CI_price,2025-03-07,0.0023186523,-0.037572958,-0.016074412,0.022371992,0.044603825,0.016932726779124423,1,0.016932726779124423,1.0327309851084838,1.3440929545811238
2025-03-07,CI_price,2025-03-10,-0.0046515223,-0.034471665,-0.014064562,0.011986025,0.032661013,0.017477733156283516,-1,-0.017477733156283516,1.0148380083451918,1.367791144643241
2025-03-10,CI_price,2025-03-11,-0.0029868577,-0.025709441,-0.017264446,0.015596998,0.057539105,-0.027338643088841444,-1,0.027338643088841444,1.042965027896659,1.3309041088954652
2025-03-11,CI_price,2025-03-12,-0.008491524,-0.039632894,-0.03330722,0.021821026,0.03059996,-0.021688855737847207,-1,0.021688855737847207,1.0658328378181052,1.3023491037333073
2025-03-12,CI_price,2025-03-13,0.00021483377,-0.048298337,-0.025956327,0.032792255,0.040533856,0.0030174809826581978,1,0.0030174809826581978,1.0690538253272157,1.3062848524237056
2025-03-13,CI_price,2025-03-14,-0.00233091,-0.023483079,-0.01992464,0.01738625,0.03474866,0.0029125278839521227,-1,-0.0029125278839521227,1.065944706147498,1.3100949893524059
2025-03-14,CI_price,2025-03-17,-0.001784069,-0.033667993,-0.016947642,0.013589728,0.030610293,0.012386953268714336,-1,-0.012386953268714336,1.0528223397423238,1.3264239993163023
2025-03-17,CI_price,2025-03-18,-0.005145332,-0.031114815,-0.0186753,0.010035618,0.024586696,0.017615458539382442,-1,-0.017615458539382442,1.0344387842196725,1.3499965776167213
2025-03-18,CI_price,2025-03-19,-0.008236967,-0.030681862,-0.023045046,0.014800256,0.04745201,-0.004974645401409085,-1,0.004974645401409085,1.0395975712900725,1.3432974999331797
2025-03-19,CI_price,2025-03-20,0.00020321459,-0.031488188,-0.019996371,0.010039255,0.015521429,0.0017439663792261724,1,0.0017439663792261724,1.041412176347519,1.3456422095634737
2025-03-20,CI_price,2025-03-21,9.8348944e-05,-0.023639224,-0.01515233,0.020584075,0.02878594,-0.014858291548276276,1,-0.014858291548276276,1.0260529590424192,1.3257960702720284
2025-03-21,CI_price,2025-03-24,0.0003363518,-0.038727693,-0.021070376,0.024067864,0.037028857,0.011773083773232294,1,0.011773083773232294,1.0382041546553908,1.3414970214274338
2025-03-24,CI_price,2025-03-25,-0.0057679284,-0.033662237,-0.018625565,0.012331236,0.027816696,-0.011173183216813144,-1,0.011173183216813144,1.049869246641201,1.326591654684189
2025-03-25,CI_price,2025-03-26,0.004886806,-0.029669806,-0.018846503,0.022486718,0.029224081,0.013760480286994678,1,0.013760480286994678,1.0644158060023439,1.3449723666772277
2025-03-26,CI_price,2025-03-27,0.006579302,-0.023746252,-0.012258702,0.027622335,0.04878213,0.010867396326844235,1,0.010867396326844235,1.0760463166433614,1.359668423739048
2025-03-27,CI_price,2025-03-28,0.0020888913,-0.018164597,-0.0049876496,0.016699733,0.032704085,0.000923414654345307,1,0.000923414654345307,1.0770404124916029,1.3609245413560296
2025-03-28,CI_price,2025-03-31,-0.007459542,-0.02445678,-0.019341836,0.01214843,0.03979912,0.012109449747322702,-1,-0.012109449747322702,1.0640766958929493,1.3775047748433222
2025-03-31,CI_price,2025-04-01,-0.0068664933,-0.03915063,-0.023227029,0.008673683,0.029141419,0.006060664455593521,-1,-0.006060664455593521,1.0576471873117164,1.3858787192709119
2025-04-01,CI_price,2025-04-02,-0.0034994995,-0.03736296,-0.024362769,0.019258078,0.044415534,0.0027755515854828183,-1,-0.0027755515854828183,1.0547157031088414,1.389730640277367
2025-04-02,CI_price,2025-04-03,0.0006474934,-0.027525363,-0.019742547,0.025640242,0.029259048,0.019482524166074083,1,0.019482524166074083,1.0754657021282243,1.4170715714287314
2025-04-03,CI_price,2025-04-04,-0.003003979,-0.026990427,-0.023185236,0.0067474768,0.03464241,-0.04858346152295025,-1,0.04858346152295025,1.1290055946697253,1.3498709658550234
2025-04-04,CI_price,2025-04-07,-0.0074262843,-0.0523225,-0.043408938,0.026291706,0.050218023,-0.02198292713180069,-1,0.02198292713180069,1.1540992478309293,1.3205206358091381
2025-04-07,CI_price,2025-04-08,0.009151898,-0.030141696,-0.01746896,0.021841548,0.03033803,-0.0049266686340166494,1,-0.0049266686340166494,1.148427366478427,1.3140308678070212
2025-04-08,CI_price,2025-04-09,0.002154842,-0.03008934,-0.02310283,0.015852692,0.025836783,0.019406383582808922,1,0.019406383582808922,1.1709318474890336,1.3397805003698477
2025-04-09,CI_price,2025-04-10,-0.002759898,-0.02700576,-0.021696897,0.018127788,0.04741294,0.02249568319948775,-1,-0.02249568319948775,1.1448850047809893,1.3702613362710163
2025-04-10,CI_price,2025-04-11,-0.0020877272,-0.027560055,-0.0160704,0.027330078,0.04110941,0.00888271896476251,-1,-0.00888271896476251,1.1347603468538527,1.3824872017050611
2025-04-11,CI_price,2025-04-14,-0.0036592772,-0.026924968,-0.022329792,0.012825274,0.031130377,-0.0030026713056138417,-1,0.0030026713056138417,1.1381727798295043,1.3783422730974546
2025-04-14,CI_price,2025-04-15,0.0013407513,-0.033786647,-0.018211149,0.025003996,0.041162174,-0.0017329237866024584,1,-0.0017329237866024584,1.136202121139895,1.375955779389406
2025-04-15,CI_price,2025-04-16,0.006901404,-0.017255673,-0.0142221935,0.012104475,0.015078078,0.00246171806153621,1,0.00246171806153621,1.1390025759739408,1.37934716719104
2025-04-16,CI_price,2025-04-17,0.001932767,-0.021506704,-0.0062161926,0.019288445,0.027543338,0.0020922358812792375,1,0.0020922358812792375,1.1413881327357687,1.3822361079458814
2025-04-17,CI_price,2025-04-21,-0.00038821064,-0.0305868,-0.018728219,0.022955893,0.025803182,-0.016369216642254016,-1,0.016369216642254016,1.1602255183532793,1.3597941652649626
2025-04-21,CI_price,2025-04-22,0.0024278369,-0.029244151,-0.019088348,0.01803568,0.029421803,0.03717327119774895,1,0.03717327119774895,1.2041665522990903,1.4112934303906153
2025-04-22,CI_price,2025-04-23,0.0045507923,-0.038022615,-0.013416994,0.029929105,0.047980804,-0.0011279062373057672,1,-0.0011279062373057672,1.2028091309998783,1.4097025210947274
2025-04-23,CI_price,2025-04-24,-0.005584864,-0.03431133,-0.015800256,0.018885171,0.041665398,-0.002944709469752323,-1,0.002944709469752323,1.2063562745286087,1.4055574627229042
2025-04-24,CI_price,2025-04-25,-0.00433457,-0.030183027,-0.017240075,0.026211912,0.045321427,-0.0010133806169317662,-1,0.0010133806169317662,1.2075793922315439,1.4041338195022526
2025-04-25,CI_price,2025-04-28,0.0030967966,-0.025855334,-0.01362932,0.027334007,0.051940408,-0.0016114590101527632,1,-0.0016114590101527632,1.2056349946187515,1.401872937555902
2025-04-28,CI_price,2025-04-29,-0.0021365676,-0.028895393,-0.01567124,0.02783477,0.046595242,0.007112693772416165,-1,-0.007112693772416165,1.1970901067103126,1.4118795753571347
2025-04-29,CI_price,2025-04-30,0.0021968037,-0.029158227,-0.013775679,0.0208067,0.033652678,0.008357451089199459,1,0.008357451089199459,1.207136652005291,1.4237287352703014
2025-04-30,CI_price,2025-05-01,-0.000697501,-0.02935182,-0.0199292,0.030802082,0.041632794,-0.014395488729532715,-1,0.014395488729532715,1.2246396539464743,1.4033802786962801
2025-05-01,CI_price,2025-05-02,-0.0023268564,-0.031258553,-0.023019131,0.015906537,0.034301087,-0.001283782087722828,-1,0.001283782087722828,1.2262128339922451,1.401579800190534
2025-05-02,CI_price,2025-05-05,0.0057847514,-0.023983432,-0.014018122,0.018237779,0.033100355,-0.005211420939584709,1,-0.005211420939584709,1.219839145165693,1.3942945775404731
2025-05-05,CI_price,2025-05-06,-0.0004378939,-0.02210888,-0.017505579,0.016926412,0.03495403,0.0024293790142942114,-1,-0.0024293790142942114,1.2168792903059797,1.3976859653421072
2025-05-06,CI_price,2025-05-07,-0.001778431,-0.01913984,-0.014202749,0.01531541,0.030927252,0.0018554925438268415,-1,-0.0018554925438268415,1.2146234733290737,1.4002817687315807
2025-05-07,CI_price,2025-05-08,-0.0015581872,-0.022925464,-0.013066159,0.016776118,0.035657488,-0.0039846792317824505,-1,0.0039846792317824505,1.2194730137726135,1.3947131969033226
