cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,CMCSA_price,2025-01-03,0.00422759,-0.040794324,-0.012259487,0.017917018,0.037495505,0.006658696552936069,1,0.006658696552936069,1.006680914960663,1.006680914960663
2024-12-23,CMCSA_price,2025-01-03,0.019858072,-0.016727354,0.0024180133,0.03727466,0.04814104,0.006658696552936069,1,0.006658696552936069,1.0134064645460377,1.0134064645460377
2024-12-24,CMCSA_price,2025-01-03,0.0046667927,-0.026314545,-0.01065891,0.031736348,0.044059448,0.006658696552936069,1,0.006658696552936069,1.0201769469562558,1.0201769469562558
2024-12-26,CMCSA_price,2025-01-03,0.021378022,0.00039489614,0.0014052312,0.02967029,0.04569124,0.006658696552936069,1,0.006658696552936069,1.0269926623836996,1.0269926623836996
2024-12-27,CMCSA_price,2025-01-03,0.0025186809,-0.03602214,-0.021210698,0.029628955,0.04491104,0.006658696552936069,1,0.006658696552936069,1.03385391302631,1.03385391302631
2024-12-30,CMCSA_price,2025-01-03,0.011722675,-0.0100895185,-0.005669645,0.022403952,0.041619554,0.006658696552936069,1,0.006658696552936069,1.0407610031009875,1.0407610031009875
2024-12-31,CMCSA_price,2025-01-03,-0.005894233,-0.03403584,-0.02212186,0.0068390267,0.03054526,0.006658696552936069,-1,-0.006658696552936069,1.03385391302631,1.0477142388570795
2025-01-03,CMCSA_price,2025-01-06,-0.015142144,-0.028994583,-0.01938134,0.012664182,0.0154341785,-0.004789983929189589,-1,0.004789983929189589,1.0388179359586849,1.0427077046721815
2025-01-06,CMCSA_price,2025-01-07,-0.0036759912,-0.02570693,-0.017825553,-0.0034734323,0.028243626,-0.008303042391343784,-1,0.008303042391343784,1.0474791929505867,1.0340859015295698
2025-01-07,CMCSA_price,2025-01-08,0.0091384705,-0.023547713,-0.019571405,0.037369546,0.050265737,0.008103763806520047,1,0.008103763806520047,1.0560022045159942,1.0424999360590148
2025-01-08,CMCSA_price,2025-01-10,-0.0040547447,-0.026618423,-0.018927276,0.016675627,0.028367149,-0.022032773982957558,-1,0.022032773982957558,1.0795270697755708,1.0197819596269795
2025-01-10,CMCSA_price,2025-01-13,0.007542001,-0.01777586,-0.019605065,0.021143032,0.030741697,0.0024723379329675416,1,0.0024723379329675416,1.0821993275007413,1.0223063245048047
2025-01-13,CMCSA_price,2025-01-14,0.013780919,-0.010037781,0.0027518012,0.035814613,0.039403595,-0.0019224657419630357,1,-0.0019224657419630357,1.0801208349231874,1.0203428635660727
2025-01-14,CMCSA_price,2025-01-15,-0.008533015,-0.03664451,-0.028498832,0.00025949383,0.01607981,0.0032932470113414486,-1,-0.0032932470113414486,1.0765695809994604,1.0237086437829184
2025-01-15,CMCSA_price,2025-01-16,-0.010952075,-0.028146606,-0.021546472,0.0063604424,0.013321741,-0.005219182316684217,-1,0.005219182316684217,1.0822030822664113,1.0183796403488659
2025-01-16,CMCSA_price,2025-01-17,-0.013772994,-0.024489593,-0.018614719,0.004018254,0.007444237,0.007408438743289735,-1,-0.007408438743289735,1.0742152721587686,1.0259522595392903
2025-01-17,CMCSA_price,2025-01-21,-0.0032455032,-0.032079097,-0.022020688,0.014065066,0.021194192,0.010605268904169117,-1,-0.010605268904169117,1.0628831267730638,1.03689065894656
2025-01-21,CMCSA_price,2025-01-22,0.010384402,-0.021045808,-0.011481051,0.02795675,0.034341387,0.003779599013926809,1,0.003779599013926809,1.06690800020336,1.0408171053809734
2025-01-22,CMCSA_price,2025-01-23,-0.0048097554,-0.037153155,-0.028075235,0.019285118,0.031475525,0.009654037705686045,-1,-0.009654037705686045,1.056657588682345,1.0509138517276972
2025-01-23,CMCSA_price,2025-01-24,-0.018626885,-0.050688088,-0.035669897,-0.008119332,0.0057966486,0.003995263830316745,-1,-0.003995263830316745,1.052444384871958,1.0551209284228011
2025-01-24,CMCSA_price,2025-01-27,-0.008423202,-0.04082389,-0.025605893,0.01575318,0.026876044,0.01608486023693153,-1,-0.01608486023693153,1.0356513826404607,1.0722296277423815
2025-01-27,CMCSA_price,2025-01-28,-0.007898755,-0.026236627,-0.019238696,0.0059467293,0.018265612,-0.017947368090401365,-1,0.017947368090401365,1.0544063973687896,1.053157586344832
2025-01-28,CMCSA_price,2025-01-29,-0.010070222,-0.017257089,-0.01396259,0.00012590177,0.012243273,-0.005072756572199005,-1,0.005072756572199005,1.0597687337653943,1.0478287017715422
2025-01-29,CMCSA_price,2025-01-30,-0.0026288137,-0.015040843,-0.015608052,0.007042342,0.01820577,-0.11654576144670573,-1,0.11654576144670573,1.1907656100906545,0.932556404945994
2025-01-30,CMCSA_price,2025-01-31,-0.03931038,-0.09217236,-0.06937176,0.016372524,0.08643053,0.012255539859471089,-1,-0.012255539859471089,1.1762611959500764,0.944055708292357
2025-01-31,CMCSA_price,2025-02-03,0.0075959,-0.036284775,-0.022379817,0.029762466,0.037055314,-0.014061705000415588,1,-0.014061705000415588,1.159836706805503,0.9308735742679525
2025-02-03,CMCSA_price,2025-02-04,-0.006753534,-0.059896544,-0.04080649,0.026205491,0.043942742,0.010788315877644335,-1,-0.010788315877644335,1.1473912753764992,0.9409704989058203
2025-02-04,CMCSA_price,2025-02-05,0.0027367938,-0.05741314,-0.03234697,0.04565233,0.07403099,0.011557297128518955,1,0.011557297128518955,1.1607289424994054,0.9519086605915648
2025-02-05,CMCSA_price,2025-02-06,-0.016985629,-0.052188925,-0.039754927,0.021245912,0.04828632,0.015495221136898961,-1,-0.015495221136898961,1.1428818204989357,0.9667735658636294
2025-02-06,CMCSA_price,2025-02-07,0.010868155,-0.043612786,-0.025993139,0.03912782,0.056664642,-0.0029053688645997587,1,-0.0029053688645997587,1.1395661462025208,0.9639688084466392
2025-02-07,CMCSA_price,2025-02-10,0.0024153935,-0.029409787,-0.028612714,0.018111523,0.030363172,0.0029053688645996824,1,0.0029053688645996824,1.1428818204989357,0.9667735658636293
2025-02-10,CMCSA_price,2025-02-11,0.015582463,-0.038439084,-0.028627396,0.04291459,0.057248574,0.021808573506317826,1,0.021808573506317826,1.1680802144865061,0.9880891041567881
2025-02-11,CMCSA_price,2025-02-12,-0.006224405,-0.047496453,-0.030566288,0.007952537,0.035757363,-0.009411165884976393,-1,0.009411165884976393,1.1791251022671443,0.9788336542883225
2025-02-12,CMCSA_price,2025-02-13,-0.0030931532,-0.0642864,-0.036798865,0.026721606,0.038697824,0.01365985804741454,-1,-0.01365985804741454,1.1631279290519063,0.9922961214215107
2025-02-13,CMCSA_price,2025-02-14,0.0107063,-0.019002963,0.004561674,0.020605993,0.040342677,0.0002824696295813629,1,0.0002824696295813629,1.1634565237740113,0.9925764545302944
2025-02-14,CMCSA_price,2025-02-18,0.014909091,-0.034163173,-0.008942153,0.04392557,0.067833796,0.02676508526056914,1,0.02676508526056914,1.1950170123544306,1.0195015670878147
2025-02-18,CMCSA_price,2025-02-19,0.0018197428,-0.037559636,-0.009480346,0.029879881,0.057541914,0.0035698142782285922,1,0.0035698142782285922,1.1992906246104618,1.0231475021223002
2025-02-19,CMCSA_price,2025-02-20,-1.905486e-06,-0.05772714,-0.04313663,0.034435835,0.052884012,-0.0019206508835186954,-1,0.0019206508835186954,1.2015962566565581,1.0211842789050936
2025-02-20,CMCSA_price,2025-02-21,-0.0059270146,-0.033170164,-0.03570554,0.0147771975,0.036696732,-0.004679886971559847,-1,0.004679886971559847,1.207232770158949,1.0164164171316594
2025-02-21,CMCSA_price,2025-02-24,0.0026849303,-0.050322495,-0.03145149,0.013617236,0.020186586,0.0016542817446100182,1,0.0016542817446100182,1.2092315260890172,1.018099247809701
