number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 12:05:38.593852,2026-02-24 12:06:10.100312,0 days 00:00:31.506460,0.08628263611015595,4,64,30,0.00029969062151022395,256,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
1,0.5,2026-02-24 12:06:10.100353,2026-02-24 12:06:25.855425,0 days 00:00:15.755072,0.2670013667233462,1,32,20,0.00024050766221259468,256,4,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 12:06:25.855465,2026-02-24 12:06:52.218650,0 days 00:00:26.363185,0.12881084330152962,3,64,30,0.00022902663140115715,128,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 12:06:52.218708,2026-02-24 12:07:18.548332,0 days 00:00:26.329624,0.2857423789287184,3,128,60,0.00017174084048089444,128,8,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
4,0.5,2026-02-24 12:07:18.548374,2026-02-24 12:07:34.248099,0 days 00:00:15.699725,0.10430596908572178,1,32,60,0.00020766079474003284,128,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 12:07:34.248140,2026-02-24 12:07:55.080662,0 days 00:00:20.832522,0.25925404400652374,2,32,40,0.000643325880450357,512,2,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 12:07:55.080722,2026-02-24 12:08:31.666648,0 days 00:00:36.585926,0.1600359587654037,5,32,50,0.00012712223787381854,64,4,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 12:08:31.666706,2026-02-24 12:08:47.590217,0 days 00:00:15.923511,0.06925995803113172,1,64,90,0.00020084954728826724,256,2,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.5,2026-02-24 12:08:47.590260,2026-02-24 12:09:03.375990,0 days 00:00:15.785730,0.19970234673097037,1,64,140,0.00022642171426307128,256,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 12:09:03.376030,2026-02-24 12:09:39.976154,0 days 00:00:36.600124,0.11447209534754751,5,32,120,0.0007021067542073701,128,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
11,0.5,2026-02-24 12:10:11.313951,2026-02-24 12:10:42.493300,0 days 00:00:31.179349,0.21837005169234824,4,64,20,0.0003649457722503215,256,4,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
12,0.5,2026-02-24 12:10:42.493339,2026-02-24 12:11:03.616699,0 days 00:00:21.123360,0.04349014650458129,2,32,20,0.0003535554364411795,256,4,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
13,0.5,2026-02-24 12:11:03.616741,2026-02-24 12:11:34.911924,0 days 00:00:31.295183,0.19217206897192068,4,64,70,0.0004460895598122411,256,4,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
14,0.5,2026-02-24 12:11:34.911964,2026-02-24 12:12:01.178757,0 days 00:00:26.266793,0.06920783253522353,3,128,40,0.000969955726655156,512,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
16,0.5,2026-02-24 12:12:22.202280,2026-02-24 12:12:53.945836,0 days 00:00:31.743556,0.17002770603351908,4,64,110,0.00029290770780916893,32,4,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
15,0.5,2026-02-24 12:12:01.178799,2026-02-24 12:12:22.202241,0 days 00:00:21.023442,0.2508105007286284,2,32,20,0.0001032462181646216,64,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
17,0.5,2026-02-24 12:12:53.945875,2026-02-24 12:13:15.108307,0 days 00:00:21.162432,0.0819016943942793,2,64,40,0.0002883045861332161,256,2,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
18,0.5,2026-02-24 12:13:15.108348,2026-02-24 12:13:52.289917,0 days 00:00:37.181569,0.009124802957277939,5,32,80,0.00014634661665581276,256,4,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
34,0.5,2026-02-24 12:20:22.188573,2026-02-24 12:20:43.350177,0 days 00:00:21.161604,0.28523420957663626,2,32,20,0.000261218034764295,512,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
19,0.5,2026-02-24 12:13:52.289966,2026-02-24 12:14:23.491877,0 days 00:00:31.201911,0.1364661581463094,4,128,30,0.00026702095236269156,256,8,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
20,0.5,2026-02-24 12:14:23.491918,2026-02-24 12:14:49.644119,0 days 00:00:26.152201,0.29856594715633167,3,64,60,0.0004297544661873273,64,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
21,0.5,2026-02-24 12:14:49.644159,2026-02-24 12:15:16.164721,0 days 00:00:26.520562,0.12960590823896634,3,64,30,0.0002451648153439048,128,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
22,0.5,2026-02-24 12:15:16.164763,2026-02-24 12:15:42.566285,0 days 00:00:26.401522,0.040116282459061174,3,64,30,0.0001772653641164692,128,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
23,0.5,2026-02-24 12:15:42.566326,2026-02-24 12:16:03.828052,0 days 00:00:21.261726,0.11281023827937592,2,64,50,0.00033426262381810833,512,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
24,0.5,2026-02-24 12:16:03.828094,2026-02-24 12:16:19.609039,0 days 00:00:15.780945,0.15002049037339737,1,64,20,0.00042537358613380083,32,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
25,0.5,2026-02-24 12:16:19.609086,2026-02-24 12:16:56.352411,0 days 00:00:36.743325,0.08702152387344828,5,32,40,0.00015418100893768345,128,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
26,0.5,2026-02-24 12:16:56.352451,2026-02-24 12:17:27.640747,0 days 00:00:31.288296,0.2402789164266554,4,64,50,0.00024115711955054533,256,2,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
27,0.5,2026-02-24 12:17:27.640788,2026-02-24 12:17:48.777246,0 days 00:00:21.136458,0.1769221960623178,2,64,30,0.00030595170385413345,256,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
28,0.5,2026-02-24 12:17:48.777286,2026-02-24 12:18:15.251888,0 days 00:00:26.474602,0.21341190714488076,3,128,70,0.00019684446698953577,128,8,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
29,0.5,2026-02-24 12:18:15.251928,2026-02-24 12:18:41.936041,0 days 00:00:26.684113,0.2655660518553272,3,32,30,0.00014231571953886448,128,4,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
30,0.5,2026-02-24 12:18:41.936081,2026-02-24 12:19:13.623404,0 days 00:00:31.687323,0.04049339439491369,4,128,50,0.00017201209624902912,64,8,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
31,0.5,2026-02-24 12:19:13.623444,2026-02-24 12:19:29.563974,0 days 00:00:15.940530,0.2848566882430164,1,128,70,0.00021944846856990384,128,8,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
32,0.5,2026-02-24 12:19:29.564013,2026-02-24 12:19:55.895880,0 days 00:00:26.331867,0.26921315625186104,3,128,60,0.00011957746418380507,128,8,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
33,0.5,2026-02-24 12:19:55.895920,2026-02-24 12:20:22.188534,0 days 00:00:26.292614,0.23414430929560076,3,128,40,0.0001783837593262899,128,8,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
