number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 09:22:04.331413,2026-02-24 09:22:40.595600,0 days 00:00:36.264187,0.20077999305329453,5,32,130,0.00034333240951596276,32,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 09:23:01.504221,2026-02-24 09:23:28.538144,0 days 00:00:27.033923,0.2952589125815362,3,32,110,0.0001473236895093359,512,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
10,0.5,2026-02-24 09:26:23.408193,2026-02-24 09:26:54.482376,0 days 00:00:31.074183,0.10306119149587532,4,32,20,0.000941142415600463,32,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 09:23:28.538187,2026-02-24 09:24:06.948390,0 days 00:00:38.410203,0.04118932268128854,5,64,140,0.00020015940423191093,256,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
4,0.5,2026-02-24 09:24:06.948431,2026-02-24 09:24:27.786994,0 days 00:00:20.838563,0.19360202230221907,1,64,140,0.0001710084032103898,32,8,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 09:24:27.787034,2026-02-24 09:24:43.499248,0 days 00:00:15.712214,0.2272440068251493,1,64,80,0.00028450533237813364,256,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 09:24:43.499289,2026-02-24 09:25:14.939019,0 days 00:00:31.439730,0.15972411554019514,4,128,90,0.00045447685793989555,512,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 09:25:14.939059,2026-02-24 09:25:52.203499,0 days 00:00:37.264440,0.1007423517346562,5,128,120,0.0003759411948915543,256,4,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.5,2026-02-24 09:25:52.203538,2026-02-24 09:26:07.824893,0 days 00:00:15.621355,0.27134413421459186,1,32,50,0.0005327272436927982,256,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 09:26:07.824933,2026-02-24 09:26:23.408151,0 days 00:00:15.583218,0.28893820822561667,1,128,60,0.00036630907691684317,64,8,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
