number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 16:51:46.344111,2026-02-24 16:52:27.960876,0 days 00:00:41.616765,0.10330383377527452,5,128,100,0.0002608408029170663,256,2,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
1,0.5,2026-02-24 16:52:27.960918,2026-02-24 16:52:54.867826,0 days 00:00:26.906908,0.1564124993605256,3,32,110,0.000335560056587193,64,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 16:52:54.867867,2026-02-24 16:53:11.127368,0 days 00:00:16.259501,0.16912502853691927,1,64,70,0.00022184114360046278,256,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
4,0.5,2026-02-24 16:53:32.764387,2026-02-24 16:54:04.920262,0 days 00:00:32.155875,0.2678281345600479,4,64,130,0.0007395551798901636,32,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 16:54:04.920304,2026-02-24 16:54:21.113789,0 days 00:00:16.193485,0.1943138818581658,1,32,120,0.0008381946795688564,128,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 16:54:21.113829,2026-02-24 16:54:42.626643,0 days 00:00:21.512814,0.20888825875605185,2,128,80,0.0003052690071527526,128,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 16:55:51.901909,2026-02-24 16:56:23.677945,0 days 00:00:31.776036,0.08677557983553393,4,32,100,0.00010933473068446493,64,2,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 16:54:42.626709,2026-02-24 16:55:19.779185,0 days 00:00:37.152476,0.010463856399096172,5,64,70,0.00023033907460321437,32,8,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
12,0.5,2026-02-24 16:57:29.266200,2026-02-24 16:58:15.151320,0 days 00:00:45.885120,0.13163851853144612,3,128,140,0.00045635957627685446,256,4,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
11,0.5,2026-02-24 16:57:00.695055,2026-02-24 16:57:29.266159,0 days 00:00:28.571104,0.11304634128645742,3,32,110,0.00038079699251994034,512,4,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
17,0.5,2026-02-24 17:00:20.439731,2026-02-24 17:00:41.941702,0 days 00:00:21.501971,0.16304008895883557,2,128,90,0.0004981280854396944,256,4,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
15,0.5,2026-02-24 16:59:05.933325,2026-02-24 16:59:43.024241,0 days 00:00:37.090916,0.2241858586235439,5,32,50,0.000487245594966683,256,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
13,0.5,2026-02-24 16:58:15.151361,2026-02-24 16:58:44.349031,0 days 00:00:29.197670,0.06220612429932083,3,128,100,0.00018966550379200122,64,4,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
14,0.5,2026-02-24 16:58:44.349071,2026-02-24 16:59:05.933285,0 days 00:00:21.584214,0.1511164800795969,2,32,90,0.00015808995767669176,512,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
21,0.5,2026-02-24 17:02:17.769432,2026-02-24 17:02:34.282404,0 days 00:00:16.512972,0.1828617173448097,1,64,70,0.00021568695600351155,256,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
20,0.5,2026-02-24 17:01:40.521064,2026-02-24 17:02:17.769390,0 days 00:00:37.248326,0.1271053761943542,5,128,40,0.0003798505118844446,512,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
19,0.5,2026-02-24 17:01:13.623456,2026-02-24 17:01:40.521022,0 days 00:00:26.897566,0.23831366088596218,3,64,110,0.00026801270533633603,128,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
18,0.5,2026-02-24 17:00:41.941744,2026-02-24 17:01:13.623416,0 days 00:00:31.681672,0.043433376080201244,4,32,140,0.00014673570900394347,64,2,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
34,0.5,2026-02-24 17:07:58.153615,2026-02-24 17:08:35.192551,0 days 00:00:37.038936,0.2708205692175852,5,64,110,0.000866946726598794,32,2,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
35,0.5,2026-02-24 17:08:35.192591,2026-02-24 17:09:17.952139,0 days 00:00:42.759548,0.1485312418942874,4,64,120,0.00031387437741952566,32,8,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
36,0.5,2026-02-24 17:09:17.952181,2026-02-24 17:09:34.297670,0 days 00:00:16.345489,0.113628202923153,1,128,100,0.00023490632841335733,128,2,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
37,0.5,2026-02-24 17:09:34.297734,2026-02-24 17:10:06.109927,0 days 00:00:31.812193,0.2930913089644248,4,32,90,0.0004382503327523011,64,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
22,0.5,2026-02-24 17:02:34.282445,2026-02-24 17:02:50.684601,0 days 00:00:16.402156,0.16210588234310738,1,64,80,0.00024123481575504097,256,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
23,0.5,2026-02-24 17:02:50.684642,2026-02-24 17:03:07.393775,0 days 00:00:16.709133,0.17969744299156515,1,64,100,0.0001762323593582566,256,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
24,0.5,2026-02-24 17:03:07.393816,2026-02-24 17:03:29.034234,0 days 00:00:21.640418,0.11280204101846347,2,64,80,0.0003683213850380163,256,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
25,0.5,2026-02-24 17:03:29.034274,2026-02-24 17:03:55.849152,0 days 00:00:26.814878,0.13597460122397917,3,64,60,0.0001311928654088589,64,8,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
26,0.5,2026-02-24 17:03:55.849192,2026-02-24 17:04:27.983525,0 days 00:00:32.134333,0.09463176161338063,4,32,120,0.00020055389724047583,256,4,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
27,0.5,2026-02-24 17:04:27.983566,2026-02-24 17:04:49.698611,0 days 00:00:21.715045,0.16845082194892344,2,32,90,0.0002664907312255112,256,8,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
28,0.5,2026-02-24 17:04:49.698652,2026-02-24 17:05:17.529310,0 days 00:00:27.830658,0.2442343599655053,3,128,110,0.00035181727615060833,64,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
29,0.5,2026-02-24 17:05:17.529351,2026-02-24 17:05:39.193534,0 days 00:00:21.664183,0.042665132057233046,2,64,60,0.0005615178997890693,32,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
30,0.5,2026-02-24 17:05:39.193574,2026-02-24 17:06:16.530642,0 days 00:00:37.337068,0.19918943598994981,5,32,70,0.00026749331212440954,128,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
31,0.5,2026-02-24 17:06:16.530700,2026-02-24 17:06:48.835566,0 days 00:00:32.304866,0.2801917434227674,4,64,130,0.000701064895942583,32,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
32,0.5,2026-02-24 17:06:48.835606,2026-02-24 17:07:26.212540,0 days 00:00:37.376934,0.2549233146816566,5,64,130,0.0009947278744810216,32,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
33,0.5,2026-02-24 17:07:26.212581,2026-02-24 17:07:58.153574,0 days 00:00:31.940993,0.21318993735376354,4,64,130,0.0005918454012997005,32,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
49,0.5,2026-02-24 17:15:09.705388,2026-02-24 17:15:25.948092,0 days 00:00:16.242704,0.15419289494084262,1,128,20,0.00010237631193106981,256,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
43,0.5,2026-02-24 17:12:29.683621,2026-02-24 17:12:56.513180,0 days 00:00:26.829559,0.2020304640526951,3,32,120,0.0008729274008745238,128,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
44,0.5,2026-02-24 17:12:56.513220,2026-02-24 17:13:23.264845,0 days 00:00:26.751625,0.23076956999909556,3,32,110,0.000720339015723293,64,4,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
46,0.5,2026-02-24 17:13:49.532892,2026-02-24 17:14:05.814893,0 days 00:00:16.282001,0.2571077833286367,1,32,100,0.00033538412788833185,256,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
39,0.5,2026-02-24 17:10:48.624429,2026-02-24 17:11:20.360254,0 days 00:00:31.735825,0.08622072906902976,4,128,140,0.00013041965119861814,256,4,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
40,0.5,2026-02-24 17:11:20.360294,2026-02-24 17:11:57.383380,0 days 00:00:37.023086,0.21826028696163052,5,32,50,0.00017312456112092292,32,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
41,0.5,2026-02-24 17:11:57.383421,2026-02-24 17:12:13.404716,0 days 00:00:16.021295,0.19218783348480495,1,32,130,0.0009876354484634282,128,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
42,0.5,2026-02-24 17:12:13.404757,2026-02-24 17:12:29.683580,0 days 00:00:16.278823,0.14475156230523942,1,32,100,0.0006237744576405598,128,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
48,0.5,2026-02-24 17:14:43.000364,2026-02-24 17:15:09.705348,0 days 00:00:26.704984,0.1197715849134923,3,32,140,0.00028647804083031624,64,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.43899576603592694,2026-02-24 16:55:19.779225,2026-02-24 16:55:51.901871,0 days 00:00:32.122646,0.29926677785310946,4,128,20,0.0007279701917837755,64,2,4,8,"[0.5, 0.5, 0.8333333333333334, 0.5]",COMPLETE
16,0.40849364905389035,2026-02-24 16:59:43.024283,2026-02-24 17:00:20.439672,0 days 00:00:37.415389,0.06807591716903545,4,128,120,0.0002976397518552976,64,2,4,2,"[0.5, 0.5, 1.0, 0.5]",COMPLETE
38,0.40849364905389035,2026-02-24 17:10:06.109968,2026-02-24 17:10:48.624389,0 days 00:00:42.514421,0.18824478098770808,5,64,120,0.0007857583461074697,512,2,4,2,"[0.5, 1.0, 0.5, 0.5]",COMPLETE
10,0.15849364905389035,2026-02-24 16:56:23.677986,2026-02-24 16:57:00.695013,0 days 00:00:37.017027,0.09458116206258635,5,128,30,0.00011040391314150728,256,4,4,2,"[0.5, 0.5, 0.0, 0.5]",COMPLETE
3,0.15849364905389035,2026-02-24 16:53:11.127409,2026-02-24 16:53:32.764346,0 days 00:00:21.636937,0.018639090534724522,2,32,60,0.0006535353173997354,32,8,8,4,"[0.5, 0.5, 0.0, 0.5]",COMPLETE
45,0.15849364905389035,2026-02-24 17:13:23.264886,2026-02-24 17:13:49.532850,0 days 00:00:26.267964,0.16874978827691942,2,128,130,0.0005161446791230873,128,2,4,2,"[0.5, 0.0, 0.5, 0.5]",COMPLETE
47,0.1292091881014018,2026-02-24 17:14:05.814935,2026-02-24 17:14:43.000322,0 days 00:00:37.185387,0.002367995832001951,2,128,120,0.0004339615138098402,512,8,8,2,"[0.5, 0.3333333333333333, 0.0, 0.5]",COMPLETE
