cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,EQIX_price,2025-01-03,0.010752175,-0.015530182,-0.008526441,0.022698661,0.03135398,0.01653222001205967,1,0.01653222001205967,1.0166696333661918,1.0166696333661918
2024-12-23,EQIX_price,2025-01-03,0.005220725,-0.018944696,-0.005660856,0.025802733,0.030075932,0.01653222001205967,1,0.01653222001205967,1.0336171434089467,1.0336171434089467
2024-12-24,EQIX_price,2025-01-03,0.009275794,-0.01709602,-0.006278554,0.024988744,0.032079108,0.01653222001205967,1,0.01653222001205967,1.0508471622305844,1.0508471622305844
2024-12-26,EQIX_price,2025-01-03,0.004541136,-0.015763393,-0.009700268,0.02514114,0.026649851,0.01653222001205967,1,0.01653222001205967,1.0683643991488712,1.0683643991488712
2024-12-27,EQIX_price,2025-01-03,0.0069704102,-0.019208817,-0.006085824,0.016811617,0.027670315,0.01653222001205967,1,0.01653222001205967,1.0861736419841748,1.0861736419841748
2024-12-30,EQIX_price,2025-01-03,0.0050517744,-0.020493062,-0.015168494,0.020040074,0.023199273,0.01653222001205967,1,0.01653222001205967,1.1042797583680721,1.1042797583680721
2024-12-31,EQIX_price,2025-01-03,0.0035817102,-0.021478835,-0.007565069,0.019296259,0.029373968,0.01653222001205967,1,0.01653222001205967,1.1226876970737747,1.1226876970737747
2025-01-03,EQIX_price,2025-01-06,-0.00056834146,-0.029046286,-0.011914099,0.023906033,0.033859275,-0.021022088851373695,-1,0.021022088851373695,1.1465387587984237,1.0993328009964076
2025-01-06,EQIX_price,2025-01-07,-0.002920607,-0.030766737,-0.02184222,0.009906206,0.024135828,7.445418724717873e-05,-1,-7.445418724717873e-05,1.1464533973647875,1.0994146539737306
2025-01-07,EQIX_price,2025-01-08,0.000730557,-0.018476736,-0.011247391,0.009575458,0.019177943,0.011601718810575317,1,0.011601718810575317,1.1598316828040625,1.1122440311562574
2025-01-08,EQIX_price,2025-01-10,0.012809471,-0.011906152,-0.00780047,0.020325024,0.019701015,-0.055350192756222744,1,-0.055350192756222744,1.0973791003917737,1.0523538651535262
2025-01-10,EQIX_price,2025-01-13,0.025801547,-0.056026105,-0.023163736,0.054510295,0.07563651,-0.00020005764474808854,1,-0.00020005764474808854,1.0971595832723247,1.0521433547756294
2025-01-13,EQIX_price,2025-01-14,0.0041605234,-0.029483058,-0.013419313,0.025701748,0.038056415,-0.001735581014875226,1,-0.001735581014875226,1.0952570254285259,1.0503188584827028
2025-01-14,EQIX_price,2025-01-15,0.007138718,-0.023321638,-0.010856538,0.028897543,0.035255864,0.002135656289315356,1,0.002135656289315356,1.097598617511223,1.0525643755314231
2025-01-15,EQIX_price,2025-01-16,-0.00047958363,-0.032444485,-0.020475367,0.021802746,0.031068787,0.021848184438083087,-1,-0.021848184438083087,1.073878148625899,1.0758140529287523
2025-01-16,EQIX_price,2025-01-17,3.1217933e-05,-0.034741245,-0.022499235,0.015124955,0.032991886,-0.004685450841710086,1,-0.004685450841710086,1.0688583146267967,1.070785169561944
2025-01-17,EQIX_price,2025-01-21,0.006940681,-0.013841357,-0.007928528,0.016396843,0.026704572,0.01990776948604685,1,0.01990776948604685,1.0903501166916898,1.0923157153820262
2025-01-21,EQIX_price,2025-01-22,-0.0012604538,-0.036415502,-0.021497328,0.011523657,0.025344027,-0.009434065181549848,-1,0.009434065181549848,1.1006852251534063,1.0820591941396909
2025-01-22,EQIX_price,2025-01-23,-0.0026257634,-0.019443262,-0.011753002,0.0063349474,0.013432328,0.01682633655851001,-1,-0.01682633655851001,1.0823196709194793,1.1004203284221428
2025-01-23,EQIX_price,2025-01-24,-0.0061115585,-0.031265594,-0.014272086,0.017242063,0.02638029,-8.500370428170384e-05,-1,8.500370428170384e-05,1.0824116760110558,1.1003267925934623
