cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,GE_price,2025-01-03,0.0051027834,-0.031902634,-0.008901682,0.028339777,0.039127816,0.019792257642199083,1,0.019792257642199083,1.0199894230077797,1.0199894230077797
2024-12-23,GE_price,2025-01-03,-0.011147754,-0.056169193,-0.032146953,0.018658593,0.034552548,0.019792257642199083,-1,-0.019792257642199083,1.0,1.0403784230477433
2024-12-24,GE_price,2025-01-03,0.012374383,-0.033624418,-0.017417125,0.02399332,0.034751993,0.019792257642199083,1,0.019792257642199083,1.0199894230077797,1.0611749874342116
2024-12-26,GE_price,2025-01-03,8.728495e-05,-0.04585467,-0.030357588,0.024401208,0.030814772,0.019792257642199083,1,0.019792257642199083,1.0403784230477433,1.0823872631433094
2024-12-27,GE_price,2025-01-03,0.007024115,-0.027124532,-0.008798974,0.019198999,0.029551003,0.019792257642199083,1,0.019792257642199083,1.0611749874342116,1.1040235600045138
2024-12-30,GE_price,2025-01-03,0.012667663,-0.037131436,-0.01547683,0.026668126,0.038489565,0.019792257642199083,1,0.019792257642199083,1.0823872631433094,1.126092353955999
2024-12-31,GE_price,2025-01-03,0.0061772726,-0.023087505,-0.012805855,0.020814562,0.041139442,0.019792257642199083,1,0.019792257642199083,1.1040235600045138,1.148602290365052
2025-01-03,GE_price,2025-01-06,0.012034222,-0.021569112,-0.008713247,0.029710628,0.0407392,0.002845475657523001,1,0.002845475657523001,1.10716950590342,1.1518752645983492
2025-01-06,GE_price,2025-01-07,-5.4981792e-05,-0.035112094,-0.02513952,0.025757736,0.042520434,-0.000812154461163606,-1,0.000812154461163606,1.1080690637974366,1.1509401437461877
2025-01-07,GE_price,2025-01-08,0.00026670255,-0.03718987,-0.023443906,0.01924285,0.041187968,0.0033603289042285055,1,0.0033603289042285055,1.111798803366611,1.1548141865618673
2025-01-08,GE_price,2025-01-10,0.008144225,-0.027504016,-0.0138663575,0.022298098,0.029615818,-0.006965064916251242,1,-0.006965064916251242,1.1040819578888945,1.146798777113514
