cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,GOOG_price,2025-01-03,0.0041278433,-0.026564222,-0.014619935,0.022714444,0.03060378,0.013029189529870953,1,0.013029189529870953,1.0131144392623996,1.0131144392623996
2024-12-23,GOOG_price,2025-01-03,0.002529082,-0.030934475,-0.01446949,0.019214276,0.029708164,0.013029189529870953,1,0.013029189529870953,1.0264008670419664,1.0264008670419664
2024-12-24,GOOG_price,2025-01-03,0.0029614354,-0.025749866,-0.015495831,0.01835944,0.032452382,0.013029189529870953,1,0.013029189529870953,1.0398615388716625,1.0398615388716625
2024-12-26,GOOG_price,2025-01-03,0.0026229236,-0.028095556,-0.015857322,0.016043454,0.03477372,0.013029189529870953,1,0.013029189529870953,1.0534987398645004,1.0534987398645004
2024-12-27,GOOG_price,2025-01-03,-0.00066146906,-0.03393005,-0.019950667,0.01731416,0.034008257,0.013029189529870953,-1,-0.013029189529870953,1.0398615388716625,1.067314785101468
2024-12-30,GOOG_price,2025-01-03,0.002487393,-0.024452556,-0.0125778215,0.018729843,0.030109797,0.013029189529870953,1,0.013029189529870953,1.0534987398645004,1.0813120200245423
2024-12-31,GOOG_price,2025-01-03,0.00570333,-0.018838992,-0.009373952,0.020686435,0.03291264,0.013029189529870953,1,0.013029189529870953,1.067314785101468,1.0954928208348569
2025-01-03,GOOG_price,2025-01-06,0.0017853286,-0.026743615,-0.013155144,0.021603275,0.0416437,0.024701424303953622,1,0.024701424303953622,1.0940072947654702,1.122890035897515
2025-01-06,GOOG_price,2025-01-07,-0.00015209429,-0.03300166,-0.021578737,0.018665446,0.037924327,-0.0063344023261314155,-1,0.0063344023261314155,1.1009591718663545,1.1157996789371074
2025-01-07,GOOG_price,2025-01-08,0.0032793242,-0.024193414,-0.016242603,0.022524098,0.040435076,-0.006732997747697171,1,-0.006732997747697171,1.0935713153620865,1.1083122369627414
2025-01-08,GOOG_price,2025-01-10,0.0018180623,-0.025908893,-0.017544385,0.017839912,0.029466925,-0.011427032344895272,1,-0.011427032344895272,1.0811461670587625,1.0957196024292624
2025-01-10,GOOG_price,2025-01-13,0.0033033816,-0.028777927,-0.014023573,0.021307223,0.0317195,-0.004565978812288705,1,-0.004565978812288705,1.0762209293892506,1.0907279744463516
2025-01-13,GOOG_price,2025-01-14,0.004453506,-0.021048063,-0.009736745,0.018882941,0.030276889,-0.006469355449372553,1,-0.006469355449372553,1.0692809464677973,1.0836944432187952
2025-01-14,GOOG_price,2025-01-15,0.0030981186,-0.01702927,-0.011566495,0.01799343,0.035631012,0.03056691651199655,1,0.03056691651199655,1.1024702308053105,1.1173311063705917
2025-01-15,GOOG_price,2025-01-16,0.0022337753,-0.032859676,-0.024011102,0.030579168,0.049980693,-0.013132762791335618,1,-0.013132762791335618,1.0880864071817375,1.102753394325318
2025-01-16,GOOG_price,2025-01-17,0.0029625194,-0.036039643,-0.019504184,0.025958322,0.044881396,0.01602238319641617,1,0.01602238319641617,1.1056605584782997,1.1205644384361133
2025-01-17,GOOG_price,2025-01-21,0.0024425052,-0.03308645,-0.018596487,0.024092684,0.03868525,0.010473839326345569,1,0.010473839326345569,1.1173019280116985,1.1323627291626754
2025-01-21,GOOG_price,2025-01-22,0.00068362895,-0.033432703,-0.020654459,0.012027178,0.02295328,0.002001721981608786,1,0.002001721981608786,1.1195406957888874,1.1346316746702256
2025-01-22,GOOG_price,2025-01-23,0.0055435454,-0.016864581,-0.012350019,0.019857956,0.027964845,-0.002252209604962305,1,-0.002252209604962305,1.1170220927562797,1.132079121835419
2025-01-23,GOOG_price,2025-01-24,0.0036767025,-0.018486965,-0.015295817,0.018359479,0.033983905,0.011557374724112933,1,0.011557374724112933,1.1300068258366003,1.1452388841339112
2025-01-24,GOOG_price,2025-01-27,0.005187073,-0.018359903,-0.011234247,0.020359658,0.03745774,-0.04110060023935142,1,-0.04110060023935142,1.084504361591467,1.0991230641353378
2025-01-27,GOOG_price,2025-01-28,7.297099e-05,-0.1211199,-0.035726577,0.042919666,0.043792605,0.016887175202926142,1,0.016887175202926142,1.1029740885859771,1.117841755960753
2025-01-28,GOOG_price,2025-01-29,0.004066755,-0.02210295,-0.0146441255,0.022472173,0.04300217,0.0005578658508815702,1,0.0005578658508815702,1.1035895718269852,1.1184655356796174
2025-01-29,GOOG_price,2025-01-30,-0.0014551202,-0.026233314,-0.018372865,0.0122391125,0.035501298,0.027264708472841532,-1,-0.027264708472841532,1.0739070058553706,1.149379690135053
2025-01-30,GOOG_price,2025-01-31,-0.00047940388,-0.03590253,-0.023719484,0.019031923,0.03352698,0.014550869860965295,-1,-0.014550869860965295,1.0583938633419934,1.166226434577377
2025-01-31,GOOG_price,2025-02-03,0.002806211,-0.03198596,-0.019026337,0.021260789,0.0352605,-0.014501581920504826,1,-0.014501581920504826,1.0431562299563435,1.1494363420889044
2025-02-03,GOOG_price,2025-02-04,0.0016591372,-0.028810069,-0.015610026,0.02258009,0.038212925,0.02471194580940363,1,0.02471194580940363,1.0692558076621546,1.1781950287234924
2025-02-04,GOOG_price,2025-02-05,0.0018505435,-0.03271261,-0.022095045,0.023870181,0.045218043,-0.07189952763666449,1,-0.07189952763666449,0.995075537123787,1.0964570336138288
2025-02-05,GOOG_price,2025-02-06,-0.012031663,-0.06405527,-0.044047777,0.020623535,0.05096978,5.158761684390913e-05,-1,-5.158761684390913e-05,0.9950242048723128,1.0965135986781807
2025-02-06,GOOG_price,2025-02-07,0.00924851,-0.02025144,-0.009027294,0.027170192,0.04299793,-0.032437956909586375,1,-0.032437956909586375,0.963265530558416,1.0615156377334536
2025-02-07,GOOG_price,2025-02-10,0.00724604,-0.036987916,-0.013098022,0.03450395,0.05626007,0.005648165090848662,1,0.005648165090848662,0.9687216072072975,1.0675282173386873
2025-02-10,GOOG_price,2025-02-11,0.009101916,-0.027929388,-0.01132843,0.036471065,0.06132555,-0.006022308709543593,1,-0.006022308709543593,0.9629051983192561,1.061118552719495
2025-02-11,GOOG_price,2025-02-12,0.0066586765,-0.03710377,-0.021062061,0.03144661,0.05392796,-0.00880548906793187,1,-0.00880548906793187,0.954463568008276,1.0518159022053888
2025-02-12,GOOG_price,2025-02-13,0.006839674,-0.02677347,-0.014695862,0.027026312,0.042692304,0.013126210479101062,1,0.013126210479101062,0.9670746444476536,1.0657132694674465
2025-02-13,GOOG_price,2025-02-14,0.0070824353,-0.033986356,-0.017463952,0.023047902,0.035857406,-0.005390381479922038,1,-0.005390381479922038,0.9618757677471615,1.0599841234104697
2025-02-14,GOOG_price,2025-02-18,0.006569869,-0.025836566,-0.015449495,0.032488868,0.04868184,-0.005742478340914189,1,-0.005742478340914189,0.9563680461055777,1.0539146311828853
2025-02-18,GOOG_price,2025-02-19,0.011775075,-0.022131853,-0.011921826,0.033436123,0.04824605,0.007132911674107676,1,0.007132911674107676,0.963214122107665,1.0614589857796022
2025-02-19,GOOG_price,2025-02-20,0.0012168363,-0.021792397,-0.016899863,0.021278268,0.038842253,-0.0026220078062517593,1,-0.0026220078062517593,0.9606918752808626,1.0586794775713908
2025-02-20,GOOG_price,2025-02-21,0.004471847,-0.026841432,-0.01185528,0.021658834,0.037996195,-0.027485369367941874,1,-0.027485369367941874,0.9346464775642367,1.029977529780154
2025-02-21,GOOG_price,2025-02-24,0.008390682,-0.034729376,-0.017600738,0.031276077,0.058633335,-0.0021500456486492512,1,-0.0021500456486492512,0.9326391037181159,1.0277654100054547
2025-02-24,GOOG_price,2025-02-25,0.007466088,-0.0241728,-0.0132618,0.025533982,0.04426436,-0.021308285899642142,1,-0.021308285899642142,0.912976396320964,1.0060971672207741
2025-02-25,GOOG_price,2025-02-26,0.0020663328,-0.03604095,-0.01937973,0.020116622,0.033467785,-0.015167769104997694,1,-0.015167769104997694,0.8992330724079898,0.9909520667419882
2025-02-26,GOOG_price,2025-02-27,0.007569121,-0.01948899,-0.013437514,0.02691365,0.040685017,-0.026037113192425847,1,-0.026037113192425847,0.8761218199027114,0.9654835379057728
2025-02-27,GOOG_price,2025-02-28,0.008839065,-0.026416756,-0.011972494,0.028386848,0.043633714,0.011739712952365313,1,0.011739712952365313,0.8864678494636761,0.9768848305078759
2025-02-28,GOOG_price,2025-03-03,0.0060987705,-0.027645063,-0.011842278,0.025933709,0.04163467,-0.020887929397997322,1,-0.020887929397997322,0.8681434175797105,0.956691363202828
2025-03-03,GOOG_price,2025-03-04,0.00074215606,-0.029330805,-0.017666373,0.02726962,0.046859134,0.023149832591127958,1,0.023149832591127958,0.888475223309797,0.9790969502825753
2025-03-04,GOOG_price,2025-03-05,0.0008411445,-0.039805695,-0.026215814,0.021842524,0.04226572,0.013694219972582621,1,0.013694219972582621,0.9007258886626976,0.9925971456411745
2025-03-05,GOOG_price,2025-03-06,-0.0058743684,-0.04320286,-0.030000445,0.011978775,0.02992133,-0.004467374767729441,-1,0.004467374767729441,0.9047587702599316,0.9881727323127764
2025-03-06,GOOG_price,2025-03-07,0.003625201,-0.026088294,-0.015919132,0.019555867,0.03309439,0.00880097050663362,1,0.00880097050663362,0.9127566685215434,0.9969079943933705
2025-03-07,GOOG_price,2025-03-10,0.0019377768,-0.027904404,-0.019139852,0.021815619,0.034667585,-0.04509150025336835,1,-0.04509150025336835,0.872513237798058,0.9529543327071274
2025-03-10,GOOG_price,2025-03-11,0.009965152,-0.04050429,-0.016041711,0.03970467,0.066888124,-0.010965097939596435,1,-0.010965097939596435,0.8629983061051284,0.9425621747553781
2025-03-11,GOOG_price,2025-03-12,0.009944677,-0.02598451,-0.009212917,0.030449618,0.049557872,0.01803143427692033,1,0.01803143427692033,0.8787005448454811,0.9597120766624069
2025-03-12,GOOG_price,2025-03-13,-0.0017868038,-0.032481275,-0.024663353,0.0175156,0.03841678,-0.02559093752248011,-1,0.02559093752248011,0.9014775145619535,0.9354637370714918
2025-03-13,GOOG_price,2025-03-14,0.0006886199,-0.03095933,-0.015426782,0.024677664,0.049423393,0.01739178915380718,1,0.01739178915380718,0.9172929521551298,0.9518754257884564
2025-03-14,GOOG_price,2025-03-17,0.002386625,-0.0345713,-0.02293716,0.028172899,0.056076337,-0.006283959384345563,1,-0.006283959384345563,0.9115467937220944,0.9459126338665923
2025-03-17,GOOG_price,2025-03-18,0.003490055,-0.040238507,-0.02015576,0.024811907,0.043527015,-0.02369200748602753,1,-0.02369200748602753,0.8902042425113408,0.9237654561591674
2025-03-18,GOOG_price,2025-03-19,0.009251572,-0.03602002,-0.01684082,0.03277089,0.04587392,0.021949508406156674,1,0.021949508406156674,0.9099598073354812,0.9442658171774105
2025-03-19,GOOG_price,2025-03-20,0.0023121238,-0.042431943,-0.026680363,0.024280472,0.043430828,-0.007424641617689076,1,-0.007424641617689076,0.9032287008274325,0.9372809440697265
2025-03-20,GOOG_price,2025-03-21,-0.0018870123,-0.0389912,-0.024400482,0.020968672,0.039240774,0.007244269972469345,-1,-0.007244269972469345,0.8967091116159462,0.9440955137578572
2025-03-21,GOOG_price,2025-03-24,0.0021907324,-0.033909664,-0.018546911,0.02973899,0.050492182,0.021893825068917114,1,0.021893825068917114,0.9165579951790228,0.9649933073480582
2025-03-24,GOOG_price,2025-03-25,-0.010453861,-0.045177598,-0.03371418,0.021365596,0.0400894,0.016690414647671598,-1,-0.016690414647671598,0.9013872176498396,0.9812346057559697
2025-03-25,GOOG_price,2025-03-26,-0.005600065,-0.03889974,-0.028099842,0.012996265,0.038164623,-0.03324523019949315,-1,0.03324523019949315,0.9318577365081644,0.9491495284016044
2025-03-26,GOOG_price,2025-03-27,-0.0021665208,-0.047237776,-0.029904831,0.027650319,0.048898634,-0.018477667048740144,-1,0.018477667048740144,0.9492363572299232,0.9317724973421712
2025-03-27,GOOG_price,2025-03-28,0.004472645,-0.029603623,-0.016401857,0.023659337,0.047521453,-0.050113574385158045,1,-0.050113574385158045,0.9028390085945319,0.8862287578100976
2025-03-28,GOOG_price,2025-03-31,-0.004135195,-0.050200388,-0.03137829,0.022574902,0.049325228,0.001088775049563549,-1,-0.001088775049563549,0.9018565549407669,0.8871941870420661
2025-03-31,GOOG_price,2025-04-01,-0.0012282003,-0.03481743,-0.020892978,0.022246715,0.04706158,0.016819920286054616,-1,-0.016819920286054616,0.8868142593164966,0.9022429270656047
2025-04-01,GOOG_price,2025-04-02,-0.0045563076,-0.042630862,-0.028774805,0.017554544,0.03720925,-0.00012587710087280914,-1,0.00012587710087280914,0.8869258959505726,0.9021293624894025
2025-04-02,GOOG_price,2025-04-03,-0.005023735,-0.030583892,-0.024819965,0.02458795,0.03714226,-0.04000659065387034,-1,0.04000659065387034,0.9231281124134111,0.8667506517566738
2025-04-03,GOOG_price,2025-04-04,0.00081538036,-0.045198597,-0.025228957,0.025887769,0.046159904,-0.032562724759419875,1,-0.032562724759419875,0.8935526872514111,0.8389814627454912
2025-04-04,GOOG_price,2025-04-07,0.0010280423,-0.03766977,-0.023843013,0.027574606,0.044762455,0.010101741318800248,1,0.010101741318800248,0.9026248706300047,0.8474995879661547
2025-04-07,GOOG_price,2025-04-08,-0.00038200058,-0.036283307,-0.023494342,0.021477504,0.042134285,-0.01798433559155138,-1,0.01798433559155138,0.9190048290643391,0.8323941090992648
2025-04-08,GOOG_price,2025-04-09,-0.00022894144,-0.03266226,-0.022378221,0.020543968,0.04936026,0.09420559369661151,-1,-0.09420559369661151,0.8363822817105774,0.9146226823246421
2025-04-09,GOOG_price,2025-04-10,-0.024967961,-0.11970038,-0.09434039,0.03838606,0.07765499,-0.03596760372035963,-1,0.03596760372035963,0.86701249380251,0.8823104758178724
2025-04-10,GOOG_price,2025-04-11,-0.013157118,-0.06493773,-0.047011882,0.015591778,0.046797544,0.02560734012914726,-1,-0.02560734012914726,0.8450924645985802,0.9051958667153615
2025-04-11,GOOG_price,2025-04-14,-0.012926847,-0.05277603,-0.04122282,0.022372676,0.046659075,0.01290275382847751,-1,-0.01290275382847751,0.8342584889299737,0.9169510602500365
2025-04-14,GOOG_price,2025-04-15,-0.016366104,-0.057973564,-0.04596462,0.009694481,0.02874985,-0.017429878176904074,-1,0.017429878176904074,0.8489269763785801,0.9011071944140829
2025-04-15,GOOG_price,2025-04-16,0.00041327812,-0.039884187,-0.02570283,0.027148532,0.0590846,-0.020243883721158464,1,-0.020243883721158464,0.8319141809116389,0.8830486890079366
2025-04-16,GOOG_price,2025-04-17,-0.00011209026,-0.04044648,-0.024276732,0.02358348,0.048529908,-0.013857501018396539,-1,0.013857501018396539,0.8435226791441581,0.8708962366803032
2025-04-17,GOOG_price,2025-04-21,-0.0027986458,-0.037824206,-0.025056787,0.015890233,0.036744073,-0.023086694489497572,-1,0.023086694489497572,0.86322336638264,0.8510204373864223
