cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,HD_price,2025-01-03,0.002680976,-0.034883954,-0.017140454,0.018304167,0.036163718,0.00185167152981364,1,0.00185167152981364,1.0018533869321646,1.0018533869321646
2024-12-23,HD_price,2025-01-03,0.0026657742,-0.03198396,-0.014958019,0.017692763,0.034887422,0.00185167152981364,1,0.00185167152981364,1.0037102089074497,1.0037102089074497
2024-12-24,HD_price,2025-01-03,0.0011478309,-0.029701076,-0.013308929,0.019614656,0.032920443,0.00185167152981364,1,0.00185167152981364,1.0055704722923189,1.0055704722923189
2024-12-26,HD_price,2025-01-03,0.0008618871,-0.024732696,-0.010522454,0.017883677,0.034505352,0.00185167152981364,1,0.00185167152981364,1.007434183465036,1.007434183465036
2024-12-27,HD_price,2025-01-03,0.00053267786,-0.029143266,-0.013792403,0.014011309,0.02792751,0.00185167152981364,1,0.00185167152981364,1.0093013488156861,1.0093013488156861
2024-12-30,HD_price,2025-01-03,0.0026086075,-0.026196074,-0.013457203,0.018148731,0.03400571,0.00185167152981364,1,0.00185167152981364,1.0111719747461974,1.0111719747461974
2024-12-31,HD_price,2025-01-03,-0.00094669766,-0.01790247,-0.010149922,0.014993666,0.02953419,0.00185167152981364,-1,-0.00185167152981364,1.0093013488156861,1.013046067670363
2025-01-03,HD_price,2025-01-06,0.0009780934,-0.018152729,-0.009535339,0.019258657,0.032762345,0.00048820934447488425,1,0.00048820934447488425,1.0097942194678085,1.0135407669755692
2025-01-06,HD_price,2025-01-07,-0.0025298325,-0.023214808,-0.014644708,0.02057527,0.02900301,-0.013288671683608172,-1,0.013288671683608172,1.0233025987417796,1.0001612513691667
2025-01-07,HD_price,2025-01-08,-0.0014016544,-0.025550783,-0.0131787015,0.016282246,0.030112922,0.007699971195535003,-1,-0.007699971195535003,1.0154534560743536,1.0078921900010338
2025-01-08,HD_price,2025-01-10,-0.0014712932,-0.018996578,-0.01209543,0.01015656,0.020925011,0.006923309731818394,-1,-0.006923309731818394,1.008447437681842,1.0148943509039838
2025-01-10,HD_price,2025-01-13,0.0018552938,-0.016974237,-0.010578579,0.014448739,0.022918835,-0.001822818588220257,1,-0.001822818588220257,1.0066108952975088,1.0130460676703628
2025-01-13,HD_price,2025-01-14,-0.0020126721,-0.020016946,-0.013960719,0.016434927,0.025481097,0.009207751683813258,-1,-0.009207751683813258,0.9973848130527982,1.0224170208026848
2025-01-14,HD_price,2025-01-15,-0.0008405829,-0.022160802,-0.014451796,0.018666498,0.029114231,0.03332515272540762,-1,-0.03332515272540762,0.9646945413164328,1.0570633143251043
2025-01-15,HD_price,2025-01-16,-0.008016564,-0.051183756,-0.03727791,0.014654268,0.03491909,0.007946882851965835,-1,-0.007946882851965835,0.9570586079286417,1.065497139576761
2025-01-16,HD_price,2025-01-17,6.03972e-05,-0.023144582,-0.0143357795,0.012458219,0.021233603,0.00012225445170421486,1,0.00012225445170421486,0.9571756197564656,1.0656274093082174
2025-01-17,HD_price,2025-01-21,-0.0036756333,-0.020471033,-0.014575805,0.010505593,0.023116315,0.02186572552257741,-1,-0.02186572552257741,0.9364734392957746,1.0891847361961502
