number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
7,0.75,2026-02-23 09:47:17.912335,2026-02-23 09:47:59.075100,0 days 00:00:41.162765,0.2999298770246089,3,64,80,0.0005751851477867052,256,4,16,2,COMPLETE
48,0.6458333333333333,2026-02-23 10:15:27.425121,2026-02-23 10:16:01.688755,0 days 00:00:34.263634,0.05972620851110885,2,128,60,0.0005341937222768918,512,4,16,2,COMPLETE
8,0.625,2026-02-23 09:47:59.075159,2026-02-23 09:48:39.861767,0 days 00:00:40.786608,0.1677209717481813,3,64,100,0.0005644058370796562,256,4,4,4,COMPLETE
35,0.625,2026-02-23 10:06:08.296954,2026-02-23 10:07:00.711095,0 days 00:00:52.414141,0.25697533685203894,5,64,80,0.0006227924792310074,64,8,16,4,COMPLETE
39,0.625,2026-02-23 10:09:08.051233,2026-02-23 10:09:54.921996,0 days 00:00:46.870763,0.042337762306589685,4,32,90,0.0003061472366398558,256,4,16,2,COMPLETE
31,0.625,2026-02-23 10:03:10.556907,2026-02-23 10:03:58.186534,0 days 00:00:47.629627,0.26755460714313634,4,64,80,0.0004092207308051497,256,8,16,2,COMPLETE
20,0.625,2026-02-23 09:56:28.652093,2026-02-23 09:56:55.975655,0 days 00:00:27.323562,0.12658871252448484,1,32,50,0.0007312914215661543,32,8,16,2,COMPLETE
25,0.625,2026-02-23 09:59:28.185453,2026-02-23 10:00:03.581314,0 days 00:00:35.395861,0.18586445063585666,2,64,130,0.0004374831826094754,512,4,4,4,COMPLETE
18,0.625,2026-02-23 09:55:06.387204,2026-02-23 09:55:54.297103,0 days 00:00:47.909899,0.26171773949580246,4,64,80,0.00040108169193602206,256,8,16,2,COMPLETE
2,0.625,2026-02-23 09:44:02.335886,2026-02-23 09:44:36.448976,0 days 00:00:34.113090,0.2869735430653249,1,32,130,0.00034010946399023014,256,8,8,2,COMPLETE
32,0.625,2026-02-23 10:03:58.186605,2026-02-23 10:04:46.513736,0 days 00:00:48.327131,0.261654400401469,4,64,80,0.0003871848171797756,256,8,16,2,COMPLETE
0,0.5625,2026-02-23 09:42:47.724423,2026-02-23 09:43:22.399529,0 days 00:00:34.675106,0.2510518478547084,2,32,20,0.00011028772382106669,128,8,16,2,COMPLETE
19,0.5535714285714286,2026-02-23 09:55:54.297164,2026-02-23 09:56:28.652019,0 days 00:00:34.354855,0.22086085808352782,2,128,120,0.00021748025252753465,128,2,4,8,COMPLETE
1,0.5,2026-02-23 09:43:22.399594,2026-02-23 09:44:02.335812,0 days 00:00:39.936218,0.11209672508614864,3,64,40,0.0008171652089177836,64,8,16,4,COMPLETE
5,0.5,2026-02-23 09:45:57.437562,2026-02-23 09:46:37.581425,0 days 00:00:40.143863,0.15130722367453567,3,32,140,0.00023280507355350345,256,4,8,4,COMPLETE
4,0.5,2026-02-23 09:45:16.904328,2026-02-23 09:45:57.437498,0 days 00:00:40.533170,0.04199206264743133,3,64,90,0.00010215384836425978,32,8,16,8,COMPLETE
6,0.5,2026-02-23 09:46:37.581499,2026-02-23 09:47:17.912239,0 days 00:00:40.330740,0.06817091349884126,3,64,30,0.0002855553553093628,128,8,4,8,COMPLETE
3,0.5,2026-02-23 09:44:36.449036,2026-02-23 09:45:16.904264,0 days 00:00:40.455228,0.07902392050212716,3,32,30,0.0009004944745129921,64,8,16,4,COMPLETE
33,0.5,2026-02-23 10:04:46.513834,2026-02-23 10:05:26.564737,0 days 00:00:40.050903,0.27921768678163444,3,64,50,0.0005216591778618294,256,8,16,2,COMPLETE
17,0.5,2026-02-23 09:54:35.428973,2026-02-23 09:55:06.387142,0 days 00:00:30.958169,0.1860177531562706,1,32,140,0.0006302470834081181,256,4,8,2,COMPLETE
15,0.5,2026-02-23 09:53:14.654868,2026-02-23 09:53:50.336629,0 days 00:00:35.681761,0.24718327941234575,2,64,60,0.0003567936183250825,32,2,16,2,COMPLETE
16,0.5,2026-02-23 09:53:50.336698,2026-02-23 09:54:35.428905,0 days 00:00:45.092207,0.005865377943290673,4,32,100,0.00017764101843580356,256,4,8,8,COMPLETE
14,0.5,2026-02-23 09:52:34.955512,2026-02-23 09:53:14.654780,0 days 00:00:39.699268,0.24218915887212242,2,128,70,0.0006913629703295636,512,4,4,2,COMPLETE
13,0.5,2026-02-23 09:51:39.756027,2026-02-23 09:52:34.955440,0 days 00:00:55.199413,0.2973172218660846,4,32,120,0.0003810552255381085,256,4,8,2,COMPLETE
12,0.5,2026-02-23 09:51:09.252855,2026-02-23 09:51:39.755966,0 days 00:00:30.503111,0.20849007320655844,1,64,110,0.00018025377514951075,256,2,8,2,COMPLETE
11,0.5,2026-02-23 09:49:58.754440,2026-02-23 09:51:09.252778,0 days 00:01:10.498338,0.2874949948630009,5,32,130,0.0004523029379082388,256,4,8,2,COMPLETE
9,0.5,2026-02-23 09:48:39.861826,2026-02-23 09:49:05.884781,0 days 00:00:26.022955,0.28304681987224084,1,128,80,0.00026677994569848765,64,8,16,2,COMPLETE
24,0.5,2026-02-23 09:58:43.090590,2026-02-23 09:59:28.185390,0 days 00:00:45.094800,0.2958138950755939,4,64,90,0.00094978479859889,256,4,4,4,COMPLETE
26,0.5,2026-02-23 10:00:03.581374,2026-02-23 10:00:53.192013,0 days 00:00:49.610639,0.22543708873146734,5,64,70,0.0006008854505241951,256,4,8,2,COMPLETE
27,0.5,2026-02-23 10:00:53.192079,2026-02-23 10:01:20.285351,0 days 00:00:27.093272,0.2690407825411198,1,64,110,0.0007270574232351242,256,4,16,2,COMPLETE
29,0.5,2026-02-23 10:02:00.440484,2026-02-23 10:02:33.519006,0 days 00:00:33.078522,0.23885822538497403,2,32,110,0.000464271824092973,128,8,8,4,COMPLETE
23,0.5,2026-02-23 09:58:08.684897,2026-02-23 09:58:43.090502,0 days 00:00:34.405605,0.1491992028441299,3,64,120,0.0003425882184697477,256,4,4,4,COMPLETE
21,0.5,2026-02-23 09:56:55.975704,2026-02-23 09:57:37.207946,0 days 00:00:41.232242,0.17618284368146564,4,64,100,0.0005286764890145358,256,4,4,4,COMPLETE
22,0.5,2026-02-23 09:57:37.208020,2026-02-23 09:58:08.684847,0 days 00:00:31.476827,0.2694260587607288,2,64,100,0.0005627047576485315,256,4,4,4,COMPLETE
41,0.5,2026-02-23 10:11:39.495487,2026-02-23 10:12:11.158521,0 days 00:00:31.663034,0.1282808151116683,1,32,40,0.0007115264076153307,32,8,16,2,COMPLETE
30,0.5,2026-02-23 10:02:33.519064,2026-02-23 10:03:10.556847,0 days 00:00:37.037783,0.1573213467858204,2,32,70,0.00013534263891482016,64,8,16,2,COMPLETE
28,0.5,2026-02-23 10:01:20.285413,2026-02-23 10:02:00.440408,0 days 00:00:40.154995,0.1101571418204403,3,128,90,0.0003042437437231066,256,2,4,8,COMPLETE
36,0.5,2026-02-23 10:07:00.711161,2026-02-23 10:07:46.167557,0 days 00:00:45.456396,0.2003318703358839,4,64,60,0.00033551368091981105,256,8,16,2,COMPLETE
37,0.5,2026-02-23 10:07:46.167636,2026-02-23 10:08:26.821155,0 days 00:00:40.653519,0.23072961156501332,3,32,130,0.000854961870699348,128,8,16,4,COMPLETE
38,0.5,2026-02-23 10:08:26.821218,2026-02-23 10:09:08.051167,0 days 00:00:41.229949,0.08991371962855738,3,64,20,0.0002455532240273372,512,8,8,8,COMPLETE
40,0.5,2026-02-23 10:09:54.922072,2026-02-23 10:11:39.495386,0 days 00:01:44.573314,0.2789928538305497,5,128,100,0.0004820651873050677,64,8,4,2,COMPLETE
34,0.5,2026-02-23 10:05:26.564781,2026-02-23 10:06:08.296883,0 days 00:00:41.732102,0.29895752961013866,3,64,90,0.0007912571006808836,32,8,16,2,COMPLETE
45,0.5,2026-02-23 10:13:44.745448,2026-02-23 10:14:24.985088,0 days 00:00:40.239640,0.1624473305735977,3,32,70,0.0006823545154305661,32,2,8,2,COMPLETE
42,0.5,2026-02-23 10:12:11.158583,2026-02-23 10:12:42.539974,0 days 00:00:31.381391,0.10923198408543447,1,32,50,0.000802717495229116,32,8,16,2,COMPLETE
44,0.5,2026-02-23 10:13:13.842008,2026-02-23 10:13:44.745386,0 days 00:00:30.903378,0.07542721676732851,1,32,50,0.0005979369507466138,32,8,16,2,COMPLETE
43,0.5,2026-02-23 10:12:42.540049,2026-02-23 10:13:13.841945,0 days 00:00:31.301896,0.1274666350950037,1,32,40,0.0004207410083418426,32,8,16,2,COMPLETE
47,0.5,2026-02-23 10:14:53.108076,2026-02-23 10:15:27.425028,0 days 00:00:34.316952,0.09534256382274782,2,32,30,0.000263598804995534,256,8,8,8,COMPLETE
46,0.5,2026-02-23 10:14:24.985157,2026-02-23 10:14:53.108025,0 days 00:00:28.122868,0.13585712497037766,1,64,20,0.0009982545385136448,256,4,16,2,COMPLETE
49,0.4375,2026-02-23 10:16:01.688814,2026-02-23 10:16:34.524164,0 days 00:00:32.835350,0.05008249439824693,2,128,60,0.000500396615148468,512,4,8,4,COMPLETE
10,0.375,2026-02-23 09:49:05.884828,2026-02-23 09:49:58.754376,0 days 00:00:52.869548,0.21255332527005957,5,128,60,0.0004964863015405811,512,2,8,2,COMPLETE
