cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,INTC_price,2025-01-03,-0.00053091906,-0.07365641,-0.033827573,0.011710986,0.06975896,0.016675234977803592,-1,-0.016675234977803592,0.983463027168308,1.0168150427365907
2024-12-23,INTC_price,2025-01-03,-0.011653028,-0.12101798,-0.06193954,0.04606014,0.06912461,0.016675234977803592,-1,-0.016675234977803592,0.9671995258070522,1.0339128311354149
2024-12-24,INTC_price,2025-01-03,0.029994223,-0.05617249,-0.02028714,0.040617164,0.081472665,0.016675234977803592,1,0.016675234977803592,0.983463027168308,1.0512981195768663
2024-12-26,INTC_price,2025-01-03,-0.0038865318,-0.09121716,-0.054823413,0.045890413,0.06354533,0.016675234977803592,-1,-0.016675234977803592,0.9671995258070522,1.0689757423864488
2024-12-27,INTC_price,2025-01-03,-0.009027418,-0.07682932,-0.04415803,0.011317516,0.019482346,0.016675234977803592,-1,-0.016675234977803592,0.9512049735259556,1.0869506151790558
2024-12-30,INTC_price,2025-01-03,-0.025411649,-0.09638527,-0.06163815,0.05705133,0.07525225,0.016675234977803592,-1,-0.016675234977803592,0.9354749227213865,1.1052277362258551
2024-12-31,INTC_price,2025-01-03,-0.015164975,-0.09375021,-0.054404363,0.035958968,0.058112554,0.016675234977803592,-1,-0.016675234977803592,0.9200049993396138,1.1238121878441585
2025-01-03,INTC_price,2025-01-06,-0.0036601368,-0.087934576,-0.05216024,0.045792043,0.07088815,-0.03413631581146915,-1,0.03413631581146915,0.951952767799508,1.0860967750798836
2025-01-06,INTC_price,2025-01-07,-0.013389772,-0.05237075,-0.035522215,0.029632047,0.07657383,0.0070210612340847614,-1,-0.0070210612340847614,0.9452924577074716,1.0937491595382722
2025-01-07,INTC_price,2025-01-08,0.01297001,-0.037865207,-0.028956242,0.059481036,0.0942843,-0.006518001020547187,1,-0.006518001020547187,0.9391510770089411,1.086643284607552
2025-01-08,INTC_price,2025-01-10,-0.005009511,-0.043266945,-0.056450468,0.046558857,0.039054874,-0.037411463306902745,-1,0.037411463306902745,0.9749515924117659,1.0467414167089266
2025-01-10,INTC_price,2025-01-13,0.012288079,-0.059580237,-0.03736875,0.05317829,0.027867202,0.002607623063600298,1,0.002607623063600298,0.9774972162412812,1.049474485626865
2025-01-13,INTC_price,2025-01-14,0.005612191,-0.058100663,-0.025778042,0.059826843,0.10621559,0.0,1,0.0,0.9774972162412812,1.049474485626865
2025-01-14,INTC_price,2025-01-15,0.0025530113,-0.08950771,-0.04819455,0.033375956,0.09190221,0.026722995584571894,1,0.026722995584571894,1.0039710243289004,1.0778976725819882
2025-01-15,INTC_price,2025-01-16,-0.014306726,-0.11426969,-0.07890132,0.0035104286,0.0467845,-0.0025386780750734257,-1,0.0025386780750734257,1.0065230215354404,1.075164707919969
2025-01-16,INTC_price,2025-01-17,0.008925158,-0.07260197,-0.04542746,0.0510713,0.060559552,0.08849306372413504,1,0.08849306372413504,1.099653249543716,1.1746461229026983
2025-01-17,INTC_price,2025-01-21,0.015565082,-0.080377996,-0.03774914,0.06931205,0.10701108,0.012945196269927605,1,0.012945196269927605,1.1139810144680329,1.1899509960753947
2025-01-21,INTC_price,2025-01-22,-0.034661222,-0.14385,-0.08444688,0.017062202,0.075571455,0.0041256143955975735,-1,-0.0041256143955975735,1.1093946256993765,1.1948704158717645
2025-01-22,INTC_price,2025-01-23,0.01076143,-0.08478328,-0.05984262,0.06473875,0.09431819,-0.013355064416417336,1,-0.013355064416417336,1.0946770846128686,1.1790189289154802
