number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
13,0.875,2026-02-23 08:03:45.458477,2026-02-23 08:04:31.046085,0 days 00:00:45.587608,0.05041179307802727,4,128,100,0.00037275195518123966,64,2,4,4,COMPLETE
42,0.75,2026-02-23 08:22:13.357641,2026-02-23 08:22:43.319164,0 days 00:00:29.961523,0.016277242198533867,1,128,110,0.0002509729950662316,256,2,8,4,COMPLETE
15,0.625,2026-02-23 08:05:16.114274,2026-02-23 08:05:54.640421,0 days 00:00:38.526147,0.08699983089436517,2,128,100,0.0003275740288680169,256,2,4,4,COMPLETE
34,0.625,2026-02-23 08:17:26.735741,2026-02-23 08:18:02.723227,0 days 00:00:35.987486,0.06568884930592825,2,128,90,0.0003451659786131875,128,2,8,4,COMPLETE
41,0.625,2026-02-23 08:21:44.232740,2026-02-23 08:22:13.357580,0 days 00:00:29.124840,0.0375994432782593,1,128,110,0.0002718781369280251,256,2,8,4,COMPLETE
35,0.625,2026-02-23 08:18:02.723296,2026-02-23 08:18:33.137091,0 days 00:00:30.413795,0.03211626325800376,1,128,110,0.00022506367717319847,256,2,8,4,COMPLETE
33,0.625,2026-02-23 08:16:56.140826,2026-02-23 08:17:26.735678,0 days 00:00:30.594852,0.011099263367549836,1,128,120,0.00014918540269790278,256,2,8,4,COMPLETE
31,0.625,2026-02-23 08:16:01.078985,2026-02-23 08:16:25.623245,0 days 00:00:24.544260,0.03822635524280117,1,128,110,0.000258534686303422,256,2,8,4,COMPLETE
24,0.625,2026-02-23 08:11:50.627365,2026-02-23 08:12:22.016252,0 days 00:00:31.388887,0.040833139221318704,1,128,110,0.0002473952034176212,256,2,8,4,COMPLETE
8,0.625,2026-02-23 08:00:24.401430,2026-02-23 08:00:54.646370,0 days 00:00:30.244940,0.031613146535545665,1,32,110,0.0006218982212469819,64,2,8,2,COMPLETE
43,0.625,2026-02-23 08:22:43.319228,2026-02-23 08:23:11.162280,0 days 00:00:27.843052,0.012948757134656638,1,128,90,0.00022313973693904298,256,2,8,4,COMPLETE
20,0.5321428571428571,2026-02-23 08:08:45.841295,2026-02-23 08:10:04.572236,0 days 00:01:18.730941,0.007531576549651087,4,128,100,0.0005126910057220761,512,2,4,2,COMPLETE
1,0.5,2026-02-23 07:55:13.531281,2026-02-23 07:55:44.140802,0 days 00:00:30.609521,0.06148416121418175,1,128,120,0.00017922197880234072,128,2,16,4,COMPLETE
0,0.5,2026-02-23 07:54:28.268940,2026-02-23 07:55:13.531211,0 days 00:00:45.262271,0.032925624882970204,4,128,80,0.00018017031267487214,64,8,16,4,COMPLETE
7,0.5,2026-02-23 07:59:19.137379,2026-02-23 08:00:24.401357,0 days 00:01:05.263978,0.1044711222645555,3,32,140,0.00018440657063872965,512,4,16,2,COMPLETE
6,0.5,2026-02-23 07:58:34.119281,2026-02-23 07:59:19.137299,0 days 00:00:45.018018,0.09140915946703562,4,64,130,0.0006642097616698606,32,8,16,8,COMPLETE
5,0.5,2026-02-23 07:57:41.822332,2026-02-23 07:58:34.119217,0 days 00:00:52.296885,0.2934118690951843,3,128,80,0.0002078868198313291,512,8,16,2,COMPLETE
2,0.5,2026-02-23 07:55:44.140861,2026-02-23 07:56:21.332299,0 days 00:00:37.191438,0.2730568909228429,2,64,130,0.00017175534603216117,32,2,16,8,COMPLETE
