cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,INTU_price,2025-01-03,-0.011960643,-0.052553996,-0.03683601,0.026018571,0.04237149,0.01187543140963875,-1,-0.01187543140963875,0.9881948032288151,1.0119462242997157
2024-12-23,INTU_price,2025-01-03,-0.011152208,-0.048457272,-0.037491225,0.021077225,0.03334234,0.01187543140963875,-1,-0.01187543140963875,0.9765289691284367,1.0240351608744505
2024-12-24,INTU_price,2025-01-03,-0.0036784997,-0.035867058,-0.018976236,0.0109216515,0.022060081,0.01187543140963875,-1,-0.01187543140963875,0.9650008524951132,1.036268514597052
2024-12-26,INTU_price,2025-01-03,-0.00789362,-0.04275402,-0.02847246,0.020259835,0.046047807,0.01187543140963875,-1,-0.01187543140963875,0.9536088275470472,1.0486480107071618
2024-12-27,INTU_price,2025-01-03,-0.018006355,-0.041982148,-0.03671363,0.0042959647,0.01901821,0.01187543140963875,-1,-0.01187543140963875,0.9423512876951154,1.0611753950545202
2024-12-30,INTU_price,2025-01-03,0.000715781,-0.033768468,-0.024725433,0.02766094,0.044504624,0.01187543140963875,1,0.01187543140963875,0.9536088275470472,1.073852434345181
2024-12-31,INTU_price,2025-01-03,-0.013085054,-0.047331363,-0.033031825,0.011228846,0.030998884,0.01187543140963875,-1,-0.01187543140963875,0.9423512876951154,1.086680916390664
2025-01-03,INTU_price,2025-01-06,-0.005821687,-0.043570373,-0.030855477,0.02079484,0.03818407,-0.00807722477483821,-1,0.00807722477483821,0.9499936940294144,1.0779389035004938
2025-01-06,INTU_price,2025-01-07,-0.0009258785,-0.030455565,-0.012328101,0.011359781,0.023664674,-0.015686333874187174,-1,0.015686333874187174,0.9650131040594148,1.0611619226378939
2025-01-07,INTU_price,2025-01-08,0.0021506958,-0.029681161,-0.0163611,0.021877617,0.037396092,0.01710901495252667,1,0.01710901495252667,0.9816655751696963,1.079473558185353
2025-01-08,INTU_price,2025-01-10,-0.008386219,-0.034571964,-0.018708367,0.01630393,0.02361057,-0.0025312360822507068,-1,0.0025312360822507068,0.9841535499916864,1.0767446110268615
2025-01-10,INTU_price,2025-01-13,-0.005098749,-0.014677615,-0.010962459,0.0045631533,0.017782506,-0.0165126196973963,-1,0.0165126196973963,1.0005394177664715,1.0591107282330336
2025-01-13,INTU_price,2025-01-14,0.0015781932,-0.023384515,-0.004548448,0.0047573745,0.008902829,0.01710591301733977,1,0.01710591301733977,1.0178017813324727,1.0773836259547687
2025-01-14,INTU_price,2025-01-15,-0.001192499,-0.020086167,-0.0188187,0.014873827,0.023158709,-0.0037742608777404886,-1,0.0037742608777404886,1.0216504892221088,1.0733249631291537
2025-01-15,INTU_price,2025-01-16,-0.01827191,-0.041675348,-0.02836776,0.007317506,0.020850062,-0.02308194137470266,-1,0.02308194137470266,1.0455064274570829,1.0488342729200628
2025-01-16,INTU_price,2025-01-17,-0.005361628,-0.034604415,-0.020524586,0.012678152,0.038037583,-0.005184097170517988,-1,0.005184097170517988,1.0509405075991578,1.0434110834496875
2025-01-17,INTU_price,2025-01-21,0.00010513328,-0.023547608,-0.01807366,0.018027535,0.035876773,0.00870182748897454,1,0.00870182748897454,1.0601255158172527,1.0525302860182804
2025-01-21,INTU_price,2025-01-22,0.009597597,-0.012037743,-0.002182655,0.023435676,0.02931192,0.003717995162862361,1,0.003717995162862361,1.0640743937627004,1.0564508723746697
2025-01-22,INTU_price,2025-01-23,-0.0076589063,-0.022444189,-0.016846925,0.0011182094,0.008040651,-0.02211694155496428,-1,0.02211694155496428,1.0878706450847027,1.033341902037099
2025-01-23,INTU_price,2025-01-24,-0.009988987,-0.022557173,-0.018046876,0.008081296,0.01859556,-0.0005851879605539651,-1,0.0005851879605539651,1.0885074401930894,1.032737379693741
2025-01-24,INTU_price,2025-01-27,0.006966496,-0.012663447,-0.0037528095,0.01898707,0.030132711,0.014395448096161967,1,0.014395448096161967,1.1042903208152353,1.0477116188912632
2025-01-27,INTU_price,2025-01-28,-0.0021730894,-0.01573189,-0.007606403,0.004407309,0.005558281,-0.009873572245724728,-1,0.009873572245724728,1.115247615883899,1.037417864220503
2025-01-28,INTU_price,2025-01-29,0.0010784827,-0.018895216,-0.0097289,0.004812533,0.015859023,-0.012851388400690176,1,-0.012851388400690176,1.101006838487825,1.0241709075261678
2025-01-29,INTU_price,2025-01-30,-0.004718895,-0.017224748,-0.018629123,0.009749214,0.018276922,0.01938943676372619,-1,-0.01938943676372619,1.0798645667530165,1.0442227735623986
2025-01-30,INTU_price,2025-01-31,0.0022615641,-0.030886037,-0.015891837,0.02606396,0.03489612,-0.005123890428587691,1,-0.005123890428587691,1.0743456103738112,1.03888597474994
