cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,IT_price,2025-01-03,0.0034858864,-0.019457547,-0.008398483,0.012858974,0.028351095,0.005509342518676759,1,0.005509342518676759,1.005524546855313,1.005524546855313
2024-12-23,IT_price,2025-01-03,-0.005503607,-0.037131127,-0.022401912,0.010197655,0.023291599,0.005509342518676759,-1,-0.005509342518676759,1.0,1.0110796143285823
2024-12-24,IT_price,2025-01-03,-0.0024071499,-0.032841027,-0.018189862,0.0148430355,0.029500095,0.005509342518676759,-1,-0.005509342518676759,0.9945058060764499,1.0166653710323923
2024-12-26,IT_price,2025-01-03,-6.9864094e-05,-0.024706325,-0.014745479,0.0117696775,0.020976983,0.005509342518676759,-1,-0.005509342518676759,0.9890417983197695,1.0222819865108348
2024-12-27,IT_price,2025-01-03,-0.000736058,-0.031118387,-0.018310325,0.014564101,0.02855046,0.005509342518676759,-1,-0.005509342518676759,0.9836078108813039,1.0279296312446562
2024-12-30,IT_price,2025-01-03,-0.0013612721,-0.023011342,-0.013286021,0.008603243,0.015668249,0.005509342518676759,-1,-0.005509342518676759,0.9782036788236035,1.033608476656432
2024-12-31,IT_price,2025-01-03,-0.00079492596,-0.02612716,-0.014003976,0.011397538,0.023742419,0.005509342518676759,-1,-0.005509342518676759,0.9728292381154166,1.039318695115769
2025-01-03,IT_price,2025-01-06,-4.500756e-05,-0.022285745,-0.012834014,0.005487099,0.016816413,0.011762555169610885,-1,-0.011762555169610885,0.9614533166453176,1.051615920215887
2025-01-06,IT_price,2025-01-07,0.0009736717,-0.02610385,-0.016110677,0.016045343,0.025710873,-0.0004881819287258076,1,-0.0004881819287258076,0.9609840670597212,1.0511026656186802
2025-01-07,IT_price,2025-01-08,-0.0006104965,-0.017466687,-0.012914902,0.007240489,0.016525425,0.008024992204627853,-1,-0.008024992204627853,0.9533030387308212,1.0595716928043566
2025-01-08,IT_price,2025-01-10,0.003341172,-0.0073601175,-0.0055507906,0.018927641,0.035036482,-0.01308377208268711,1,-0.01308377208268711,0.9409114799818835,1.045798795470916
2025-01-10,IT_price,2025-01-13,-0.0009348141,-0.028249584,-0.016639352,0.014312535,0.025564592,0.008410351392520558,-1,-0.008410351392520558,0.9330312679320348,1.0546314215071826
2025-01-13,IT_price,2025-01-14,0.0059403833,-0.015345743,-0.0070492225,0.015620145,0.027410552,0.013435153109627054,1,0.013435153109627054,0.9456512718866248,1.068896166074162
2025-01-14,IT_price,2025-01-15,-0.0032500234,-0.02260858,-0.014588438,0.011814123,0.022545751,0.01878996715984349,-1,-0.01878996715984349,0.928048412029163,1.0891705711264177
2025-01-15,IT_price,2025-01-16,-0.011298578,-0.02717206,-0.020443602,-0.0015731063,0.013746582,0.005443839768912926,-1,-0.005443839768912926,0.9230099917954593,1.0951160095206902
2025-01-16,IT_price,2025-01-17,-0.0024965531,-0.01903558,-0.013401993,0.0033505175,0.014078053,0.007083423821936201,-1,-0.007083423821936201,0.9164950222176791,1.102900718998875
2025-01-17,IT_price,2025-01-21,-0.00075050397,-0.01893113,-0.012439316,0.009118767,0.022964125,0.017472915973144463,-1,-0.017472915973144463,0.9006202746514991,1.1223409547979644
2025-01-21,IT_price,2025-01-22,-0.0057030115,-0.022516921,-0.015867893,0.010034615,0.018363837,5.721991463928444e-05,-1,-5.721991463928444e-05,0.9005687427106017,1.1224051768889678
2025-01-22,IT_price,2025-01-23,-0.009683565,-0.034444124,-0.02412474,0.006779733,0.018035619,-0.0001334019147537856,-1,0.0001334019147537856,0.9006888883188957,1.1222554558759983
2025-01-23,IT_price,2025-01-24,-0.0017257209,-0.01737835,-0.011464444,0.00474557,0.01411911,0.007177664856999543,-1,-0.007177664856999543,0.8942471911654822,1.1303396073801224
2025-01-24,IT_price,2025-01-27,0.0024568546,-0.014501338,-0.007559318,0.011999169,0.020812929,0.0159915537565284,1,0.0159915537565284,0.9086625479695489,1.1485607982444925
2025-01-27,IT_price,2025-01-28,-0.00070103817,-0.024195205,-0.01746548,0.009938393,0.019907247,0.01017059760150816,-1,-0.01017059760150816,0.8994677444219221,1.160301954020068
2025-01-28,IT_price,2025-01-29,0.0019198172,-0.018408192,-0.013971902,0.009648945,0.015258579,-0.008421820439392904,1,-0.008421820439392904,0.8919243975294603,1.1505711324386896
2025-01-29,IT_price,2025-01-30,0.0008029882,-0.02160868,-0.016022248,0.014715127,0.021332532,0.019128531720680256,1,0.019128531720680256,0.9091498249980877,1.1727917148604914
2025-01-30,IT_price,2025-01-31,0.005919975,-0.01455085,-0.008312121,0.019842496,0.025543941,-0.01017225930507906,1,-0.01017225930507906,0.8999485952198478,1.1609222454356138
2025-01-31,IT_price,2025-02-03,-0.009205635,-0.030107835,-0.021236014,0.013326742,0.0261967,0.009114007653253408,-1,-0.009114007653253408,0.891783720717785,1.1715512625621045
2025-02-03,IT_price,2025-02-04,-0.00017872732,-0.028228905,-0.016239863,0.018222485,0.031900555,-0.0011690194055622553,-1,0.0011690194055622553,0.8928268427890457,1.170182496614416
2025-02-04,IT_price,2025-02-05,-0.0010818703,-0.021525815,-0.014781169,0.013597951,0.027750656,-0.011118656860550772,-1,0.011118656860550772,0.9028092708468075,1.1572437032677894
2025-02-05,IT_price,2025-02-06,-0.00592087,-0.02128784,-0.013523283,0.017565537,0.029607028,-0.012384354718811144,-1,0.012384354718811144,0.91405950073013,1.1430003660644776
2025-02-06,IT_price,2025-02-07,-0.0065193083,-0.029567158,-0.018877141,0.009463405,0.019224122,-0.009701759265687317,-1,0.009701759265687317,0.9229706429429756,1.1319648700937088
2025-02-07,IT_price,2025-02-10,0.007618391,-0.024392407,-0.010221025,0.023234922,0.03029631,-0.0007937985614053393,1,-0.0007937985614053393,0.9222382808868175,1.1310666745485969
2025-02-10,IT_price,2025-02-11,0.007765627,-0.0136452345,-0.0060419803,0.017050635,0.025228823,-0.012845208564531503,1,-0.012845208564531503,0.9104676974665827,1.11663080160498
2025-02-11,IT_price,2025-02-12,-0.00802804,-0.035001088,-0.017058296,0.023486467,0.03146655,-0.016121704660038254,-1,0.016121704660038254,0.925264946734975,1.098773144324847
2025-02-12,IT_price,2025-02-13,-0.010795894,-0.033146784,-0.021850938,0.012774646,0.023807798,0.006595875021417912,-1,-0.006595875021417912,0.919182097693771,1.1060444686731197
2025-02-13,IT_price,2025-02-14,0.0032965557,-0.015449719,-0.008669352,0.014892739,0.032965366,-0.004845722155936053,1,-0.004845722155936053,0.9147387708956772,1.1006978490643726
2025-02-14,IT_price,2025-02-18,0.0026381467,-0.022821445,-0.014266735,0.0134668965,0.018496249,-0.0029576377055595036,1,-0.0029576377055595036,0.9120373019686038,1.0974471931044942
2025-02-18,IT_price,2025-02-19,0.0055817403,-0.01865228,-0.008494091,0.020066787,0.022750763,0.005557916395424186,1,0.005557916395424186,0.9171204417905052,1.1035636946090517
