cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,LIN_price,2025-01-03,-0.005066001,-0.028484777,-0.01933283,0.009661734,0.02395929,-0.0016189380533444052,-1,0.0016189380533444052,1.0016202492410364,0.9983823717199566
2024-12-23,LIN_price,2025-01-03,-0.004389848,-0.023516223,-0.015569132,0.0069885263,0.015690684,-0.0016189380533444052,-1,0.0016189380533444052,1.003243123689676,0.9967673601611655
2024-12-24,LIN_price,2025-01-03,-0.0042888476,-0.028460713,-0.018609684,0.010812508,0.022045203,-0.0016189380533444052,-1,0.0016189380533444052,1.0048686275994092,0.9951549610907446
2024-12-26,LIN_price,2025-01-03,-0.0036489177,-0.024431465,-0.015134089,0.008532835,0.017551098,-0.0016189380533444052,-1,0.0016189380533444052,1.0064967652306185,0.9935451702826588
2024-12-27,LIN_price,2025-01-03,-0.0040044696,-0.024214454,-0.016128786,0.008396147,0.01742913,-0.0016189380533444052,-1,0.0016189380533444052,1.008127540850589,0.991937983517709
2024-12-30,LIN_price,2025-01-03,-0.0037459442,-0.025099196,-0.01634679,0.008098291,0.017140264,-0.0016189380533444052,-1,0.0016189380533444052,1.0097609587335201,0.9903333965835215
2024-12-31,LIN_price,2025-01-03,-0.0049769813,-0.023370232,-0.014677305,0.00752797,0.016755337,-0.0016189380533444052,-1,0.0016189380533444052,1.0113970231605363,0.9887314052745365
2025-01-03,LIN_price,2025-01-06,-0.003861445,-0.020965133,-0.014302492,0.008346712,0.016302243,-0.0014278434852153382,-1,0.0014278434852153382,1.0128421712881688,0.9873206589810181
2025-01-06,LIN_price,2025-01-07,-0.0030724285,-0.020137914,-0.012124635,0.008262631,0.017403355,0.0049284097983010085,-1,-0.0049284097983010085,1.0078627503992603,0.9921985901392371
2025-01-07,LIN_price,2025-01-08,-0.003735785,-0.023878766,-0.015214572,0.008904444,0.016983679,0.0121204759844999,-1,-0.0121204759844999,0.9957207064578704,1.0042976845960676
2025-01-08,LIN_price,2025-01-10,-0.003961453,-0.028197343,-0.018163089,0.011513675,0.022525366,-0.014050346007473409,-1,0.014050346007473409,1.0098096725576233,0.9902856223066495
2025-01-10,LIN_price,2025-01-13,-8.8053755e-05,-0.019141791,-0.0105508175,0.012692055,0.022436105,0.017425416140504333,-1,-0.017425416140504333,0.9923657440421123,1.007692986183493
2025-01-13,LIN_price,2025-01-14,-0.0041360203,-0.031981297,-0.021063121,0.01247198,0.023488343,0.013809301793660496,-1,-0.013809301793660496,0.9787560524386637,1.021705048472911
2025-01-14,LIN_price,2025-01-15,-0.0017537856,-0.02699012,-0.01625343,0.015516947,0.026120707,0.001613560329169323,-1,-0.001613560329169323,0.9771780439488356,1.0233549619667461
2025-01-15,LIN_price,2025-01-16,0.0014209251,-0.016634487,-0.009071957,0.013258427,0.020994456,0.01048265162069042,1,0.01048265162069042,0.9874753381348794,1.0341388586838023
2025-01-16,LIN_price,2025-01-17,0.0006711418,-0.022488162,-0.012712895,0.016048547,0.024192877,0.008083069086881587,1,0.008083069086881587,0.9954895154546098,1.042531748983594
2025-01-17,LIN_price,2025-01-21,0.0022610985,-0.017457213,-0.008888292,0.015878338,0.024878155,0.014707830716159793,1,0.014707830716159793,1.010239208837124,1.0579784447049667
2025-01-21,LIN_price,2025-01-22,0.0028177742,-0.0208809,-0.010069908,0.017873762,0.026740406,0.0003163229075191185,1,0.0003163229075191185,1.0105588211886423,1.0583131604590275
2025-01-22,LIN_price,2025-01-23,0.0051607215,-0.012638464,-0.004296091,0.01757421,0.026189508,-0.004007059648068263,1,-0.004007059648068263,1.0065175539211466,1.054080921578472
2025-01-23,LIN_price,2025-01-24,0.005627926,-0.014460703,-0.0053756144,0.0186455,0.028595354,-0.003590616394269031,1,-0.003590616394269031,1.0029100160091582,1.050302908098147
2025-01-24,LIN_price,2025-01-27,0.00460653,-0.013288273,-0.0051991004,0.01788849,0.02766629,0.0005461779733363983,1,0.0005461779733363983,1.0034579329856121,1.0508767170985354
2025-01-27,LIN_price,2025-01-28,0.0041764113,-0.014115224,-0.005059394,0.016199639,0.026497737,-0.009097141140152884,1,-0.009097141140152884,0.9943707309903803,1.041360095936403
2025-01-28,LIN_price,2025-01-29,0.0024825903,-0.017971328,-0.009547783,0.017453272,0.028203301,0.0064314985246665835,1,0.0064314985246665835,1.0007866347016459,1.0480791856039235
2025-01-29,LIN_price,2025-01-30,0.0031182563,-0.012714679,-0.006029712,0.013579825,0.023751233,0.018221432247368212,1,0.018221432247368212,1.0191895551679186,1.0673517430364827
2025-01-30,LIN_price,2025-01-31,0.00048781,-0.023134785,-0.01345324,0.015907057,0.027783867,-0.0005827379170900295,1,-0.0005827379170900295,1.0185958077857789,1.0667299378972552
2025-01-31,LIN_price,2025-02-03,0.0046293875,-0.013017125,-0.0056481054,0.015249316,0.024303826,0.01797166731909276,1,0.01797166731909276,1.0370671560842701,1.0860741567451224
2025-02-03,LIN_price,2025-02-04,0.0010238886,-0.023333268,-0.013466602,0.01668206,0.026872298,0.0012980301402393962,1,0.0012980301402393962,1.0384141745564774,1.087484829084652
2025-02-04,LIN_price,2025-02-05,0.005339504,-0.010577436,-0.0051143486,0.015816625,0.02337374,-0.0024214455225514556,1,-0.0024214455225514556,1.0359027530652283,1.0848547294210595
2025-02-05,LIN_price,2025-02-06,0.0050977636,-0.013032404,-0.004644516,0.01730597,0.026254296,0.015267482459498318,1,0.015267482459498318,1.0518397293611483,1.1015448135589203
2025-02-06,LIN_price,2025-02-07,0.0024125949,-0.018954573,-0.01080738,0.017203402,0.025787737,-0.012296438672363448,1,-0.012296438672363448,1.0389850420442532,1.0880826731314543
