number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
48,0.625,2026-02-22 23:02:43.032193,2026-02-22 23:03:19.709806,0 days 00:00:36.677613,0.1920787157762226,3,128,60,0.0005372526302081249,256,4,16,2,COMPLETE
42,0.625,2026-02-22 22:58:10.954723,2026-02-22 22:59:02.999922,0 days 00:00:52.045199,0.05913154058508763,5,32,70,0.0008713170992591784,512,8,8,2,COMPLETE
2,0.5,2026-02-22 22:34:21.111109,2026-02-22 22:35:08.181127,0 days 00:00:47.070018,0.2905238685590409,5,32,120,0.0009737669061031586,256,2,16,4,COMPLETE
3,0.5,2026-02-22 22:35:08.181193,2026-02-22 22:35:32.935098,0 days 00:00:24.753905,0.1766526950388057,1,64,30,0.0004430482610224819,512,2,8,2,COMPLETE
4,0.5,2026-02-22 22:35:32.935144,2026-02-22 22:36:31.823283,0 days 00:00:58.888139,0.0457619991727497,5,32,80,0.0007092823608416797,512,8,8,2,COMPLETE
5,0.5,2026-02-22 22:36:31.823362,2026-02-22 22:37:13.637547,0 days 00:00:41.814185,0.2935834503870167,4,64,130,0.0004443851365753585,512,8,16,8,COMPLETE
6,0.5,2026-02-22 22:37:13.637613,2026-02-22 22:37:51.489005,0 days 00:00:37.851392,0.19774246218299404,3,64,140,0.00023213552465313776,128,2,16,8,COMPLETE
8,0.5,2026-02-22 22:38:35.371991,2026-02-22 22:39:19.332812,0 days 00:00:43.960821,0.20474346930453907,4,128,30,0.00028392499407512594,32,2,8,2,COMPLETE
9,0.5,2026-02-22 22:39:19.332900,2026-02-22 22:40:07.669709,0 days 00:00:48.336809,0.22594323957986642,5,32,100,0.0004563218309413216,32,4,4,2,COMPLETE
10,0.5,2026-02-22 22:40:07.669798,2026-02-22 22:40:38.805847,0 days 00:00:31.136049,0.11222849687532384,2,32,60,0.00012505961754893813,64,4,16,8,COMPLETE
14,0.5,2026-02-22 22:42:06.256815,2026-02-22 22:42:43.286952,0 days 00:00:37.030137,0.24213851053831129,3,128,50,0.00016309195308183841,256,4,4,8,COMPLETE
11,0.5,2026-02-22 22:40:38.805909,2026-02-22 22:41:04.820399,0 days 00:00:26.014490,0.13846713123886228,1,128,60,0.00015571891584342522,32,4,4,8,COMPLETE
12,0.5,2026-02-22 22:41:04.820461,2026-02-22 22:41:35.769659,0 days 00:00:30.949198,0.2567509583519474,2,128,60,0.0001893775353466299,128,4,4,8,COMPLETE
13,0.5,2026-02-22 22:41:35.769733,2026-02-22 22:42:06.256744,0 days 00:00:30.487011,0.1591692784530822,2,32,90,0.0001063265533658467,64,4,16,8,COMPLETE
16,0.5,2026-02-22 22:43:19.213800,2026-02-22 22:43:45.360279,0 days 00:00:26.146479,0.11695256378093531,1,128,110,0.00020359712788933608,32,8,4,4,COMPLETE
15,0.5,2026-02-22 22:42:43.287013,2026-02-22 22:43:19.213717,0 days 00:00:35.926704,0.009893281352243377,3,32,20,0.0002972851425141472,128,4,16,8,COMPLETE
0,0.5,2026-02-22 22:33:18.444510,2026-02-22 22:33:54.535193,0 days 00:00:36.090683,0.19449901609013795,3,32,50,0.0001542328118881214,32,4,16,8,COMPLETE
1,0.5,2026-02-22 22:33:54.535283,2026-02-22 22:34:21.111028,0 days 00:00:26.575745,0.17903679502613812,1,128,130,0.0001918846796076926,128,4,4,8,COMPLETE
47,0.5,2026-02-22 23:02:13.179116,2026-02-22 23:02:43.032131,0 days 00:00:29.853015,0.1629645446215223,2,32,80,0.0006272595127783359,128,4,8,8,COMPLETE
17,0.5,2026-02-22 22:43:45.360339,2026-02-22 22:44:15.768778,0 days 00:00:30.408439,0.181472423678708,2,128,80,0.00013477110254011106,128,4,4,8,COMPLETE
19,0.5,2026-02-22 22:44:28.994930,2026-02-22 22:45:04.912219,0 days 00:00:35.917289,0.14939987421229503,3,64,70,0.00023600993380330418,256,8,8,4,COMPLETE
20,0.5,2026-02-22 22:45:04.912283,2026-02-22 22:45:35.055786,0 days 00:00:30.143503,0.22506722269293605,2,128,100,0.00032744082992046224,64,4,16,8,COMPLETE
24,0.5,2026-02-22 22:47:48.271586,2026-02-22 22:48:35.038211,0 days 00:00:46.766625,0.24157102175575013,5,32,130,0.0003521407354022775,256,2,16,4,COMPLETE
23,0.5,2026-02-22 22:47:04.728191,2026-02-22 22:47:48.271516,0 days 00:00:43.543325,0.21054585029242587,4,32,120,0.00016399109429415782,256,2,16,4,COMPLETE
21,0.5,2026-02-22 22:45:35.055875,2026-02-22 22:46:21.595800,0 days 00:00:46.539925,0.28457535311646787,5,32,140,0.0007509560360689272,256,2,16,4,COMPLETE
22,0.5,2026-02-22 22:46:21.595864,2026-02-22 22:47:04.728127,0 days 00:00:43.132263,0.2695539057042431,4,32,120,0.000829017241886451,256,2,16,4,COMPLETE
30,0.5,2026-02-22 22:51:26.283612,2026-02-22 22:52:12.387180,0 days 00:00:46.103568,0.19185406958204992,5,64,50,0.0003803236766086392,128,2,8,2,COMPLETE
27,0.5,2026-02-22 22:49:46.958123,2026-02-22 22:50:17.520431,0 days 00:00:30.562308,0.2692594222298885,2,32,130,0.00023137375517775848,256,2,16,8,COMPLETE
28,0.5,2026-02-22 22:50:17.520501,2026-02-22 22:51:00.476809,0 days 00:00:42.956308,0.12714594572431764,4,64,80,0.00013372105670255119,32,8,8,2,COMPLETE
29,0.5,2026-02-22 22:51:00.476892,2026-02-22 22:51:26.283559,0 days 00:00:25.806667,0.17167528837796997,1,128,20,0.00019372640448241294,512,4,4,4,COMPLETE
33,0.5,2026-02-22 22:53:03.481922,2026-02-22 22:53:29.625340,0 days 00:00:26.143418,0.2128946642247731,1,64,30,0.0004012778643870049,512,8,8,2,COMPLETE
32,0.5,2026-02-22 22:52:38.508617,2026-02-22 22:53:03.481877,0 days 00:00:24.973260,0.29780160755349366,1,64,40,0.0009722565286081843,512,2,8,2,COMPLETE
25,0.5,2026-02-22 22:48:35.038274,2026-02-22 22:49:11.259274,0 days 00:00:36.221000,0.17826160670761956,3,32,100,0.0009995418404302955,32,2,4,4,COMPLETE
26,0.5,2026-02-22 22:49:11.259336,2026-02-22 22:49:46.958054,0 days 00:00:35.698718,0.15208354326749543,3,32,110,0.0005854930100800556,128,4,16,8,COMPLETE
