number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 05:54:20.973048,2026-02-24 05:55:01.507058,0 days 00:00:40.534010,0.2406984980269684,5,64,110,0.00023785966753458703,32,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
1,0.5,2026-02-24 05:55:01.507099,2026-02-24 05:55:16.768212,0 days 00:00:15.261113,0.2348240482415012,1,128,50,0.0001647529436889641,128,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 05:55:16.768252,2026-02-24 05:55:42.728144,0 days 00:00:25.959892,0.1709113782948197,3,128,30,0.00023314129326454746,64,4,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 05:55:42.728184,2026-02-24 05:55:58.081328,0 days 00:00:15.353144,0.27108739394094455,1,128,20,0.00033507408770673,256,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
4,0.5,2026-02-24 05:55:58.081369,2026-02-24 05:56:13.257043,0 days 00:00:15.175674,0.28418337647270964,1,128,110,0.0005934435010877461,32,4,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 05:56:13.257082,2026-02-24 05:56:48.824438,0 days 00:00:35.567356,0.05074397560219699,5,32,40,0.0006596886519084251,128,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 05:56:48.824477,2026-02-24 05:57:24.895943,0 days 00:00:36.071466,0.09709701491811819,5,128,20,0.0008330037920862928,512,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 05:57:24.895982,2026-02-24 05:57:50.595676,0 days 00:00:25.699694,0.19745387486494131,3,128,80,0.0004812443513056913,128,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 05:58:11.293791,2026-02-24 05:58:26.532972,0 days 00:00:15.239181,0.1853440878593104,1,64,120,0.00024070267632349528,256,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
10,0.5,2026-02-24 05:58:26.533010,2026-02-24 05:58:57.305567,0 days 00:00:30.772557,0.12155753302653599,4,64,130,0.00010379524554775795,32,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
14,0.5,2026-02-24 06:00:21.830213,2026-02-24 06:00:42.467783,0 days 00:00:20.637570,0.23133782485045207,2,32,90,0.00017129700738776938,128,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
11,0.5,2026-02-24 05:58:57.305605,2026-02-24 05:59:28.044885,0 days 00:00:30.739280,0.22834843034573793,4,64,60,0.00013356882935432014,32,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
12,0.5,2026-02-24 05:59:28.044925,2026-02-24 05:59:48.605148,0 days 00:00:20.560223,0.23682309662451226,2,64,100,0.0001785208621519817,128,8,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
13,0.5,2026-02-24 05:59:48.605187,2026-02-24 06:00:21.830175,0 days 00:00:33.224988,0.29818541340379,4,64,140,0.0003530335591802629,64,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
17,0.5,2026-02-24 06:01:43.789776,2026-02-24 06:02:14.578726,0 days 00:00:30.788950,0.20957104988329145,4,128,60,0.0002826971102145903,32,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
16,0.5,2026-02-24 06:01:18.198404,2026-02-24 06:01:43.789735,0 days 00:00:25.591331,0.2522545208100345,3,64,90,0.00013398815885016697,128,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
19,0.5,2026-02-24 06:02:36.869115,2026-02-24 06:02:52.173014,0 days 00:00:15.303899,0.2595756810674686,1,32,80,0.00017425991191056926,256,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
