number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 08:36:30.167352,2026-02-24 08:36:51.070675,0 days 00:00:20.903323,0.23043083015639337,2,32,90,0.00015734717248561342,32,8,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
1,0.5,2026-02-24 08:36:51.070733,2026-02-24 08:37:11.879843,0 days 00:00:20.809110,0.08660520991630685,2,32,140,0.0003955955874355567,32,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 08:37:48.091513,2026-02-24 08:38:24.246110,0 days 00:00:36.154597,0.07252455539811599,5,64,60,0.00024875098886131483,64,8,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
4,0.5,2026-02-24 08:38:24.246151,2026-02-24 08:38:55.274737,0 days 00:00:31.028586,0.006758907289710103,4,64,70,0.00012248344952755778,128,8,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 08:38:55.274779,2026-02-24 08:39:20.869561,0 days 00:00:25.594782,0.09438474313062196,3,64,110,0.000565248103639829,64,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 08:39:20.869600,2026-02-24 08:39:57.455771,0 days 00:00:36.586171,0.2643681333972717,5,32,40,0.00010702087275759338,512,2,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 08:41:05.949412,2026-02-24 08:41:36.956241,0 days 00:00:31.006829,0.17350199325639332,4,128,70,0.0009087165028258538,128,2,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.5,2026-02-24 08:40:39.926895,2026-02-24 08:41:05.949371,0 days 00:00:26.022476,0.15461101059028304,3,64,140,0.00038209946556967797,128,4,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
11,0.5,2026-02-24 08:41:52.427808,2026-02-24 08:42:07.949136,0 days 00:00:15.521328,0.20880826234643043,1,32,100,0.00018307103959430327,32,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
10,0.5,2026-02-24 08:41:36.956282,2026-02-24 08:41:52.427767,0 days 00:00:15.471485,0.29725073256186285,1,32,20,0.00020046727795625365,32,8,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
14,0.5,2026-02-24 08:42:49.442298,2026-02-24 08:43:10.125892,0 days 00:00:20.683594,0.21309263167502046,2,32,50,0.00015070748315844807,32,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
15,0.5,2026-02-24 08:43:10.125932,2026-02-24 08:43:36.045600,0 days 00:00:25.919668,0.05090590616768714,3,32,90,0.00036968692819589177,32,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
12,0.5,2026-02-24 08:42:07.949175,2026-02-24 08:42:28.708093,0 days 00:00:20.758918,0.09305577652890532,2,32,140,0.0002917168732347735,256,8,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
13,0.5,2026-02-24 08:42:28.708131,2026-02-24 08:42:49.442257,0 days 00:00:20.734126,0.11844519621089988,2,32,90,0.0006922912306170605,32,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
16,0.5,2026-02-24 08:43:36.045641,2026-02-24 08:43:56.952469,0 days 00:00:20.906828,0.12808228942734362,2,32,130,0.0002441639853098903,256,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
17,0.5,2026-02-24 08:43:56.952509,2026-02-24 08:44:12.402843,0 days 00:00:15.450334,0.2559077449876289,1,32,30,0.00014762946813512822,32,8,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
20,0.5,2026-02-24 08:45:05.519984,2026-02-24 08:45:21.186560,0 days 00:00:15.666576,0.24209424912092653,1,32,80,0.0007005751950041071,64,8,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
