number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
5,0.875,2026-02-23 11:35:25.751546,2026-02-23 11:36:01.365384,0 days 00:00:35.613838,0.24922725551454772,2,32,80,0.00010394786761106041,512,4,8,2,COMPLETE
24,0.875,2026-02-23 11:47:49.833072,2026-02-23 11:48:34.724606,0 days 00:00:44.891534,0.031864272415526744,3,32,60,0.0003493044632845395,32,2,16,2,COMPLETE
33,0.875,2026-02-23 11:52:24.176583,2026-02-23 11:53:17.216201,0 days 00:00:53.039618,0.10623288180861447,4,32,80,0.0002945248424706694,32,2,16,2,COMPLETE
38,0.825,2026-02-23 11:55:14.398067,2026-02-23 11:55:53.207715,0 days 00:00:38.809648,0.0675096524009004,1,128,60,0.0003595555654512949,32,2,16,8,COMPLETE
22,0.8125,2026-02-23 11:46:49.050279,2026-02-23 11:47:27.253926,0 days 00:00:38.203647,0.08218218828231154,2,32,80,0.0002755119663274261,32,2,16,2,COMPLETE
45,0.7916666666666666,2026-02-23 11:58:32.455631,2026-02-23 11:59:24.922274,0 days 00:00:52.466643,0.05458632176232059,4,64,60,0.00047371465140318565,32,4,4,2,COMPLETE
48,0.7916666666666666,2026-02-23 12:00:34.499766,2026-02-23 12:01:05.786870,0 days 00:00:31.287104,0.24382209265754076,1,32,100,0.00013848811961459254,128,2,16,2,COMPLETE
35,0.75,2026-02-23 11:53:32.724454,2026-02-23 11:54:17.245837,0 days 00:00:44.521383,0.13101248518385872,3,128,80,0.0002902887481197507,256,2,16,2,COMPLETE
14,0.75,2026-02-23 11:40:59.755599,2026-02-23 11:41:45.043293,0 days 00:00:45.287694,0.06328433318526108,2,32,100,0.00026399523598502367,32,2,16,2,COMPLETE
43,0.75,2026-02-23 11:57:25.942490,2026-02-23 11:58:09.648399,0 days 00:00:43.705909,0.12442085315773203,2,128,50,0.0003575418831760633,32,2,16,8,COMPLETE
21,0.75,2026-02-23 11:46:11.417819,2026-02-23 11:46:49.050224,0 days 00:00:37.632405,0.048811260162877235,2,32,100,0.0002670307659574178,32,2,16,2,COMPLETE
8,0.75,2026-02-23 11:37:26.283245,2026-02-23 11:38:35.119659,0 days 00:01:08.836414,0.08393505634067706,4,32,140,0.00033392226830572606,32,8,16,2,COMPLETE
49,0.7291666666666666,2026-02-23 12:01:05.786935,2026-02-23 12:01:59.444828,0 days 00:00:53.657893,0.03843728181440775,4,128,50,0.0002406738681513171,32,2,16,2,COMPLETE
25,0.7083333333333333,2026-02-23 11:48:34.724680,2026-02-23 11:49:19.609077,0 days 00:00:44.884397,0.029744102942456767,3,32,40,0.00046429028873755515,512,2,8,2,COMPLETE
40,0.7083333333333333,2026-02-23 11:56:24.451553,2026-02-23 11:56:54.812055,0 days 00:00:30.360502,0.04067794165709452,1,128,40,0.00034677478229695855,256,2,16,8,COMPLETE
15,0.6875,2026-02-23 11:41:45.043392,2026-02-23 11:42:52.792947,0 days 00:01:07.749555,0.17086397729642086,5,32,60,0.0005303323313661538,512,4,8,2,COMPLETE
9,0.6666666666666666,2026-02-23 11:38:35.119776,2026-02-23 11:39:14.630195,0 days 00:00:39.510419,0.251521446560399,2,64,140,0.0005316726110620415,256,4,4,8,COMPLETE
0,0.625,2026-02-23 11:32:25.851711,2026-02-23 11:33:10.995550,0 days 00:00:45.143839,0.06132664133276354,3,64,50,0.00010125508307959016,64,8,4,8,COMPLETE
47,0.625,2026-02-23 11:59:55.575524,2026-02-23 12:00:34.499670,0 days 00:00:38.924146,0.11461273918416925,2,32,80,0.0003963005278575647,512,4,8,4,COMPLETE
4,0.625,2026-02-23 11:34:52.754880,2026-02-23 11:35:25.751467,0 days 00:00:32.996587,0.0074417306012252715,1,128,120,0.0001087737975875894,512,4,8,2,COMPLETE
18,0.6109584859584859,2026-02-23 11:43:34.664550,2026-02-23 11:44:50.973151,0 days 00:01:16.308601,0.08713201851150387,4,128,120,0.0009739287565850964,256,8,16,2,COMPLETE
28,0.5833333333333333,2026-02-23 11:49:57.378846,2026-02-23 11:50:20.103023,0 days 00:00:22.724177,0.1820393054725447,3,128,80,0.0003273455351934592,512,2,4,4,PRUNED
39,0.5580808080808081,2026-02-23 11:55:53.207794,2026-02-23 11:56:24.451484,0 days 00:00:31.243690,0.016168104168718035,1,128,60,0.000630220102071579,512,4,8,8,COMPLETE
19,0.5,2026-02-23 11:44:50.973229,2026-02-23 11:45:09.841494,0 days 00:00:18.868265,0.22980932884005134,2,64,70,0.00013150218438748228,64,2,8,4,PRUNED
31,0.5,2026-02-23 11:51:36.740365,2026-02-23 11:52:01.801889,0 days 00:00:25.061524,0.08255720140987692,4,32,90,0.00034084040881676936,32,8,16,2,PRUNED
34,0.5,2026-02-23 11:53:17.216272,2026-02-23 11:53:32.724395,0 days 00:00:15.508123,0.09926271458612793,1,32,70,0.0002349739958300134,64,2,16,2,PRUNED
3,0.5,2026-02-23 11:34:20.423113,2026-02-23 11:34:52.754819,0 days 00:00:32.331706,0.2476821242885281,1,128,120,0.00037660709393194577,256,4,16,8,COMPLETE
6,0.5,2026-02-23 11:36:01.365471,2026-02-23 11:36:35.175431,0 days 00:00:33.809960,0.11494774661802667,1,32,110,0.00030473076282740006,512,8,8,2,COMPLETE
13,0.5,2026-02-23 11:40:33.560304,2026-02-23 11:40:59.755545,0 days 00:00:26.195241,0.16050465080090587,4,32,50,0.00015216984659989407,128,8,16,2,PRUNED
17,0.5,2026-02-23 11:43:15.410825,2026-02-23 11:43:34.664512,0 days 00:00:19.253687,0.00435221747430764,2,32,90,0.00042202875153665395,32,4,8,2,PRUNED
11,0.5,2026-02-23 11:39:44.744668,2026-02-23 11:40:07.300916,0 days 00:00:22.556248,0.29810804443065164,3,32,70,0.0002103438687207458,32,8,16,2,PRUNED
10,0.5,2026-02-23 11:39:14.630312,2026-02-23 11:39:44.744589,0 days 00:00:30.114277,0.19280590199986203,5,32,20,0.00015860381856922285,32,2,8,4,PRUNED
12,0.5,2026-02-23 11:40:07.300987,2026-02-23 11:40:33.560242,0 days 00:00:26.259255,0.05483874376083353,4,32,80,0.0003966347369048335,32,4,16,4,PRUNED
16,0.5,2026-02-23 11:42:52.793009,2026-02-23 11:43:15.410781,0 days 00:00:22.617772,0.2913790029288018,3,32,30,0.00017139055135121636,512,8,16,4,PRUNED
41,0.5,2026-02-23 11:56:54.812100,2026-02-23 11:57:10.228890,0 days 00:00:15.416790,0.07814557238028653,1,128,70,0.00037659249491954337,32,2,16,8,PRUNED
42,0.5,2026-02-23 11:57:10.228931,2026-02-23 11:57:25.942452,0 days 00:00:15.713521,0.06862485133931276,1,128,80,0.00030195003330857096,32,2,16,8,PRUNED
36,0.5,2026-02-23 11:54:17.245922,2026-02-23 11:54:50.032783,0 days 00:00:32.786861,0.10845101996755009,1,32,90,0.0002340827811402558,512,2,8,2,COMPLETE
32,0.5,2026-02-23 11:52:01.801928,2026-02-23 11:52:24.176545,0 days 00:00:22.374617,0.06866440124791047,3,32,40,0.00010015924105855447,32,2,16,2,PRUNED
26,0.5,2026-02-23 11:49:19.609139,2026-02-23 11:49:38.421608,0 days 00:00:18.812469,0.024055041865620345,2,32,60,0.00012291831850597143,32,2,16,2,PRUNED
29,0.5,2026-02-23 11:50:20.103066,2026-02-23 11:50:49.810502,0 days 00:00:29.707436,0.1440088617992571,3,32,50,0.00019673777890962804,64,2,8,8,PRUNED
20,0.5,2026-02-23 11:45:09.841547,2026-02-23 11:46:11.417718,0 days 00:01:01.576171,0.1366066923978094,5,32,100,0.00020631452582624556,128,8,16,2,COMPLETE
23,0.5,2026-02-23 11:47:27.254001,2026-02-23 11:47:49.833007,0 days 00:00:22.579006,0.09157605375998591,3,32,80,0.0005194147655724888,32,2,16,2,PRUNED
44,0.5,2026-02-23 11:58:09.648491,2026-02-23 11:58:32.455582,0 days 00:00:22.807091,0.10434392191392652,3,32,90,0.00028230268354180715,32,2,16,2,PRUNED
46,0.5,2026-02-23 11:59:24.922341,2026-02-23 11:59:55.575485,0 days 00:00:30.653144,0.15562567395261748,5,32,70,0.0001870795599721144,32,2,16,8,PRUNED
37,0.5,2026-02-23 11:54:50.032845,2026-02-23 11:55:14.398025,0 days 00:00:24.365180,0.20953885472280953,2,32,110,0.00044097506470154666,32,4,4,2,PRUNED
