number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 04:44:16.245910,2026-02-24 04:44:52.528324,0 days 00:00:36.282414,0.0424003051763236,5,64,40,0.0001480166677924373,256,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
1,0.5,2026-02-24 04:44:52.528363,2026-02-24 04:45:13.114599,0 days 00:00:20.586236,0.10926301280574617,2,64,40,0.00033360603515927064,128,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 04:45:29.248101,2026-02-24 04:45:49.704753,0 days 00:00:20.456652,0.10174257426269716,2,128,60,0.000211075720791138,256,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
4,0.5,2026-02-24 04:45:49.704793,2026-02-24 04:46:25.477492,0 days 00:00:35.772699,0.2586324379597322,5,128,140,0.0005211692172716825,64,2,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 04:46:25.477531,2026-02-24 04:46:51.246781,0 days 00:00:25.769250,0.048143439691805845,3,128,90,0.00018138380297421882,128,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 04:46:51.246820,2026-02-24 04:47:06.586766,0 days 00:00:15.339946,0.23270532775468716,1,64,100,0.0004504972084464417,64,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.5,2026-02-24 04:47:27.096431,2026-02-24 04:47:52.784787,0 days 00:00:25.688356,0.04237526884190916,3,64,70,0.0002040476470361908,256,4,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 04:47:06.586806,2026-02-24 04:47:27.096392,0 days 00:00:20.509586,0.12123943741850297,2,64,40,0.00026696188079613435,32,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 04:47:52.784826,2026-02-24 04:48:28.661580,0 days 00:00:35.876754,0.16270913916086646,5,64,90,0.00038290308631972364,128,4,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
10,0.5,2026-02-24 04:48:28.661621,2026-02-24 04:48:59.329063,0 days 00:00:30.667442,0.0015700646295205359,4,32,20,0.00010183912224974865,512,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
16,0.5,2026-02-24 04:51:23.467079,2026-02-24 04:51:44.112702,0 days 00:00:20.645623,0.07555693889915348,2,32,70,0.0001513013517523489,256,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
11,0.5,2026-02-24 04:48:59.329103,2026-02-24 04:49:30.028187,0 days 00:00:30.699084,0.17838896949828484,4,64,40,0.00012131623585841295,128,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
12,0.5,2026-02-24 04:49:30.028227,2026-02-24 04:49:50.567617,0 days 00:00:20.539390,0.05707110248435982,2,32,20,0.0003071381538803418,256,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
14,0.5,2026-02-24 04:50:16.325645,2026-02-24 04:50:47.025509,0 days 00:00:30.699864,0.19725563374490263,4,64,30,0.00014620312098684605,32,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
17,0.5,2026-02-24 04:51:44.112743,2026-02-24 04:52:10.025766,0 days 00:00:25.913023,0.03203556336230101,3,64,40,0.0005871924409073876,128,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
15,0.5,2026-02-24 04:50:47.025551,2026-02-24 04:51:23.467038,0 days 00:00:36.441487,0.13931386375550725,5,64,60,0.0002607439764338983,128,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
19,0.5,2026-02-24 04:52:40.723904,2026-02-24 04:52:55.976772,0 days 00:00:15.252868,0.20389881844391866,1,32,50,0.0002511130780034291,32,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
18,0.5,2026-02-24 04:52:10.025815,2026-02-24 04:52:40.723866,0 days 00:00:30.698051,0.12101133872988053,4,64,130,0.00037604895665022066,256,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
34,0.5,2026-02-24 04:58:34.511697,2026-02-24 04:59:10.520630,0 days 00:00:36.008933,0.16091001890748913,5,128,90,0.00040031588987001366,64,2,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
35,0.5,2026-02-24 04:59:10.520670,2026-02-24 04:59:43.810134,0 days 00:00:33.289464,0.21490028169762154,4,128,100,0.0005968271174749406,64,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
20,0.5,2026-02-24 04:52:55.976814,2026-02-24 04:53:16.435217,0 days 00:00:20.458403,0.07612366781657881,2,64,20,0.0003401544942529092,512,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
21,0.5,2026-02-24 04:53:16.435258,2026-02-24 04:53:36.938362,0 days 00:00:20.503104,0.09866551808022296,2,128,60,0.0001991676158077016,256,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
22,0.5,2026-02-24 04:53:36.938401,2026-02-24 04:53:57.426914,0 days 00:00:20.488513,0.11644315353289571,2,128,60,0.00016411447969586553,256,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
23,0.5,2026-02-24 04:53:57.426954,2026-02-24 04:54:12.706373,0 days 00:00:15.279419,0.14623545545112898,1,128,50,0.00021863747342669714,256,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
24,0.5,2026-02-24 04:54:12.706413,2026-02-24 04:54:33.265950,0 days 00:00:20.559537,0.072826131952168,2,128,30,0.00012782172213124195,256,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
25,0.5,2026-02-24 04:54:33.265989,2026-02-24 04:54:58.747518,0 days 00:00:25.481529,0.022348652288639873,3,128,80,0.0002965667695598978,128,2,16,2,"[0.5, 1.0, 1.0, 0.5]",COMPLETE
26,0.5,2026-02-24 04:54:58.747558,2026-02-24 04:55:14.028871,0 days 00:00:15.281313,0.10039666525637231,1,64,70,0.00023128725295306767,256,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
27,0.5,2026-02-24 04:55:14.028911,2026-02-24 04:55:39.717621,0 days 00:00:25.688710,0.0640888285578155,3,128,40,0.0001786276004080713,256,2,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
28,0.5,2026-02-24 04:55:39.717660,2026-02-24 04:56:00.339248,0 days 00:00:20.621588,0.026159948403335333,2,32,30,0.00010266554472407902,128,8,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
29,0.5,2026-02-24 04:56:00.339287,2026-02-24 04:56:15.637481,0 days 00:00:15.298194,0.2938200125836421,1,64,120,0.0007438430480549631,64,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
30,0.5,2026-02-24 04:56:15.637519,2026-02-24 04:56:51.719352,0 days 00:00:36.081833,0.10139496078059027,5,128,80,0.00013333503215321758,32,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
31,0.5,2026-02-24 04:56:51.719392,2026-02-24 04:57:27.785493,0 days 00:00:36.066101,0.24990327217960878,5,128,110,0.00048078405254750736,64,2,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
32,0.5,2026-02-24 04:57:27.785533,2026-02-24 04:58:03.652466,0 days 00:00:35.866933,0.2821499220747416,5,128,50,0.000589154761485095,64,2,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
33,0.5,2026-02-24 04:58:03.652506,2026-02-24 04:58:34.511635,0 days 00:00:30.859129,0.2565879745532358,4,128,140,0.0004774276575301294,64,2,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
42,0.5,2026-02-24 05:02:39.226387,2026-02-24 05:02:54.578982,0 days 00:00:15.352595,0.01792435231327974,1,128,120,0.00011430822732394721,128,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
43,0.5,2026-02-24 05:02:54.579023,2026-02-24 05:03:25.513543,0 days 00:00:30.934520,0.0836170096276898,4,128,50,0.00014547174957827292,128,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
36,0.5,2026-02-24 04:59:43.810173,2026-02-24 05:00:20.265261,0 days 00:00:36.455088,0.1792922299355666,5,64,140,0.0008117396523895316,128,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
37,0.5,2026-02-24 05:00:20.265302,2026-02-24 05:00:51.072346,0 days 00:00:30.807044,0.13175763095049184,4,64,70,0.00018983738957851096,256,4,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
38,0.5,2026-02-24 05:00:51.072386,2026-02-24 05:01:11.734441,0 days 00:00:20.662055,0.0903017076505894,2,128,40,0.000429731224742744,512,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
39,0.5,2026-02-24 05:01:11.734482,2026-02-24 05:01:37.437245,0 days 00:00:25.702763,0.043041519119793675,3,64,60,0.00032280384746662236,64,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
