number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
25,0.875,2026-02-23 05:55:57.688379,2026-02-23 05:56:35.001660,0 days 00:00:37.313281,0.09884851491499805,2,128,70,0.00048017896835150884,32,2,8,4,COMPLETE
33,0.8125,2026-02-23 06:00:06.762710,2026-02-23 06:00:43.779295,0 days 00:00:37.016585,0.0860687579335264,2,128,90,0.0006620135948335239,32,4,8,4,COMPLETE
26,0.7916666666666666,2026-02-23 05:56:35.001763,2026-02-23 05:57:11.836679,0 days 00:00:36.834916,0.09674196278816541,2,128,70,0.0009652235076863693,32,4,8,4,COMPLETE
21,0.7833333333333333,2026-02-23 05:52:43.383165,2026-02-23 05:53:37.019107,0 days 00:00:53.635942,0.031131477415918544,2,128,70,0.0003778964693668838,64,4,8,4,COMPLETE
31,0.7833333333333332,2026-02-23 05:59:13.032583,2026-02-23 05:59:50.945794,0 days 00:00:37.913211,0.11279442914253211,2,128,90,0.0005579340815378004,32,4,8,4,COMPLETE
27,0.75,2026-02-23 05:57:11.836741,2026-02-23 05:57:49.395123,0 days 00:00:37.558382,0.1642889357940533,2,128,60,0.0009510581149328236,32,4,8,4,COMPLETE
9,0.75,2026-02-23 05:43:19.164348,2026-02-23 05:44:15.240440,0 days 00:00:56.076092,0.05139840338210124,3,128,80,0.0003438622215963004,64,2,8,4,COMPLETE
28,0.75,2026-02-23 05:57:49.395186,2026-02-23 05:58:26.459294,0 days 00:00:37.064108,0.09671829809049963,2,32,70,0.0007858767834983333,32,4,4,2,COMPLETE
10,0.711038961038961,2026-02-23 05:44:15.240538,2026-02-23 05:45:01.952679,0 days 00:00:46.712141,0.002454300679127497,3,128,20,0.00044257440928750633,256,2,8,4,COMPLETE
20,0.7,2026-02-23 05:52:04.895278,2026-02-23 05:52:43.383102,0 days 00:00:38.487824,0.03674250553678725,2,128,80,0.0003992978510303028,64,4,8,4,COMPLETE
42,0.6875,2026-02-23 06:04:49.832472,2026-02-23 06:05:27.704258,0 days 00:00:37.871786,0.0658170637991251,2,128,100,0.0003926086561688076,32,4,8,4,COMPLETE
16,0.6674242424242424,2026-02-23 05:48:23.697856,2026-02-23 05:49:06.835493,0 days 00:00:43.137637,0.005847635857793302,2,128,80,0.0003217010293221424,32,2,8,4,COMPLETE
18,0.6666666666666666,2026-02-23 05:50:07.968603,2026-02-23 05:51:13.996913,0 days 00:01:06.028310,0.1788105299178832,5,32,140,0.0005285669574432826,64,2,4,4,COMPLETE
17,0.6625000000000001,2026-02-23 05:49:06.835576,2026-02-23 05:50:07.968513,0 days 00:01:01.132937,0.044676848110341734,3,128,100,0.0006983368135712971,256,2,8,4,COMPLETE
14,0.6607142857142857,2026-02-23 05:47:04.615082,2026-02-23 05:47:39.997248,0 days 00:00:35.382166,0.1924016671835015,2,128,140,0.0005301164461272406,256,2,8,4,COMPLETE
44,0.6458333333333333,2026-02-23 06:05:54.980887,2026-02-23 06:06:33.720944,0 days 00:00:38.740057,0.11072166518468644,2,128,70,0.0005925417973124044,32,4,8,4,COMPLETE
39,0.6420454545454546,2026-02-23 06:03:07.498628,2026-02-23 06:03:49.861844,0 days 00:00:42.363216,0.09988719782222141,2,128,110,0.0006420268564318904,512,4,8,2,COMPLETE
7,0.625,2026-02-23 05:41:34.354145,2026-02-23 05:42:37.197346,0 days 00:01:02.843201,0.2612869750275894,4,64,60,0.00013061934525279795,128,4,4,2,COMPLETE
19,0.625,2026-02-23 05:51:13.996987,2026-02-23 05:52:04.895178,0 days 00:00:50.898191,0.07231275809883307,4,64,40,0.0002626656070414406,256,2,16,4,COMPLETE
22,0.6083333333333333,2026-02-23 05:53:37.019194,2026-02-23 05:54:32.046048,0 days 00:00:55.026854,0.0215429261147252,3,128,60,0.00058700646861259,64,4,8,4,COMPLETE
41,0.5833333333333334,2026-02-23 06:04:12.009336,2026-02-23 06:04:49.832407,0 days 00:00:37.823071,0.11160781349980387,2,128,90,0.0005656773620428834,32,4,8,4,COMPLETE
43,0.5833333333333334,2026-02-23 06:05:27.704332,2026-02-23 06:05:54.980841,0 days 00:00:27.276509,0.08954099269399612,2,128,80,0.0007390241112447691,32,4,8,4,PRUNED
36,0.5833333333333333,2026-02-23 06:01:44.162806,2026-02-23 06:02:16.464097,0 days 00:00:32.301291,0.08188824245311752,1,128,90,0.000691782419996333,32,4,8,8,PRUNED
34,0.5625,2026-02-23 06:00:43.779363,2026-02-23 06:01:14.347097,0 days 00:00:30.567734,0.08717178748021691,1,128,110,0.0006287062665621951,128,4,8,4,COMPLETE
24,0.54375,2026-02-23 05:55:12.627013,2026-02-23 05:55:57.688311,0 days 00:00:45.061298,0.00154659546203712,3,128,120,0.0002841623810292529,64,4,8,4,COMPLETE
23,0.5416666666666666,2026-02-23 05:54:32.046118,2026-02-23 05:55:12.626942,0 days 00:00:40.580824,0.06663882305493492,2,128,90,0.00036589338292489703,64,4,8,4,COMPLETE
11,0.5160714285714286,2026-02-23 05:45:01.952752,2026-02-23 05:45:50.763653,0 days 00:00:48.810901,0.0044620080203667065,3,128,20,0.0004495136856029402,256,2,8,4,COMPLETE
2,0.5,2026-02-23 05:38:28.760002,2026-02-23 05:39:00.023244,0 days 00:00:31.263242,0.19197630232778704,1,64,50,0.0006679876016178848,512,8,8,2,COMPLETE
0,0.5,2026-02-23 05:37:04.260202,2026-02-23 05:37:55.452928,0 days 00:00:51.192726,0.1288781674691655,4,32,40,0.00015431442783264227,128,4,4,2,COMPLETE
4,0.5,2026-02-23 05:39:38.368510,2026-02-23 05:40:34.495163,0 days 00:00:56.126653,0.08616283176280008,5,32,80,0.00021726995242603203,64,4,16,8,COMPLETE
49,0.5,2026-02-23 06:08:31.150821,2026-02-23 06:08:54.823246,0 days 00:00:23.672425,0.08111413259876507,1,128,80,0.0003128218048338518,512,4,8,4,PRUNED
8,0.5,2026-02-23 05:42:37.197443,2026-02-23 05:43:19.164273,0 days 00:00:41.966830,0.09970866508616896,1,128,120,0.000155697311881733,512,2,8,8,COMPLETE
15,0.5,2026-02-23 05:47:39.997308,2026-02-23 05:48:23.697792,0 days 00:00:43.700484,0.054495246113731716,3,32,30,0.0002685570816685687,64,2,4,4,COMPLETE
5,0.5,2026-02-23 05:40:34.495234,2026-02-23 05:41:04.851405,0 days 00:00:30.356171,0.11529698093402603,1,64,100,0.0001146840852380268,512,8,16,8,COMPLETE
40,0.5,2026-02-23 06:03:49.861931,2026-02-23 06:04:12.009281,0 days 00:00:22.147350,0.12886796276834434,1,32,80,0.0004905924592074438,32,8,16,4,PRUNED
45,0.5,2026-02-23 06:06:33.721014,2026-02-23 06:06:59.814311,0 days 00:00:26.093297,0.1384708269296378,1,128,100,0.0004777201359923605,512,4,8,8,PRUNED
29,0.5,2026-02-23 05:58:26.459367,2026-02-23 05:58:54.392353,0 days 00:00:27.932986,0.1268673899834859,2,64,70,0.00018931944094728958,32,4,16,4,PRUNED
38,0.5,2026-02-23 06:02:44.445086,2026-02-23 06:03:07.498585,0 days 00:00:23.053499,0.16154227354764888,1,128,60,0.0008819122213449973,128,8,8,8,PRUNED
48,0.5,2026-02-23 06:07:56.564837,2026-02-23 06:08:31.150752,0 days 00:00:34.585915,0.05759939677586553,3,128,40,0.00010450858753311596,32,8,4,4,PRUNED
6,0.4583333333333333,2026-02-23 05:41:04.851467,2026-02-23 05:41:34.354072,0 days 00:00:29.502605,0.020810016335335923,1,128,50,0.0008656866739358101,64,8,8,8,COMPLETE
47,0.4444444444444444,2026-02-23 06:07:23.005376,2026-02-23 06:07:56.564794,0 days 00:00:33.559418,0.1549397384628681,2,128,110,0.00044415425901974266,32,4,8,4,PRUNED
3,0.41666666666666663,2026-02-23 05:39:00.023329,2026-02-23 05:39:38.368427,0 days 00:00:38.345098,0.14299243605147113,2,128,100,0.00022464039990177927,512,8,16,8,COMPLETE
37,0.38888888888888884,2026-02-23 06:02:16.464135,2026-02-23 06:02:44.445048,0 days 00:00:27.980913,0.12930639572362362,2,64,50,0.0007686840999969387,32,8,16,4,PRUNED
1,0.375,2026-02-23 05:37:55.453004,2026-02-23 05:38:28.759939,0 days 00:00:33.306935,0.2766800443856605,1,128,120,0.0001252504809872663,128,8,8,2,COMPLETE
46,0.3666666666666667,2026-02-23 06:06:59.814348,2026-02-23 06:07:23.005336,0 days 00:00:23.190988,0.02352383334323129,3,64,90,0.0008923139266605093,128,4,8,4,PRUNED
35,0.3333333333333333,2026-02-23 06:01:14.347164,2026-02-23 06:01:44.162737,0 days 00:00:29.815573,0.21502466456391817,2,128,70,0.0007972679965696567,32,4,8,2,PRUNED
12,0.325,2026-02-23 05:45:50.763730,2026-02-23 05:46:13.029189,0 days 00:00:22.265459,0.036227972214496175,3,128,20,0.00042466247749435625,256,2,8,4,PRUNED
13,0.325,2026-02-23 05:46:13.029248,2026-02-23 05:47:04.614991,0 days 00:00:51.585743,0.0701899427567622,4,128,70,0.00035091380725423303,32,2,8,4,COMPLETE
30,0.25,2026-02-23 05:58:54.392415,2026-02-23 05:59:13.032532,0 days 00:00:18.640117,0.144500065149117,2,32,50,0.000986114110258936,32,4,4,2,PRUNED
32,0.125,2026-02-23 05:59:50.945863,2026-02-23 06:00:06.762673,0 days 00:00:15.816810,0.11229093423547495,1,128,90,0.0005056121419616431,32,4,8,4,PRUNED
