cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,MS_price,2025-01-03,0.016671285,-0.018644348,0.0007497724,0.028693268,0.05194588,0.009253402236193673,1,0.009253402236193673,1.0092963473231802,1.0092963473231802
2024-12-23,MS_price,2025-01-03,0.018448463,-0.0028386656,0.003619445,0.021922681,0.03768409,0.009253402236193673,1,0.009253402236193673,1.0186791167199136,1.0186791167199136
2024-12-24,MS_price,2025-01-03,0.015158318,-0.023982828,-0.008823488,0.027854618,0.042848147,0.009253402236193673,1,0.009253402236193673,1.0281491115998123,1.0281491115998123
2024-12-26,MS_price,2025-01-03,0.012155947,-0.017045915,-0.00842326,0.016116811,0.033091117,0.009253402236193673,1,0.009253402236193673,1.0377071428412632,1.0377071428412632
2024-12-27,MS_price,2025-01-03,0.012208332,-0.013484122,0.0027209204,0.01172524,0.025787316,0.009253402236193673,1,0.009253402236193673,1.0473540288608607,1.0473540288608607
2024-12-30,MS_price,2025-01-03,0.027575543,-0.020970665,0.003183416,0.041739933,0.048569314,0.009253402236193673,1,0.009253402236193673,1.0570905956834833,1.0570905956834833
2024-12-31,MS_price,2025-01-03,0.011613437,0.00022805127,0.007301219,0.03125626,0.037539583,0.009253402236193673,1,0.009253402236193673,1.0669176770130244,1.0669176770130244
2025-01-03,MS_price,2025-01-06,-0.00859806,-0.022338111,-0.016748983,0.019682992,0.033138838,0.021212294108356816,-1,-0.021212294108356816,1.044524253081195,1.0897911907406737
2025-01-06,MS_price,2025-01-07,0.0123939235,-0.018613491,-0.007587282,0.037422493,0.04623618,-0.013776177343521077,1,-0.013776177343521077,1.030233364651176,1.0748809727414737
2025-01-07,MS_price,2025-01-08,-0.01256573,-0.041406766,-0.027967293,0.023128813,0.047819607,0.007694236475686157,-1,-0.007694236475686157,1.0223369230196022,1.0831832600510942
2025-01-08,MS_price,2025-01-10,0.019334543,-0.016716726,-0.009864576,0.036935166,0.054686066,-0.0350997456229439,1,-0.0350997456229439,0.9870756087258733,1.045823301205477
2025-01-10,MS_price,2025-01-13,0.0045766197,-0.033734053,-0.026385684,0.033546187,0.052985556,0.004364733179387174,1,0.004364733179387174,0.9913933464175957,1.050398017312914
2025-01-13,MS_price,2025-01-14,-0.0011442178,-0.018634183,-0.015260162,0.035363775,0.044512626,0.005068205557378391,-1,-0.005068205557378391,0.9863814724816088,1.0557351638350785
2025-01-14,MS_price,2025-01-15,0.004304026,-0.028467096,-0.011055339,0.023963967,0.034699164,0.04648727792362056,1,0.04648727792362056,1.0333181897639685,1.1059720592882185
