number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 15:44:16.035818,2026-02-24 15:44:47.867721,0 days 00:00:31.831903,0.08200650667266539,4,128,20,0.0006208519087034425,128,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
1,0.5,2026-02-24 15:44:47.867762,2026-02-24 15:45:09.468922,0 days 00:00:21.601160,0.20997991081917855,2,64,100,0.0004067546061136427,256,8,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 15:45:09.468963,2026-02-24 15:45:46.114434,0 days 00:00:36.645471,0.028433933380102194,5,64,30,0.0002194646820287002,512,8,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 15:45:46.114475,2026-02-24 15:46:23.225912,0 days 00:00:37.111437,0.11467214863074744,5,32,100,0.0007502935460709828,32,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 15:47:48.782130,2026-02-24 15:48:20.769449,0 days 00:00:31.987319,0.2311263299805263,4,32,20,0.00012614704255108048,256,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 15:47:11.552132,2026-02-24 15:47:48.782088,0 days 00:00:37.229956,0.1626507870272856,5,64,20,0.0001049418702567077,512,4,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.5,2026-02-24 15:48:20.769488,2026-02-24 15:48:57.857451,0 days 00:00:37.087963,0.16840546320664324,5,64,70,0.0005894627070187868,64,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 15:48:57.857491,2026-02-24 15:49:14.056474,0 days 00:00:16.198983,0.0020570379850959886,1,128,60,0.00020639802211394286,32,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
11,0.5,2026-02-24 15:49:40.759199,2026-02-24 15:50:02.458077,0 days 00:00:21.698878,0.06016455664312302,2,128,120,0.0004917102474657122,256,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
10,0.5,2026-02-24 15:49:14.056515,2026-02-24 15:49:40.759158,0 days 00:00:26.702643,0.2879049232544064,3,128,50,0.0008227455174722203,128,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
16,0.5,2026-02-24 15:51:44.370982,2026-02-24 15:52:11.293082,0 days 00:00:26.922100,0.18693283605619046,3,128,90,0.00028952112512701345,128,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
15,0.5,2026-02-24 15:51:12.468458,2026-02-24 15:51:44.370940,0 days 00:00:31.902482,0.2844270077423997,4,64,130,0.0004141521483016415,256,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
12,0.5,2026-02-24 15:50:02.458118,2026-02-24 15:50:23.764361,0 days 00:00:21.306243,0.20997180737566087,2,64,110,0.0005883105555491853,128,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
14,0.5,2026-02-24 15:50:56.143076,2026-02-24 15:51:12.468419,0 days 00:00:16.325343,0.2231537549789055,1,32,40,0.00024403716116897883,128,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
17,0.5,2026-02-24 15:52:11.293122,2026-02-24 15:52:37.932662,0 days 00:00:26.639540,0.11689201546083008,3,64,70,0.0006480595925385976,256,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
20,0.5,2026-02-24 15:53:15.756418,2026-02-24 15:53:47.473883,0 days 00:00:31.717465,0.18697007797431534,4,128,90,0.00016859438747823758,512,8,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
19,0.5,2026-02-24 15:52:59.595198,2026-02-24 15:53:15.756378,0 days 00:00:16.161180,0.257243244898933,1,32,110,0.0003443442343915686,32,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
18,0.5,2026-02-24 15:52:37.932721,2026-02-24 15:52:59.595158,0 days 00:00:21.662437,0.07123738929541065,2,128,50,0.000446115267902596,64,8,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
47,0.5,2026-02-24 16:07:54.645630,2026-02-24 16:08:16.109231,0 days 00:00:21.463601,0.1801407816574554,2,64,110,0.00010121929080198536,64,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
35,0.5,2026-02-24 16:01:31.195149,2026-02-24 16:02:08.171572,0 days 00:00:36.976423,0.06386826653616762,5,64,20,0.0003993942422341072,32,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
36,0.5,2026-02-24 16:02:08.171611,2026-02-24 16:02:39.884580,0 days 00:00:31.712969,0.17042495465719654,4,128,140,0.0008259998182200237,64,2,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
21,0.5,2026-02-24 15:53:47.473923,2026-02-24 15:54:24.415136,0 days 00:00:36.941213,0.036986049793299794,5,64,30,0.00017164115940436662,512,8,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
22,0.5,2026-02-24 15:54:24.415178,2026-02-24 15:54:56.378388,0 days 00:00:31.963210,0.03657186428067114,4,64,30,0.00025179361964238807,512,8,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
