number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 03:33:53.333984,2026-02-24 03:34:23.857009,0 days 00:00:30.523025,0.015533168775601701,4,64,90,0.0005192222416776777,128,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
1,0.5,2026-02-24 03:34:23.857050,2026-02-24 03:34:49.373646,0 days 00:00:25.516596,0.18180608181269228,3,128,50,0.0006127782869305046,256,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 03:34:49.373712,2026-02-24 03:35:04.504931,0 days 00:00:15.131219,0.2234232651015429,1,128,90,0.0002518309490640034,32,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 03:35:04.504971,2026-02-24 03:35:30.079067,0 days 00:00:25.574096,0.135437556904303,3,128,50,0.0008159541867930515,256,4,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
4,0.5,2026-02-24 03:35:30.079107,2026-02-24 03:36:00.587317,0 days 00:00:30.508210,0.16555443890473046,4,32,120,0.00016998763620758173,64,8,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 03:36:00.587357,2026-02-24 03:36:31.075775,0 days 00:00:30.488418,0.045842974598981776,4,32,20,0.00061775615481756,32,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 03:36:31.075817,2026-02-24 03:36:46.281574,0 days 00:00:15.205757,0.060876509976899605,1,64,90,0.00017539153774132798,32,4,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 03:36:46.281615,2026-02-24 03:37:11.669714,0 days 00:00:25.388099,0.16503291772829753,3,128,30,0.000598655498901318,128,8,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.5,2026-02-24 03:37:11.669754,2026-02-24 03:37:37.102977,0 days 00:00:25.433223,0.058593475975633996,3,128,100,0.00027641654115180314,256,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 03:37:37.103018,2026-02-24 03:38:07.681585,0 days 00:00:30.578567,0.07976563990724712,4,128,20,0.00024020052280300842,512,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
10,0.5,2026-02-24 03:38:07.681624,2026-02-24 03:38:43.741495,0 days 00:00:36.059871,0.2875414760858727,5,64,130,0.00040908540284622627,128,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
11,0.5,2026-02-24 03:38:43.741535,2026-02-24 03:39:04.204417,0 days 00:00:20.462882,0.0015339524191723113,2,64,50,0.0004683355446551731,128,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
