number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 16:29:15.223488,2026-02-24 16:29:31.524473,0 days 00:00:16.300985,0.13329323320823613,1,32,40,0.00020198902967687247,64,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 16:30:03.563656,2026-02-24 16:30:25.114477,0 days 00:00:21.550821,0.09232086646472396,2,128,130,0.0004207182977042103,32,4,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
10,0.5,2026-02-24 16:33:48.076387,2026-02-24 16:34:09.615046,0 days 00:00:21.538659,0.11189788394948069,2,32,50,0.0007067443413030037,64,4,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 16:30:25.114519,2026-02-24 16:31:13.437616,0 days 00:00:48.323097,0.2726399216926874,5,64,140,0.00017330425306066733,512,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
4,0.5,2026-02-24 16:31:13.437659,2026-02-24 16:31:40.094440,0 days 00:00:26.656781,0.2040250151639133,3,128,40,0.0003176686756828019,512,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 16:31:40.094481,2026-02-24 16:32:11.965918,0 days 00:00:31.871437,0.014297107827190979,4,128,70,0.0001106226474903577,32,2,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 16:32:11.965958,2026-02-24 16:32:28.105671,0 days 00:00:16.139713,0.1694602772935772,1,32,30,0.0009288115019584924,256,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 16:32:28.105729,2026-02-24 16:32:54.719786,0 days 00:00:26.614057,0.17445474377733722,3,32,30,0.000380611370901592,512,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.5,2026-02-24 16:32:54.719826,2026-02-24 16:33:31.801138,0 days 00:00:37.081312,0.209808382946484,5,64,60,0.00013787146814778445,256,2,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 16:33:31.801178,2026-02-24 16:33:48.076347,0 days 00:00:16.275169,0.2914850603086793,1,32,100,0.00041926100227095386,256,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
