number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 13:30:12.543210,2026-02-24 13:30:33.881290,0 days 00:00:21.338080,0.19346250417763824,2,32,30,0.00025483789229668505,256,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
1,0.5,2026-02-24 13:30:33.881331,2026-02-24 13:31:01.829585,0 days 00:00:27.948254,0.26033466268437816,2,64,130,0.0008658282380834758,512,4,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 13:31:01.829628,2026-02-24 13:31:23.040826,0 days 00:00:21.211198,0.1266026910456261,2,64,130,0.0005486332770558943,64,2,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 13:31:23.040867,2026-02-24 13:31:44.468140,0 days 00:00:21.427273,0.07773734130484462,2,32,20,0.0004740951309482465,128,4,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 13:32:13.991343,2026-02-24 13:32:40.393270,0 days 00:00:26.401927,0.09753315149768679,3,32,70,0.00023904955982075726,64,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 13:32:40.393309,2026-02-24 13:33:17.451657,0 days 00:00:37.058348,0.13256561673086045,5,32,50,0.0008991677349286947,64,4,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.5,2026-02-24 13:33:38.694434,2026-02-24 13:34:05.152801,0 days 00:00:26.458367,0.1702489995072693,3,64,80,0.0007906746565200402,32,8,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 13:33:17.451715,2026-02-24 13:33:38.694395,0 days 00:00:21.242680,0.0020285029848302826,2,32,20,0.0004783331849146413,64,2,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 13:34:05.152842,2026-02-24 13:34:36.852888,0 days 00:00:31.700046,0.13323484664162036,4,32,40,0.0001413731870819628,256,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
10,0.5,2026-02-24 13:34:36.852929,2026-02-24 13:34:52.825626,0 days 00:00:15.972697,0.219199305622871,1,128,50,0.00023444362566399528,256,8,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
14,0.5,2026-02-24 13:35:52.058067,2026-02-24 13:36:18.408190,0 days 00:00:26.350123,0.2890437933292909,3,128,80,0.0007371330955981384,32,4,8,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
11,0.5,2026-02-24 13:34:52.825667,2026-02-24 13:35:12.562415,0 days 00:00:19.736748,0.2891664205240128,1,64,140,0.00030566869787050947,512,4,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
12,0.5,2026-02-24 13:35:12.562455,2026-02-24 13:35:34.362014,0 days 00:00:21.799559,0.2524378435953176,2,64,110,0.0001836083404175063,512,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
13,0.5,2026-02-24 13:35:34.362056,2026-02-24 13:35:52.058026,0 days 00:00:17.695970,0.2004743826399029,1,64,110,0.0003743688539246638,256,8,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
16,0.5,2026-02-24 13:36:49.888667,2026-02-24 13:37:11.150781,0 days 00:00:21.262114,0.18788323412776284,2,64,60,0.00018088565862952485,256,4,4,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
15,0.5,2026-02-24 13:36:18.408230,2026-02-24 13:36:49.888625,0 days 00:00:31.480395,0.24006365479727187,4,32,100,0.0003066831453260812,128,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
17,0.5,2026-02-24 13:37:11.150822,2026-02-24 13:37:54.448244,0 days 00:00:43.297422,0.24419343657091336,4,32,130,0.0006332829612094958,512,4,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
18,0.5,2026-02-24 13:37:54.448282,2026-02-24 13:38:10.468470,0 days 00:00:16.020188,0.1664597303085298,1,64,30,0.0003437460351842005,512,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
34,0.5,2026-02-24 13:43:40.765745,2026-02-24 13:44:01.948001,0 days 00:00:21.182256,0.08542565237199991,2,32,40,0.0005737074406055375,64,4,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
