number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,state
33,0.75,2026-02-23 03:48:42.268298,2026-02-23 03:49:32.690759,0 days 00:00:50.422461,0.029931780520777176,5,128,70,0.0007351776944783061,128,4,8,4,COMPLETE
1,0.625,2026-02-23 03:25:52.788870,2026-02-23 03:26:44.436855,0 days 00:00:51.647985,0.02571276691753316,5,128,60,0.00018091268759902758,128,4,8,2,COMPLETE
35,0.625,2026-02-23 03:50:24.091289,2026-02-23 03:51:00.552309,0 days 00:00:36.461020,0.04870627923924452,2,128,70,0.000622812757938123,128,4,8,8,COMPLETE
37,0.625,2026-02-23 03:51:53.977278,2026-02-23 03:52:38.575433,0 days 00:00:44.598155,0.03542220136947329,4,64,60,0.000853380748920507,64,8,8,4,COMPLETE
40,0.625,2026-02-23 03:54:07.504280,2026-02-23 03:54:57.786884,0 days 00:00:50.282604,0.05889273232842469,5,64,100,0.0007693785742624562,256,4,4,4,COMPLETE
27,0.625,2026-02-23 03:44:51.316220,2026-02-23 03:45:42.876049,0 days 00:00:51.559829,0.015518477951614136,5,128,80,0.00023318514522106796,128,4,8,4,COMPLETE
22,0.625,2026-02-23 03:40:48.538651,2026-02-23 03:41:38.337610,0 days 00:00:49.798959,0.02356632917152025,5,128,90,0.0009689102966311819,128,4,8,4,COMPLETE
24,0.625,2026-02-23 03:42:24.299542,2026-02-23 03:43:16.624976,0 days 00:00:52.325434,0.02812936394179106,5,128,70,0.00024216112536710696,128,4,8,4,COMPLETE
21,0.625,2026-02-23 03:39:57.233460,2026-02-23 03:40:48.538565,0 days 00:00:51.305105,0.027199976723610863,5,128,80,0.0008242843547288905,128,4,8,4,COMPLETE
8,0.625,2026-02-23 03:30:50.390619,2026-02-23 03:31:29.520039,0 days 00:00:39.129420,0.0850210116160727,3,128,50,0.0009852755045426636,128,4,8,4,COMPLETE
11,0.5625,2026-02-23 03:32:59.915719,2026-02-23 03:33:55.610789,0 days 00:00:55.695070,0.04435235214081039,5,128,80,0.0008126993533251319,128,4,8,4,COMPLETE
3,0.5535714285714286,2026-02-23 03:27:20.272718,2026-02-23 03:27:56.216666,0 days 00:00:35.943948,0.21092356703367635,2,32,120,0.0003536840293496907,512,8,4,8,COMPLETE
0,0.5,2026-02-23 03:25:07.387980,2026-02-23 03:25:52.788766,0 days 00:00:45.400786,0.29861718995382475,4,128,60,0.00030916273742883884,64,2,16,4,COMPLETE
4,0.5,2026-02-23 03:27:56.216735,2026-02-23 03:28:41.119472,0 days 00:00:44.902737,0.13153493018635226,4,128,100,0.0003126866255735977,512,4,4,8,COMPLETE
5,0.5,2026-02-23 03:28:41.119540,2026-02-23 03:29:20.839915,0 days 00:00:39.720375,0.2162727226756743,3,32,30,0.0003033088020261517,128,2,16,8,COMPLETE
7,0.5,2026-02-23 03:30:05.657243,2026-02-23 03:30:50.390547,0 days 00:00:44.733304,0.28652290718701245,4,64,110,0.0008370012525452538,32,2,16,2,COMPLETE
9,0.5,2026-02-23 03:31:29.520098,2026-02-23 03:32:09.189281,0 days 00:00:39.669183,0.05371920699672493,1,64,140,0.0001711490095060167,512,4,4,2,COMPLETE
2,0.5,2026-02-23 03:26:44.436929,2026-02-23 03:27:20.272655,0 days 00:00:35.835726,0.1192861832994105,2,64,60,0.00018335297192686661,256,2,4,2,COMPLETE
48,0.5,2026-02-23 04:00:10.583652,2026-02-23 04:01:03.780966,0 days 00:00:53.197314,0.06377008852849761,4,128,80,0.00018424903722475804,32,8,8,2,COMPLETE
49,0.5,2026-02-23 04:01:03.781040,2026-02-23 04:01:43.641889,0 days 00:00:39.860849,0.029754438158651753,3,128,70,0.0007288825438385424,128,4,8,4,COMPLETE
39,0.5,2026-02-23 03:53:17.901797,2026-02-23 03:54:07.504202,0 days 00:00:49.602405,0.10689517701133674,4,128,80,0.00035111872603742287,128,2,8,2,COMPLETE
44,0.5,2026-02-23 03:57:26.812287,2026-02-23 03:58:11.938722,0 days 00:00:45.126435,0.05643653906112852,4,128,60,0.00010410208448403216,128,4,8,4,COMPLETE
14,0.5,2026-02-23 03:35:13.261453,2026-02-23 03:35:52.772164,0 days 00:00:39.510711,0.06973553775071564,3,128,70,0.0006022511738886536,32,4,8,4,COMPLETE
15,0.5,2026-02-23 03:35:52.772229,2026-02-23 03:36:43.587116,0 days 00:00:50.814887,0.17614475687635522,5,32,40,0.0005169499534045054,256,4,8,2,COMPLETE
13,0.5,2026-02-23 03:34:37.337956,2026-02-23 03:35:13.261349,0 days 00:00:35.923393,0.0037436423693246457,2,128,80,0.00010364021199181812,128,4,8,4,COMPLETE
16,0.5,2026-02-23 03:36:43.587190,2026-02-23 03:37:12.696000,0 days 00:00:29.108810,0.09301365827479757,1,128,90,0.00019546684180553634,128,8,8,4,COMPLETE
30,0.5,2026-02-23 03:47:06.743636,2026-02-23 03:47:51.459380,0 days 00:00:44.715744,0.29679175433611804,4,128,30,0.00015090981969258837,256,2,16,4,COMPLETE
28,0.5,2026-02-23 03:45:42.876152,2026-02-23 03:46:22.167407,0 days 00:00:39.291255,0.04488255737595999,3,32,120,0.00037733717443054954,128,8,16,8,COMPLETE
38,0.5,2026-02-23 03:52:38.575498,2026-02-23 03:53:17.901718,0 days 00:00:39.326220,0.24178882998799361,3,128,70,0.0004343741022545916,32,4,16,8,COMPLETE
36,0.5,2026-02-23 03:51:00.552387,2026-02-23 03:51:53.977205,0 days 00:00:53.424818,0.08676678531087964,5,32,50,0.00029235156483927745,512,2,4,2,COMPLETE
34,0.5,2026-02-23 03:49:32.690828,2026-02-23 03:50:24.091216,0 days 00:00:51.400388,0.11586589302642011,5,128,60,0.0007185181021616725,512,4,4,4,COMPLETE
25,0.5,2026-02-23 03:43:16.625040,2026-02-23 03:44:11.400329,0 days 00:00:54.775289,0.09605753175365636,4,128,90,0.0007656464443961336,64,4,8,2,COMPLETE
23,0.5,2026-02-23 03:41:38.337671,2026-02-23 03:42:24.299480,0 days 00:00:45.961809,0.07556308482900122,4,128,50,0.0006829997084851735,128,4,8,4,COMPLETE
19,0.5,2026-02-23 03:38:26.669692,2026-02-23 03:39:05.783634,0 days 00:00:39.113942,0.08949273386677857,3,32,40,0.0006805235509222469,256,8,8,8,COMPLETE
43,0.48214285714285715,2026-02-23 03:56:37.592554,2026-02-23 03:57:26.812198,0 days 00:00:49.219644,0.01888601811949723,5,128,80,0.0008953617393330602,128,4,8,4,COMPLETE
45,0.45,2026-02-23 03:58:11.938785,2026-02-23 03:58:43.115455,0 days 00:00:31.176670,0.0033730391150374045,5,128,100,0.0007863036262824261,128,4,8,2,PRUNED
41,0.4375,2026-02-23 03:54:57.786948,2026-02-23 03:55:48.231122,0 days 00:00:50.444174,0.013193881077913182,5,128,90,0.0009878776359491812,128,4,8,4,COMPLETE
12,0.41666666666666663,2026-02-23 03:33:55.610895,2026-02-23 03:34:37.337885,0 days 00:00:41.726990,0.06148433933969108,3,128,40,0.00047323777502929513,128,4,8,4,COMPLETE
20,0.375,2026-02-23 03:39:05.783702,2026-02-23 03:39:57.233378,0 days 00:00:51.449676,0.040359817137213566,5,128,70,0.000415191225196827,32,4,8,4,COMPLETE
17,0.375,2026-02-23 03:37:12.696075,2026-02-23 03:37:41.926888,0 days 00:00:29.230813,0.023169835379210385,2,128,20,0.0009645026651628388,128,4,8,4,COMPLETE
6,0.375,2026-02-23 03:29:20.839983,2026-02-23 03:30:05.657157,0 days 00:00:44.817174,0.1105020680829702,4,128,50,0.0002362669112260751,64,8,16,2,COMPLETE
18,0.375,2026-02-23 03:37:41.926951,2026-02-23 03:38:26.669629,0 days 00:00:44.742678,0.16913487800486462,4,64,60,0.0001366978767160169,128,4,8,2,COMPLETE
26,0.375,2026-02-23 03:44:11.400388,2026-02-23 03:44:51.316160,0 days 00:00:39.915772,0.14097067106324876,3,128,50,0.000599118622088149,128,4,8,4,COMPLETE
47,0.375,2026-02-23 03:59:35.616733,2026-02-23 04:00:10.583587,0 days 00:00:34.966854,0.1276438307194565,2,32,50,0.0005441697438798326,128,4,8,4,COMPLETE
29,0.375,2026-02-23 03:46:22.167473,2026-02-23 03:47:06.743570,0 days 00:00:44.576097,0.07059633044670606,4,64,60,0.0005261663677046472,64,2,4,2,COMPLETE
10,0.3333333333333333,2026-02-23 03:32:09.189347,2026-02-23 03:32:59.915610,0 days 00:00:50.726263,0.0022317746089295376,5,128,20,0.00012823978506347285,128,4,8,2,COMPLETE
32,0.25,2026-02-23 03:48:16.371544,2026-02-23 03:48:42.268260,0 days 00:00:25.896716,0.0046381204168546575,5,128,100,0.0008924930453141581,128,4,8,4,PRUNED
31,0.25,2026-02-23 03:47:51.459450,2026-02-23 03:48:16.371487,0 days 00:00:24.912037,0.028112360567039515,5,128,90,0.0009935689030173918,128,4,8,4,PRUNED
42,0.25,2026-02-23 03:55:48.231193,2026-02-23 03:56:37.592456,0 days 00:00:49.361263,0.038376709133553184,5,128,110,0.0008797380538687952,128,4,8,4,COMPLETE
46,0.25,2026-02-23 03:58:43.115494,2026-02-23 03:59:35.616668,0 days 00:00:52.501174,0.07823513555202953,5,128,30,0.0006573377086401725,512,4,16,4,COMPLETE
