cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,PYPL_price,2025-01-03,0.011064676,-0.021052971,-0.0055286777,0.03543442,0.052920237,0.016342869097344902,1,0.016342869097344902,1.01647714426572,1.01647714426572
2024-12-23,PYPL_price,2025-01-03,0.006875283,-0.036249984,-0.011390456,0.025946368,0.04628555,0.016342869097344902,1,0.016342869097344902,1.0332257848145932,1.0332257848145932
2024-12-24,PYPL_price,2025-01-03,0.01014589,-0.036513336,-0.017072791,0.03965185,0.046622336,0.016342869097344902,1,0.016342869097344902,1.0502503951300448,1.0502503951300448
2024-12-26,PYPL_price,2025-01-03,0.009613718,-0.018221693,-0.010795192,0.033929292,0.049874786,0.016342869097344902,1,0.016342869097344902,1.0675555224057318,1.0675555224057318
2024-12-27,PYPL_price,2025-01-03,0.0075170724,-0.02446269,-0.009598567,0.032508243,0.05197812,0.016342869097344902,1,0.016342869097344902,1.085145788760077,1.085145788760077
2024-12-30,PYPL_price,2025-01-03,0.007243125,-0.015254429,-0.007216247,0.033279136,0.049342107,0.016342869097344902,1,0.016342869097344902,1.1030258924708154,1.1030258924708154
2024-12-31,PYPL_price,2025-01-03,0.029101133,-0.012705424,0.013430032,0.04701923,0.05763186,0.016342869097344902,1,0.016342869097344902,1.1212006092298814,1.1212006092298814
2025-01-03,PYPL_price,2025-01-06,0.0018493738,-0.038582623,-0.024440518,0.04087575,0.061084107,0.021792808971485573,1,0.021792808971485573,1.14590290853009,1.14590290853009
2025-01-06,PYPL_price,2025-01-07,0.0031440035,-0.030465929,-0.020975905,0.026045827,0.03624724,-0.017577941043143117,1,-0.017577941043143117,1.125936294852858,1.125936294852858
2025-01-07,PYPL_price,2025-01-08,0.01085487,-0.007782584,-0.0028357795,0.014289392,0.029794103,-0.0003410756138920552,1,-0.0003410756138920552,1.1255523309239763,1.1255523309239763
2025-01-08,PYPL_price,2025-01-10,0.00047974338,-0.022461142,-0.012684024,0.012661455,0.028212141,-0.05348616701254894,1,-0.05348616701254894,1.0669325001553225,1.0669325001553225
2025-01-10,PYPL_price,2025-01-13,0.01878307,-0.048973463,-0.021516096,0.027980648,0.043415956,0.007529083320837939,1,0.007529083320837939,1.0749958405369142,1.0749958405369142
2025-01-13,PYPL_price,2025-01-14,-0.00052452786,-0.026713613,-0.022099812,0.028577492,0.042295538,0.037277263976392555,-1,-0.037277263976392555,1.0356606459239914,1.115825016350461
2025-01-14,PYPL_price,2025-01-15,0.0121606495,-0.049394432,-0.031979527,0.0416064,0.042446107,0.02782666378367071,1,0.02782666378367071,1.064884339772668,1.1473107436442969
2025-01-15,PYPL_price,2025-01-16,-0.0029518232,-0.047513824,-0.03613921,0.036605604,0.037959702,-0.00806454464011833,-1,0.00806454464011833,1.0735068687203175,1.1380954136009829
2025-01-16,PYPL_price,2025-01-17,-0.0031092567,-0.041559067,-0.022845076,0.022742018,0.033282533,0.031984100954134405,-1,-0.031984100954134405,1.039714998607898,1.1750847543755583
2025-01-17,PYPL_price,2025-01-21,0.0015811175,-0.037204493,-0.018478278,0.013512589,0.032046355,-0.02247036656223989,1,-0.02247036656223989,1.0166127515016778,1.1489746199611428
2025-01-21,PYPL_price,2025-01-22,0.002924461,-0.037470542,-0.02559009,0.026847154,0.040435303,0.0008908056206263645,1,0.0008908056206263645,1.017518759333238,1.1499985890215456
2025-01-22,PYPL_price,2025-01-23,-0.0033216348,-0.02057143,-0.017184377,0.017045809,0.039952837,-0.0013364209605758995,-1,0.0013364209605758995,1.018879501790835,1.148462733306019
