cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,QCOM_price,2025-01-03,-0.032932036,-0.043062486,-0.044350617,-0.01787757,-0.0062380508,0.02690643843420445,-1,-0.02690643843420445,0.9734523149865999,1.0272716851197436
2024-12-23,QCOM_price,2025-01-03,-0.05513,-0.06915115,-0.07020073,-0.032730628,-0.00698521,0.02690643843420445,-1,-0.02690643843420445,0.9476094095527705,1.0552871150487577
2024-12-24,QCOM_price,2025-01-03,-0.02266585,-0.041354056,-0.033781417,-0.0057335705,0.01090526,0.02690643843420445,-1,-0.02690643843420445,0.9224525734322296,1.0840665729612902
2024-12-26,QCOM_price,2025-01-03,-0.030052233,-0.05901035,-0.04995276,-0.008855499,0.004168299,0.02690643843420445,-1,-0.02690643843420445,0.8979635930729505,1.1136308951879301
2024-12-27,QCOM_price,2025-01-03,-0.023411687,-0.03794362,-0.0347045,-0.0037005274,0.009754677,0.02690643843420445,-1,-0.02690643843420445,0.8741247384505488,1.1440014863011134
2024-12-30,QCOM_price,2025-01-03,-0.023369268,-0.04532715,-0.03631566,-0.002061082,0.007235782,0.02690643843420445,-1,-0.02690643843420445,0.8509187502317429,1.175200334612036
2024-12-31,QCOM_price,2025-01-03,-0.022361144,-0.03773022,-0.03067742,-0.00765118,0.008311454,0.02690643843420445,-1,-0.02690643843420445,0.8283288272785946,1.207250028090193
2025-01-03,QCOM_price,2025-01-06,0.005129788,-0.023943715,-0.0072527938,0.023387505,0.030606937,0.012717347696773951,1,0.012717347696773951,0.8389302410337659,1.222701086452818
2025-01-06,QCOM_price,2025-01-07,-0.009648677,-0.035116993,-0.0262741,0.011965651,0.020189788,0.004182694978315554,-1,-0.004182694978315554,0.8354285800225109,1.227825982614182
2025-01-07,QCOM_price,2025-01-08,0.0031014497,-0.024700765,-0.01276397,0.013116036,0.028095318,-0.0090112665323666,1,-0.0090112665323666,0.8279341283839997,1.216811417554699
2025-01-08,QCOM_price,2025-01-10,0.0032251514,-0.033986486,-0.020379126,0.019248022,0.035569444,-0.013288976950099032,1,-0.013288976950099032,0.8170045133808411,1.2007482068844508
2025-01-10,QCOM_price,2025-01-13,0.0019015623,-0.02758808,-0.013022903,0.01574066,0.026157638,0.0009551623742225423,1,0.0009551623742225423,0.8177852581612531,1.2018956643094223
2025-01-13,QCOM_price,2025-01-14,0.011997992,-0.020395676,0.0015404625,0.026719892,0.04113096,0.015158537586940612,1,0.015158537586940612,0.8302761191484531,1.220253431845808
2025-01-14,QCOM_price,2025-01-15,-0.004833862,-0.029361371,-0.018257681,0.019576496,0.028469667,0.030131276388293566,-1,-0.030131276388293566,0.8056319840402175,1.2575807612423964
2025-01-15,QCOM_price,2025-01-16,0.0032933615,-0.028609104,-0.013566788,0.028075185,0.039825253,-0.01829166697523863,1,-0.01829166697523863,0.791029590288316,1.234786619730804
2025-01-16,QCOM_price,2025-01-17,-0.004004132,-0.027766962,-0.021266542,-0.0023032688,0.015185192,0.01920368335611095,-1,-0.01920368335611095,0.7759838378242235,1.2587282186673678
2025-01-17,QCOM_price,2025-01-21,0.0055673076,-0.028396076,-0.0119148195,0.025960911,0.043511413,0.01633402670402644,1,0.01633402670402644,0.7887628608856333,1.2794571516042947
2025-01-21,QCOM_price,2025-01-22,-0.010149764,-0.03514991,-0.02215657,0.0062971786,0.01436373,0.017599905103113725,-1,-0.017599905103113725,0.7750021581205377,1.302174803909418
2025-01-22,QCOM_price,2025-01-23,0.008951718,-0.01806842,-0.008681018,0.029177617,0.033514135,0.023912959330845092,1,0.023912959330845092,0.793758114662882,1.3336889536143561
2025-01-23,QCOM_price,2025-01-24,-0.007492095,-0.024305165,-0.013629302,0.01777077,0.021378115,-0.012988365097270806,-1,0.012988365097270806,0.8041349782223367,1.3164785241750068
2025-01-24,QCOM_price,2025-01-27,0.0155587355,-0.0064005377,-0.0003570998,0.038327057,0.052990742,-0.005418261039735862,1,-0.005418261039735862,0.7997897474269494,1.3093647893175118
2025-01-27,QCOM_price,2025-01-28,-0.012117283,-0.03748712,-0.025733043,0.0055142404,0.015944516,0.0021591886390409675,-1,-0.0021591886390409675,0.7980647134977041,1.3121950092848031
