cutoff,unique_id,ds,PatchTST-median,PatchTST-lo-95,PatchTST-lo-80,PatchTST-hi-80,PatchTST-hi-95,y,signal,strat_ret,cum_strat,cum_market
2024-12-20,SNPS_price,2025-01-03,0.007854817,-0.049704336,-0.02343986,0.054964036,0.07938287,0.02244936165920423,1,0.02244936165920423,1.0227032448577487,1.0227032448577487
2024-12-23,SNPS_price,2025-01-03,-0.0054968963,-0.052894466,-0.04290187,0.042856403,0.072723314,0.02244936165920423,-1,-0.02244936165920423,1.0,1.0459219270425681
2024-12-24,SNPS_price,2025-01-03,0.010451434,-0.06311862,-0.019635323,0.044408645,0.075948656,0.02244936165920423,1,0.02244936165920423,1.0227032448577487,1.069667748654304
2024-12-26,SNPS_price,2025-01-03,0.00096275285,-0.06435503,-0.038860783,0.0469413,0.07179862,0.02244936165920423,1,0.02244936165920423,1.0459219270425681,1.0939526774684394
2024-12-27,SNPS_price,2025-01-03,0.006679316,-0.035756502,-0.02027091,0.041131828,0.064660594,0.02244936165920423,1,0.02244936165920423,1.069667748654304,1.118788952967795
2024-12-30,SNPS_price,2025-01-03,0.0017389003,-0.048619706,-0.036361635,0.04071243,0.068071604,0.02244936165920423,1,0.02244936165920423,1.0939526774684394,1.1441890925111673
2024-12-31,SNPS_price,2025-01-03,0.008446029,-0.03362526,-0.017288636,0.042718288,0.061499756,0.02244936165920423,1,0.02244936165920423,1.118788952967795,1.1701658976420135
2025-01-03,SNPS_price,2025-01-06,-0.0021104775,-0.037720293,-0.032493077,0.024234822,0.042664547,0.014777566552882128,-1,-0.014777566552882128,1.1023775338305142,1.1875865021236975
2025-01-06,SNPS_price,2025-01-07,0.0055596745,-0.042301573,-0.019450147,0.03141314,0.044931218,-0.02718944554110258,1,-0.02718944554110258,1.072808306955042,1.1557317031660994
2025-01-07,SNPS_price,2025-01-08,-0.0062195044,-0.04959482,-0.03147355,0.022480715,0.03017709,0.029063715712121588,-1,-0.029063715712121588,1.0420772537830594,1.1898144473135286
2025-01-08,SNPS_price,2025-01-10,-0.0019579884,-0.05083084,-0.04981815,0.03012235,0.04904978,-0.019024426754813403,-1,0.019024426754813403,1.062091956640279,1.1673928646348144
2025-01-10,SNPS_price,2025-01-13,0.007550901,-0.048261277,-0.025876481,0.037467584,0.051965624,-0.010429017578794044,1,-0.010429017578794044,1.0510729395883405,1.1552813692023345
2025-01-13,SNPS_price,2025-01-14,0.006629953,-0.028701296,-0.008796802,0.03433576,0.068385616,0.005993109995848272,1,0.005993109995848272,1.0573910489804192,1.1622258863660144
