number,value,datetime_start,datetime_complete,duration,params_dropout,params_encoder_layers,params_hidden_size,params_input_size,params_learning_rate,params_linear_hidden_size,params_n_heads,params_patch_len,params_stride,user_attrs_fold_hit_rates,state
0,0.5,2026-02-24 12:49:38.374963,2026-02-24 12:50:15.276892,0 days 00:00:36.901929,0.09580643325277956,5,32,80,0.00029170787280742653,32,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
2,0.5,2026-02-24 12:50:36.662922,2026-02-24 12:50:52.606008,0 days 00:00:15.943086,0.07578119686136027,1,128,20,0.0008873294112626952,512,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
10,0.5,2026-02-24 12:53:44.838664,2026-02-24 12:54:16.210520,0 days 00:00:31.371856,0.015466310077593096,4,32,140,0.0001721832532913538,128,4,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
3,0.5,2026-02-24 12:50:52.606050,2026-02-24 12:51:13.772987,0 days 00:00:21.166937,0.06925782572108395,2,64,30,0.0005320821334541324,32,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
4,0.5,2026-02-24 12:51:13.773030,2026-02-24 12:51:34.984776,0 days 00:00:21.211746,0.1835268617551344,2,128,70,0.0007732459943467836,64,2,8,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
5,0.5,2026-02-24 12:51:34.984818,2026-02-24 12:51:50.653029,0 days 00:00:15.668211,0.07080664972299996,1,128,40,0.00014185777895883912,256,2,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
6,0.5,2026-02-24 12:51:50.653070,2026-02-24 12:52:11.745125,0 days 00:00:21.092055,0.19821531608845566,2,64,80,0.0008837647110621281,256,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
7,0.5,2026-02-24 12:52:11.745167,2026-02-24 12:52:32.890308,0 days 00:00:21.145141,0.1577435357217085,2,64,70,0.0003613239262981377,512,2,4,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
8,0.5,2026-02-24 12:52:32.890348,2026-02-24 12:53:08.781025,0 days 00:00:35.890677,0.1939860726729257,5,32,20,0.0007085893222146442,256,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
9,0.5,2026-02-24 12:53:08.781066,2026-02-24 12:53:44.838625,0 days 00:00:36.057559,0.23334899909409745,5,64,70,0.0005387013873721241,32,2,4,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
16,0.5,2026-02-24 12:56:28.254671,2026-02-24 12:57:05.135954,0 days 00:00:36.881283,0.042825750461700576,5,128,100,0.0003602252240159216,32,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
11,0.5,2026-02-24 12:54:16.210561,2026-02-24 12:54:47.726315,0 days 00:00:31.515754,0.1111073148582492,4,32,120,0.00024123880727389897,512,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
13,0.5,2026-02-24 12:55:19.159288,2026-02-24 12:55:35.088973,0 days 00:00:15.929685,0.008787102221632398,1,32,50,0.00010072688306147316,128,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
14,0.5,2026-02-24 12:55:35.089014,2026-02-24 12:56:01.306674,0 days 00:00:26.217660,0.11781132912660466,3,128,100,0.0004382680560921026,64,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
17,0.5,2026-02-24 12:57:05.135994,2026-02-24 12:57:21.089723,0 days 00:00:15.953729,0.14686507935314388,1,32,140,0.0005682136603090862,512,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
15,0.5,2026-02-24 12:56:01.306730,2026-02-24 12:56:28.254631,0 days 00:00:26.947901,0.10708859286118594,3,32,50,0.0002155526493534197,512,4,8,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
20,0.5,2026-02-24 12:58:19.861250,2026-02-24 12:58:46.317301,0 days 00:00:26.456051,0.1391858770259945,3,128,50,0.00020194587313363856,128,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
21,0.5,2026-02-24 12:58:46.317342,2026-02-24 12:59:02.274671,0 days 00:00:15.957329,0.05926930737304552,1,64,30,0.0005908495090628415,32,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
46,0.5,2026-02-24 13:07:40.859064,2026-02-24 13:08:12.202413,0 days 00:00:31.343349,0.04804262134213501,4,32,60,0.0003002638425397468,256,2,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
43,0.5,2026-02-24 13:06:32.571140,2026-02-24 13:06:48.444233,0 days 00:00:15.873093,0.027762222723595506,1,128,80,0.0001605668647458065,256,2,16,4,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
23,0.5,2026-02-24 12:59:23.297860,2026-02-24 12:59:39.143606,0 days 00:00:15.845746,0.09044648216237745,1,64,40,0.0006560551104476795,32,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
22,0.5,2026-02-24 12:59:02.274729,2026-02-24 12:59:23.297821,0 days 00:00:21.023092,0.04368979169970267,2,64,30,0.0004575918511325448,32,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
24,0.5,2026-02-24 12:59:39.143647,2026-02-24 13:00:00.311337,0 days 00:00:21.167690,0.12689849179734172,2,64,20,0.00045096835247318047,32,8,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
25,0.5,2026-02-24 13:00:00.311377,2026-02-24 13:00:16.198597,0 days 00:00:15.887220,0.09627227203973507,1,64,40,0.0003224859119486482,512,2,16,2,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
27,0.5,2026-02-24 13:00:37.304156,2026-02-24 13:01:04.368708,0 days 00:00:27.064552,0.023780027569609,3,64,30,0.0003883225488603853,32,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
26,0.5,2026-02-24 13:00:16.198639,2026-02-24 13:00:37.304114,0 days 00:00:21.105475,0.06212138746968174,2,32,60,0.0009874613757182348,32,8,16,8,"[0.5, 0.5, 0.5, 0.5]",COMPLETE
